Date,"E.T. the Extra-Terrestrial","Myriostoma","Ernest Joyce","Bazy Tankersley","Susan B. Anthony dollar","Ben Affleck","Presque Isle State Park","Freak Out!","Beograd-class destroyer"
2016-11-12,2360,13,13,16,500,18182,75,367,13
2016-11-13,2421,19,13,24,433,16970,65,354,8
2016-11-14,2866,18,12,22,468,12780,105,409,8
2016-11-15,2574,22,12,27,515,12652,119,349,7
2016-11-16,2430,20,9,10,428,13402,139,386,11
2016-11-17,2189,14,13,15,450,13501,66,385,10
2016-11-18,2281,22,13,26,447,16706,84,370,13
2016-11-19,13326,20,17,20,467,14208,98,385,16
2016-11-20,81477,13,10,14,422,15489,84,400,9
2016-11-21,3322,12,17,18,422,11838,65,382,10
2016-11-22,2820,10,12,15,420,12607,72,393,10
2016-11-23,2304,5,16,20,376,11578,55,372,18
2016-11-24,3052,11,18,18,370,11368,58,335,8
2016-11-25,4372,11,10,20,383,12257,65,556,35
2016-11-26,2920,20,19,25,338,14257,72,599,33
2016-11-27,2821,14,15,20,361,23818,97,622,11
2016-11-28,2967,12,21,16,388,14982,66,622,11
2016-11-29,3197,15,19,25,453,12224,78,389,7
2016-11-30,2522,11,13,17,429,12374,70,410,7
2016-12-01,2260,9,13,16,463,10645,64,388,8
2016-12-02,2189,13,13,21,389,12065,69,412,12
2016-12-03,2692,14,14,25,358,14141,161,380,9
2016-12-04,4401,19,16,24,411,19361,78,530,13
2016-12-05,2466,56,15,21,463,15514,90,427,9
2016-12-06,3138,75,16,28,410,13447,74,399,11
2016-12-07,2685,54,11,15,432,13304,83,353,5
2016-12-08,2498,28,23,31,437,17115,81,390,7
2016-12-09,2461,38,22,28,379,12785,74,412,2
2016-12-10,2620,31,20,11,321,15789,55,334,13
2016-12-11,3572,22,19,22,329,22423,50,333,2
2016-12-12,2485,30,21,30,437,20800,73,382,8
2016-12-13,2235,25,15,20,573,17614,66,392,6
2016-12-14,2502,23,35,30,395,17849,66,369,6
2016-12-15,2867,13,23,14,354,17128,68,365,52
2016-12-16,2737,21,18,20,1516,18356,59,391,10
2016-12-17,2939,12,17,18,370,18902,55,374,14
2016-12-18,3683,11,8,18,318,35329,62,362,10
2016-12-19,4451,8,12,25,343,23761,43,388,10
2016-12-20,2513,9,14,24,314,18511,75,487,8
2016-12-21,2331,7,12,19,315,16355,65,531,8
2016-12-22,2257,18,23,21,340,15349,70,486,8
2016-12-23,2839,16,14,19,335,16699,60,411,18
2016-12-24,2496,12,19,15,325,18440,64,363,11
2016-12-25,7464,8,16,24,332,20556,66,383,6
2016-12-26,3661,5,511,334,857,21767,66,858,11
2016-12-27,4343,142,17,13,355,22728,577,373,3
2016-12-28,3862,13,15,14,332,22606,90,352,3
2016-12-29,3344,12,22,15,337,23975,287,361,9
2016-12-30,4077,6,6,21,380,23452,60,330,12
2016-12-31,4452,8,13,19,7568,24263,99,329,10
2017-01-01,28145,10,11,25,795,29022,82,334,3
2017-01-02,6955,13,14,10,674,30615,128,422,10
2017-01-03,4789,14,16,24,614,26074,92,449,8
2017-01-04,3796,6,16,21,448,22517,83,422,14
2017-01-05,3522,16,21,22,512,19630,86,432,13
2017-01-06,3451,15,27,23,409,20757,104,403,5
2017-01-07,4654,10,12,25,402,25801,88,340,9
2017-01-08,4748,30,21,19,429,31542,106,414,8
2017-01-09,3963,11,51,24,402,86260,88,330,9
2017-01-10,3085,11,16,34,387,55373,71,357,12
2017-01-11,2874,15,39,28,427,41910,89,364,6
2017-01-12,2897,15,20,20,385,30285,87,394,6
2017-01-13,2935,8,28,18,569,61146,107,446,4
2017-01-14,3767,15,12,19,463,55600,84,487,4
2017-01-15,4142,16,18,19,596,48596,135,522,5
2017-01-16,3546,32,21,28,485,30613,139,434,8
2017-01-17,2929,11,22,24,424,21651,72,435,3
2017-01-18,2642,7,25,27,429,21737,76,467,2
2017-01-19,2500,20,25,25,446,18515,81,398,20
2017-01-20,2424,8,24,15,395,16294,78,402,10
2017-01-21,3064,19,11,19,395,19621,55,403,9
2017-01-22,3383,14,22,23,410,25401,67,383,8
2017-01-23,2767,17,32,29,460,25831,84,408,12
2017-01-24,2812,12,12,14,417,23654,64,339,17
2017-01-25,2585,19,16,15,391,21722,80,435,9
2017-01-26,2660,14,22,20,419,19118,63,414,26
2017-01-27,2499,9,15,15,412,20755,53,442,11
2017-01-28,3384,12,12,22,379,25980,68,378,9
2017-01-29,3873,9,17,15,389,24415,65,403,6
2017-01-30,3045,7,15,22,390,20615,63,388,10
2017-01-31,2585,9,12,21,367,24228,65,365,13
2017-02-01,2454,13,16,35,414,17549,77,435,10
2017-02-02,2753,7,8,12,401,17034,42,418,4
2017-02-03,2923,11,9,20,366,16975,61,364,5
2017-02-04,5111,17,18,24,323,20785,75,410,25
2017-02-05,3748,13,21,32,346,23067,98,411,7
2017-02-06,2822,9,8,24,368,14704,79,361,15
2017-02-07,3008,17,14,32,399,14932,297,433,2
2017-02-08,3069,16,21,27,383,13736,96,430,7
2017-02-09,3147,12,20,30,469,14257,85,436,14
2017-02-10,2516,9,20,34,440,15769,85,375,8
2017-02-11,2850,14,14,26,409,21117,88,364,6
2017-02-12,3765,8,19,15,370,36464,75,403,2
2017-02-13,2832,12,16,22,438,21814,87,404,8
2017-02-14,2570,13,13,31,487,16496,82,357,9
2017-02-15,2893,17,18,28,644,14970,68,395,10
2017-02-16,2703,15,22,37,475,15652,84,425,10
2017-02-17,2458,4,8,15,418,18574,60,384,4
2017-02-18,2855,11,15,34,381,21028,101,341,9
2017-02-19,3460,8,16,20,377,22249,94,353,3
2017-02-20,3371,8,10,19,426,18184,93,321,3
2017-02-21,3040,11,18,5,386,14824,81,359,11
2017-02-22,3491,6,9,16,401,15585,87,349,9
2017-02-23,2698,11,18,20,363,14147,108,414,8
2017-02-24,2441,13,17,13,347,15982,89,369,12
2017-02-25,2918,10,15,14,360,24016,105,351,1
2017-02-26,3565,21,21,27,355,32190,132,334,10
2017-02-27,3377,16,10,17,402,291690,101,332,8
2017-02-28,2545,10,18,20,386,82316,159,420,7
2017-03-01,2650,20,24,27,401,44218,106,419,7
2017-03-02,2880,13,18,30,395,31065,62,354,10
2017-03-03,2549,12,59,16,342,28602,91,389,12
2017-03-04,2774,10,58,28,290,25503,113,334,6
2017-03-05,3423,8,24,23,355,30063,102,363,10
2017-03-06,2881,17,16,15,439,22439,113,342,6
2017-03-07,2692,27,16,28,394,15681,102,379,11
2017-03-08,2510,16,24,22,440,17674,139,378,13
2017-03-09,2333,17,24,19,408,19195,98,333,7
2017-03-10,2341,22,18,25,367,19401,128,389,9
2017-03-11,2701,13,11,24,325,19031,112,334,20
2017-03-12,3053,22,16,21,313,21305,112,328,13
2017-03-13,2770,10,13,19,398,15127,106,372,9
2017-03-14,2493,23,17,21,378,15354,109,372,3
2017-03-15,2332,21,14,21,347,37362,95,354,3
2017-03-16,2402,13,16,24,356,17500,82,339,6
2017-03-17,2095,11,12,20,366,13232,87,372,6
2017-03-18,2502,14,21,17,344,15583,99,344,13
2017-03-19,2558,23,15,25,328,18522,111,340,6
2017-03-20,2286,15,17,23,326,12626,116,379,11
2017-03-21,2416,12,21,27,339,10701,124,347,5
2017-03-22,2234,14,17,16,340,11779,110,384,5
2017-03-23,2216,20,25,37,368,10681,119,391,9
2017-03-24,2052,15,11,23,371,11395,123,367,5
2017-03-25,2717,16,16,24,281,15054,127,351,5
2017-03-26,2634,12,7,22,337,17688,136,348,6
2017-03-27,2488,16,11,17,367,14389,120,368,8
2017-03-28,2071,25,9,19,358,11156,131,391,4
2017-03-29,2132,15,15,16,716,11338,120,402,8
2017-03-30,2392,11,18,24,824,13101,112,409,10
2017-03-31,2320,17,14,19,547,11168,100,367,5
2017-04-01,2420,23,16,21,371,12314,104,383,8
2017-04-02,2591,20,15,22,363,15741,131,313,9
2017-04-03,2261,6,13,23,367,11181,131,342,4
2017-04-04,2051,16,26,19,347,8814,144,388,6
2017-04-05,2269,13,346,24,335,9039,148,357,10
2017-04-06,2767,11,30,19,346,9230,111,396,14
2017-04-07,2104,12,32,16,362,9401,125,395,8
2017-04-08,2437,8,29,18,278,12070,126,306,13
2017-04-09,2725,10,11,15,276,11852,156,375,8
2017-04-10,2714,27,26,15,324,9201,162,358,2
2017-04-11,2167,12,26,24,328,8475,138,309,7
2017-04-12,2016,29,25,22,344,8209,129,351,10
2017-04-13,3323,15,17,20,339,9423,140,343,11
2017-04-14,2672,9,13,18,316,18262,114,345,6
2017-04-15,2666,7,9,11,332,14664,174,360,8
2017-04-16,3084,23,13,17,365,12874,149,341,5
2017-04-17,2553,15,9,25,356,13264,163,401,16
2017-04-18,2249,18,15,20,366,9972,282,361,12
2017-04-19,2563,9,14,20,343,8900,158,349,11
2017-04-20,2051,16,24,24,389,8529,148,371,8
2017-04-21,2194,7,16,12,333,8609,164,369,6
2017-04-22,2227,25,28,26,356,10491,127,326,9
2017-04-23,2501,12,12,21,317,12574,130,446,13
2017-04-24,2240,14,8,19,342,9962,148,352,11
2017-04-25,2020,14,32,13,391,8338,143,394,6
2017-04-26,2157,14,14,19,386,7997,100,402,7
2017-04-27,2008,19,18,18,363,8491,136,410,12
2017-04-28,1974,18,19,13,336,8373,111,369,6
2017-04-29,2047,4,13,14,302,9236,134,360,12
2017-04-30,2707,21,16,17,310,12934,173,381,5
2017-05-01,2494,18,33,17,391,12189,156,415,10
2017-05-02,2181,16,21,19,395,8787,137,464,9
2017-05-03,2324,20,20,20,344,8386,155,403,10
2017-05-04,2265,17,17,17,330,7734,127,383,9
2017-05-05,2288,14,20,28,310,8390,127,401,12
2017-05-06,2413,18,16,21,280,10772,119,340,15
2017-05-07,2558,6,8,20,304,11832,158,369,20
2017-05-08,2246,19,18,21,371,9766,137,354,6
2017-05-09,2248,9,6,15,361,7939,148,399,19
2017-05-10,2155,8,8,20,486,7775,160,321,9
2017-05-11,2313,9,16,22,341,7561,144,364,9
2017-05-12,2321,23,14,11,364,8156,154,412,6
2017-05-13,14230,13,8,13,287,9204,165,305,4
2017-05-14,14219,11,17,25,310,10545,154,541,9
2017-05-15,3370,19,21,18,326,9047,170,419,7
2017-05-16,2648,20,9,14,407,8400,171,321,11
2017-05-17,2545,13,17,17,355,8279,192,369,11
2017-05-18,2389,15,17,25,351,7525,257,267,13
2017-05-19,2425,19,16,30,304,8324,195,372,7
2017-05-20,2506,23,24,28,512,13474,185,325,6
2017-05-21,2756,21,18,29,343,12903,152,382,6
2017-05-22,2463,16,23,20,339,9866,191,413,3
2017-05-23,2169,24,26,20,315,8763,206,355,5
2017-05-24,2025,43,17,20,312,8002,185,388,6
2017-05-25,2341,15,9,18,490,7850,200,354,9
2017-05-26,2237,18,15,18,294,8914,176,431,6
2017-05-27,2530,46,13,15,268,9732,221,417,19
2017-05-28,5963,33,12,14,273,10980,250,370,8
2017-05-29,3113,14,11,23,278,11316,281,441,13
2017-05-30,2808,28,15,19,284,9833,267,438,7
2017-05-31,2408,13,12,18,306,9179,239,471,6
2017-06-01,2125,12,18,16,298,12838,195,750,7
2017-06-02,2075,24,10,10,280,11081,220,572,7
2017-06-03,2085,18,32,23,298,11475,166,413,10
2017-06-04,2286,19,9,12,272,13982,200,508,6
2017-06-05,2422,5,20,14,296,12533,207,485,15
2017-06-06,4874,10,16,16,327,11006,205,401,8
2017-06-07,2076,31,17,25,313,10846,169,413,9
2017-06-08,2027,15,16,18,295,9036,172,363,7
2017-06-09,2033,20,11,19,294,9932,199,342,3
2017-06-10,2035,8,14,19,260,11872,221,333,7
2017-06-11,3100,27,12,25,282,19609,319,398,6
2017-06-12,3024,30,9,22,299,15250,290,372,10
2017-06-13,2271,36,15,25,330,10126,272,307,2
2017-06-14,4121,13,12,19,281,9439,220,282,8
2017-06-15,1971,18,19,20,292,9080,204,349,7
2017-06-16,2097,7,12,14,292,11240,227,367,8
2017-06-17,2115,14,15,20,281,11098,260,322,5
2017-06-18,2281,14,12,20,328,12517,224,317,7
2017-06-19,2155,9,16,13,279,10479,241,330,9
2017-06-20,1930,10,16,17,312,10329,228,332,11
2017-06-21,1993,11,9,14,315,10451,206,361,9
2017-06-22,2086,21,21,17,293,10914,304,339,19
2017-06-23,1948,10,20,20,254,9761,219,297,6
2017-06-24,2758,6,5,20,246,10848,300,304,10
2017-06-25,2177,12,22,19,442,14125,286,683,6
2017-06-26,2074,9,6,19,314,11717,268,384,4
2017-06-27,1879,8,15,24,308,9795,425,474,2
2017-06-28,1948,13,14,15,286,9425,345,352,7
2017-06-29,1889,14,14,19,311,9328,294,335,14
2017-06-30,1814,10,14,14,549,9821,272,338,11
2017-07-01,2064,9,28,11,228,9337,315,291,5
2017-07-02,2531,10,7,17,339,11384,401,252,9
2017-07-03,2561,16,14,25,321,10022,368,318,7
2017-07-04,2423,10,9,10,294,11483,421,367,9
2017-07-05,2255,9,9,7,263,10061,325,323,10
2017-07-06,3011,15,20,21,286,9576,375,333,41
2017-07-07,2998,9,11,26,265,13565,289,409,14
2017-07-08,2785,12,19,14,255,14968,277,316,17
2017-07-09,2866,7,13,15,270,14790,355,307,9
2017-07-10,2325,8,14,19,301,14175,287,354,18
2017-07-11,2067,22,21,41,278,12978,294,347,7
2017-07-12,2232,15,29,18,315,11834,268,313,19
2017-07-13,2445,11,24,15,289,11422,217,335,14
2017-07-14,2346,18,8,14,273,10211,257,336,6
2017-07-15,2615,17,16,32,277,10469,299,296,21
2017-07-16,4002,9,12,29,276,11703,371,291,19
2017-07-17,3546,15,7,15,252,10268,317,339,50
2017-07-18,2336,10,14,16,336,9632,304,317,65
2017-07-19,2467,13,18,20,297,10303,300,347,26
2017-07-20,2679,10,15,15,319,10939,259,374,10
2017-07-21,2358,23,13,15,282,11435,299,311,14
2017-07-22,2677,12,13,21,251,17683,283,309,8
2017-07-23,2958,16,19,18,286,21766,339,371,6
2017-07-24,2874,13,13,17,310,13210,327,301,8
2017-07-25,2591,15,13,17,317,11888,306,277,18
2017-07-26,2522,17,13,21,303,10642,257,305,157
2017-07-27,2600,19,11,17,627,11012,264,293,96
2017-07-28,2545,12,13,19,332,11544,320,311,115
2017-07-29,2609,16,12,9,323,11828,413,324,66
2017-07-30,3766,8,9,15,389,11593,382,323,61
2017-07-31,2701,12,12,30,280,10733,368,305,83
2017-08-01,2494,23,25,27,340,13320,305,303,131
2017-08-02,2481,19,21,28,314,11314,253,298,142
2017-08-03,2300,15,21,24,290,10365,243,350,107
2017-08-04,2276,31,16,18,277,9506,257,323,99
2017-08-05,2782,28,25,30,309,10110,312,320,120
2017-08-06,2836,30,14,178,319,13405,334,306,98
2017-08-07,2465,13,15,24,320,10590,264,333,128
2017-08-08,2382,19,14,18,315,8964,272,331,105
2017-08-09,2160,16,16,16,321,8289,248,318,109
2017-08-10,2249,13,21,23,298,8299,250,333,38
2017-08-11,3216,15,24,23,271,8232,261,338,47
2017-08-12,2799,19,20,22,292,10537,257,348,98
2017-08-13,2612,16,27,24,296,12097,331,327,15
2017-08-14,2279,22,18,28,305,8784,299,293,164
2017-08-15,1956,16,13,30,325,11482,239,331,26
2017-08-16,2019,19,18,26,307,11269,207,317,47
2017-08-17,1965,10,8,12,314,8346,207,275,106
2017-08-18,2013,24,18,29,314,8424,240,308,15
2017-08-19,2351,14,16,18,311,10306,232,285,12
2017-08-20,2689,19,11,20,316,11167,287,314,17
2017-08-21,2293,20,13,14,305,8853,229,270,37
2017-08-22,2084,17,10,17,310,9149,217,348,196
2017-08-23,1943,15,13,17,301,8077,211,310,85
2017-08-24,1915,19,19,30,316,8768,206,304,25
2017-08-25,1930,20,15,9,292,8762,197,322,18
2017-08-26,2230,14,3,13,306,9456,271,271,12
2017-08-27,2804,12,9,15,301,9943,257,307,13
2017-08-28,2167,14,12,11,296,7454,191,320,19
2017-08-29,2073,7,17,13,314,7891,161,315,6
2017-08-30,2273,25,13,22,308,8327,182,292,13
2017-08-31,1908,30,15,28,351,7967,512,339,11
2017-09-01,2029,13,12,20,308,7251,278,251,13
2017-09-02,2443,14,11,15,318,9896,239,278,11
2017-09-03,2610,12,8,18,302,10723,251,279,9
2017-09-04,2811,37,11,18,326,10019,259,261,7
2017-09-05,2192,18,15,26,282,8051,197,510,12
2017-09-06,3593,14,11,25,301,6793,154,462,19
2017-09-07,1954,21,25,19,325,6900,146,333,14
2017-09-08,2133,18,9,14,303,6554,161,305,10
2017-09-09,2439,15,10,16,324,9728,142,303,17
2017-09-10,2639,27,13,13,337,9389,129,285,16
2017-09-11,2448,43,13,15,299,8072,150,314,3
2017-09-12,3220,26,11,17,293,7806,121,317,7
2017-09-13,3115,30,8,11,331,7321,133,312,6
2017-09-14,2854,60,17,29,371,6650,123,303,19
2017-09-15,3024,126,13,26,331,7272,130,303,18
2017-09-16,8790,25,6,13,258,9043,163,285,12
2017-09-17,3975,50,11,12,282,9383,135,300,5
2017-09-18,3469,35,8,27,295,10616,159,268,9
2017-09-19,2660,40,17,20,310,8892,147,297,16
2017-09-20,3343,33,16,19,300,7070,138,273,6
2017-09-21,3029,23,13,13,304,7488,140,398,7
2017-09-22,2498,44,23,43,302,8622,143,403,12
2017-09-23,2790,48,14,25,271,9541,279,315,16
2017-09-24,2695,32,17,20,292,10240,193,306,12
2017-09-25,2412,37,19,20,320,8151,164,323,8
2017-09-26,2207,30,16,23,389,7078,149,348,17
2017-09-27,2311,24,10,19,307,6706,154,362,11
2017-09-28,2521,17,21,24,411,6774,124,302,20
2017-09-29,2739,19,17,12,274,7428,164,315,15
2017-09-30,7169,21,13,20,308,9324,173,322,9
2017-10-01,3095,38,14,23,289,10568,143,315,6
2017-10-02,2602,30,15,25,251,8253,125,313,17
2017-10-03,2447,23,15,10,303,7445,109,323,10
2017-10-04,2271,41,18,22,273,6868,116,357,18
2017-10-05,2293,24,23,17,263,7500,159,350,11
2017-10-06,2534,23,10,21,310,7620,136,329,18
2017-10-07,2826,27,15,20,294,9717,161,296,17
2017-10-08,5385,30,11,14,267,11304,162,294,9
2017-10-09,3841,24,21,16,320,10522,127,321,13
2017-10-10,2959,25,18,23,349,11327,116,353,9
2017-10-11,3537,65,20,17,358,32227,126,354,16
2017-10-12,3267,74,22,35,324,36087,109,338,13
2017-10-13,3057,32,25,30,279,19944,142,301,18
2017-10-14,3604,23,13,20,243,13962,136,326,17
2017-10-15,3329,30,17,25,285,13838,129,295,19
2017-10-16,2960,15,7,20,330,11782,130,299,11
2017-10-17,2667,28,20,22,303,9802,130,359,16
2017-10-18,2635,22,13,24,352,8770,127,319,9
2017-10-19,2596,19,29,22,301,9179,124,325,13
2017-10-20,2805,25,14,18,286,9545,138,343,15
2017-10-21,2775,46,35,77,328,9711,172,328,33
2017-10-22,3022,17,30,37,287,9960,165,330,13
2017-10-23,2765,35,22,26,334,9463,115,340,19
2017-10-24,2614,93,16,28,521,9340,191,361,12
2017-10-25,2733,30,18,26,337,9253,333,347,12
2017-10-26,2540,28,16,31,5707,10229,135,333,12
2017-10-27,2818,26,16,54,376,10085,144,335,14
2017-10-28,3133,34,18,24,323,10161,106,321,31
2017-10-29,5268,39,17,19,372,10443,162,332,23
2017-10-30,3487,56,15,25,299,8711,98,366,18
2017-10-31,3402,27,20,22,360,7992,110,318,22
2017-11-01,3282,18,22,21,304,8100,73,323,29
2017-11-02,2970,18,16,20,325,8497,92,351,14
2017-11-03,2904,20,31,18,272,9274,87,318,24
2017-11-04,3105,29,26,37,274,10781,100,330,14
2017-11-05,3289,80,15,33,383,11210,85,335,22
2017-11-06,2857,47,22,36,348,10520,102,337,17
2017-11-07,2688,29,17,26,345,10077,111,354,23
2017-11-08,2510,43,14,22,308,9209,94,344,15
2017-11-09,2405,50,17,25,306,9251,63,327,24
2017-11-10,2719,20,11,24,287,10784,85,332,23
2017-11-11,3451,19,25,34,273,11724,93,298,24
2017-11-12,50812,257,15,28,313,13130,94,310,25
2017-11-13,13627,32242,243,49,323,11977,112,348,21
2017-11-14,8943,6669,49970,221,274,17721,92,339,28
2017-11-15,6492,3449,5939,36225,617,15797,124,322,26
2017-11-16,3223,1810,2218,5176,40842,16746,134,338,22
2017-11-17,2833,434,1464,1843,7294,112525,331,355,28
2017-11-18,3446,320,376,1399,3555,41141,35364,487,12
2017-11-19,5582,288,294,285,3018,33851,7165,30022,323
2017-11-20,3185,222,215,189,974,25493,3924,9416,43417
2017-11-21,2885,309,193,145,713,19723,2210,4640,8682
2017-11-22,2556,128,129,126,600,17615,515,2994,4416
2017-11-23,2594,138,114,129,575,15836,388,862,3488
2017-11-24,2656,106,101,105,520,14407,353,574,513
2017-11-25,3148,123,112,70,469,17889,291,456,352
2017-11-26,2812,82,107,77,556,19891,275,522,299
2017-11-27,2417,96,91,89,494,15081,215,456,210
2017-11-28,2470,78,90,76,457,13476,197,459,181
2017-11-29,2749,76,77,50,461,12409,177,374,118
2017-11-30,2381,53,69,80,420,12300,184,373,114
2017-12-01,2312,77,60,70,347,11321,133,381,81
2017-12-02,2925,30,44,51,374,11991,107,352,93
2017-12-03,3263,76,102,43,511,12877,163,368,96
2017-12-04,2582,57,51,67,407,11144,145,428,72
2017-12-05,2308,35,49,43,387,9953,158,458,58
2017-12-06,2346,56,39,54,391,9570,121,320,66
2017-12-07,3442,55,45,41,436,9946,118,393,53
2017-12-08,3604,48,46,50,438,12272,94,328,51
2017-12-09,3127,45,41,52,399,12570,102,314,56
2017-12-10,3043,38,47,60,362,12379,102,336,57
2017-12-11,2922,33,43,56,367,9656,91,317,57
2017-12-12,2626,46,54,56,400,11265,91,329,42
2017-12-13,2557,38,45,47,456,9195,86,362,41
2017-12-14,2597,32,32,41,382,8398,90,337,29
2017-12-15,2713,26,33,47,344,8606,95,342,47
2017-12-16,3171,144,48,29,323,11198,93,316,45
2017-12-17,3447,34,43,29,315,11829,91,283,54
2017-12-18,3130,26,34,38,325,9629,80,378,39
2017-12-19,2755,30,35,29,331,8538,87,321,42
2017-12-20,2662,27,52,32,312,8618,86,324,36
2017-12-21,2614,11,45,26,314,8353,66,397,29
2017-12-22,2688,19,36,22,308,8421,90,356,28
2017-12-23,3399,26,34,28,275,10672,87,267,22
2017-12-24,3550,14,24,31,328,11502,68,306,20
2017-12-25,7397,21,25,22,266,12314,93,256,16
2017-12-26,18098,17,33,35,297,12817,190,299,25
2017-12-27,4821,27,34,38,292,12581,379,319,25
2017-12-28,3717,15,25,33,338,12378,243,359,16
2017-12-29,3387,17,36,32,406,15689,136,322,25
2017-12-30,3401,10,29,42,322,15863,134,305,15
2017-12-31,3887,18,27,44,323,15552,119,362,17
2018-01-01,3646,15,22,34,331,13631,115,539,20
2018-01-02,2960,17,30,32,329,14146,138,360,29
2018-01-03,3124,18,35,51,389,12133,117,350,23
2018-01-04,2483,19,18,29,323,10270,104,351,18
2018-01-05,2390,16,23,28,355,10424,85,354,14
2018-01-06,2682,20,30,30,366,11851,110,369,14
2018-01-07,2860,25,39,33,349,13663,132,290,21
2018-01-08,2496,19,37,41,382,12193,92,296,16
2018-01-09,2281,10,57,27,384,10400,86,387,12
2018-01-10,2408,16,33,34,313,9394,75,364,12
2018-01-11,2397,25,27,32,394,8435,89,341,24
2018-01-12,2445,83,17,30,330,9436,102,379,15
2018-01-13,2548,300,22,27,329,11136,105,323,17
2018-01-14,2537,49,29,45,327,11906,105,350,24
2018-01-15,2281,33,39,34,351,9043,125,328,18
2018-01-16,2106,27,23,71,419,9393,139,305,14
2018-01-17,2310,34,33,57,327,8913,93,320,35
2018-01-18,2005,30,31,39,363,8003,110,384,19
2018-01-19,2183,30,32,61,355,8575,102,313,31
2018-01-20,2586,23,22,60,343,10269,112,328,21
2018-01-21,2595,15,31,56,376,11149,121,311,19
2018-01-22,2699,34,20,76,306,9039,115,341,19
2018-01-23,2473,23,21,54,399,8491,130,291,25
2018-01-24,2313,27,25,46,388,8735,87,436,16
2018-01-25,2333,86,19,35,414,10095,125,307,15
2018-01-26,2326,28,21,44,359,16784,90,333,24
2018-01-27,2436,13,20,31,390,11541,105,355,9
2018-01-28,2847,26,11,40,411,14068,112,327,12
2018-01-29,2547,20,21,43,370,9637,119,337,17
2018-01-30,2498,24,16,32,388,8123,97,357,22
2018-01-31,2380,20,19,45,374,7768,100,334,18
2018-02-01,3116,15,28,31,392,7833,82,328,20
2018-02-02,5551,17,17,43,357,7797,95,338,22
2018-02-03,3214,16,22,30,356,9750,113,352,13
2018-02-04,3671,12,18,32,314,11212,115,353,21
2018-02-05,2965,14,14,45,421,9092,70,339,15
2018-02-06,3385,15,19,37,375,7896,78,345,18
2018-02-07,2873,16,17,34,361,8119,85,334,14
2018-02-08,2797,16,21,37,352,8491,76,404,14
2018-02-09,2529,22,26,41,347,7654,120,351,7
2018-02-10,3212,14,22,27,330,9196,87,303,16
2018-02-11,5114,11,18,33,319,12273,107,331,13
2018-02-12,2867,12,21,37,489,8986,89,283,8
2018-02-13,3195,11,20,31,420,7493,76,340,13
2018-02-14,2232,13,18,22,348,7980,85,359,16
2018-02-15,2404,19,16,18,452,8642,94,318,17
2018-02-16,2325,9,19,28,365,8738,86,304,16
2018-02-17,4677,24,11,38,339,11580,114,344,13
2018-02-18,3306,31,10,24,423,11946,120,340,14
2018-02-19,2999,14,14,23,374,9995,108,366,11
2018-02-20,7720,23,17,37,368,9047,115,353,17
2018-02-21,2835,16,16,40,365,7539,108,383,15
2018-02-22,3676,24,32,45,388,8452,96,353,20
2018-02-23,5622,26,20,50,375,7925,101,376,21
2018-02-24,7053,17,20,26,385,11574,131,364,19
2018-02-25,3359,38,34,57,420,10720,137,385,22
2018-02-26,2944,27,14,41,414,9280,123,408,15
2018-02-27,2772,13,24,31,401,7876,93,397,19
2018-02-28,2841,16,16,27,412,7654,118,382,13
2018-03-01,4214,12,19,39,362,7724,125,322,9
2018-03-02,2552,17,22,39,513,9327,119,347,13
2018-03-03,5329,16,19,36,332,10722,139,352,25
2018-03-04,3558,17,14,34,366,11691,136,328,17
2018-03-05,3515,11,15,23,426,23005,122,347,16
2018-03-06,2842,110,15,22,434,12765,115,334,10
2018-03-07,2562,12,16,32,393,9388,84,332,15
2018-03-08,2583,17,18,44,503,8451,85,337,22
2018-03-09,3583,16,21,31,425,9402,109,372,17
2018-03-10,2658,13,10,24,364,10795,90,353,9
2018-03-11,6771,14,15,23,365,11513,126,355,15
2018-03-12,2990,23,19,36,439,8770,121,323,16
2018-03-13,2731,16,9,29,418,8400,132,356,9
2018-03-14,2517,25,19,32,385,9110,150,296,17
2018-03-15,2345,11,19,23,478,8097,107,372,15
2018-03-16,2278,18,17,25,398,9734,90,301,13
2018-03-17,2350,21,14,25,376,13237,86,261,19
2018-03-18,2946,9,16,28,380,16245,107,332,17
2018-03-19,2545,41,13,29,382,13977,108,336,9
2018-03-20,2694,14,23,39,431,12040,96,373,8
2018-03-21,3188,30,29,41,484,10845,84,378,12
2018-03-22,2576,121,20,31,482,9631,82,336,11
2018-03-23,2532,16,15,24,389,8976,83,340,17
2018-03-24,6179,11,27,44,333,10991,114,346,18
2018-03-25,3495,14,10,49,441,13434,127,325,13
2018-03-26,4508,11,19,62,392,9819,108,378,24
2018-03-27,2760,20,16,45,383,8565,120,349,16
2018-03-28,2990,16,11,35,400,8682,113,323,17
2018-03-29,4158,10,16,36,399,13005,94,332,12
2018-03-30,3817,22,18,34,348,13569,131,372,12
2018-03-31,7435,13,14,41,372,11030,123,368,11
2018-04-01,3548,15,17,30,433,12013,128,327,16
2018-04-02,3388,15,22,26,409,11417,103,354,15
2018-04-03,3024,15,17,30,427,8864,105,381,16
2018-04-04,2663,20,14,47,394,7417,123,374,16
2018-04-05,2500,20,7,26,387,7038,129,369,14
2018-04-06,2644,15,17,38,375,7659,106,332,18
2018-04-07,2723,7,16,22,366,10514,125,303,17
2018-04-08,2954,13,19,34,363,10068,130,303,5
