Date,"E.T. the Extra-Terrestrial","Myriostoma","Ernest Joyce","Bazy Tankersley","Susan B. Anthony dollar","Ben Affleck","Presque Isle State Park","Freak Out!","Beograd-class destroyer"
2015-10-23,2777,23,13,28,407,9418,78,409,9
2015-10-24,3008,28,13,17,382,9659,83,390,5
2015-10-25,3017,28,12,18,493,11499,87,356,6
2015-10-26,2646,41,22,39,394,10726,96,426,8
2015-10-27,2625,25,15,30,458,8854,80,446,5
2015-10-28,2736,20,25,28,452,9020,64,361,5
2015-10-29,2996,19,30,21,430,8586,86,379,10
2015-10-30,3738,26,21,32,405,8112,71,350,5
2015-10-31,3144,18,14,24,346,8753,71,348,4
2015-11-01,3169,22,14,34,321,9916,80,337,9
2015-11-02,2741,17,14,18,395,8869,83,353,6
2015-11-03,2377,16,24,15,367,7836,84,356,1
2015-11-04,2480,14,16,19,409,8046,66,496,5
2015-11-05,7053,16,10,16,641,8331,90,387,6
2015-11-06,3928,15,19,13,458,8278,85,350,6
2015-11-07,4197,22,20,27,365,9584,63,354,6
2015-11-08,3604,11,16,22,382,10084,60,358,1
2015-11-09,2975,22,12,30,444,8839,88,394,4
2015-11-10,2637,9,15,17,472,8489,83,344,1
2015-11-11,2337,13,15,18,792,8708,80,355,6
2015-11-12,2430,33,37,25,441,11817,104,415,12
2015-11-13,2312,21,12,19,376,8569,86,358,3
2015-11-14,2407,12,14,19,371,9431,70,313,2
2015-11-15,2616,25,23,25,426,10054,51,330,3
2015-11-16,2374,19,29,39,426,8438,78,365,8
2015-11-17,2202,10,17,16,391,8144,84,369,5
2015-11-18,2376,16,17,28,359,7811,81,363,5
2015-11-19,2096,19,16,25,428,8663,87,394,6
2015-11-20,2272,15,29,27,395,8157,90,359,8
2015-11-21,2598,11,32,17,351,9606,71,343,3
2015-11-22,3077,20,22,18,298,10190,82,350,4
2015-11-23,2543,18,22,24,354,9870,67,334,4
2015-11-24,2756,17,15,19,358,8835,93,389,3
2015-11-25,2428,11,19,23,358,9600,69,324,7
2015-11-26,2492,19,19,14,282,8612,77,305,2
2015-11-27,2433,16,12,19,295,8938,65,330,4
2015-11-28,2726,14,12,17,303,10715,73,308,4
2015-11-29,2795,12,20,18,367,12414,87,375,14
2015-11-30,2475,12,15,26,350,11484,83,367,4
2015-12-01,2436,23,14,20,434,12336,68,392,10
2015-12-02,2536,18,9,34,417,11651,61,354,12
2015-12-03,2517,12,16,15,455,19291,40,377,2
2015-12-04,3101,15,13,31,376,16335,61,436,10
2015-12-05,14212,18,19,21,327,13447,57,450,9
2015-12-06,3623,16,15,21,342,15600,71,407,17
2015-12-07,3205,10,15,19,387,13039,69,374,9
2015-12-08,5540,9,11,20,372,11737,69,398,3
2015-12-09,3004,21,16,32,413,9775,75,382,3
