Date,"Weird Tales","Grace Sherwood","Dredd","Battle of Prokhorovka","Blade Runner","Noye's Fludde","God of War III","Project Y","Dire wolf"
2015-10-17,190,50,1890,209,4319,68,1017,0,1859
2015-10-18,162,53,1514,195,4874,72,1067,0,2590
2015-10-19,208,83,1495,311,5094,109,920,0,3210
2015-10-20,196,81,1231,204,6070,84,888,0,2913
2015-10-21,211,87,1144,228,8807,67,850,0,3139
2015-10-22,206,72,1255,214,6839,181,885,0,3654
2015-10-23,182,189,5366,195,5969,91,889,0,2542
2015-10-24,179,245,3264,173,5001,61,987,0,1853
2015-10-25,193,92,2537,218,5434,89,1005,0,2020
2015-10-26,187,102,1541,234,5283,100,901,0,1896
2015-10-27,224,88,1920,218,4885,82,826,0,2090
2015-10-28,221,104,1270,250,4610,63,1105,0,2694
2015-10-29,170,100,1240,198,4302,156,1163,0,2106
2015-10-30,205,159,1153,213,5447,179,1077,0,2556
2015-10-31,155,134,1166,140,5303,166,933,0,2108
2015-11-01,226,106,1631,223,4596,173,1030,0,4889
2015-11-02,194,67,1663,222,4537,263,964,0,2758
2015-11-03,208,65,1719,260,4297,176,935,0,2085
2015-11-04,188,61,1528,257,4256,197,827,0,1992
2015-11-05,199,62,1414,248,7187,168,920,0,1935
2015-11-06,170,53,1382,270,4551,57,887,0,2309
2015-11-07,148,43,1638,234,4546,63,852,0,2198
2015-11-08,222,41,1637,204,6272,87,1014,0,2061
2015-11-09,380,106,1459,209,4876,72,890,0,1999
2015-11-10,204,153,2422,219,4481,67,889,0,1883
2015-11-11,188,87,3261,220,4958,79,978,0,1693
2015-11-12,196,90,1309,217,5270,61,949,0,1713
2015-11-13,165,58,1326,218,4671,53,896,0,2135
2015-11-14,157,55,1263,162,3891,68,962,0,1634
2015-11-15,186,59,1510,169,5971,56,961,0,1809
2015-11-16,234,61,1829,168,5886,76,898,0,1742
2015-11-17,228,61,1253,224,7703,69,932,0,2073
2015-11-18,206,66,1257,220,7078,65,842,0,1614
2015-11-19,217,56,1208,264,5600,68,874,0,2630
2015-11-20,196,60,1119,182,5312,47,869,0,2040
2015-11-21,217,55,1400,195,5131,51,933,0,1910
2015-11-22,235,43,1491,176,7412,78,1051,0,3851
2015-11-23,238,27,1398,213,5393,60,1010,0,2584
2015-11-24,176,59,1246,187,5213,67,1280,0,1879
2015-11-25,199,61,1745,222,4638,55,1031,0,1710
2015-11-26,207,48,2496,216,5900,58,1122,0,2246
2015-11-27,175,65,2981,209,5071,67,1303,0,1538
2015-11-28,192,81,1819,188,5278,68,1234,0,1846
2015-11-29,219,55,1772,203,5596,80,1195,0,3723
2015-11-30,211,35,1509,232,5372,53,1146,0,1869
2015-12-01,208,38,1327,245,5069,57,1073,0,1728
2015-12-02,151,49,1239,184,5133,65,908,0,1731
2015-12-03,192,55,1275,212,5732,54,962,0,1897
2015-12-04,172,69,1207,283,5024,42,963,0,2491
2015-12-05,146,70,1583,239,6318,58,1133,0,2902
2015-12-06,163,38,1509,208,5432,58,1213,0,6546
2015-12-07,183,27,1509,277,5396,50,1210,0,2494
2015-12-08,163,32,1389,242,6547,59,1079,0,2456
2015-12-09,196,44,1745,200,5025,53,1022,0,2475
2015-12-10,202,69,2154,236,4990,57,1044,0,1814
2015-12-11,205,47,1411,221,5383,45,978,0,1856
2015-12-12,170,44,1423,179,5220,81,1079,0,1979
2015-12-13,266,47,1807,199,7600,58,1081,0,3584
2015-12-14,203,60,1668,254,5966,68,1083,0,1979
2015-12-15,185,67,1485,261,6414,98,997,0,1859
2015-12-16,179,57,1805,213,8738,64,1200,0,1831
2015-12-17,173,93,1492,238,6283,43,1010,0,1816
2015-12-18,152,100,1585,199,5817,60,854,0,1771
2015-12-19,148,108,1363,221,6279,45,902,0,1598
2015-12-20,162,98,1493,192,6408,48,944,0,3928
2015-12-21,183,81,2545,215,6693,59,1077,0,2078
2015-12-22,150,37,1508,251,6015,55,990,0,2052
2015-12-23,152,43,2012,213,5573,36,1020,0,1752
2015-12-24,147,31,2127,175,5207,53,1026,0,2053
