Date,"Weird Tales","Grace Sherwood","Dredd","Battle of Prokhorovka","Blade Runner","Noye's Fludde","God of War III","Project Y","Dire wolf"
2016-10-22,256,62,1062,232,3938,44,817,50,1383
2016-10-23,235,69,1281,230,4308,40,910,59,1466
2016-10-24,251,62,1110,254,4651,51,809,50,1381
2016-10-25,278,59,994,256,4191,45,818,46,1370
2016-10-26,266,110,1046,241,4109,35,758,46,1317
2016-10-27,254,105,954,237,3905,55,812,67,1390
2016-10-28,251,99,924,405,3566,43,766,71,1344
2016-10-29,291,104,1112,250,3636,59,796,56,1261
2016-10-30,303,69,1059,268,4142,46,860,78,1291
2016-10-31,233,151,1026,261,4280,43,847,53,1426
2016-11-01,182,122,1023,319,4081,58,780,75,1438
2016-11-02,196,65,920,279,4104,65,878,62,1358
2016-11-03,183,52,1135,233,3956,35,810,49,1352
2016-11-04,260,43,1002,234,3996,50,818,54,1323
2016-11-05,262,31,1190,250,3936,38,883,49,1267
2016-11-06,314,32,1958,421,4460,63,880,216,1328
2016-11-07,268,55,1871,291,4386,63,860,51,1380
2016-11-08,268,74,2113,278,3949,68,817,56,1323
2016-11-09,218,32,1312,204,3285,62,756,33,1080
2016-11-10,251,66,1549,241,3978,56,690,79,1305
2016-11-11,229,505,2019,218,4546,61,830,67,1220
2016-11-12,231,70,1930,325,4752,58,882,81,1272
2016-11-13,272,53,1923,234,5332,95,1002,67,1416
2016-11-14,308,81,1736,278,5785,60,995,53,1444
2016-11-15,299,44,1593,276,6168,56,896,51,1515
2016-11-16,278,43,1593,270,7360,54,976,61,1541
2016-11-17,297,40,1463,284,5072,79,872,64,1543
2016-11-18,278,52,1686,289,4572,67,935,75,1461
2016-11-19,249,69,2005,238,4461,64,1001,58,1432
2016-11-20,287,46,3736,242,5748,48,1053,72,1547
2016-11-21,281,34,1795,282,5341,56,1080,63,1599
2016-11-22,280,41,1564,280,4589,44,1033,63,1444
2016-11-23,265,22,1372,262,4468,43,909,60,1533
2016-11-24,265,49,1309,253,4529,39,1220,55,1523
2016-11-25,244,53,1390,290,4585,58,1435,44,1598
2016-11-26,211,48,1585,217,4806,69,1468,50,1786
2016-11-27,194,53,1620,273,5291,73,1526,51,1801
2016-11-28,164,33,1391,327,5235,73,1295,75,1680
2016-11-29,264,46,1518,247,4901,72,1257,70,1853
2016-11-30,208,42,2388,284,4868,57,1177,101,1718
2016-12-01,168,48,1534,280,4636,60,1042,63,1620
2016-12-02,198,47,1314,238,4429,58,1141,56,1529
2016-12-03,186,35,1705,229,4417,44,1239,51,1375
2016-12-04,175,50,1892,245,4912,78,1380,70,2286
2016-12-05,265,40,2035,383,4876,55,1236,49,1830
2016-12-06,184,54,1448,240,4733,50,1214,60,1663
2016-12-07,164,65,1291,234,5251,43,1166,76,1635
2016-12-08,205,58,1238,292,10629,64,1112,80,1729
2016-12-09,176,58,1484,268,4567,51,1135,72,1710
2016-12-10,508,38,1302,293,4874,56,1029,54,2091
2016-12-11,270,37,1512,249,5010,52,1277,57,1891
2016-12-12,274,41,1324,270,5752,58,1088,82,1917
2016-12-13,236,43,1207,238,6123,43,1008,59,2153
2016-12-14,200,35,1314,220,4993,35,1106,48,2864
2016-12-15,186,41,1183,268,4663,43,1199,59,2972
2016-12-16,211,37,1263,259,4544,47,1065,66,2957
2016-12-17,185,36,1458,194,4380,42,1073,42,3065
2016-12-18,174,30,1424,242,5019,46,1174,69,2725
2016-12-19,195,36,1344,246,82574,54,1131,64,2822
2016-12-20,180,23,1349,241,84804,46,1111,44,2654
2016-12-21,191,29,1280,270,40967,39,1137,57,2319
2016-12-22,163,44,1234,251,26255,46,1194,113,3043
2016-12-23,155,47,1134,231,16059,49,1174,43,2589
2016-12-24,134,36,1047,226,12502,38,1068,61,1981
2016-12-25,143,194,1605,264,13655,45,1122,54,1678
2016-12-26,189,61,1228,304,13404,571,1860,73,2283
2016-12-27,195,531,1571,298,14053,46,1255,57,2337
2016-12-28,172,57,1258,253,13964,54,1282,62,2047
2016-12-29,161,55,1208,258,11399,61,1198,84,2303
2016-12-30,159,46,1681,238,9895,48,1302,56,2126
2016-12-31,176,288,1310,192,8485,55,1098,58,1961
2017-01-01,168,47,1398,239,9812,46,1056,65,1977
2017-01-02,186,52,1704,290,11570,74,1289,63,2149
2017-01-03,207,59,1519,291,10861,52,1183,99,5006
2017-01-04,249,39,1501,224,9127,58,1226,71,2365
2017-01-05,230,50,1490,280,8314,58,1110,88,2085
2017-01-06,198,37,1396,254,8775,78,1058,155,2009
2017-01-07,188,21,1658,228,9466,60,1092,75,1933
2017-01-08,249,30,1775,256,9694,77,1126,69,2413
2017-01-09,209,58,1788,261,9911,50,1094,91,2230
2017-01-10,224,36,1362,273,7923,55,966,140,1954
2017-01-11,152,37,1851,343,7189,60,948,63,2053
2017-01-12,200,46,1949,306,7022,54,972,95,2283
2017-01-13,189,27,1282,327,6680,70,961,60,2042
2017-01-14,182,37,1583,231,7000,44,1224,58,1944
2017-01-15,211,47,1756,279,7499,55,1070,58,2091
2017-01-16,214,47,1815,344,7038,74,1360,45,2089
2017-01-17,196,45,1589,326,6413,58,1050,56,2054
2017-01-18,199,44,1438,294,6009,45,1024,43,2041
2017-01-19,221,34,1322,283,5819,50,1007,80,1831
2017-01-20,231,26,1770,280,5445,43,1008,58,1835
2017-01-21,194,41,1501,240,5698,40,1240,36,1533
2017-01-22,180,35,1604,402,6454,66,1218,54,1671
2017-01-23,188,44,1806,537,6477,44,1115,75,1896
2017-01-24,237,34,1368,489,5897,56,1049,77,2109
2017-01-25,219,38,1161,425,5767,53,1017,85,1890
2017-01-26,201,41,1173,441,5389,63,1223,95,2009
2017-01-27,178,62,2672,315,5504,41,1074,72,1764
2017-01-28,164,38,3451,270,5715,45,1273,65,1725
2017-01-29,180,52,1759,247,5981,55,1284,67,2010
2017-01-30,218,50,1550,279,6001,54,1170,69,2577
2017-01-31,271,29,1374,275,5539,49,1038,81,1778
2017-02-01,240,41,1315,251,5767,53,982,53,1583
2017-02-02,244,30,1254,263,5455,66,986,76,1651
2017-02-03,214,258,1267,253,5267,56,970,53,1700
2017-02-04,205,49,1373,224,5668,59,1034,66,1830
2017-02-05,237,51,2384,253,6519,47,1116,75,1797
2017-02-06,265,33,1256,239,5299,69,1029,74,1543
2017-02-07,249,56,1227,265,5344,53,988,81,1687
2017-02-08,205,60,1274,259,5153,65,1006,87,1750
2017-02-09,248,55,1719,250,5008,66,973,87,1753
2017-02-10,214,31,1598,287,4979,68,944,66,1658
2017-02-11,205,40,1637,242,5290,50,986,73,1564
2017-02-12,232,28,1651,262,5944,46,1068,90,1933
2017-02-13,619,40,1659,301,5665,61,920,83,2052
2017-02-14,213,632,1555,290,5253,49,830,65,1691
2017-02-15,223,50,1424,284,5265,64,840,82,1633
2017-02-16,216,31,1444,323,5001,63,845,102,1752
2017-02-17,206,35,1318,281,4838,38,923,87,1605
2017-02-18,218,115,1558,228,5874,100,909,76,1596
2017-02-19,182,38,2165,277,7191,74,951,62,1747
2017-02-20,252,46,2528,272,5628,41,945,81,1682
2017-02-21,249,33,1685,329,5307,64,917,75,1756
2017-02-22,225,36,1390,290,5155,46,895,100,1673
2017-02-23,234,45,1551,331,5328,56,864,97,1670
2017-02-24,170,31,1504,281,5008,65,908,72,1611
2017-02-25,177,56,1498,245,5542,64,909,76,1687
2017-02-26,196,57,2060,275,6274,70,956,65,1785
2017-02-27,186,40,1480,254,6648,47,925,75,2021
2017-02-28,192,41,1244,320,5628,52,898,91,2091
2017-03-01,216,43,1197,327,5549,42,850,55,2003
2017-03-02,204,32,1226,305,5165,49,876,72,1960
2017-03-03,177,44,1258,285,4872,49,915,89,2205
2017-03-04,190,34,1180,250,5112,67,948,52,1921
2017-03-05,234,52,1462,241,5736,48,1000,99,2046
2017-03-06,189,41,1309,536,5322,58,1077,83,3283
2017-03-07,173,29,1232,555,5085,56,983,67,1987
2017-03-08,204,849,1145,440,4971,64,1079,74,1988
2017-03-09,203,48,1172,632,4943,54,963,89,2031
2017-03-10,207,52,1121,304,4711,56,993,87,2220
2017-03-11,180,30,1201,381,5567,42,980,147,1690
2017-03-12,219,48,1391,277,5836,73,1226,183,1773
2017-03-13,232,37,7254,293,5695,48,4270,169,1887
2017-03-14,203,44,4001,293,6623,68,1611,242,1718
2017-03-15,193,42,1468,322,5792,48,1236,258,1653
2017-03-16,178,21,1494,285,5028,54,1166,269,1591
2017-03-17,184,197,1339,274,4609,49,1132,275,1447
2017-03-18,174,68,1375,261,4679,42,1168,207,1458
2017-03-19,189,52,1432,249,5336,64,1012,189,1599
2017-03-20,199,37,1093,402,5233,69,1019,250,1885
2017-03-21,200,46,1233,523,5229,36,1186,191,1735
2017-03-22,196,66,1308,357,5021,56,1377,193,1694
2017-03-23,178,57,1078,325,4649,37,1308,157,2206
2017-03-24,164,130,4255,329,4563,53,1172,174,1725
2017-03-25,206,59,1682,240,4965,51,1292,285,1466
2017-03-26,167,51,1703,247,5769,53,1327,451,1708
2017-03-27,222,49,1683,308,5420,59,1360,274,1729
2017-03-28,192,62,1347,315,6794,41,1159,155,1544
2017-03-29,192,35,1375,273,6438,51,1054,147,1647
2017-03-30,233,44,1439,318,6457,61,975,133,1883
2017-03-31,185,40,1513,241,6303,71,925,103,1792
2017-04-01,158,33,1346,228,5988,50,1008,97,1553
2017-04-02,173,370,1418,241,6523,78,1077,93,1745
2017-04-03,196,66,1201,261,6283,56,998,118,1834
2017-04-04,186,37,1031,278,5834,47,906,100,1753
2017-04-05,175,36,2989,250,5583,46,874,103,1738
2017-04-06,196,53,1396,243,5393,42,936,70,3287
2017-04-07,184,40,1272,488,4857,49,925,90,1816
2017-04-08,181,48,6420,223,4697,47,894,87,1459
2017-04-09,188,39,3772,258,5146,37,926,116,1556
2017-04-10,206,53,2247,240,6684,61,993,92,1590
2017-04-11,179,40,1771,264,5649,43,904,87,1658
2017-04-12,176,53,1533,245,4631,49,904,94,2554
2017-04-13,179,53,1515,257,4559,54,931,91,2087
2017-04-14,163,50,1483,259,4774,51,941,107,3012
2017-04-15,193,48,1550,215,4738,47,990,116,1854
2017-04-16,164,47,1364,216,5438,44,941,84,1830
2017-04-17,198,53,2415,242,5526,62,871,88,1949
2017-04-18,183,55,2064,281,4763,57,844,146,2172
2017-04-19,189,40,1429,323,4699,49,802,120,1741
2017-04-20,177,58,1321,258,4598,53,791,101,1644
2017-04-21,174,58,1547,314,4404,41,846,100,1592
2017-04-22,170,45,1289,247,4290,46,796,121,1491
2017-04-23,172,38,1438,280,4748,54,874,101,1626
2017-04-24,185,59,1297,314,4953,73,804,120,1824
2017-04-25,198,50,1171,298,4762,63,828,80,1746
2017-04-26,183,36,1182,277,4952,70,857,99,2257
2017-04-27,158,43,1113,352,5011,50,845,95,4072
2017-04-28,171,332,1014,266,4621,52,726,80,2249
2017-04-29,147,39,1363,213,4373,60,842,91,1822
2017-04-30,170,48,1369,298,4881,62,845,84,2040
2017-05-01,205,54,2132,362,5183,69,891,111,2017
2017-05-02,204,43,1200,319,4626,67,808,92,1847
2017-05-03,188,64,1110,328,4424,79,786,88,1607
2017-05-04,183,32,1156,341,8662,70,829,69,1537
2017-05-05,170,46,3661,367,10287,65,832,104,1613
2017-05-06,175,41,1506,401,10214,75,816,88,1455
2017-05-07,160,51,1409,357,10105,88,841,73,1633
2017-05-08,190,54,1351,371,62959,62,824,72,1664
2017-05-09,178,54,1327,470,80425,44,834,144,1479
2017-05-10,203,80,2417,348,32543,51,966,109,1409
2017-05-11,189,97,2437,380,21924,59,999,94,1541
2017-05-12,173,48,1490,396,16729,48,958,62,1490
2017-05-13,168,37,1460,257,13635,35,1005,50,1794
2017-05-14,186,76,1635,281,14075,41,988,66,1735
2017-05-15,390,53,1516,287,12140,52,963,95,2028
2017-05-16,239,42,2345,277,9457,54,873,85,1832
2017-05-17,231,40,1579,239,8393,65,919,58,1541
2017-05-18,174,82,1478,347,8241,67,837,79,1528
2017-05-19,143,60,1447,260,10467,54,825,111,1656
2017-05-20,172,286,1957,217,9225,73,815,77,2223
2017-05-21,157,360,1405,248,9832,62,933,72,1816
2017-05-22,164,87,1333,258,8555,41,840,95,1635
2017-05-23,177,73,2396,221,6544,50,831,89,1484
2017-05-24,145,47,1339,258,6073,45,878,73,1708
2017-05-25,177,75,1381,254,6074,71,747,59,1737
2017-05-26,161,70,1317,261,5635,45,772,83,1508
2017-05-27,142,51,1449,332,5902,41,796,66,1636
2017-05-28,169,56,3647,453,6762,47,873,77,1846
2017-05-29,191,70,2626,313,6801,50,873,69,1875
2017-05-30,174,84,1813,316,6800,88,871,84,3062
2017-05-31,206,64,1524,292,5620,65,835,72,2542
2017-06-01,170,45,1265,293,4833,56,899,61,1658
2017-06-02,146,59,1166,268,5422,67,839,65,1723
2017-06-03,176,57,1107,350,5926,64,968,71,1797
2017-06-04,163,42,1289,375,6978,48,930,47,1692
2017-06-05,224,42,1205,453,6569,43,1011,43,2166
2017-06-06,172,46,1154,509,5862,42,1079,68,1697
2017-06-07,187,54,1124,438,5561,42,1054,72,1659
2017-06-08,188,45,1057,384,4956,46,1225,58,1603
2017-06-09,150,40,1078,378,5023,43,1156,58,1740
2017-06-10,161,36,2630,311,5545,43,1102,43,1890
2017-06-11,169,59,1361,317,6189,67,1177,64,1905
2017-06-12,180,38,1230,337,5998,55,1257,67,1866
2017-06-13,187,61,1047,427,5127,55,7970,78,1758
2017-06-14,168,35,1147,402,5312,48,4527,63,1759
2017-06-15,218,73,3606,365,5152,83,3047,65,1705
2017-06-16,170,55,1439,390,5260,49,2483,49,1633
2017-06-17,160,61,1327,301,5355,59,2263,78,1700
2017-06-18,159,44,1280,355,5922,50,2205,72,1919
2017-06-19,194,46,1619,377,5901,58,1960,50,1760
2017-06-20,158,56,1156,340,5753,50,2019,56,1552
2017-06-21,203,37,1077,383,6530,55,1922,76,1730
2017-06-22,160,47,1175,337,8063,42,1823,87,1903
2017-06-23,157,48,1355,308,7736,38,1690,62,1927
2017-06-24,157,37,1348,251,7296,38,1519,64,2116
2017-06-25,188,44,3854,288,10809,43,1568,82,3100
2017-06-26,205,46,1396,377,8875,54,1731,71,2281
2017-06-27,165,50,1340,313,6927,48,1869,62,2249
2017-06-28,183,76,2069,433,6240,52,1918,114,1858
2017-06-29,346,40,1423,288,5443,39,1743,76,1786
2017-06-30,146,48,1606,271,5478,55,1703,87,1790
2017-07-01,167,49,2362,238,6213,56,1744,73,2112
2017-07-02,152,66,1739,298,6782,67,1910,79,3447
2017-07-03,175,50,1519,493,10615,81,1626,58,2752
2017-07-04,178,67,1454,830,7260,63,1607,61,2383
2017-07-05,182,73,1676,626,6968,72,1488,83,2292
2017-07-06,180,71,1439,450,6392,44,1453,84,2804
2017-07-07,178,85,1700,326,5846,33,1405,74,2352
2017-07-08,396,107,2159,356,6101,36,1546,75,1970
2017-07-09,33140,286,1715,436,6400,51,1659,68,2515
2017-07-10,10003,67907,1855,556,6134,63,1497,80,2401
2017-07-11,4074,8028,63701,1089,5835,40,1493,73,2452
2017-07-12,2965,3467,9723,107203,5991,53,1305,59,4133
2017-07-13,645,2100,5243,13184,76437,228,1532,130,2684
2017-07-14,450,652,3958,6938,16814,20731,1346,86,3434
2017-07-15,430,539,2039,4363,11328,3840,28274,415,3074
2017-07-16,397,424,1811,1515,10262,2051,6581,44757,5189
2017-07-17,346,323,1906,1123,33353,2174,5604,12352,93682
2017-07-18,299,286,1620,922,29007,276,4240,6068,30961
2017-07-19,303,232,2103,823,15362,184,1421,4030,16187
2017-07-20,296,187,1470,718,11874,158,1301,1064,9125
2017-07-21,287,217,1648,646,9550,137,1100,798,4265
2017-07-22,232,172,1496,602,11617,121,1100,697,3897
2017-07-23,234,220,1980,633,16442,94,1169,592,4121
2017-07-24,227,158,1532,590,13043,98,1074,461,15238
2017-07-25,220,171,1368,556,9144,109,1149,381,9300
2017-07-26,220,126,1263,532,9176,103,1252,280,6432
2017-07-27,253,116,1252,490,7887,79,1123,311,5056
2017-07-28,233,94,3750,427,7322,95,1405,276,4594
2017-07-29,231,99,2008,382,7606,82,2133,272,3934
2017-07-30,255,97,1481,379,9238,97,1182,270,4171
2017-07-31,259,119,1697,410,7525,121,997,227,5760
2017-08-01,239,96,1490,445,6364,68,948,176,6312
2017-08-02,213,93,1288,430,6457,75,823,186,4255
2017-08-03,224,113,1286,415,6247,72,884,170,3463
2017-08-04,234,92,1277,374,6097,74,883,147,3208
2017-08-05,202,108,1456,355,6360,71,833,155,3389
2017-08-06,208,91,1515,494,7123,54,854,182,3485
2017-08-07,218,78,1738,480,6327,73,865,169,4067
2017-08-08,219,85,2407,448,5960,81,831,155,4600
2017-08-09,219,89,1487,388,5769,66,773,197,3635
2017-08-10,230,78,1940,369,5622,58,717,144,3472
2017-08-11,190,62,2925,287,5440,62,813,166,3214
2017-08-12,182,72,1555,390,5684,42,851,133,3129
2017-08-13,171,189,1632,333,6311,52,829,171,3397
2017-08-14,228,112,1684,264,5619,49,733,132,3641
2017-08-15,243,73,1642,299,5383,49,750,110,4226
2017-08-16,240,70,1526,326,5267,54,731,115,5263
2017-08-17,195,63,1458,323,5196,56,688,106,5307
2017-08-18,214,483,1223,292,24540,43,671,105,3988
2017-08-19,168,169,1334,302,7041,44,765,95,3442
2017-08-20,227,65,2499,304,6774,52,735,127,3823
2017-08-21,226,62,1678,287,5758,57,712,129,4083
2017-08-22,204,62,1518,341,7456,62,695,84,3912
2017-08-23,200,81,1347,983,7804,68,673,112,3378
2017-08-24,221,82,1238,510,7867,48,700,109,3185
2017-08-25,172,57,1308,287,8313,40,669,88,3574
2017-08-26,159,58,1773,275,7768,43,684,74,3541
2017-08-27,164,57,1491,318,8222,49,691,98,3195
2017-08-28,180,57,1599,263,9427,55,707,64,3842
2017-08-29,208,53,1613,284,7753,51,680,73,4129
2017-08-30,198,55,1605,342,11536,50,680,69,3714
2017-08-31,189,62,1386,264,10213,48,704,87,3258
2017-09-01,173,49,1150,284,9443,62,639,75,3123
2017-09-02,180,47,1287,272,9150,50,814,59,3208
2017-09-03,167,64,1182,318,9959,49,813,114,3468
2017-09-04,209,84,1181,380,10621,73,769,112,3392
2017-09-05,176,86,1110,261,10556,59,739,127,3001
2017-09-06,174,69,1064,240,9332,64,676,81,3285
2017-09-07,185,62,1096,233,8907,53,715,85,2739
2017-09-08,173,345,1036,217,16322,57,663,96,2352
2017-09-09,179,54,974,266,13879,62,757,59,2328
2017-09-10,164,71,1241,297,18385,68,836,87,3352
2017-09-11,187,69,1355,230,21360,64,916,99,2411
2017-09-12,235,61,1051,235,16156,51,717,78,2178
2017-09-13,182,78,922,300,14534,67,685,59,2340
2017-09-14,202,66,1013,248,15399,66,696,87,2154
2017-09-15,181,54,1053,209,22663,62,670,89,2961
2017-09-16,156,57,1117,236,26839,48,740,73,3128
2017-09-17,198,41,1157,181,33261,85,831,68,2922
2017-09-18,255,65,1079,237,22538,57,741,89,2274
2017-09-19,195,67,1075,263,22104,43,635,94,2829
2017-09-20,413,74,1151,229,19155,69,654,74,1963
2017-09-21,205,152,1214,227,18886,77,764,73,1805
2017-09-22,165,99,1100,220,19518,59,763,90,1836
2017-09-23,176,90,1026,206,22122,53,782,95,2171
2017-09-24,207,88,1118,309,28347,45,874,83,2247
2017-09-25,189,72,948,355,27524,57,720,74,1785
2017-09-26,216,68,1207,348,32791,65,975,88,1844
2017-09-27,194,55,1720,291,47278,40,815,68,1849
2017-09-28,196,59,1503,309,43173,42,826,62,1776
2017-09-29,213,66,1160,278,78076,48,912,102,1581
2017-09-30,163,57,3897,199,80724,42,898,75,1582
2017-10-01,158,80,2922,176,95669,40,917,42,1925
2017-10-02,213,72,1610,214,78274,42,864,75,1760
2017-10-03,186,60,1355,243,88708,42,877,84,1554
2017-10-04,177,71,1186,242,104449,49,855,88,1587
2017-10-05,190,62,1204,196,149774,42,784,105,1500
2017-10-06,159,93,1188,195,235676,51,848,79,1564
2017-10-07,209,79,1503,195,272840,59,894,79,1607
2017-10-08,189,81,1788,170,263988,57,982,61,1741
2017-10-09,189,295,1492,220,194659,52,832,96,1953
2017-10-10,199,244,1448,219,129743,43,761,85,1889
2017-10-11,208,143,1493,272,104490,61,775,86,1457
2017-10-12,185,150,2096,231,85828,41,740,91,1629
2017-10-13,208,158,1351,210,95467,54,770,78,1566
2017-10-14,170,130,1835,251,129541,35,789,65,1682
2017-10-15,218,102,1163,394,116649,79,872,80,1586
2017-10-16,219,146,1302,472,77038,61,699,87,1594
2017-10-17,215,108,1554,399,56711,63,689,119,1451
2017-10-18,216,107,1360,315,48804,54,760,82,1668
2017-10-19,211,91,1090,289,41241,56,678,84,1443
2017-10-20,223,90,1165,288,43671,47,717,92,1746
2017-10-21,195,96,2601,228,56976,34,690,51,1668
2017-10-22,201,85,4056,251,58678,58,765,51,1849
2017-10-23,218,104,2141,329,41215,67,740,91,1760
2017-10-24,670,127,1275,321,31152,44,758,75,1748
2017-10-25,285,129,1136,343,27895,39,705,83,1736
2017-10-26,195,129,1226,361,24056,42,666,63,1666
2017-10-27,191,99,1388,289,25738,38,648,76,1681
2017-10-28,179,86,1865,261,30903,56,687,75,1400
2017-10-29,171,102,1108,333,31721,37,799,80,1567
2017-10-30,215,132,988,388,23075,42,999,83,1489
2017-10-31,221,227,872,288,18450,46,1162,80,1402
2017-11-01,211,243,1029,346,16537,52,900,82,1298
2017-11-02,176,131,1048,260,15223,31,820,74,1325
2017-11-03,176,103,1082,423,16411,46,779,72,1309
2017-11-04,180,69,1135,399,20732,40,757,50,1250
2017-11-05,178,74,1154,369,21234,45,907,69,1536
2017-11-06,225,82,1468,420,15579,53,776,62,1478
2017-11-07,216,78,1958,383,12777,37,753,73,1393
2017-11-08,223,96,1098,325,12144,53,895,65,1388
2017-11-09,212,78,1097,297,12065,45,1187,77,1344
2017-11-10,165,77,1843,234,11764,37,1075,100,1512
2017-11-11,167,59,2390,315,14887,57,1285,70,1393
2017-11-12,173,59,1795,328,15361,45,1014,186,3943
2017-11-13,208,61,1213,263,11637,60,1133,62,2204
2017-11-14,210,74,1141,370,10088,57,1103,75,1527
2017-11-15,204,72,905,425,8974,52,926,70,1435
2017-11-16,208,70,1127,326,8639,44,891,68,1411
2017-11-17,188,57,896,510,8102,57,850,69,1451
2017-11-18,149,53,909,328,10180,40,847,55,1651
2017-11-19,172,38,1533,410,10718,78,1007,53,1971
2017-11-20,190,35,1623,357,8778,65,1024,72,1753
2017-11-21,189,40,958,275,7779,36,983,70,1729
2017-11-22,164,67,1167,253,7518,43,917,67,1635
2017-11-23,152,49,999,255,7524,53,986,49,1536
2017-11-24,198,66,1794,280,8267,41,1085,51,1538
2017-11-25,247,62,1193,366,9233,50,1117,56,1608
2017-11-26,181,34,1241,263,9491,53,1069,63,1651
2017-11-27,208,48,1238,332,7817,53,919,93,1457
2017-11-28,208,49,937,317,6936,45,784,79,1491
2017-11-29,173,55,915,253,6966,40,777,77,1410
2017-11-30,170,45,1006,265,6366,40,827,74,1369
2017-12-01,193,40,1294,336,5910,57,817,67,31253
2017-12-02,164,42,1994,296,7277,48,862,138,7396
2017-12-03,186,49,3335,352,7959,38,1002,103,2306
2017-12-04,201,57,2728,479,6909,43,1084,103,2048
2017-12-05,154,48,1762,346,6385,48,1150,90,1465
2017-12-06,207,54,1186,395,7677,49,1171,81,1445
2017-12-07,159,43,1021,309,6588,61,934,84,1403
2017-12-08,177,54,1012,329,5877,41,871,388,1181
2017-12-09,176,54,1543,281,6683,52,1119,76,1327
2017-12-10,183,286,1254,408,7916,52,1026,102,1409
2017-12-11,191,85,1013,358,7338,46,956,109,1816
2017-12-12,207,86,1231,354,6287,77,866,72,1609
2017-12-13,179,48,1985,264,7724,63,753,70,1507
2017-12-14,175,50,1943,245,6002,63,794,83,1297
2017-12-15,178,46,1269,253,5692,48,696,88,1296
2017-12-16,167,45,1043,213,6310,71,984,79,1915
2017-12-17,169,49,1173,211,6589,68,834,72,2265
2017-12-18,274,35,1014,236,6158,53,829,87,1728
2017-12-19,245,49,1020,245,6648,43,825,61,1508
2017-12-20,174,39,954,222,6012,43,745,77,1360
2017-12-21,178,51,943,186,5841,37,827,300,1377
2017-12-22,165,45,818,246,5543,33,746,56,1317
2017-12-23,153,35,800,250,5971,37,802,58,1247
2017-12-24,141,49,920,197,6172,42,915,37,1325
2017-12-25,176,37,989,217,7257,35,1053,57,1926
2017-12-26,191,53,1038,269,23814,64,1157,101,1965
2017-12-27,195,47,1079,233,30412,31,1087,80,9616
2017-12-28,207,57,2798,260,26733,64,1109,58,2809
2017-12-29,157,38,1356,217,25637,44,945,76,2290
2017-12-30,172,47,2323,198,25918,50,921,70,1960
2017-12-31,174,56,1449,877,24249,86,946,82,1944
2018-01-01,181,29,1908,231,25332,77,955,75,1915
2018-01-02,214,50,1244,254,22541,61,1052,102,2056
2018-01-03,187,34,1249,281,18009,33,1068,81,1715
2018-01-04,200,44,1689,236,19108,53,1015,80,1619
2018-01-05,184,38,1284,253,21986,36,1090,77,1663
2018-01-06,223,47,1267,240,25826,67,1150,68,2282
2018-01-07,200,30,1725,253,26379,69,1114,81,1864
2018-01-08,172,41,1216,276,18986,83,984,84,1654
2018-01-09,189,25,1111,253,14940,43,896,79,1474
2018-01-10,207,29,1088,274,14771,62,897,94,1526
2018-01-11,186,72,1178,224,14166,45,903,69,1566
2018-01-12,253,43,1106,292,16093,46,953,52,1544
2018-01-13,215,40,2620,207,19684,54,939,75,1483
2018-01-14,177,58,2310,230,20029,60,1000,80,1609
2018-01-15,190,60,1254,249,17360,67,895,91,1625
2018-01-16,189,45,5333,274,16069,61,977,77,2400
2018-01-17,229,46,1679,320,18179,61,923,66,2050
2018-01-18,183,34,1337,254,16538,52,971,90,1927
2018-01-19,205,48,1351,218,16752,53,924,90,1696
2018-01-20,189,73,1438,205,24791,56,1002,73,1623
2018-01-21,189,39,1550,269,28929,57,1106,78,1682
2018-01-22,227,45,1480,288,17932,63,1001,222,1456
2018-01-23,212,46,1244,237,14998,61,2466,111,1487
2018-01-24,197,57,1131,226,15451,40,3356,106,1380
2018-01-25,197,53,1113,241,15130,52,2309,86,1512
2018-01-26,169,56,1270,228,16036,59,1752,80,1637
2018-01-27,170,32,1313,291,23779,44,1542,57,1485
2018-01-28,173,44,1757,428,30161,38,1476,97,1496
2018-01-29,206,40,1215,335,19794,65,1393,92,1488
2018-01-30,185,65,1187,250,13906,45,1184,75,1589
2018-01-31,205,46,1273,245,13324,49,1102,88,1425
2018-02-01,158,55,4157,213,12493,60,1206,65,1358
2018-02-02,176,65,2491,280,13676,61,1168,93,1402
2018-02-03,169,33,1551,228,20342,43,1173,58,1362
2018-02-04,185,41,1448,247,22424,56,1122,121,1385
2018-02-05,210,33,1132,252,13713,43,1059,79,1388
2018-02-06,216,63,1179,242,13464,62,1032,78,1309
2018-02-07,240,45,1131,238,11545,42,1183,71,1296
2018-02-08,204,41,1480,248,11320,96,1039,81,1375
2018-02-09,185,42,1739,266,11610,46,1023,66,1227
2018-02-10,159,39,3259,200,16944,63,1046,63,1566
2018-02-11,193,59,3959,215,19666,45,1175,71,2475
2018-02-12,196,48,1833,273,13783,50,1030,85,1483
2018-02-13,150,44,1272,257,10687,55,873,118,1390
2018-02-14,167,45,1143,237,9816,40,842,92,1176
2018-02-15,374,48,1285,248,10360,54,858,99,1298
2018-02-16,229,42,1148,228,10642,66,820,71,1236
2018-02-17,212,50,2843,244,14166,52,981,63,1289
2018-02-18,213,48,1778,262,19570,63,1038,64,1443
2018-02-19,241,51,1353,262,16249,46,1075,116,1458
2018-02-20,240,48,1282,244,12839,67,929,79,1579
2018-02-21,207,44,1535,215,10648,60,838,69,1477
2018-02-22,233,63,1714,267,9595,58,790,76,1402
