Date,"Noel Park","Margaret Lea Houston","Everglades National Park","Fez (video game)","Crucifix (Cimabue, Santa Croce)","Me and Juliet","King Kalākaua's world tour","Villa Park","Sino-Roman relations"
2016-12-21,13,35,363,408,28,32,28,221,341
2016-12-22,18,68,389,491,145,35,66,226,300
2016-12-23,17,37,317,481,102,29,133,220,366
2016-12-24,14,29,323,441,98,28,50,232,452
2016-12-25,20,35,322,414,82,28,48,197,516
2016-12-26,281,36,946,1033,92,57,112,396,491
2016-12-27,14,60,467,532,111,579,254,865,372
2016-12-28,19,103,444,495,107,89,112,306,371
2016-12-29,28,65,461,518,138,53,141,739,424
2016-12-30,14,43,410,505,117,40,281,341,463
2016-12-31,12,107,331,481,95,33,126,250,463
2017-01-01,12,104,342,519,101,48,93,230,478
2017-01-02,14,68,435,605,101,30,112,314,465
2017-01-03,33,67,480,578,106,34,26,249,472
2017-01-04,13,49,463,534,128,37,99,274,451
2017-01-05,21,55,531,585,157,50,129,267,379
2017-01-06,24,61,505,604,142,44,219,295,442
2017-01-07,21,34,428,625,123,30,107,300,345
2017-01-08,41,40,414,624,112,50,80,724,491
2017-01-09,18,70,595,554,115,37,82,311,360
2017-01-10,21,67,491,563,142,47,140,259,546
2017-01-11,13,45,495,577,122,54,43,288,414
2017-01-12,17,43,463,581,128,53,41,347,408
2017-01-13,17,16,428,453,116,41,16,254,542
2017-01-14,16,53,359,460,96,35,29,376,340
2017-01-15,26,56,461,521,120,40,27,321,375
2017-01-16,23,52,532,519,134,77,28,260,394
2017-01-17,23,46,769,552,76,37,23,223,346
2017-01-18,18,56,528,529,47,44,30,236,377
2017-01-19,25,53,591,516,51,48,34,223,377
2017-01-20,10,67,497,478,27,47,19,240,352
2017-01-21,11,40,312,507,28,29,49,319,261
2017-01-22,18,51,459,581,38,47,6507,288,329
2017-01-23,20,54,549,588,45,52,180,252,314
2017-01-24,18,63,526,508,83,51,53,250,356
2017-01-25,17,70,558,452,62,35,51,285,349
2017-01-26,23,55,550,525,49,43,94,228,288
2017-01-27,14,41,494,520,32,37,160,211,329
2017-01-28,16,100,369,518,44,39,30,261,465
2017-01-29,14,60,481,533,40,31,43,253,349
2017-01-30,20,63,536,522,58,41,26,262,373
2017-01-31,18,33,576,503,50,25,36,244,360
2017-02-01,25,61,579,637,74,41,43,281,328
2017-02-02,14,41,531,488,32,28,27,220,347
2017-02-03,16,55,502,484,43,40,20,200,384
2017-02-04,15,43,408,520,41,39,8,291,327
2017-02-05,27,45,405,591,73,46,77,246,338
2017-02-06,22,57,455,543,59,36,32,230,330
2017-02-07,28,61,610,508,54,43,57,207,330
2017-02-08,53,55,799,479,48,46,6,203,350
2017-02-09,34,65,511,501,50,38,19,257,415
2017-02-10,15,72,393,434,36,42,14,227,467
2017-02-11,27,47,413,510,36,48,9,318,312
2017-02-12,12,53,421,581,48,50,9,289,338
2017-02-13,18,42,542,476,64,52,28,210,385
2017-02-14,19,48,459,446,44,44,13,272,304
2017-02-15,52,58,513,410,46,56,19,242,330
2017-02-16,24,54,522,475,57,52,29,213,381
2017-02-17,21,50,424,430,44,33,25,252,423
2017-02-18,36,59,284,481,34,49,81,325,400
2017-02-19,17,54,382,530,42,47,117,286,479
2017-02-20,19,88,457,528,51,43,99,329,404
2017-02-21,28,154,528,574,32,56,88,300,443
2017-02-22,36,56,533,540,39,33,104,259,451
2017-02-23,20,71,491,501,49,37,91,217,339
2017-02-24,19,54,387,475,27,39,81,236,330
2017-02-25,14,53,348,475,34,32,64,334,324
2017-02-26,18,64,412,604,48,50,86,293,351
2017-02-27,20,40,612,516,50,35,99,263,384
2017-02-28,16,53,561,527,66,31,127,380,354
2017-03-01,22,58,573,496,55,47,123,336,353
2017-03-02,19,181,540,459,52,41,122,213,341
2017-03-03,15,96,528,435,40,48,112,173,330
2017-03-04,20,87,395,452,31,25,91,237,291
2017-03-05,16,142,429,525,43,46,100,282,389
2017-03-06,15,78,608,464,51,43,138,254,411
2017-03-07,26,70,577,431,47,49,111,264,388
2017-03-08,24,50,535,387,62,44,118,243,329
2017-03-09,19,40,483,444,43,39,128,233,313
2017-03-10,26,52,547,422,54,48,111,247,307
2017-03-11,24,55,322,449,39,29,81,307,287
2017-03-12,20,45,459,542,55,27,103,257,382
2017-03-13,18,49,559,521,60,28,101,301,339
2017-03-14,18,55,617,506,42,34,157,280,292
2017-03-15,16,54,518,500,39,40,100,215,333
2017-03-16,14,47,478,467,27,50,108,215,361
2017-03-17,18,48,425,408,66,43,111,212,312
2017-03-18,19,50,361,467,39,49,115,272,399
2017-03-19,26,61,476,518,48,35,75,263,369
2017-03-20,18,45,531,527,59,43,115,233,384
2017-03-21,20,88,511,485,50,35,109,220,367
2017-03-22,27,67,518,479,70,35,108,231,406
2017-03-23,22,56,485,438,57,45,94,253,359
2017-03-24,16,77,445,438,37,40,104,192,319
2017-03-25,21,59,321,431,38,36,63,191,281
2017-03-26,17,138,420,459,40,22,62,170,308
2017-03-27,38,167,513,535,47,44,76,194,340
2017-03-28,46,78,485,462,35,34,67,183,506
2017-03-29,38,50,500,464,31,25,77,156,370
2017-03-30,24,48,469,440,55,54,103,201,368
2017-03-31,30,35,459,442,47,39,87,198,438
2017-04-01,20,43,315,380,35,37,72,310,522
2017-04-02,26,70,375,476,76,51,101,261,583
2017-04-03,32,53,464,472,49,75,106,221,600
2017-04-04,32,62,414,495,58,34,107,317,585
2017-04-05,29,61,475,471,32,45,117,277,603
2017-04-06,26,43,391,411,36,34,122,213,600
2017-04-07,24,46,338,392,40,51,108,188,553
2017-04-08,31,67,301,396,56,40,95,212,517
2017-04-09,223,67,306,443,41,34,83,212,530
2017-04-10,38799,230,452,442,52,42,139,210,540
2017-04-11,4469,44940,661,474,53,34,88,198,436
2017-04-12,2035,4731,34777,689,73,57,125,260,434
2017-04-13,1440,2193,5784,26418,256,41,113,212,360
2017-04-14,404,1613,3280,7015,28079,233,100,305,382
2017-04-15,317,378,2437,4796,4820,16912,506,354,306
2017-04-16,230,344,775,3828,2873,3808,53845,574,380
2017-04-17,197,243,734,1035,2640,2756,9344,22422,788
2017-04-18,204,211,751,795,480,1697,4179,4650,64420
2017-04-19,116,213,598,614,256,206,2672,2648,11338
2017-04-20,108,186,560,597,174,142,725,2195,6798
2017-04-21,90,171,510,612,128,116,575,615,4791
2017-04-22,105,201,433,495,160,110,422,540,1762
2017-04-23,75,175,414,528,121,94,378,708,1204
2017-04-24,60,117,565,532,84,84,441,467,1077
2017-04-25,69,89,534,518,118,86,310,426,814
2017-04-26,47,82,475,504,86,58,213,331,866
2017-04-27,55,123,553,455,116,74,295,366,4880
2017-04-28,45,112,395,471,82,50,249,322,1189
2017-04-29,38,73,258,387,59,63,219,349,660
2017-04-30,51,96,404,423,86,73,181,347,765
2017-05-01,40,113,526,434,65,63,180,302,830
2017-05-02,44,85,530,453,93,44,153,265,643
2017-05-03,53,104,524,386,84,56,172,300,533
2017-05-04,49,91,481,393,66,51,146,261,458
2017-05-05,52,72,439,411,63,53,145,266,495
2017-05-06,36,62,278,369,68,29,144,276,484
2017-05-07,37,81,306,485,63,58,160,469,517
2017-05-08,46,96,538,455,75,51,142,321,518
2017-05-09,59,61,464,440,47,51,128,242,419
2017-05-10,74,86,543,426,90,49,113,271,562
2017-05-11,59,186,544,324,57,46,123,283,434
2017-05-12,63,101,395,397,46,42,112,337,431
2017-05-13,38,66,252,358,53,39,100,299,423
2017-05-14,43,98,344,371,51,39,113,445,436
2017-05-15,55,72,584,398,49,61,171,398,472
2017-05-16,57,68,540,354,52,56,125,369,528
2017-05-17,44,72,476,363,54,33,145,296,462
2017-05-18,44,81,478,388,55,39,153,268,444
2017-05-19,42,49,464,388,50,49,132,234,435
2017-05-20,35,47,315,342,48,57,116,236,376
2017-05-21,31,61,317,383,43,53,127,299,414
2017-05-22,30,60,447,406,68,53,138,266,417
2017-05-23,31,66,480,356,52,43,117,245,444
2017-05-24,36,96,368,342,28,42,104,236,428
2017-05-25,31,59,372,308,58,36,107,204,376
2017-05-26,23,49,351,350,50,44,99,220,335
2017-05-27,28,49,248,312,21,30,95,291,328
2017-05-28,25,53,307,364,42,55,90,221,362
2017-05-29,38,61,368,373,59,51,95,325,400
2017-05-30,28,84,449,392,55,45,107,271,417
2017-05-31,33,67,554,320,48,34,111,254,413
2017-06-01,31,62,341,315,56,42,107,208,497
2017-06-02,20,47,331,339,57,32,93,194,393
2017-06-03,22,45,268,293,34,32,41,229,317
2017-06-04,27,51,316,345,28,33,36,196,324
2017-06-05,15,45,416,412,43,42,25,190,328
2017-06-06,35,47,373,413,80,43,33,209,344
2017-06-07,29,33,340,425,52,49,37,182,381
2017-06-08,35,37,371,373,45,50,44,158,347
2017-06-09,33,37,322,355,40,83,24,153,338
2017-06-10,31,48,271,322,42,39,28,152,304
2017-06-11,34,96,306,401,22,37,23,152,321
2017-06-12,25,172,337,444,54,43,43,189,365
2017-06-13,40,63,319,406,61,50,44,188,389
2017-06-14,33,54,356,413,45,41,38,169,452
2017-06-15,25,60,318,386,44,36,32,175,326
2017-06-16,28,29,244,367,22,25,28,211,309
2017-06-17,66,58,243,346,36,28,29,162,348
2017-06-18,62,96,270,364,66,32,61,120,475
2017-06-19,42,89,317,393,43,29,36,171,428
2017-06-20,28,40,379,374,30,58,26,184,383
2017-06-21,26,39,288,390,31,32,31,197,502
2017-06-22,33,494,311,362,46,32,33,185,492
2017-06-23,25,158,283,392,40,29,28,145,387
2017-06-24,26,67,242,383,23,26,28,166,355
2017-06-25,19,48,264,382,46,30,12,133,387
2017-06-26,41,41,302,470,25,35,20,147,417
2017-06-27,26,66,285,434,36,28,23,142,340
2017-06-28,58,43,276,436,32,78,27,219,365
2017-06-29,24,59,349,373,25,56,23,172,363
2017-06-30,32,48,266,352,34,32,26,161,272
2017-07-01,19,32,266,357,22,20,23,151,281
2017-07-02,11,43,272,1179,24,38,38,191,364
2017-07-03,15,32,290,434,29,41,20,967,311
2017-07-04,21,41,298,350,38,36,32,553,2529
2017-07-05,17,42,284,397,31,29,28,317,2676
2017-07-06,22,40,261,378,35,50,28,299,413
2017-07-07,30,35,305,429,49,37,36,219,340
2017-07-08,20,40,267,358,12,27,20,210,311
2017-07-09,21,49,317,399,34,30,26,214,310
2017-07-10,23,49,289,375,26,39,28,174,345
2017-07-11,28,34,302,329,33,29,13,169,376
2017-07-12,22,38,250,342,32,46,26,182,374
2017-07-13,19,28,258,339,23,23,24,165,353
2017-07-14,14,32,278,335,38,32,17,152,293
2017-07-15,21,39,313,342,32,44,31,197,323
2017-07-16,24,41,321,356,37,36,23,165,306
2017-07-17,11,59,353,379,36,29,19,177,324
2017-07-18,40,38,327,368,25,34,14,153,267
2017-07-19,33,30,326,349,46,29,20,179,256
2017-07-20,30,42,302,350,37,22,30,182,357
2017-07-21,18,40,291,316,39,33,15,155,291
2017-07-22,20,57,252,300,26,30,17,162,281
2017-07-23,17,41,289,327,29,39,18,179,280
2017-07-24,16,42,290,348,26,31,21,158,298
2017-07-25,23,36,275,353,38,27,19,191,320
2017-07-26,41,59,233,343,22,37,19,182,365
2017-07-27,38,52,321,370,29,41,16,191,320
2017-07-28,45,46,232,312,30,35,31,204,302
2017-07-29,15,26,247,334,19,20,17,211,292
2017-07-30,24,105,284,370,23,27,15,216,306
2017-07-31,40,40,284,320,31,29,25,188,274
2017-08-01,69,44,243,393,33,41,25,282,343
2017-08-02,60,31,259,360,27,30,34,250,345
2017-08-03,52,43,282,382,26,41,19,186,296
2017-08-04,42,38,225,392,37,33,27,283,328
2017-08-05,27,56,295,389,39,33,15,545,317
2017-08-06,33,40,260,368,28,97,18,392,295
2017-08-07,27,51,323,349,27,43,21,234,313
2017-08-08,25,33,292,372,32,25,17,261,398
2017-08-09,19,75,308,377,24,45,13,217,426
2017-08-10,20,33,281,397,34,46,11,220,305
2017-08-11,25,38,258,370,42,63,24,233,335
2017-08-12,14,36,238,318,30,42,13,262,234
2017-08-13,9,42,247,335,26,39,19,277,259
2017-08-14,18,63,276,382,36,37,21,242,394
2017-08-15,29,67,251,329,32,50,21,220,284
2017-08-16,22,65,263,367,26,36,25,256,279
2017-08-17,15,61,769,326,23,38,13,202,242
2017-08-18,34,94,307,314,38,34,22,231,258
2017-08-19,17,57,216,356,32,37,14,300,221
2017-08-20,21,66,244,329,27,25,20,331,272
2017-08-21,27,55,249,307,40,28,24,282,339
2017-08-22,22,43,283,330,28,42,20,280,278
2017-08-23,16,35,326,343,29,47,17,285,289
2017-08-24,25,64,322,332,35,42,23,227,349
2017-08-25,11,43,288,320,27,32,16,260,367
2017-08-26,13,167,258,242,30,34,14,228,297
2017-08-27,24,78,292,338,33,30,16,240,311
2017-08-28,19,96,238,366,21,30,14,188,301
2017-08-29,14,120,283,328,29,31,13,186,281
2017-08-30,19,100,297,346,22,41,12,183,310
2017-08-31,30,104,313,311,36,43,21,199,333
2017-09-01,24,56,319,350,30,40,14,170,328
2017-09-02,15,51,230,497,27,33,20,142,317
2017-09-03,17,106,272,417,23,36,9,181,392
2017-09-04,23,147,322,386,26,41,19,171,315
2017-09-05,23,69,427,386,47,41,16,246,339
2017-09-06,38,59,512,372,34,57,36,256,281
2017-09-07,20,38,485,358,34,43,10,226,635
2017-09-08,34,31,786,310,31,39,10,177,486
2017-09-09,19,37,1082,333,36,25,15,247,5665
2017-09-10,13,51,1614,346,49,50,13,230,2494
2017-09-11,15,38,880,336,38,57,16,168,535
2017-09-12,19,20,609,339,40,43,13,249,399
2017-09-13,17,37,422,305,45,46,16,243,377
2017-09-14,22,31,388,362,49,63,28,211,355
2017-09-15,26,34,335,337,42,43,27,204,364
2017-09-16,23,35,249,317,31,24,16,269,286
2017-09-17,8,43,280,328,35,38,20,253,344
2017-09-18,26,33,319,351,58,50,18,224,375
2017-09-19,31,41,328,371,37,65,33,307,383
2017-09-20,16,43,293,347,49,64,14,230,382
2017-09-21,27,34,275,295,40,41,28,217,434
2017-09-22,22,35,256,356,48,45,37,217,317
2017-09-23,26,36,248,371,36,38,20,383,278
2017-09-24,22,44,297,399,39,42,17,257,289
2017-09-25,14,43,303,377,39,45,20,229,379
2017-09-26,16,43,338,345,52,41,19,250,357
2017-09-27,22,53,308,395,41,41,11,220,333
2017-09-28,17,43,296,337,38,39,18,194,319
2017-09-29,21,39,258,299,54,29,24,237,331
2017-09-30,20,29,185,362,25,24,16,306,286
2017-10-01,11,35,226,357,30,22,27,299,311
2017-10-02,16,43,345,371,43,59,21,224,352
2017-10-03,18,31,346,373,49,42,17,198,412
2017-10-04,13,40,332,448,57,47,19,224,337
2017-10-05,24,40,401,445,54,47,20,193,335
2017-10-06,16,38,342,506,81,50,21,184,410
2017-10-07,33,35,227,505,38,38,15,186,293
2017-10-08,24,36,257,372,37,44,14,194,310
2017-10-09,18,48,333,397,49,49,27,212,386
2017-10-10,21,30,331,375,54,44,16,208,355
2017-10-11,21,33,323,315,58,49,21,185,463
2017-10-12,20,26,293,340,52,28,23,188,587
2017-10-13,28,38,306,376,45,36,23,236,381
2017-10-14,18,30,195,405,42,33,15,276,295
2017-10-15,23,43,281,364,60,39,27,259,355
2017-10-16,19,17,305,444,42,41,40,235,427
2017-10-17,34,54,337,369,62,36,24,210,490
2017-10-18,26,30,405,342,56,39,15,183,481
2017-10-19,27,30,352,312,63,35,20,186,506
2017-10-20,24,51,308,277,50,38,16,188,576
2017-10-21,25,42,259,304,35,31,18,272,684
2017-10-22,16,45,350,306,46,23,20,262,546
2017-10-23,25,51,411,323,49,42,18,194,433
2017-10-24,39,32,350,355,43,40,17,236,442
2017-10-25,23,33,324,366,50,35,12,200,430
2017-10-26,14,33,335,319,34,27,22,204,430
2017-10-27,11,25,301,294,26,31,14,184,314
2017-10-28,25,45,203,277,29,41,24,227,318
2017-10-29,30,45,229,299,38,32,21,362,333
2017-10-30,16,35,375,321,42,26,20,216,391
2017-10-31,22,42,303,293,34,34,25,223,350
2017-11-01,19,54,336,341,39,51,21,240,340
2017-11-02,11,56,346,302,28,39,20,225,474
2017-11-03,20,38,335,318,45,29,46,219,374
2017-11-04,19,35,275,368,30,33,30,403,333
2017-11-05,16,54,289,337,72,36,28,318,449
2017-11-06,59,50,398,306,31,40,20,242,407
2017-11-07,27,31,423,348,45,29,21,246,345
2017-11-08,17,30,420,334,41,38,31,246,372
2017-11-09,21,31,381,244,43,57,40,202,367
2017-11-10,17,24,325,320,18,47,11,174,339
2017-11-11,18,25,231,292,29,33,32,180,320
2017-11-12,15,39,276,311,32,42,14,172,334
2017-11-13,27,34,418,343,41,61,33,187,368
2017-11-14,26,33,433,358,53,38,20,188,349
2017-11-15,51,47,385,353,31,36,20,233,392
2017-11-16,27,52,334,307,38,43,13,172,394
2017-11-17,23,42,303,272,40,48,19,180,392
2017-11-18,16,38,257,312,37,33,15,227,403
2017-11-19,33,27,301,293,34,42,11,248,568
2017-11-20,18,36,400,358,49,57,17,251,541
2017-11-21,31,33,376,330,35,45,16,295,539
2017-11-22,21,46,279,310,35,76,14,228,457
2017-11-23,25,25,229,370,39,63,19,224,377
2017-11-24,19,25,283,350,31,34,16,228,434
2017-11-25,12,45,237,356,27,29,10,269,392
2017-11-26,14,103,303,376,43,26,13,291,469
2017-11-27,23,85,389,414,46,46,18,236,441
2017-11-28,33,48,388,354,36,41,40,221,520
2017-11-29,61,38,377,357,41,35,13,242,466
2017-11-30,25,37,346,334,43,56,14,210,465
2017-12-01,25,50,293,315,42,51,112,237,387
2017-12-02,19,50,222,272,29,33,36,242,335
2017-12-03,16,37,284,315,23,31,16,246,521
2017-12-04,28,44,410,379,60,45,19,320,403
2017-12-05,25,46,455,338,41,39,12,248,381
2017-12-06,20,40,833,342,40,47,24,200,402
2017-12-07,29,34,605,329,34,31,14,212,360
2017-12-08,19,61,358,441,41,79,18,255,390
2017-12-09,18,38,453,318,39,38,44,311,320
2017-12-10,22,230,318,317,38,45,28,294,354
2017-12-11,27,57,338,357,43,74,22,262,394
2017-12-12,26,61,361,337,45,43,20,215,415
2017-12-13,20,53,377,599,39,30,32,218,382
2017-12-14,30,47,305,684,48,43,28,215,389
2017-12-15,22,34,321,453,33,62,34,205,411
2017-12-16,15,37,221,385,32,185,16,257,383
2017-12-17,20,34,291,507,35,177,21,282,414
2017-12-18,30,33,342,468,26,187,27,260,400
2017-12-19,29,46,324,406,34,337,19,277,373
2017-12-20,27,48,307,408,41,129,23,284,405
2017-12-21,17,46,256,1999,19,103,11,263,444
2017-12-22,12,39,234,441,37,81,6,220,291
2017-12-23,15,31,234,352,22,100,17,433,294
2017-12-24,19,44,264,339,22,90,14,236,306
2017-12-25,18,58,262,369,24,95,15,189,315
2017-12-26,16,49,307,430,18,94,18,316,323
2017-12-27,23,52,338,448,29,113,24,258,375
2017-12-28,10,52,1131,456,33,92,18,264,367
2017-12-29,18,88,331,457,32,84,14,253,295
2017-12-30,17,46,285,418,33,95,8,295,290
2017-12-31,12,51,281,405,32,83,27,298,354
2018-01-01,13,40,282,386,24,61,11,440,502
2018-01-02,21,36,338,427,32,83,13,316,365
2018-01-03,22,51,340,441,35,90,21,334,379
2018-01-04,24,39,304,398,40,81,10,272,350
2018-01-05,32,24,306,382,35,70,11,354,357
2018-01-06,20,48,309,356,40,83,16,463,302
2018-01-07,25,64,357,426,47,99,19,447,386
2018-01-08,28,57,349,428,40,74,15,273,430
2018-01-09,17,29,376,375,49,62,14,238,327
2018-01-10,28,43,391,462,25,91,12,296,472
2018-01-11,21,36,483,364,107,74,10,302,644
2018-01-12,20,31,376,365,39,38,20,304,575
2018-01-13,21,36,294,362,24,62,9,327,453
2018-01-14,27,52,342,368,38,68,26,316,474
2018-01-15,24,57,406,382,36,60,23,289,432
2018-01-16,19,52,463,397,31,47,27,224,506
2018-01-17,23,65,398,350,49,70,52,257,435
2018-01-18,13,78,433,344,36,48,19,234,432
2018-01-19,27,55,417,341,33,67,10,254,457
2018-01-20,17,34,257,299,46,55,18,425,461
2018-01-21,13,46,372,384,34,61,7,305,416
2018-01-22,25,52,454,399,42,55,19,315,410
2018-01-23,28,50,380,395,42,60,14,273,473
2018-01-24,16,61,400,350,34,42,22,306,444
2018-01-25,17,47,404,352,37,53,28,267,391
2018-01-26,22,51,316,356,38,59,79,225,427
2018-01-27,21,32,353,346,25,43,11,322,395
2018-01-28,25,35,344,396,42,49,12,299,439
2018-01-29,21,53,431,426,47,64,129,239,432
2018-01-30,16,44,509,409,39,45,95,276,365
2018-01-31,11,35,408,416,36,50,53,295,423
2018-02-01,13,41,440,383,27,38,84,273,396
2018-02-02,23,48,416,356,32,48,33,255,389
2018-02-03,19,24,286,346,24,40,21,387,330
2018-02-04,38,35,356,351,37,59,18,375,387
2018-02-05,19,40,383,328,26,56,30,291,436
2018-02-06,29,49,393,366,34,46,27,310,892
2018-02-07,17,41,450,429,43,64,15,293,391
2018-02-08,28,52,426,387,45,53,27,259,406
2018-02-09,25,65,283,412,38,72,19,262,365
2018-02-10,22,48,300,351,21,47,23,289,314
2018-02-11,14,59,385,340,37,66,19,1457,330
2018-02-12,335,234,454,364,45,39,12,525,402
2018-02-13,273,79,404,373,38,52,16,414,395
2018-02-14,79,48,444,336,39,47,18,294,361
2018-02-15,25,30,592,372,50,71,20,277,406
2018-02-16,24,45,427,399,49,50,19,255,478
2018-02-17,18,32,402,356,39,43,15,306,364
2018-02-18,26,38,458,383,47,33,14,323,468
2018-02-19,21,48,502,417,49,45,16,314,451
2018-02-20,21,43,526,413,55,49,22,355,421
2018-02-21,28,44,492,398,45,43,22,257,398
2018-02-22,34,64,433,360,55,48,39,270,515
2018-02-23,19,49,425,342,40,43,22,193,438
2018-02-24,22,44,326,315,39,42,11,266,337
2018-02-25,43,63,424,368,62,63,36,342,374
2018-02-26,18,61,516,382,52,49,23,260,435
2018-02-27,25,45,425,382,62,52,17,255,428
2018-02-28,14,44,406,358,34,50,20,251,393
2018-03-01,17,37,471,362,59,53,10,219,490
2018-03-02,18,90,415,327,21,36,11,244,495
2018-03-03,21,63,324,688,40,51,23,379,530
2018-03-04,22,69,390,405,40,41,17,287,577
2018-03-05,14,53,456,383,54,33,25,256,434
2018-03-06,29,92,405,356,54,48,16,261,371
2018-03-07,18,34,431,377,42,50,13,249,343
2018-03-08,25,46,381,453,57,63,24,253,348
2018-03-09,17,53,342,379,38,52,22,300,363
2018-03-10,12,34,290,346,33,31,10,539,308
2018-03-11,20,38,365,421,34,38,8,396,364
2018-03-12,15,38,417,428,44,52,22,338,344
2018-03-13,18,32,396,394,39,63,17,335,416
2018-03-14,17,57,415,370,43,52,17,248,378
2018-03-15,27,57,388,338,39,50,15,220,339
2018-03-16,24,57,343,308,25,54,19,202,348
2018-03-17,20,51,274,319,45,45,14,292,318
2018-03-18,16,43,320,358,34,39,18,352,438
2018-03-19,13,39,392,431,42,62,39,326,349
2018-03-20,24,46,346,408,54,47,25,230,388
2018-03-21,22,40,320,442,55,48,40,209,411
2018-03-22,22,50,396,394,44,44,27,228,425
2018-03-23,18,27,398,340,36,55,27,262,381
2018-03-24,26,42,249,314,41,51,12,239,272
2018-03-25,18,47,339,377,32,34,12,191,300
2018-03-26,9,52,377,344,29,35,17,215,361
2018-03-27,20,48,401,353,43,36,11,218,364
2018-03-28,29,61,378,390,51,45,25,210,427
2018-03-29,19,118,341,393,35,54,17,249,349
2018-03-30,17,60,270,307,55,36,17,272,400
2018-03-31,14,37,247,363,44,29,18,297,370
2018-04-01,15,54,270,315,41,46,10,270,356
2018-04-02,23,37,393,492,48,47,18,272,377
2018-04-03,25,54,399,393,43,58,35,351,357
2018-04-04,27,45,382,376,40,39,19,316,336
2018-04-05,30,45,366,358,35,40,23,270,356
2018-04-06,19,39,335,321,55,56,32,256,303
2018-04-07,13,35,285,350,23,38,17,313,376
2018-04-08,15,44,504,345,38,62,17,335,411
2018-04-09,16,44,472,387,55,83,17,342,377
2018-04-10,21,40,360,350,38,63,18,399,356
2018-04-11,25,36,376,347,33,60,19,384,345
2018-04-12,40,41,397,408,62,61,18,357,388
2018-04-13,17,38,338,373,38,114,30,524,306
2018-04-14,33,86,258,324,35,69,22,381,338
2018-04-15,31,80,326,374,69,71,14,535,388
2018-04-16,16,41,410,412,34,59,17,363,379
2018-04-17,27,46,431,373,53,53,24,314,337
2018-04-18,13,58,371,310,36,39,13,244,343
2018-04-19,23,214,338,313,28,53,18,199,300
2018-04-20,12,67,376,296,31,42,8,322,306
2018-04-21,19,57,257,277,33,29,7,345,382
2018-04-22,20,65,358,318,31,31,15,377,373
2018-04-23,21,31,452,325,46,35,26,299,371
2018-04-24,12,43,1050,567,33,33,19,287,359
2018-04-25,22,54,571,529,50,48,25,303,331
2018-04-26,19,39,489,372,42,34,15,356,345
2018-04-27,28,48,323,342,21,27,15,299,332
2018-04-28,12,33,286,347,24,32,23,411,292
2018-04-29,16,51,309,380,35,39,23,317,315
2018-04-30,8,52,370,361,41,31,19,258,374
2018-05-01,15,32,368,487,36,43,20,265,394
2018-05-02,18,48,359,602,38,49,30,279,337
2018-05-03,24,397,376,445,36,49,20,265,335
2018-05-04,19,147,295,345,25,41,30,251,535
2018-05-05,13,153,221,367,36,27,13,283,309
2018-05-06,16,93,256,356,28,42,21,384,306
2018-05-07,15,63,451,375,47,57,17,323,1664
2018-05-08,24,48,420,354,45,38,21,318,475
2018-05-09,10,44,398,358,31,30,26,340,355
2018-05-10,17,44,362,342,38,45,26,353,356
2018-05-11,18,63,326,840,34,21,16,291,391
2018-05-12,15,34,237,703,15,26,23,521,325
2018-05-13,25,37,278,477,29,32,21,447,326
2018-05-14,14,56,445,446,38,40,12,540,376
2018-05-15,16,49,403,390,45,45,13,1901,381
2018-05-16,22,51,407,414,39,132,41,815,409
2018-05-17,22,50,381,391,44,126,79,378,377
2018-05-18,17,53,325,348,39,39,26,358,414
2018-05-19,11,43,256,313,38,38,25,364,319
2018-05-20,19,44,331,382,26,49,24,335,382
2018-05-21,14,40,389,393,43,61,19,335,507
2018-05-22,27,44,372,379,47,56,25,365,385
2018-05-23,27,46,368,392,33,56,14,303,456
2018-05-24,20,40,373,367,41,37,26,341,433
2018-05-25,23,27,272,329,31,42,16,331,317
2018-05-26,56,49,212,292,45,29,11,1024,299
2018-05-27,18,46,295,302,31,40,18,428,379
2018-05-28,24,45,305,350,32,59,18,276,384
2018-05-29,19,37,329,337,35,63,16,274,601
2018-05-30,20,32,313,332,40,36,17,307,1158
2018-05-31,15,33,363,321,29,32,14,260,957
2018-06-01,20,28,289,328,45,39,9,221,629
2018-06-02,19,32,200,318,30,40,13,240,799
2018-06-03,18,45,318,339,26,60,12,228,794
2018-06-04,15,38,361,351,40,37,13,197,688
2018-06-05,19,54,362,286,33,67,13,241,821
2018-06-06,18,47,332,303,32,48,18,362,880
2018-06-07,14,44,306,335,57,45,16,396,506
2018-06-08,14,40,336,271,26,48,15,256,537
2018-06-09,20,35,253,315,30,31,12,182,492
2018-06-10,20,38,319,473,22,70,20,190,714
2018-06-11,30,41,315,355,66,70,15,170,764
2018-06-12,33,33,319,383,37,34,15,202,384
2018-06-13,16,23,298,345,38,51,28,240,346
2018-06-14,0,0,0,0,0,0,0,0,0
2018-06-15,13,48,279,296,30,53,16,235,312
2018-06-16,20,32,207,329,24,37,9,278,621
2018-06-17,15,43,320,348,31,31,15,255,412
