Date,"Hope (painting)","Impala","Muhammad ibn Tughj al-Ikhshid","Lockheed C-130 Hercules in Australian service","Jochen Rindt","In Our Time (short story collection)","She Shoulda Said No!","Ferugliotheriidae","New wave of British heavy metal"
2016-12-05,72,645,26,140,366,128,47,11,474
2016-12-06,75,661,13,103,314,114,38,15,529
2016-12-07,59,589,16,46,322,120,29,4,445
2016-12-08,74,634,17,31,242,115,35,15,470
2016-12-09,82,608,23,32,271,116,44,16,487
2016-12-10,74,557,18,28,381,77,46,11,387
2016-12-11,93,714,12,10,341,89,37,12,467
2016-12-12,84,695,17,20,270,135,49,21,490
2016-12-13,52,635,23,30,214,137,35,11,464
2016-12-14,69,609,17,17,209,122,39,10,419
2016-12-15,109,565,16,18,229,138,28,9,420
2016-12-16,90,549,20,31,592,111,34,12,444
2016-12-17,63,598,20,18,238,81,28,18,380
2016-12-18,76,558,22,122,212,88,35,7,436
2016-12-19,71,568,14,78,256,91,40,9,442
2016-12-20,80,524,9,26,219,93,46,9,410
2016-12-21,69,542,12,28,260,94,38,7,412
2016-12-22,67,620,9,30,205,62,37,12,392
