Date,"The Demi-Virgin","The Oceanides","Jupiter trojan","Sandra Morgan","Virgin and Child Enthroned","Carnaby's black cockatoo","1880 Greenback National Convention","1997 Qayen earthquake","Alexander of Greece"
2015-11-01,5,13,157,17,0,33,18,35,189
2015-11-02,1,15,159,13,0,40,7,10,222
2015-11-03,3,22,162,9,0,37,67,11,514
2015-11-04,4,28,166,25,0,30,25,20,206
2015-11-05,6,13,151,6,0,17,13,15,234
2015-11-06,5,18,178,12,0,35,21,14,182
2015-11-07,5,12,141,19,0,22,16,18,188
2015-11-08,3,15,160,10,0,25,5,7,216
2015-11-09,3,16,181,12,0,51,11,9,215
2015-11-10,12,23,216,11,0,34,7,13,231
2015-11-11,9,17,174,19,0,26,4,8,199
2015-11-12,8,19,292,19,0,18,20,23,235
2015-11-13,4,19,157,9,0,22,9,11,208
2015-11-14,10,7,137,16,0,22,7,17,208
2015-11-15,5,17,186,15,0,33,9,18,252
2015-11-16,7,28,181,25,0,25,20,23,379
2015-11-17,8,26,171,8,0,30,10,22,321
2015-11-18,11,19,161,16,0,18,11,19,294
2015-11-19,3,28,163,11,0,13,9,11,202
2015-11-20,2,32,121,10,0,16,9,25,227
2015-11-21,2,26,114,7,0,34,8,5,180
2015-11-22,2,26,124,7,0,28,11,17,218
2015-11-23,2,12,143,14,0,25,10,15,225
2015-11-24,0,50,166,13,0,30,9,17,228
2015-11-25,2,15,144,17,0,39,13,15,207
2015-11-26,3,21,130,9,0,25,8,14,174
2015-11-27,1,28,125,14,0,24,8,24,201
2015-11-28,2,19,102,10,0,11,5,12,210
2015-11-29,2,32,107,13,0,24,5,22,243
2015-11-30,4,35,118,13,0,19,5,13,222
2015-12-01,4,61,130,9,0,26,12,15,204
2015-12-02,5,28,165,17,0,29,15,19,245
2015-12-03,1,17,155,7,0,21,3,9,219
2015-12-04,4,24,148,17,0,13,10,16,191
2015-12-05,10,23,158,12,0,21,11,10,172
2015-12-06,1,19,139,15,0,24,8,13,209
2015-12-07,1,35,208,11,0,28,2,6,270
2015-12-08,4,71,220,10,0,40,10,17,212
2015-12-09,3,65,183,15,0,37,18,17,220
2015-12-10,0,36,173,11,0,25,11,14,196
2015-12-11,0,23,211,11,0,34,10,23,209
2015-12-12,0,65,146,19,0,30,14,15,222
2015-12-13,1,93,144,13,0,33,3,8,182
2015-12-14,3,41,162,8,0,25,8,15,233
2015-12-15,3,32,237,9,0,24,9,12,211
2015-12-16,4,56,182,16,0,43,10,17,206
2015-12-17,1,51,152,7,0,25,16,16,178
2015-12-18,1,52,143,9,0,17,7,8,192
2015-12-19,6,37,135,12,0,21,6,8,222
2015-12-20,12,22,105,8,0,24,2,11,220
2015-12-21,5,38,129,4,0,13,4,2,179
2015-12-22,3,25,137,9,0,15,9,8,147
2015-12-23,5,21,151,13,0,19,3,9,210
2015-12-24,2,14,140,3,0,13,5,9,203
2015-12-25,1,39,108,8,0,22,2,7,166
2015-12-26,3,43,133,7,0,30,11,15,184
2015-12-27,1,26,112,6,0,22,5,9,204
2015-12-28,3,18,131,11,0,22,4,6,198
2015-12-29,3,30,133,14,0,28,8,15,211
2015-12-30,2,64,131,18,0,19,3,13,186
2015-12-31,1,19,129,15,0,25,11,7,209
2016-01-01,6,17,106,13,0,24,7,28,151
2016-01-02,4,39,146,11,0,45,3,22,169
2016-01-03,6,17,119,11,0,24,5,9,174
2016-01-04,2,45,129,12,0,37,8,24,198
2016-01-05,2,74,194,14,0,21,13,14,231
2016-01-06,3,60,156,12,0,39,13,21,234
2016-01-07,4,24,174,3,0,24,5,14,204
2016-01-08,2,50,166,9,0,15,9,9,201
2016-01-09,3,108,139,6,0,22,5,14,202
2016-01-10,4,17,250,11,0,28,8,12,288
2016-01-11,6,33,128,28,0,25,6,24,244
2016-01-12,1,56,153,5,0,21,7,13,232
2016-01-13,7,47,194,8,0,24,6,18,204
2016-01-14,3,20,155,12,0,30,9,21,181
2016-01-15,8,15,136,14,0,28,12,22,218
2016-01-16,7,11,113,11,0,22,8,19,190
2016-01-17,4,10,122,12,0,32,8,9,194
2016-01-18,3,18,140,11,0,33,8,13,308
2016-01-19,7,27,168,9,0,39,5,19,275
2016-01-20,6,22,642,9,0,30,5,10,258
2016-01-21,4,17,1241,14,0,21,23,17,224
2016-01-22,4,14,566,12,0,18,8,9,195
2016-01-23,1,58,359,12,0,30,11,18,192
2016-01-24,4,39,325,7,0,33,8,15,222
2016-01-25,1,19,304,13,0,29,13,19,226
2016-01-26,23,31,356,9,0,28,10,16,225
2016-01-27,2,20,296,7,0,38,4,14,225
2016-01-28,6,34,271,13,0,19,9,22,223
2016-01-29,8,14,286,12,0,24,7,12,207
2016-01-30,1,38,160,19,0,22,10,13,229
2016-01-31,7,10,210,6,0,30,4,9,244
2016-02-01,2,13,252,8,0,18,8,15,248
2016-02-02,4,19,201,12,0,33,11,24,453
2016-02-03,5,60,185,11,0,31,12,15,392
2016-02-04,4,73,267,9,0,19,3,15,228
2016-02-05,2,15,186,19,0,26,13,21,176
2016-02-06,2,67,136,8,0,26,13,26,697
2016-02-07,3,31,146,13,0,39,8,21,226
2016-02-08,2,17,178,13,0,42,4,9,181
2016-02-09,3,18,174,11,0,33,11,18,159
2016-02-10,2,22,178,13,0,32,19,21,148
2016-02-11,2,13,178,12,0,54,16,16,171
2016-02-12,4,16,191,15,0,41,20,17,138
2016-02-13,5,15,171,13,0,21,11,12,167
2016-02-14,2,34,150,12,0,37,8,11,176
2016-02-15,6,21,153,18,0,29,21,21,193
2016-02-16,1,35,181,9,0,35,8,11,222
2016-02-17,5,45,178,15,0,20,20,15,187
2016-02-18,3,16,180,5,0,34,16,14,197
2016-02-19,2,13,180,18,0,24,12,15,300
2016-02-20,4,17,138,10,0,28,12,13,191
2016-02-21,13,51,181,9,0,25,7,20,215
2016-02-22,3,20,185,10,0,33,12,8,162
2016-02-23,3,25,183,16,0,43,14,16,239
2016-02-24,1,25,192,16,0,35,7,9,180
2016-02-25,6,23,175,11,0,45,12,9,167
2016-02-26,2,104,147,21,0,34,10,17,178
2016-02-27,4,19,140,11,0,39,7,16,226
2016-02-28,1,14,137,13,0,44,10,13,215
2016-02-29,8,14,165,20,0,33,13,24,191
2016-03-01,1,13,141,8,0,31,9,9,184
2016-03-02,5,10,140,6,0,67,13,14,194
2016-03-03,5,17,160,3,0,48,9,12,179
2016-03-04,3,19,158,12,0,27,9,11,162
2016-03-05,1,12,129,15,0,30,10,16,195
2016-03-06,4,23,134,9,0,31,10,12,166
2016-03-07,3,14,138,12,0,35,12,12,225
2016-03-08,5,26,174,12,0,33,6,20,172
2016-03-09,6,23,139,10,0,36,13,14,201
2016-03-10,4,19,142,14,0,33,12,9,211
2016-03-11,7,26,120,9,0,24,6,11,191
2016-03-12,4,24,131,14,0,26,10,14,185
2016-03-13,1,12,134,8,0,61,7,11,184
2016-03-14,2,20,178,19,0,38,5,14,200
2016-03-15,2,23,165,13,0,47,18,16,272
2016-03-16,3,40,155,12,0,37,6,13,209
2016-03-17,1,80,167,19,0,30,6,22,212
2016-03-18,4,102,147,11,0,37,9,13,230
2016-03-19,0,88,139,16,0,166,9,8,205
2016-03-20,2,67,116,10,0,66,4,9,192
2016-03-21,4,89,141,11,0,101,14,12,233
2016-03-22,1,76,125,13,0,105,6,14,189
2016-03-23,4,79,130,14,0,76,14,8,183
2016-03-24,3,110,126,10,0,25,13,9,173
2016-03-25,0,98,109,16,0,39,9,9,202
2016-03-26,2,94,118,7,0,43,13,10,156
2016-03-27,1,104,130,9,0,31,19,11,193
2016-03-28,2,114,174,14,0,41,25,13,197
2016-03-29,4,120,176,7,0,41,9,11,162
2016-03-30,1,126,194,15,0,21,9,18,241
2016-03-31,1,91,201,14,0,35,14,18,188
2016-04-01,0,90,154,13,0,35,10,17,182
2016-04-02,1,82,102,14,0,29,11,14,182
2016-04-03,1,83,145,16,0,40,11,18,191
2016-04-04,0,71,144,13,0,51,9,20,174
2016-04-05,5,95,162,11,0,35,12,10,255
2016-04-06,2,105,140,12,0,40,9,14,1475
2016-04-07,6,71,190,10,0,40,8,9,272
2016-04-08,5,110,178,10,0,29,6,5,150
2016-04-09,12,36,164,12,0,30,11,23,184
2016-04-10,13,28,142,20,0,36,15,18,202
2016-04-11,4,20,165,15,0,32,14,9,238
2016-04-12,2,30,177,20,0,32,12,16,195
2016-04-13,0,28,173,13,0,23,5,27,190
2016-04-14,4,34,137,25,0,34,14,30,177
2016-04-15,7,17,131,14,0,24,8,17,175
2016-04-16,3,21,127,11,0,20,7,8,177
2016-04-17,0,16,142,11,0,14,12,28,206
2016-04-18,0,16,141,11,0,23,11,15,203
2016-04-19,2,23,168,9,0,28,10,21,208
2016-04-20,0,19,149,9,0,39,7,26,251
2016-04-21,1,17,145,16,0,33,8,20,410
2016-04-22,0,25,152,12,0,39,9,32,322
2016-04-23,2,15,98,6,0,28,12,30,298
2016-04-24,6,22,131,16,0,27,10,29,244
2016-04-25,3,14,143,7,0,37,7,8,277
2016-04-26,0,22,165,14,0,20,18,17,194
2016-04-27,2,32,251,14,0,29,13,18,207
2016-04-28,1,31,230,11,0,37,17,13,205
2016-04-29,0,11,165,10,0,30,7,13,170
2016-04-30,1,17,128,11,0,30,7,13,206
2016-05-01,2,19,131,7,0,34,9,12,229
2016-05-02,7,18,140,12,0,37,12,12,192
2016-05-03,5,20,171,21,0,28,10,16,240
2016-05-04,1,25,166,19,0,31,18,18,285
2016-05-05,2,15,156,13,0,27,12,23,282
2016-05-06,0,14,142,17,0,21,12,13,221
2016-05-07,1,17,93,10,0,20,9,14,195
