Date,"The Demi-Virgin","The Oceanides","Jupiter trojan","Sandra Morgan","Virgin and Child Enthroned","Carnaby's black cockatoo","1880 Greenback National Convention","1997 Qayen earthquake","Alexander of Greece"
2016-12-17,2,16,115,21,0,38,12,17,208
2016-12-18,3,24,146,12,0,29,8,25,272
2016-12-19,10,16,131,12,0,38,14,15,434
2016-12-20,7,11,142,10,0,55,5,17,289
2016-12-21,6,14,134,9,0,40,12,12,261
2016-12-22,9,18,131,15,0,36,15,22,300
2016-12-23,46,19,106,14,0,32,211,463,224
2016-12-24,44,23,79,9,0,27,213,460,681
2016-12-25,22,14,99,8,0,22,9,14,254
2016-12-26,18,302,607,173,0,34,6,13,284
2016-12-27,10,11,95,8,0,25,8,8,246
2016-12-28,29,18,131,14,0,56,12,22,300
2016-12-29,13,11,154,11,0,38,12,15,291
2016-12-30,5,11,120,7,0,26,5,10,228
2016-12-31,8,9,110,8,0,29,8,6,246
2017-01-01,2,20,120,6,0,22,5,9,319
2017-01-02,1,8,127,6,0,28,6,9,407
2017-01-03,5,11,155,6,0,30,9,19,300
2017-01-04,4,13,357,17,0,41,6,17,305
2017-01-05,12,16,771,14,0,34,11,20,326
2017-01-06,3,22,545,9,0,23,18,16,301
2017-01-07,3,16,384,10,0,30,7,15,286
2017-01-08,5,22,274,11,0,40,14,17,337
2017-01-09,4,14,348,7,0,28,9,7,324
2017-01-10,6,15,325,11,0,36,12,15,310
2017-01-11,2,16,221,9,0,32,9,13,280
2017-01-12,5,20,205,9,0,38,15,26,341
2017-01-13,2,13,235,7,0,49,10,8,321
2017-01-14,6,14,179,9,0,50,8,9,324
2017-01-15,5,22,168,6,0,48,7,30,397
2017-01-16,137,24,193,13,0,32,16,26,389
2017-01-17,31,14,312,13,0,31,15,23,290
2017-01-18,10,10,229,7,0,38,5,22,299
2017-01-19,16,23,182,17,0,44,14,23,281
2017-01-20,4,9,152,7,0,26,9,14,222
2017-01-21,6,19,144,12,0,24,7,20,219
2017-01-22,1,18,134,12,0,34,12,23,254
2017-01-23,4,19,184,10,0,39,18,25,252
2017-01-24,5,21,200,5,0,26,12,27,422
2017-01-25,3,18,158,11,0,30,11,20,223
2017-01-26,8,31,159,13,0,38,16,20,254
2017-01-27,6,15,143,9,0,26,12,19,191
2017-01-28,6,17,140,12,0,28,10,19,219
2017-01-29,4,20,144,11,0,24,10,12,290
2017-01-30,11,22,192,6,0,38,10,19,269
2017-01-31,4,22,213,7,0,25,10,18,277
2017-02-01,5,31,171,19,0,41,14,17,233
2017-02-02,7,17,129,8,0,45,8,14,223
2017-02-03,2,22,147,4,0,40,10,8,215
2017-02-04,5,18,120,10,0,27,6,22,220
2017-02-05,5,72,129,14,0,52,15,15,312
2017-02-06,6,39,166,18,0,38,15,16,310
2017-02-07,12,33,159,15,0,32,18,20,336
2017-02-08,5,34,168,13,0,31,19,22,247
2017-02-09,3,27,179,14,0,21,8,19,222
2017-02-10,7,19,124,9,0,33,8,9,234
2017-02-11,8,23,140,9,0,42,12,18,203
2017-02-12,1,17,158,10,0,37,6,12,281
2017-02-13,4,17,158,14,0,27,8,16,294
2017-02-14,2,20,199,7,0,53,11,21,258
2017-02-15,8,32,179,23,0,41,19,24,221
2017-02-16,3,25,177,13,0,42,18,22,250
2017-02-17,2,19,252,6,0,54,11,12,222
2017-02-18,5,20,132,8,0,33,10,14,253
2017-02-19,7,10,158,8,0,28,10,16,248
2017-02-20,1,16,166,7,0,52,10,14,336
2017-02-21,4,28,204,3,0,63,6,15,322
2017-02-22,5,16,215,8,0,54,6,11,269
2017-02-23,2,20,275,13,0,56,11,15,276
2017-02-24,2,18,185,16,0,96,15,14,231
2017-02-25,5,18,163,8,0,42,13,17,249
2017-02-26,8,33,181,16,0,223,17,17,281
2017-02-27,2,16,171,10,0,108,21,14,282
2017-02-28,2,22,204,7,0,153,11,16,236
2017-03-01,3,26,161,13,0,180,9,20,254
2017-03-02,3,19,213,8,0,103,14,10,195
2017-03-03,3,13,164,11,0,54,11,11,186
2017-03-04,0,15,157,10,0,47,11,12,221
2017-03-05,4,21,165,10,0,89,8,13,258
2017-03-06,24,19,166,12,0,70,7,14,286
2017-03-07,7,19,180,8,0,58,18,20,248
2017-03-08,12,19,205,11,0,60,13,15,241
2017-03-09,9,19,198,20,0,56,11,16,223
2017-03-10,12,22,189,20,0,75,32,19,234
2017-03-11,2,17,117,9,0,210,10,11,241
2017-03-12,14,12,149,6,0,170,10,18,305
2017-03-13,6,18,153,8,0,170,11,22,247
2017-03-14,0,27,171,13,0,184,13,18,248
2017-03-15,0,18,166,13,0,145,12,21,241
2017-03-16,3,22,184,8,0,141,10,13,263
2017-03-17,1,18,148,11,0,179,8,16,237
2017-03-18,4,23,176,10,0,142,13,14,275
2017-03-19,4,24,200,6,0,96,11,18,304
2017-03-20,19,14,227,9,0,130,7,8,208
2017-03-21,3,10,269,8,0,115,121,13,231
2017-03-22,6,18,193,10,0,174,21,19,285
2017-03-23,14,30,152,16,0,129,22,23,255
2017-03-24,2,16,218,11,0,132,5,12,190
2017-03-25,1,23,173,15,0,95,19,15,281
2017-03-26,1,18,155,7,0,107,6,8,251
2017-03-27,2,20,180,10,0,95,7,15,248
2017-03-28,3,19,215,8,0,99,8,13,246
2017-03-29,2,15,201,5,0,110,7,19,222
2017-03-30,6,26,265,16,0,116,13,18,252
2017-03-31,21,14,214,9,0,110,9,13,243
2017-04-01,9,25,150,10,0,43,9,15,219
2017-04-02,7,18,160,12,0,59,9,20,281
2017-04-03,2,20,190,5,0,53,3,15,204
2017-04-04,5,21,251,4,0,47,7,17,203
2017-04-05,4,20,277,9,0,58,8,74,207
2017-04-06,0,14,156,7,0,64,11,21,271
2017-04-07,3,17,140,5,0,76,10,18,242
2017-04-08,0,20,128,6,0,61,15,22,222
2017-04-09,3,17,145,7,0,44,6,9,218
2017-04-10,7,17,154,15,0,60,14,21,223
2017-04-11,1,24,156,10,0,43,6,12,211
2017-04-12,3,19,193,10,0,46,16,16,208
2017-04-13,5,19,178,11,0,47,13,20,204
2017-04-14,4,13,130,8,0,39,8,14,198
2017-04-15,3,24,136,10,0,37,13,11,164
2017-04-16,4,21,177,10,0,61,17,16,228
2017-04-17,5,19,171,10,0,53,16,16,225
2017-04-18,14,18,161,13,0,78,19,21,219
2017-04-19,2,12,182,4,0,38,10,12,250
2017-04-20,3,21,207,14,0,51,16,21,232
2017-04-21,8,38,144,20,0,39,16,21,222
2017-04-22,7,33,119,16,0,54,17,20,251
2017-04-23,9,19,135,10,0,46,11,18,223
2017-04-24,2,16,174,7,0,46,12,15,235
2017-04-25,6,23,171,10,0,60,11,34,235
2017-04-26,9,10,208,6,0,48,7,15,232
2017-04-27,60,24,243,16,0,60,15,27,278
2017-04-28,18,14,200,5,0,35,13,15,192
2017-04-29,23,12,149,9,0,33,5,20,187
2017-04-30,9,10,166,10,0,45,6,13,180
2017-05-01,7,23,165,11,0,82,13,20,193
2017-05-02,6,21,182,27,0,46,12,26,207
2017-05-03,8,18,175,16,0,45,15,20,211
2017-05-04,3,13,180,6,0,46,12,19,1062
2017-05-05,15,15,151,7,0,56,16,20,540
2017-05-06,7,18,136,8,0,42,13,24,320
2017-05-07,7,12,149,14,0,54,5,18,259
2017-05-08,10,20,221,13,0,59,15,41,276
2017-05-09,23,16,268,4,0,56,9,40,299
2017-05-10,10,12,151,5,0,35,80,1762,258
2017-05-11,13,16,138,9,0,58,21,92,233
2017-05-12,12,16,1630,8,0,51,17,31,211
2017-05-13,6,16,243,9,0,28,10,38,206
2017-05-14,21,16,195,11,0,53,8,26,233
2017-05-15,129,18,195,14,0,65,14,26,198
2017-05-16,95,20,156,14,0,53,16,22,224
2017-05-17,143,18,142,14,0,43,16,23,208
2017-05-18,136,24,159,19,0,47,15,23,192
2017-05-19,120,25,144,18,0,64,18,30,196
2017-05-20,116,27,138,24,0,42,19,33,196
2017-05-21,96,31,142,20,0,52,20,26,283
2017-05-22,90,22,162,20,0,45,13,16,238
2017-05-23,84,23,162,17,0,52,21,25,199
2017-05-24,78,48,187,23,0,38,18,20,277
2017-05-25,92,14,220,9,0,47,12,22,194
2017-05-26,86,17,193,14,0,47,14,22,198
2017-05-27,78,21,147,9,0,55,13,24,221
2017-05-28,61,16,109,6,0,44,14,25,219
2017-05-29,82,19,143,14,0,52,11,21,286
2017-05-30,80,22,157,17,0,46,33,37,597
2017-05-31,80,24,168,18,0,48,13,24,255
2017-06-01,102,40,187,21,0,59,18,19,254
2017-06-02,288,18,133,15,0,39,15,28,237
2017-06-03,25108,213,196,26,0,59,24,16,184
2017-06-04,5541,17184,391,13,0,45,11,356,225
2017-06-05,4640,5638,40691,119,0,43,13,13,244
2017-06-06,4118,3464,10491,34959,0,53,17,19,210
2017-06-07,433,1953,5603,4191,6557,264,31,40,223
2017-06-08,359,435,4128,2410,5486,31393,115,33,225
2017-06-09,182,189,1031,1341,2598,4707,23665,215,228
2017-06-10,156,178,765,185,2502,2621,4716,20473,567
2017-06-11,139,151,647,115,390,1775,2311,4653,52664
2017-06-12,106,92,490,88,300,466,2187,3752,14188
2017-06-13,108,109,545,97,218,339,301,2789,7894
2017-06-14,91,83,452,72,152,242,197,302,3962
2017-06-15,75,92,408,44,108,198,135,187,894
2017-06-16,67,57,316,81,129,174,120,152,723
2017-06-17,73,71,299,37,99,145,109,138,590
2017-06-18,69,56,317,34,67,139,64,92,631
2017-06-19,49,61,307,28,72,123,65,110,536
2017-06-20,61,54,244,31,55,98,67,240,462
2017-06-21,39,55,227,54,48,117,63,84,507
2017-06-22,43,37,272,38,61,91,65,110,399
2017-06-23,42,49,244,29,38,109,59,70,387
2017-06-24,48,47,204,22,54,85,55,53,351
2017-06-25,34,66,205,40,55,111,57,58,394
2017-06-26,35,40,205,19,36,97,46,49,314
2017-06-27,35,47,226,25,37,66,54,54,310
2017-06-28,46,37,198,44,46,79,46,64,311
2017-06-29,28,45,194,21,38,77,40,26,272
2017-06-30,35,31,166,19,42,79,40,45,291
2017-07-01,36,39,167,19,25,67,30,41,238
2017-07-02,23,42,151,14,37,71,40,35,259
2017-07-03,38,40,194,13,29,72,26,39,274
2017-07-04,24,30,164,15,32,73,29,38,326
2017-07-05,19,33,158,15,19,64,24,41,209
2017-07-06,26,30,163,11,28,63,27,32,276
2017-07-07,29,29,160,13,22,78,26,32,545
2017-07-08,18,27,141,11,19,78,28,29,308
2017-07-09,16,25,163,25,16,58,26,36,262
2017-07-10,14,27,167,14,12,44,25,36,276
2017-07-11,23,36,140,20,11,47,25,39,301
2017-07-12,25,30,166,24,9,43,23,28,342
2017-07-13,14,29,202,12,15,46,11,24,291
2017-07-14,12,12,163,13,14,48,28,27,266
2017-07-15,23,22,130,10,11,43,21,25,280
2017-07-16,25,24,146,12,16,72,18,24,281
2017-07-17,19,21,142,11,9,47,18,26,230
2017-07-18,13,28,179,11,21,48,20,15,251
2017-07-19,17,27,142,13,10,47,20,28,243
2017-07-20,17,21,150,8,23,31,12,33,181
2017-07-21,22,21,118,10,12,47,19,29,242
2017-07-22,7,24,105,14,9,34,21,17,228
2017-07-23,19,22,134,8,15,43,17,38,261
2017-07-24,21,17,143,35,12,100,16,34,257
2017-07-25,9,18,172,11,8,53,21,20,213
2017-07-26,22,25,163,19,18,40,19,26,251
2017-07-27,16,27,134,18,13,46,15,20,234
2017-07-28,15,23,135,10,13,48,18,25,243
2017-07-29,8,28,150,14,5,34,15,21,202
2017-07-30,11,15,135,7,10,41,49,19,252
2017-07-31,17,26,137,11,11,37,19,20,246
2017-08-01,34,35,155,13,12,51,19,32,493
2017-08-02,16,20,139,13,9,39,16,31,435
2017-08-03,22,24,137,21,12,38,21,24,354
2017-08-04,20,31,134,21,6,50,22,21,262
2017-08-05,17,25,141,18,5,38,26,26,278
2017-08-06,15,23,137,174,10,48,16,18,253
2017-08-07,15,15,199,16,2,35,13,22,228
2017-08-08,12,17,111,14,5,42,8,19,304
2017-08-09,19,23,142,57,15,38,13,22,260
2017-08-10,14,20,134,250,6,62,16,27,237
2017-08-11,16,23,152,30,8,49,17,18,251
2017-08-12,22,23,122,24,8,37,12,21,316
2017-08-13,5,16,128,12,9,35,7,11,270
2017-08-14,21,22,139,21,2,54,18,24,280
2017-08-15,17,20,154,11,8,38,14,19,253
2017-08-16,15,23,128,20,5,46,17,24,214
2017-08-17,11,13,118,13,5,46,7,15,211
2017-08-18,15,21,116,15,5,45,20,23,375
2017-08-19,11,17,122,9,1,39,8,13,231
2017-08-20,12,16,118,8,4,43,12,16,262
2017-08-21,8,35,150,12,6,67,8,15,283
2017-08-22,6,15,143,9,9,87,10,22,246
2017-08-23,7,24,115,12,5,51,12,15,287
2017-08-24,17,26,121,17,4,55,18,33,216
2017-08-25,9,16,154,7,5,46,16,21,195
2017-08-26,8,13,95,11,3,36,10,14,227
2017-08-27,23,25,99,10,9,41,14,18,272
2017-08-28,10,13,131,12,9,62,8,18,254
2017-08-29,6,15,111,4,7,38,6,8,235
2017-08-30,5,23,107,11,8,56,15,13,261
2017-08-31,15,24,116,8,10,49,15,24,258
2017-09-01,9,15,178,6,9,24,11,14,218
2017-09-02,10,20,111,13,7,40,12,20,212
2017-09-03,8,24,138,14,9,44,10,14,302
2017-09-04,10,19,132,15,9,40,15,18,329
2017-09-05,9,13,149,13,4,37,12,19,309
2017-09-06,20,20,128,25,12,43,14,24,263
2017-09-07,8,20,178,9,11,38,12,26,282
2017-09-08,5,21,163,6,13,41,5,16,284
2017-09-09,6,22,131,7,6,40,10,22,321
2017-09-10,19,29,151,15,14,31,17,21,317
2017-09-11,6,24,143,13,21,38,9,14,350
2017-09-12,4,29,140,6,18,54,4,22,267
2017-09-13,15,14,165,9,21,54,7,18,240
2017-09-14,17,22,189,91,30,92,16,18,244
2017-09-15,14,20,268,20,28,60,13,16,278
2017-09-16,10,19,186,12,12,34,9,15,287
2017-09-17,8,13,189,3,14,191,20,10,318
2017-09-18,13,23,227,6,20,84,15,16,337
2017-09-19,9,17,221,18,27,82,19,21,278
2017-09-20,9,24,246,10,12,82,8,20,220
2017-09-21,31,19,316,7,16,82,8,18,256
2017-09-22,20,20,201,15,27,50,9,20,236
2017-09-23,8,21,186,10,16,25,13,25,217
2017-09-24,9,11,173,9,12,50,10,19,289
2017-09-25,11,23,273,9,19,49,11,17,248
2017-09-26,14,50,189,11,23,35,18,29,270
2017-09-27,7,19,186,10,21,40,9,22,254
2017-09-28,13,30,187,8,18,45,11,30,199
2017-09-29,14,24,138,8,8,31,12,33,249
2017-09-30,7,24,133,5,6,33,6,19,229
2017-10-01,4,28,150,5,6,47,5,16,288
2017-10-02,11,22,137,17,20,43,13,26,269
2017-10-03,12,19,163,3,20,41,12,25,281
2017-10-04,9,36,165,9,21,34,9,21,281
2017-10-05,8,21,155,9,17,40,15,28,259
2017-10-06,11,18,154,10,14,59,12,26,228
2017-10-07,19,27,131,12,15,62,13,22,329
2017-10-08,8,17,143,6,17,44,11,16,454
2017-10-09,13,18,152,16,19,35,13,28,344
2017-10-10,5,14,165,15,21,39,7,14,325
2017-10-11,10,22,239,55,16,47,15,25,290
2017-10-12,12,22,308,15,26,50,13,25,269
2017-10-13,14,22,207,16,23,55,12,20,289
2017-10-14,8,16,160,9,17,36,10,15,277
2017-10-15,14,32,157,15,17,49,16,18,355
2017-10-16,7,15,196,6,10,32,12,13,336
2017-10-17,13,23,177,14,27,48,14,22,343
2017-10-18,11,22,184,10,29,59,12,28,293
2017-10-19,16,38,147,10,17,64,16,27,285
2017-10-20,12,19,145,13,19,50,13,18,269
2017-10-21,11,17,112,11,17,42,7,23,281
2017-10-22,12,23,173,5,13,48,9,16,275
2017-10-23,9,16,177,6,17,55,20,21,310
2017-10-24,10,17,161,10,21,55,12,19,286
2017-10-25,9,15,156,8,22,67,12,26,369
2017-10-26,5,18,145,10,18,64,7,9,302
2017-10-27,3,19,151,5,12,60,11,14,310
2017-10-28,9,20,140,15,18,46,13,23,367
2017-10-29,12,23,134,15,22,35,12,17,292
2017-10-30,8,10,127,12,18,62,8,22,345
2017-10-31,11,17,127,10,12,40,14,15,255
2017-11-01,12,22,143,18,22,40,15,14,232
2017-11-02,10,17,144,10,11,37,8,13,245
2017-11-03,9,19,153,7,10,50,12,17,240
2017-11-04,6,14,127,8,10,42,4,20,269
2017-11-05,9,19,161,11,15,42,10,12,313
2017-11-06,10,24,147,11,17,43,8,20,264
2017-11-07,11,20,175,11,26,54,16,17,296
2017-11-08,7,17,182,9,20,113,10,15,255
2017-11-09,9,28,156,8,29,96,10,18,275
2017-11-10,4,8,131,3,14,37,6,11,254
2017-11-11,11,15,121,12,18,28,12,16,354
2017-11-12,7,32,138,7,18,42,11,35,345
2017-11-13,13,27,158,17,26,44,13,131,269
2017-11-14,8,22,191,11,16,35,9,94,329
2017-11-15,6,15,187,7,21,50,12,39,258
2017-11-16,16,18,164,13,26,26,13,34,284
2017-11-17,11,18,133,8,21,42,20,31,266
2017-11-18,7,27,144,11,15,55,11,26,265
2017-11-19,10,16,159,7,33,40,5,20,356
2017-11-20,14,23,156,8,30,73,11,27,409
2017-11-21,9,30,248,11,20,55,16,20,355
2017-11-22,11,34,194,7,11,69,7,23,287
2017-11-23,14,41,146,14,18,57,12,25,225
2017-11-24,11,22,147,9,16,55,8,16,268
2017-11-25,11,37,157,11,18,46,13,24,295
2017-11-26,10,17,178,5,29,41,6,14,300
2017-11-27,17,30,167,16,22,45,13,24,377
2017-11-28,18,29,137,13,27,45,13,26,451
2017-11-29,6,10,142,8,14,35,11,26,377
2017-11-30,9,25,147,16,20,44,8,15,305
2017-12-01,12,22,137,13,18,37,10,32,300
2017-12-02,7,15,119,8,12,33,6,29,366
2017-12-03,7,19,131,6,8,31,5,21,373
2017-12-04,9,16,158,10,44,54,10,25,335
2017-12-05,6,22,146,12,11,36,7,20,514
2017-12-06,11,22,143,21,16,35,15,21,558
2017-12-07,4,15,162,7,24,29,7,20,631
2017-12-08,14,33,140,12,12,26,13,35,535
2017-12-09,18,35,132,16,22,43,17,26,987
2017-12-10,18,27,139,16,23,50,21,19,1188
2017-12-11,15,31,174,24,32,57,19,21,1037
2017-12-12,20,34,186,11,30,40,19,21,890
2017-12-13,9,14,189,16,29,49,15,22,795
2017-12-14,19,25,160,13,30,43,13,40,838
2017-12-15,9,17,172,16,16,37,14,16,756
2017-12-16,15,20,133,14,19,38,24,22,1097
2017-12-17,13,25,160,16,20,47,35,22,939
2017-12-18,13,18,177,13,20,35,28,21,906
2017-12-19,16,21,163,15,19,32,24,41,905
2017-12-20,19,18,132,14,21,46,14,22,842
2017-12-21,6,8,128,11,6,28,7,17,647
2017-12-22,3,11,110,6,4,27,6,13,524
2017-12-23,12,22,92,12,9,37,9,13,574
2017-12-24,10,12,78,6,18,35,7,9,505
2017-12-25,12,11,84,13,8,38,12,20,599
2017-12-26,8,15,102,9,9,25,9,15,695
2017-12-27,11,17,115,12,12,41,10,21,668
2017-12-28,10,13,126,6,12,46,8,17,659
2017-12-29,12,13,137,17,10,37,4,15,669
2017-12-30,8,19,121,3,7,41,11,19,677
2017-12-31,7,27,112,8,14,36,9,15,679
2018-01-01,14,13,109,7,7,51,9,17,620
2018-01-02,9,30,167,12,11,36,21,26,710
2018-01-03,14,28,145,15,13,58,10,13,582
2018-01-04,5,24,144,43,7,48,5,18,573
2018-01-05,5,20,161,11,16,32,5,15,571
2018-01-06,13,19,114,13,9,39,15,19,595
2018-01-07,11,24,128,12,12,40,11,19,609
2018-01-08,8,16,151,10,13,52,13,26,518
2018-01-09,5,16,154,7,13,34,7,11,472
2018-01-10,7,21,153,8,8,42,9,12,541
2018-01-11,8,31,149,9,9,52,10,23,434
2018-01-12,11,16,143,3,12,36,16,17,546
2018-01-13,8,21,99,9,9,43,14,32,525
2018-01-14,16,26,132,14,16,41,21,31,524
2018-01-15,10,18,153,15,23,41,16,22,730
2018-01-16,9,13,206,6,17,31,13,15,596
2018-01-17,10,20,142,13,18,37,19,32,486
2018-01-18,10,20,149,11,18,47,15,7,496
2018-01-19,12,18,134,11,21,42,18,21,388
2018-01-20,7,21,131,9,10,42,8,18,469
2018-01-21,7,15,138,9,8,50,6,10,541
2018-01-22,9,32,147,4,13,47,15,10,619
2018-01-23,10,26,151,10,13,42,13,15,493
2018-01-24,8,20,183,9,10,30,8,12,384
2018-01-25,10,29,144,9,20,32,10,18,380
2018-01-26,8,32,123,10,19,30,15,17,322
2018-01-27,4,32,125,20,6,35,2,12,372
2018-01-28,7,36,117,6,15,45,5,14,407
2018-01-29,15,21,160,12,23,35,12,21,417
2018-01-30,4,18,122,6,20,29,3,11,388
2018-01-31,7,19,127,4,15,41,4,14,384
2018-02-01,6,23,159,6,10,44,12,17,413
2018-02-02,16,27,144,10,13,45,13,21,421
2018-02-03,8,20,117,8,12,43,5,18,382
2018-02-04,9,13,138,7,12,37,7,11,446
2018-02-05,6,23,152,3,10,39,15,16,342
2018-02-06,11,23,158,10,17,44,10,21,364
2018-02-07,11,23,238,11,22,40,9,15,359
2018-02-08,12,20,229,10,19,47,13,18,363
2018-02-09,11,28,212,12,21,38,11,22,374
2018-02-10,9,17,201,12,16,41,11,17,356
2018-02-11,9,31,235,12,15,36,12,14,373
2018-02-12,5,27,255,7,20,42,4,7,381
2018-02-13,5,19,188,7,19,46,7,6,383
2018-02-14,7,15,152,6,30,34,6,14,433
2018-02-15,12,23,158,13,32,38,13,13,572
2018-02-16,10,20,115,6,23,44,8,20,501
2018-02-17,14,19,118,10,23,48,15,19,432
2018-02-18,6,18,161,10,18,43,11,13,475
2018-02-19,2,20,170,6,23,46,11,16,475
2018-02-20,8,31,230,9,23,45,7,19,951
2018-02-21,16,18,169,10,25,212,21,34,763
2018-02-22,18,31,177,21,33,48,14,40,386
2018-02-23,8,17,114,7,24,41,11,25,352
2018-02-24,13,20,127,12,33,43,10,26,361
2018-02-25,27,36,149,22,43,83,22,39,400
2018-02-26,7,24,169,11,31,40,12,23,443
2018-02-27,12,19,145,8,37,38,10,16,350
2018-02-28,10,9,156,4,19,42,6,12,341
2018-03-01,10,20,147,8,32,29,9,15,287
2018-03-02,6,20,165,11,18,39,14,17,339
2018-03-03,15,12,111,16,21,43,10,20,309
2018-03-04,12,26,142,12,26,48,11,19,738
2018-03-05,6,18,209,13,24,60,6,15,336
2018-03-06,15,30,174,9,26,52,14,13,288
2018-03-07,7,22,139,14,32,46,6,15,286
2018-03-08,11,27,188,11,31,38,9,14,263
2018-03-09,10,26,131,11,20,49,9,23,270
2018-03-10,9,17,129,10,26,28,7,14,280
2018-03-11,4,11,123,8,15,37,5,12,305
2018-03-12,15,30,147,12,22,40,8,15,333
2018-03-13,5,14,160,5,18,47,9,13,301
2018-03-14,8,17,167,13,23,46,11,9,287
2018-03-15,12,18,118,12,27,43,13,16,270
2018-03-16,8,19,124,14,22,42,7,16,264
2018-03-17,6,23,116,12,23,47,9,13,285
2018-03-18,8,22,100,12,15,54,4,8,360
2018-03-19,9,31,165,6,26,50,7,15,375
2018-03-20,11,18,141,4,20,47,5,15,330
2018-03-21,11,26,154,10,21,44,13,19,371
2018-03-22,8,18,165,8,18,66,8,10,291
2018-03-23,10,21,156,24,20,42,7,14,313
2018-03-24,5,22,100,7,17,38,5,15,259
2018-03-25,8,33,102,13,18,42,8,15,381
2018-03-26,8,26,131,18,21,48,7,17,328
2018-03-27,11,27,160,13,26,52,13,16,463
2018-03-28,12,16,118,14,27,34,12,14,317
2018-03-29,4,21,106,62,29,37,7,11,296
2018-03-30,10,20,121,8,19,46,7,20,346
2018-03-31,7,16,101,11,19,42,6,8,290
2018-04-01,11,10,119,27,22,49,8,16,272
2018-04-02,9,17,132,19,23,49,13,11,324
2018-04-03,14,22,190,14,21,41,17,14,365
2018-04-04,9,17,157,11,20,53,11,16,382
2018-04-05,9,20,105,16,22,48,13,17,317
2018-04-06,10,20,140,17,21,60,14,11,344
2018-04-07,6,27,106,10,18,50,4,10,326
2018-04-08,7,29,129,13,19,41,5,19,336
2018-04-09,14,17,139,15,20,55,7,7,395
2018-04-10,9,25,132,19,25,55,6,11,345
2018-04-11,17,24,196,16,34,46,7,18,296
2018-04-12,20,26,154,18,32,50,15,21,312
2018-04-13,14,31,138,26,19,39,9,9,291
2018-04-14,23,27,121,20,28,52,14,21,272
2018-04-15,13,22,118,13,22,47,13,20,327
2018-04-16,2,24,135,14,21,38,5,27,279
2018-04-17,14,25,137,15,27,59,17,18,291
2018-04-18,10,22,124,8,22,38,8,15,254
2018-04-19,6,22,142,5,24,36,5,16,261
2018-04-20,6,12,139,15,20,58,6,14,275
2018-04-21,6,34,108,6,11,33,4,12,306
2018-04-22,10,19,145,13,23,31,7,7,338
2018-04-23,6,16,143,11,23,44,6,8,405
2018-04-24,5,23,144,12,16,40,6,13,437
2018-04-25,6,14,149,11,34,47,16,22,370
2018-04-26,5,23,149,9,25,52,6,13,370
2018-04-27,7,19,110,5,15,41,4,6,403
2018-04-28,6,14,92,8,20,40,10,12,320
2018-04-29,6,14,127,6,21,34,4,8,333
2018-04-30,6,20,144,9,30,32,6,11,391
2018-05-01,8,21,139,10,34,38,6,13,345
2018-05-02,6,20,126,4,16,30,6,6,307
2018-05-03,14,19,130,9,25,48,9,22,320
2018-05-04,6,16,112,9,20,28,7,9,272
2018-05-05,6,10,105,7,17,22,8,13,312
2018-05-06,4,19,110,6,16,32,5,16,293
2018-05-07,11,25,132,8,23,41,7,11,311
2018-05-08,14,21,166,5,30,36,6,18,356
2018-05-09,9,18,138,9,25,24,6,38,395
2018-05-10,12,21,136,11,24,36,12,1258,396
2018-05-11,6,17,147,10,22,21,8,39,386
2018-05-12,7,13,131,5,11,32,5,25,372
2018-05-13,9,19,103,8,22,48,9,21,403
2018-05-14,9,25,143,7,16,46,5,22,317
2018-05-15,4,17,143,6,19,38,6,12,368
2018-05-16,8,17,152,9,17,41,13,16,443
2018-05-17,10,13,202,7,18,37,6,15,380
2018-05-18,6,17,115,12,19,30,6,13,427
2018-05-19,9,16,114,8,23,37,12,18,1142
2018-05-20,8,9,120,11,16,43,9,16,1150
2018-05-21,13,23,300,6,20,36,12,14,905
2018-05-22,5,20,302,6,24,58,8,12,763
2018-05-23,17,15,161,12,31,47,16,20,596
2018-05-24,9,13,176,14,16,38,10,15,493
2018-05-25,7,10,124,10,17,44,5,12,522
2018-05-26,7,8,127,7,13,36,8,10,482
2018-05-27,7,14,111,3,23,48,7,11,478
2018-05-28,6,21,125,3,15,46,8,13,502
2018-05-29,5,14,156,10,13,45,7,8,479
2018-05-30,13,19,161,17,24,51,15,17,791
2018-05-31,9,19,147,8,20,38,9,12,497
2018-06-01,12,11,151,7,22,44,6,10,356
2018-06-02,12,24,153,2,18,35,12,28,424
2018-06-03,9,24,111,8,19,48,8,6,417
2018-06-04,6,36,156,6,20,34,6,13,336
2018-06-05,6,13,145,6,21,54,5,9,344
2018-06-06,7,15,145,12,20,53,9,14,321
2018-06-07,12,24,119,13,21,29,13,16,341
2018-06-08,11,23,129,12,32,53,12,17,331
2018-06-09,4,14,82,6,17,32,5,14,349
2018-06-10,5,15,120,5,10,42,3,5,527
2018-06-11,8,25,121,11,21,38,11,16,15181
2018-06-12,7,11,107,9,23,32,6,21,647
2018-06-13,8,19,111,7,19,31,10,10,433
2018-06-14,0,0,0,0,0,0,0,0,0
2018-06-15,10,19,114,8,16,25,11,14,365
2018-06-16,5,11,89,6,11,46,7,15,335
2018-06-17,10,15,118,7,14,40,8,15,365
