Date,"Flying Eagle cent","Akodon spegazzinii","Waiting (2015 film)","Menacer","Hands Across Hawthorne","Harvey Kurtzman's Jungle Book","Japanese battleship Mutsu","Monnow Bridge","R. V. C. Bodley"
2018-05-24,59,8,237,22,12,15,131,23,14
2018-05-25,62,1,339,25,5,12,100,21,6
2018-05-26,51,4,347,31,6,17,122,9,8
2018-05-27,59,6,400,31,6,11,176,15,15
2018-05-28,53,3,293,41,6,15,150,14,13
2018-05-29,41,7,387,20,5,13,138,28,9
2018-05-30,52,11,296,26,11,15,139,22,13
2018-05-31,61,6,248,20,4,7,159,20,15
2018-06-01,48,4,231,31,7,12,138,20,15
2018-06-02,45,5,262,23,11,12,171,19,11
2018-06-03,57,6,299,23,7,6,153,21,13
2018-06-04,68,6,281,32,6,13,146,16,16
2018-06-05,57,8,202,21,8,14,160,10,10
2018-06-06,48,8,228,16,13,10,153,21,8
2018-06-07,70,9,222,27,11,11,126,28,9
2018-06-08,64,9,220,22,8,14,230,22,19
2018-06-09,48,5,240,26,6,13,134,20,9
2018-06-10,66,5,243,23,6,7,143,12,9
2018-06-11,86,8,188,45,8,10,126,15,34
2018-06-12,75,5,191,25,4,11,110,22,12
2018-06-13,62,7,204,33,4,9,125,22,17
2018-06-14,0,0,0,0,0,0,0,0,0
2018-06-15,49,8,377,46,5,15,135,18,14
2018-06-16,63,4,196,21,8,14,117,24,12
2018-06-17,43,4,235,20,10,7,101,18,8
