Date,"Galaxy Science Fiction","Chad Harris-Crane","Guilden Morden boar","Musca","Blast Corps","Mortimer Wheeler","The American Bible Challenge","Muhammad Ali Jinnah","Canadian Indian residential school system"
2015-10-28,67,18,0,65,155,102,41,2717,848
2015-10-29,78,32,0,84,131,125,62,2943,886
2015-10-30,76,31,0,71,161,103,44,3895,645
2015-10-31,67,17,0,56,131,89,72,3974,416
2015-11-01,58,40,0,79,138,120,51,3599,498
2015-11-02,61,28,0,57,169,331,58,3180,901
2015-11-03,66,24,0,63,125,117,47,3870,1371
2015-11-04,56,25,0,71,131,146,48,3646,1222
2015-11-05,53,30,0,71,160,187,49,3552,999
2015-11-06,57,40,0,72,134,121,65,3231,821
2015-11-07,50,26,0,40,267,136,53,2978,503
2015-11-08,62,37,0,56,235,99,57,3161,527
2015-11-09,66,37,0,60,164,103,45,3413,939
2015-11-10,68,38,0,65,136,98,44,3009,859
2015-11-11,64,20,0,64,137,117,42,2860,652
2015-11-12,80,40,0,72,151,119,56,2683,808
2015-11-13,65,35,0,48,145,138,44,2547,814
2015-11-14,56,20,0,66,127,86,50,2899,640
2015-11-15,64,33,0,53,152,91,60,3055,547
2015-11-16,69,27,0,63,138,115,45,3128,1051
2015-11-17,51,45,0,76,121,114,49,2933,973
2015-11-18,60,29,0,47,148,126,64,2925,912
2015-11-19,47,28,0,62,132,134,39,2973,855
2015-11-20,48,21,0,88,134,106,49,2646,717
2015-11-21,42,13,0,54,159,186,57,2734,351
2015-11-22,67,33,0,40,119,116,57,3038,514
2015-11-23,74,35,0,59,160,107,62,3183,858
2015-11-24,71,34,0,60,179,116,47,3006,995
2015-11-25,62,21,0,67,154,112,36,2878,1114
2015-11-26,54,15,0,59,278,103,52,2832,1060
2015-11-27,50,34,0,45,505,206,36,2489,820
2015-11-28,54,22,0,47,336,116,50,2704,443
2015-11-29,78,49,0,60,262,113,53,2997,614
2015-11-30,69,36,0,56,331,135,40,3157,921
2015-12-01,71,27,0,80,232,122,40,3360,918
2015-12-02,57,22,0,63,172,111,51,3057,975
2015-12-03,41,21,0,80,193,90,40,2927,902
2015-12-04,68,23,0,93,158,107,36,2604,720
2015-12-05,55,39,0,95,164,96,63,2696,416
