Date,"Egyptian temple","Planet Stories","The Blue Flame (play)","INS Vikrant (R11)","Literary Hall","Downtown Seattle Transit Tunnel","Catherine Zeta-Jones","St Botolph's Church, Quarrington","Spotted green pigeon"
2016-11-26,178,17,11,1539,12,62,13162,11,24
2016-11-27,210,21,3,1339,10,57,9655,9,18
2016-11-28,334,13,4,1034,9,64,6117,7,19
2016-11-29,348,21,4,946,14,70,5829,15,19
2016-11-30,342,25,4,1072,6,53,5930,4,17
2016-12-01,355,20,11,1037,5,62,6901,10,14
2016-12-02,284,18,2,1109,12,72,5242,15,24
2016-12-03,187,10,5,1371,10,76,7794,11,24
2016-12-04,212,22,3,1369,13,88,7279,18,27
2016-12-05,338,31,5,1317,11,87,6132,10,20
2016-12-06,339,36,5,920,10,107,7259,12,36
2016-12-07,356,23,6,822,8,50,7167,17,30
2016-12-08,339,31,10,727,13,59,7834,14,64
2016-12-09,291,39,8,618,17,73,30786,18,27
2016-12-10,224,60,5,612,11,58,32231,10,18
2016-12-11,233,20,4,649,8,54,27214,12,16
2016-12-12,344,29,10,625,16,76,12610,17,34
2016-12-13,370,26,3,559,9,66,7802,10,16
2016-12-14,391,24,11,595,10,65,9295,7,16
2016-12-15,338,23,7,579,9,69,5798,10,20
2016-12-16,266,23,7,848,12,69,5901,15,15
2016-12-17,151,27,9,770,12,53,12098,14,22
2016-12-18,189,17,8,689,11,80,13266,8,24
2016-12-19,246,20,4,586,7,65,7399,6,22
2016-12-20,227,15,14,602,11,90,5466,11,18
2016-12-21,201,20,8,667,9,70,5628,7,20
2016-12-22,180,28,4,559,16,101,6423,11,16
2016-12-23,211,13,5,557,11,63,6411,10,20
2016-12-24,114,19,5,504,6,49,8422,5,15
2016-12-25,625,14,11,661,23,48,9977,9,13
2016-12-26,133,295,9,563,187,57,9945,7,28
2016-12-27,165,22,5,634,10,84,11841,7,17
2016-12-28,152,21,7,575,9,63,10196,7,264
2016-12-29,158,27,11,495,10,79,9768,9,17
2016-12-30,138,10,4,442,6,57,7471,7,18
2016-12-31,121,10,5,414,6,51,10184,10,8
2017-01-01,106,13,2,428,5,63,10956,6,13
2017-01-02,152,9,4,26548,5,63,10910,5,11
2017-01-03,233,22,6,995,12,62,9490,12,25
2017-01-04,235,24,9,654,11,75,9254,10,20
2017-01-05,246,28,4,615,18,74,7968,16,19
2017-01-06,248,20,5,614,8,106,6973,9,19
2017-01-07,167,22,3,669,8,100,10331,9,11
2017-01-08,208,27,3,851,11,107,11901,10,19
2017-01-09,219,19,4,656,8,73,7818,12,15
2017-01-10,305,20,6,606,9,75,6227,12,25
2017-01-11,285,25,6,2883,8,52,6471,8,19
2017-01-12,277,20,4,3554,11,70,6862,13,31
2017-01-13,248,31,4,1603,9,77,8486,7,14
2017-01-14,147,27,4,1035,9,86,8453,9,18
2017-01-15,212,30,8,857,5,75,11471,7,21
2017-01-16,246,23,19,812,15,79,7289,16,29
2017-01-17,280,22,9,728,12,77,7115,8,32
2017-01-18,308,20,4,655,4,75,7951,11,15
2017-01-19,331,31,7,655,10,80,7286,10,28
2017-01-20,231,17,11,605,6,90,6114,8,20
2017-01-21,203,18,9,649,11,82,7832,9,20
2017-01-22,228,28,3,534,11,67,13669,10,20
2017-01-23,329,31,6,599,14,92,7456,15,26
2017-01-24,360,36,52,565,8,193,5974,8,29
2017-01-25,276,31,7,724,15,106,6189,11,31
2017-01-26,274,32,33,1091,11,104,5816,13,29
2017-01-27,259,26,10,866,6,105,5692,6,26
2017-01-28,175,20,4,699,13,79,8589,10,18
2017-01-29,201,15,1,741,5,80,8805,6,20
2017-01-30,218,23,16,639,5,78,7470,7,11
2017-01-31,261,20,6,679,7,78,6770,6,11
2017-02-01,298,22,8,621,13,67,4822,11,25
2017-02-02,216,16,14,682,4,60,5292,1,4
2017-02-03,194,19,3,632,3,77,5077,5,8
2017-02-04,161,12,15,817,8,76,7206,7,20
2017-02-05,218,19,39,932,9,74,8816,8,19
2017-02-06,260,19,5,732,9,106,7336,7,20
2017-02-07,259,39,23,712,9,90,5190,6,34
2017-02-08,233,32,21,698,18,84,6715,11,26
2017-02-09,221,25,13,742,7,74,7294,8,22
2017-02-10,203,43,1,691,11,74,5444,9,21
2017-02-11,152,25,19,749,14,62,7350,11,21
2017-02-12,183,36,2,780,4,75,8932,5,16
2017-02-13,205,84,9,797,12,55,7969,10,31
2017-02-14,255,39,11,731,10,66,6515,6,19
2017-02-15,274,41,16,876,16,60,6083,11,20
2017-02-16,267,35,4,1429,15,68,5297,15,23
2017-02-17,234,24,6,5503,9,92,7270,6,34
2017-02-18,177,21,3,10249,9,126,8292,8,25
2017-02-19,173,22,4,11376,8,161,8570,3,19
2017-02-20,231,24,4,8369,7,111,7409,4,16
2017-02-21,300,23,3,7790,5,94,6460,4,14
2017-02-22,259,22,6,6168,10,76,5040,5,20
2017-02-23,260,24,4,4874,9,69,5250,8,16
2017-02-24,212,18,13,4494,7,74,5944,15,21
2017-02-25,175,23,4,4614,6,54,7829,8,16
2017-02-26,242,27,4,4728,13,73,12351,12,16
2017-02-27,252,25,4,3979,10,68,10786,9,19
2017-02-28,276,21,6,3494,5,101,6426,10,18
2017-03-01,273,31,5,2760,11,88,22404,10,27
2017-03-02,269,27,6,2943,5,65,12351,6,9
2017-03-03,211,24,13,2729,7,91,9512,6,18
2017-03-04,144,21,2,2754,7,59,9587,8,19
2017-03-05,205,20,5,3017,6,61,9687,8,15
2017-03-06,266,24,3,9003,4,112,11594,3,16
2017-03-07,256,23,7,5814,8,81,6179,13,24
2017-03-08,238,28,5,3213,11,85,6356,11,30
2017-03-09,245,24,9,2567,18,60,5881,12,28
2017-03-10,226,31,8,2247,16,77,6745,14,23
2017-03-11,158,26,8,2074,12,68,9173,9,31
2017-03-12,230,20,3,2368,9,74,9483,6,15
2017-03-13,226,22,6,2635,7,78,7648,5,23
2017-03-14,300,32,4,1824,15,94,7595,9,26
2017-03-15,279,25,1,1644,8,94,5709,6,14
2017-03-16,230,25,2,1480,6,71,4888,4,18
2017-03-17,256,12,1,1343,6,246,6382,6,22
2017-03-18,258,26,2,1461,8,212,7792,12,26
2017-03-19,226,26,4,1742,7,156,8076,6,27
2017-03-20,280,20,3,1258,2,130,6864,5,24
2017-03-21,304,22,18,1133,7,187,5771,9,23
2017-03-22,309,22,6,1180,12,193,4972,8,17
2017-03-23,223,32,12,1115,21,63,5259,14,73
2017-03-24,205,15,5,1210,7,69,5265,8,77
2017-03-25,173,28,6,1248,13,66,6024,11,60
2017-03-26,220,22,12,1501,3,73,6892,4,56
2017-03-27,252,30,5,1079,11,121,6743,6,38
2017-03-28,254,19,3,1067,5,97,13051,7,26
2017-03-29,229,20,11,914,8,54,6435,7,21
2017-03-30,237,36,1,1077,8,75,17523,8,16
2017-03-31,159,42,6,1074,10,80,7639,8,18
2017-04-01,130,25,1,1233,8,76,6990,12,23
2017-04-02,226,31,1,1894,9,71,8021,12,15
2017-04-03,241,24,7,1425,5,64,7642,4,13
2017-04-04,168,26,6,1425,7,160,5790,5,26
2017-04-05,192,25,14,1317,6,165,5308,6,13
2017-04-06,165,22,3,1280,6,142,5395,6,16
2017-04-07,158,26,3,1394,10,70,5028,5,26
2017-04-08,113,16,5,1787,4,63,7180,6,17
2017-04-09,177,13,14,1880,5,99,9096,4,16
2017-04-10,226,28,9,1401,16,85,5748,14,27
2017-04-11,186,23,5,1230,4,63,5361,6,18
2017-04-12,162,22,1,1187,9,84,5603,11,19
2017-04-13,164,28,2,1249,7,79,5740,8,14
2017-04-14,146,19,1,1410,4,64,7320,4,19
2017-04-15,117,21,3,1542,8,70,9351,8,15
2017-04-16,364,28,9,1531,9,66,8208,7,17
2017-04-17,212,29,5,1210,6,85,8079,10,22
2017-04-18,168,26,5,1270,14,77,5373,11,23
2017-04-19,201,21,10,1407,9,49,6156,4,17
2017-04-20,158,30,3,1188,10,61,6220,7,14
2017-04-21,156,14,4,1140,9,74,5473,6,13
2017-04-22,136,25,4,1162,12,71,6293,11,27
2017-04-23,133,21,1,1324,9,60,6243,6,16
2017-04-24,206,21,7,1335,12,93,6318,8,23
2017-04-25,204,22,4,1298,12,81,5844,11,35
2017-04-26,239,26,6,1618,4,90,5829,4,17
2017-04-27,216,23,10,1252,15,79,4852,8,23
2017-04-28,134,16,8,1036,8,55,4563,6,11
2017-04-29,134,14,2,1114,5,70,6614,11,18
2017-04-30,160,17,3,1216,6,81,8632,11,24
2017-05-01,226,27,7,1099,5,86,7377,11,26
2017-05-02,184,25,8,897,13,73,5638,11,21
2017-05-03,199,26,3,832,17,82,5514,15,30
2017-05-04,178,20,4,928,9,82,5826,11,15
2017-05-05,145,19,4,911,11,62,6562,6,13
2017-05-06,113,20,7,969,11,91,6698,10,24
2017-05-07,134,14,3,979,4,73,13771,10,15
2017-05-08,220,31,10,861,13,76,6772,15,21
2017-05-09,217,28,6,722,3,104,5145,2,20
2017-05-10,194,17,5,841,8,86,4667,2,13
2017-05-11,206,17,9,697,8,84,4508,7,17
2017-05-12,175,16,5,668,13,75,4905,12,20
2017-05-13,167,20,3,1027,14,68,6595,7,23
2017-05-14,164,19,6,922,12,81,5793,7,23
2017-05-15,198,38,3,727,18,87,4754,14,32
2017-05-16,222,31,1,716,12,83,4750,8,17
2017-05-17,203,21,3,678,12,84,5006,7,20
2017-05-18,203,19,5,737,11,73,5260,9,22
2017-05-19,249,28,7,839,14,88,5298,10,27
2017-05-20,159,24,6,909,13,67,5819,14,22
2017-05-21,184,27,6,739,17,54,6060,10,26
2017-05-22,223,20,4,600,8,96,4669,7,32
2017-05-23,231,23,5,634,14,80,4923,10,19
2017-05-24,214,16,5,641,4,93,4211,3,8
2017-05-25,431,25,3,608,11,78,4309,8,23
2017-05-26,212,21,7,741,11,66,4518,12,22
2017-05-27,133,20,1,786,5,60,4980,7,15
2017-05-28,171,29,4,741,5,67,5440,3,11
2017-05-29,181,17,3,604,5,66,5614,5,22
2017-05-30,171,24,11,612,13,109,5110,12,18
2017-05-31,205,25,2,528,8,97,4299,8,23
2017-06-01,215,44,5,496,12,85,4143,12,17
2017-06-02,178,26,2,514,33,63,4362,9,12
2017-06-03,104,21,9,532,4,58,5376,7,17
2017-06-04,155,24,8,519,5,85,5610,4,13
2017-06-05,152,21,3,527,3,113,5221,3,16
2017-06-06,219,17,2,461,16,98,4928,9,15
2017-06-07,185,29,1,521,16,89,4388,18,16
2017-06-08,203,29,3,475,9,88,4383,9,21
2017-06-09,172,12,4,452,7,134,5613,10,19
2017-06-10,138,18,3,494,4,109,7731,3,14
2017-06-11,158,27,6,512,9,50,7885,9,18
2017-06-12,223,29,4,406,7,84,5782,9,19
2017-06-13,216,33,0,426,18,66,4954,17,25
2017-06-14,207,25,6,451,9,126,4064,8,25
2017-06-15,190,37,1,438,9,283,4326,10,23
2017-06-16,168,17,3,504,6,93,5814,3,13
2017-06-17,128,32,7,484,11,63,7754,14,16
2017-06-18,159,22,1,386,9,78,8844,10,23
2017-06-19,154,24,12,353,6,211,5254,5,23
2017-06-20,153,28,2,404,7,100,4381,9,15
2017-06-21,176,15,3,463,9,74,5082,9,13
2017-06-22,199,26,4,486,14,95,5180,16,16
2017-06-23,140,25,11,408,10,74,4752,8,14
2017-06-24,125,20,3,493,5,97,8104,4,6
2017-06-25,122,18,3,503,8,92,8985,7,16
2017-06-26,154,19,2,565,6,84,6039,4,28
2017-06-27,167,26,11,496,14,124,4809,7,15
2017-06-28,255,34,6,486,10,96,4611,12,17
2017-06-29,154,24,2,514,4,68,4720,4,15
2017-06-30,175,24,10,475,6,78,9287,5,7
2017-07-01,121,22,3,446,6,54,10303,8,20
2017-07-02,133,20,7,462,6,82,7195,5,11
2017-07-03,186,23,7,428,10,530,5656,7,11
2017-07-04,188,23,2,496,10,66,5565,3,19
2017-07-05,146,13,6,616,6,118,4327,5,11
2017-07-06,145,27,5,632,11,80,4654,6,20
2017-07-07,146,20,3,675,7,73,5160,7,23
2017-07-08,101,27,4,582,4,83,5333,6,13
2017-07-09,120,51,5,554,7,89,6522,6,24
2017-07-10,149,21,1,649,5,61,5251,6,16
2017-07-11,168,14,4,653,8,75,4227,9,20
2017-07-12,124,28,3,531,10,105,4075,6,23
2017-07-13,139,33,6,518,5,67,3969,3,19
2017-07-14,122,24,4,506,3,71,6609,7,11
2017-07-15,138,21,4,538,7,1702,6078,10,19
2017-07-16,140,27,3,524,6,237,6239,8,21
2017-07-17,160,24,50,486,6,145,4557,7,11
2017-07-18,111,23,84,449,9,115,4729,6,12
2017-07-19,200,28,49,612,11,103,4343,8,15
2017-07-20,119,23,14,537,8,111,4766,6,30
2017-07-21,133,29,5,445,10,74,4553,8,15
2017-07-22,118,18,10,543,4,112,5385,6,14
2017-07-23,186,25,10,582,12,68,6663,11,15
2017-07-24,151,24,8,531,6,88,5693,7,22
2017-07-25,152,22,11,468,9,103,4444,3,27
2017-07-26,179,25,11,501,13,104,4290,12,20
2017-07-27,163,19,2,460,9,111,4276,8,23
2017-07-28,132,16,8,433,7,77,6292,7,18
2017-07-29,116,13,7,539,2,82,6466,3,15
2017-07-30,142,7,6,484,1,64,6377,4,14
2017-07-31,116,22,30,436,5,97,4391,7,30
2017-08-01,176,37,124,464,12,76,5438,18,23
2017-08-02,171,29,115,440,10,231,4790,7,21
2017-08-03,162,23,98,430,12,74,4698,9,19
2017-08-04,137,28,87,434,14,131,4975,17,15
2017-08-05,142,28,110,532,14,63,5131,15,29
2017-08-06,140,30,94,587,8,62,7027,10,24
2017-08-07,186,27,108,572,9,64,5542,12,23
2017-08-08,163,28,93,487,8,72,5592,11,17
2017-08-09,188,23,93,480,7,81,5178,12,28
2017-08-10,147,23,118,568,8,111,4854,11,13
2017-08-11,129,25,121,583,15,82,5151,11,17
2017-08-12,135,19,126,602,13,107,7179,11,15
2017-08-13,166,17,84,720,6,57,6226,10,13
2017-08-14,160,31,106,691,14,100,5565,13,16
2017-08-15,150,24,74,3725,11,72,4635,12,22
2017-08-16,183,22,94,1467,12,117,4384,12,15
2017-08-17,128,28,46,758,4,157,4467,4,11
2017-08-18,121,30,35,660,13,77,5097,15,19
2017-08-19,131,17,14,633,7,60,6001,7,18
2017-08-20,147,21,17,1791,8,49,7222,11,25
2017-08-21,143,21,35,613,5,66,6280,4,20
2017-08-22,176,23,181,531,8,67,5080,5,11
2017-08-23,209,31,51,569,6,60,4428,6,21
2017-08-24,148,39,23,517,16,81,4433,15,33
2017-08-25,144,18,11,459,9,82,4929,7,34
2017-08-26,175,26,10,489,5,78,5409,5,18
2017-08-27,171,41,28,648,7,43,5836,6,20
2017-08-28,199,15,23,496,47,64,8466,7,14
2017-08-29,221,54,7,459,5,84,5819,10,11
2017-08-30,198,41,9,421,9,106,5282,44,60
2017-08-31,243,41,11,371,10,279,4776,12,24
2017-09-01,194,39,13,396,15,182,5415,13,43
2017-09-02,140,25,17,417,8,150,6135,9,20
2017-09-03,165,24,13,401,9,150,7392,11,27
2017-09-04,162,18,9,422,9,163,6498,10,20
2017-09-05,268,34,10,400,12,170,4664,12,22
2017-09-06,199,31,24,385,12,160,4027,16,19
2017-09-07,226,22,13,398,11,145,4619,8,11
2017-09-08,197,36,17,414,6,151,4433,8,10
2017-09-09,166,24,10,579,8,155,5455,6,15
2017-09-10,196,25,22,579,27,143,6666,14,20
2017-09-11,274,41,15,448,8,167,6145,10,13
2017-09-12,314,26,17,432,21,150,4967,7,12
2017-09-13,246,48,14,415,8,187,7476,11,25
2017-09-14,202,42,25,405,17,128,12371,18,29
2017-09-15,192,39,29,455,11,144,7428,16,27
2017-09-16,161,18,12,943,10,148,7021,9,17
2017-09-17,173,19,7,457,2,121,6803,5,14
2017-09-18,440,35,20,466,12,159,5412,9,29
2017-09-19,37970,149,25,406,24,215,4111,15,29
2017-09-20,7628,31717,210,343,9,173,4326,6,14
2017-09-21,5199,4944,29748,1914,9,147,5065,10,14
2017-09-22,3290,2523,4521,54762,246,135,6667,23,29
2017-09-23,1014,1898,2474,10137,17829,370,8422,11,23
2017-09-24,710,280,1746,6363,3357,39756,9222,12,26
2017-09-25,657,211,313,4895,1954,9203,104464,170,14
2017-09-26,590,165,213,1564,1218,4588,20589,23145,321
2017-09-27,525,132,172,1107,239,3363,10965,4452,37675
2017-09-28,523,110,156,854,151,653,17288,2493,6099
2017-09-29,445,104,134,1093,133,437,13076,1834,3220
2017-09-30,315,88,111,744,126,365,7304,269,1972
2017-10-01,359,65,91,892,83,314,7460,198,561
2017-10-02,370,70,92,654,86,267,5910,146,339
2017-10-03,394,61,84,626,74,236,5004,153,264
2017-10-04,405,67,72,537,75,181,5011,121,181
2017-10-05,307,58,80,491,71,176,5085,106,163
2017-10-06,281,53,52,545,76,176,5942,92,132
2017-10-07,256,47,42,538,50,143,7174,79,160
2017-10-08,272,57,48,540,25,146,8635,62,132
2017-10-09,299,48,56,448,60,140,6338,72,111
2017-10-10,291,49,37,403,34,130,5450,75,88
2017-10-11,305,50,47,390,34,122,4981,58,71
2017-10-12,291,38,53,486,44,109,4987,42,155
2017-10-13,286,47,41,447,30,107,6258,52,69
2017-10-14,197,38,37,409,21,122,6574,69,71
2017-10-15,220,43,47,474,40,124,7610,54,67
2017-10-16,290,29,33,443,27,121,5976,41,42
2017-10-17,389,52,42,386,31,115,6683,40,58
2017-10-18,372,36,38,649,31,111,5379,37,57
2017-10-19,275,49,33,429,32,96,4882,47,45
2017-10-20,225,36,29,442,26,93,5038,42,47
2017-10-21,170,26,34,454,34,98,5766,38,47
2017-10-22,251,28,24,412,20,147,7938,47,49
2017-10-23,322,34,18,339,14,98,8697,47,43
2017-10-24,311,138,28,428,18,126,8213,37,56
2017-10-25,319,23,26,341,20,131,6841,35,49
2017-10-26,339,41,17,345,18,85,6530,35,60
2017-10-27,247,19,25,441,23,77,10742,44,45
2017-10-28,197,26,21,369,21,100,6539,35,30
2017-10-29,264,30,26,382,17,94,6410,21,38
2017-10-30,317,27,17,391,14,91,5039,20,36
2017-10-31,287,26,28,311,17,68,4614,21,43
2017-11-01,304,27,23,304,21,122,4825,28,46
2017-11-02,317,22,15,330,12,102,6153,26,30
2017-11-03,275,19,49,364,9,86,5272,32,32
2017-11-04,210,21,9,453,12,79,6545,31,35
2017-11-05,280,26,18,421,15,89,8442,36,31
2017-11-06,321,29,21,478,32,100,5884,37,27
2017-11-07,360,41,25,387,14,84,4807,32,29
2017-11-08,339,21,19,363,15,77,4665,37,28
2017-11-09,334,24,20,313,23,93,4638,23,32
2017-11-10,224,20,19,382,5,69,5620,25,32
2017-11-11,160,26,11,425,9,63,10634,41,37
2017-11-12,248,23,20,916,63,63,7998,25,32
2017-11-13,326,34,23,472,18,98,5037,42,32
2017-11-14,341,30,15,469,10,97,4471,22,28
2017-11-15,341,22,20,419,9,173,5558,23,23
2017-11-16,294,33,25,418,19,82,4451,37,27
2017-11-17,246,15,14,449,11,72,4824,24,29
2017-11-18,227,25,20,510,10,70,6839,25,21
2017-11-19,388,33,14,858,13,56,9594,33,21
2017-11-20,303,31,21,395,22,77,8660,23,22
2017-11-21,265,26,18,409,23,85,6830,31,29
2017-11-22,198,17,23,556,15,92,4841,15,25
2017-11-23,181,28,27,468,16,72,4805,22,29
2017-11-24,171,20,22,419,13,56,4958,15,32
2017-11-25,240,39,37,447,13,67,6078,21,31
2017-11-26,241,32,18,542,10,71,6995,25,22
2017-11-27,246,37,30,417,14,80,5332,33,22
2017-11-28,345,51,36,365,30,94,8012,47,31
2017-11-29,283,23,17,502,30,77,5021,28,20
2017-11-30,290,27,26,403,48,81,4882,26,23
2017-12-01,279,35,30,430,17,64,5205,34,31
2017-12-02,163,27,18,465,10,67,8949,20,29
2017-12-03,225,23,18,539,10,84,6969,24,29
2017-12-04,342,19,29,594,45,79,5530,51,21
2017-12-05,306,18,16,471,7,72,5051,18,20
2017-12-06,343,25,14,438,20,83,4692,28,31
2017-12-07,299,23,20,478,241,60,5024,25,23
2017-12-08,243,24,33,809,12,58,6214,17,29
2017-12-09,194,32,32,604,15,76,10394,16,29
2017-12-10,185,26,24,514,15,63,17592,28,21
2017-12-11,289,40,31,455,19,94,9781,26,24
2017-12-12,327,41,29,470,17,95,9859,29,23
2017-12-13,306,16,21,596,21,85,7895,34,20
2017-12-14,285,26,34,606,19,60,6576,29,29
2017-12-15,275,35,23,858,17,75,5218,26,22
2017-12-16,144,24,23,501,20,70,7763,27,28
2017-12-17,168,29,16,637,23,68,7545,29,28
2017-12-18,231,95,25,397,11,90,8550,25,30
2017-12-19,333,30,22,455,11,103,6383,21,26
2017-12-20,234,40,26,357,184,81,7414,20,24
2017-12-21,144,17,9,407,3,60,6271,12,26
2017-12-22,143,18,12,375,3,37,7802,16,19
2017-12-23,109,30,26,602,12,60,8554,14,18
2017-12-24,101,13,17,380,10,40,7904,21,15
2017-12-25,96,24,25,403,7,52,8964,12,12
2017-12-26,135,15,10,418,7,63,9589,13,16
2017-12-27,131,28,26,391,12,61,10070,18,27
2017-12-28,155,20,28,345,10,57,9367,20,21
2017-12-29,115,20,13,383,13,78,13279,15,24
2017-12-30,126,21,13,355,11,42,10628,16,12
2017-12-31,925,16,12,330,13,57,10274,14,22
2018-01-01,146,28,30,1044,8,63,10670,15,17
2018-01-02,203,19,15,370,12,58,8153,17,15
2018-01-03,181,25,20,428,14,75,9187,14,29
2018-01-04,167,31,23,408,14,76,8005,9,12
2018-01-05,155,23,20,401,12,76,8327,13,24
2018-01-06,153,34,28,317,14,68,10829,12,24
2018-01-07,156,30,18,386,12,79,17322,8,30
2018-01-08,201,26,21,367,9,76,175497,13,22
2018-01-09,192,30,30,367,4,56,27604,15,15
2018-01-10,218,20,17,408,3,81,30809,9,19
2018-01-11,232,29,15,339,11,82,17223,16,25
2018-01-12,214,27,18,331,10,58,11294,15,19
2018-01-13,162,25,20,390,16,69,11373,19,25
2018-01-14,204,31,45,345,16,70,15224,28,25
2018-01-15,196,41,19,418,10,83,15625,33,28
2018-01-16,243,24,18,364,11,85,16220,17,51
2018-01-17,257,24,16,394,12,87,19883,31,26
2018-01-18,288,28,18,366,11,105,27815,14,19
2018-01-19,215,25,20,418,8,73,33507,23,20
2018-01-20,157,14,16,895,13,59,26970,15,21
2018-01-21,185,22,19,448,6,46,34142,14,24
2018-01-22,253,91,21,426,9,63,20700,11,18
2018-01-23,302,20,11,422,10,77,12050,15,21
2018-01-24,256,22,18,341,7,77,8851,19,17
2018-01-25,246,24,13,338,8,77,8904,19,15
2018-01-26,245,19,21,503,12,73,7966,21,23
2018-01-27,224,19,7,339,3,56,8733,16,17
2018-01-28,244,21,23,378,7,73,9877,18,18
2018-01-29,306,21,14,322,6,84,7605,25,20
2018-01-30,316,17,20,324,10,74,6916,16,23
2018-01-31,296,28,17,365,9,68,6372,15,17
2018-02-01,278,22,15,343,11,63,6358,23,24
2018-02-02,269,24,23,319,8,62,6572,19,28
2018-02-03,207,19,15,317,7,57,8083,29,18
2018-02-04,250,17,14,435,9,69,9881,23,25
2018-02-05,277,25,19,331,10,65,6669,19,23
2018-02-06,313,27,19,359,11,88,6184,25,19
2018-02-07,273,21,11,313,5,60,6198,12,15
2018-02-08,282,27,16,327,9,102,6504,12,17
2018-02-09,217,32,16,340,13,81,5896,16,22
2018-02-10,165,17,15,344,25,58,8453,26,19
2018-02-11,219,28,26,343,15,66,11262,32,19
2018-02-12,241,21,19,358,5,80,8374,18,21
2018-02-13,265,22,25,395,3,74,5918,19,7
2018-02-14,219,18,16,371,11,64,5406,21,13
2018-02-15,248,53,26,352,8,46,5093,21,17
2018-02-16,206,29,17,322,7,58,5637,22,26
2018-02-17,174,30,17,323,9,75,7113,24,28
2018-02-18,193,24,20,313,7,60,8739,21,14
2018-02-19,227,21,15,494,8,63,6791,23,22
2018-02-20,219,18,15,377,15,58,6306,25,34
2018-02-21,247,27,16,336,14,130,5609,29,32
2018-02-22,230,36,33,349,15,80,5474,42,22
2018-02-23,210,24,19,301,9,54,6243,30,24
2018-02-24,182,24,25,335,14,62,8236,30,22
2018-02-25,208,44,31,335,32,82,7379,36,42
2018-02-26,263,31,17,347,9,73,6130,31,22
2018-02-27,264,40,25,303,8,63,5183,23,20
2018-02-28,230,24,26,1141,5,87,5917,16,26
2018-03-01,270,16,24,302,12,71,6354,27,24
2018-03-02,198,25,21,445,11,86,6666,20,24
2018-03-03,181,30,23,375,12,72,7632,30,30
2018-03-04,219,28,25,392,15,58,8117,24,25
2018-03-05,232,29,26,349,73,60,7233,18,15
2018-03-06,263,36,10,340,8,50,5091,26,17
2018-03-07,243,27,17,328,8,61,5815,22,10
2018-03-08,178,33,26,322,13,81,6548,27,21
2018-03-09,197,18,13,351,11,64,5556,23,13
2018-03-10,153,39,11,354,8,59,6560,18,35
2018-03-11,194,23,13,329,4,67,7037,25,82
2018-03-12,252,33,17,319,9,75,6349,26,57
2018-03-13,246,31,5,268,6,62,5234,18,37
2018-03-14,232,26,11,275,8,64,4596,28,32
2018-03-15,267,22,12,290,8,59,4621,20,24
2018-03-16,183,18,11,335,7,64,4927,32,19
2018-03-17,196,19,13,279,9,66,7852,15,21
2018-03-18,201,23,10,281,7,68,7926,18,13
2018-03-19,249,20,10,617,17,96,7653,24,27
2018-03-20,273,31,9,361,6,60,5104,18,26
2018-03-21,245,20,15,370,15,78,5140,27,30
2018-03-22,212,24,15,263,6,74,4912,18,14
2018-03-23,165,17,14,312,8,77,5336,23,19
2018-03-24,137,15,12,306,6,74,6217,22,24
2018-03-25,174,32,11,278,9,135,7822,20,19
2018-03-26,237,18,14,344,7,94,5780,26,20
2018-03-27,225,25,11,262,8,114,5394,22,28
2018-03-28,205,20,20,308,162,86,15375,22,28
2018-03-29,206,16,20,299,5,77,7694,14,33
2018-03-30,164,14,20,252,8,74,6453,27,19
2018-03-31,161,13,10,300,5,67,5902,20,15
2018-04-01,179,21,11,259,8,82,6884,22,20
2018-04-02,204,19,15,277,10,89,7176,32,24
2018-04-03,211,30,22,272,9,74,5012,20,27
2018-04-04,189,26,11,271,9,77,7823,27,20
2018-04-05,218,24,8,267,10,76,4938,24,15
2018-04-06,152,34,15,249,12,73,9231,25,23
2018-04-07,145,14,10,270,8,62,11759,22,14
2018-04-08,148,25,9,347,3,69,8118,17,16
2018-04-09,222,38,12,280,9,53,11107,29,38
2018-04-10,207,18,15,354,5,79,15222,17,27
2018-04-11,250,21,12,347,12,131,8280,24,21
2018-04-12,191,26,14,259,17,59,6128,42,29
2018-04-13,181,7,12,308,13,63,5299,16,20
2018-04-14,186,29,18,367,14,53,6018,27,29
2018-04-15,186,37,16,352,9,82,8695,17,16
2018-04-16,186,22,15,364,10,64,6521,21,12
2018-04-17,210,18,19,313,14,82,4733,27,35
2018-04-18,194,50,11,308,11,61,5004,19,28
2018-04-19,184,24,13,296,8,49,5170,29,31
2018-04-20,180,23,9,256,8,3912,5504,19,48
2018-04-21,153,15,8,309,3,117,6689,14,24
2018-04-22,146,20,12,392,12,80,7972,26,26
2018-04-23,203,18,28,272,6,93,5090,16,15
2018-04-24,187,43,11,310,5,76,4561,23,17
2018-04-25,222,26,13,255,8,80,4549,17,24
2018-04-26,162,21,7,285,6,93,4360,21,24
2018-04-27,165,24,7,314,4,82,7091,22,18
2018-04-28,119,18,15,338,5,70,6515,21,16
2018-04-29,155,51,35,288,5,62,7212,19,27
2018-04-30,161,26,12,310,3,111,5200,22,16
2018-05-01,243,22,14,330,9,115,6282,20,28
2018-05-02,172,23,9,285,2,71,4596,23,18
2018-05-03,151,34,17,261,9,78,4486,25,19
2018-05-04,148,35,16,280,7,84,5786,23,15
2018-05-05,163,20,10,274,6,105,8594,25,19
2018-05-06,170,18,8,286,4,121,6487,18,18
2018-05-07,224,28,12,294,10,93,5062,24,23
2018-05-08,151,36,8,245,10,103,4624,19,20
