Date,"Egyptian temple","Planet Stories","The Blue Flame (play)","INS Vikrant (R11)","Literary Hall","Downtown Seattle Transit Tunnel","Catherine Zeta-Jones","St Botolph's Church, Quarrington","Spotted green pigeon"
2015-10-28,391,28,11,291,6,51,3892,4,15
2015-10-29,372,28,10,336,6,67,3975,10,2
2015-10-30,285,43,5,285,12,53,4201,6,5
2015-10-31,203,29,5,247,90,77,4936,3,13
2015-11-01,406,52,8,279,38,51,7372,0,10
2015-11-02,325,13,4,279,29,80,4467,7,8
2015-11-03,352,30,5,278,6,59,4209,1,10
2015-11-04,363,31,3,266,9,65,3970,8,6
2015-11-05,381,26,1,287,3,76,4289,6,10
2015-11-06,331,25,6,272,9,74,5454,8,17
2015-11-07,240,36,1,207,11,60,6377,0,25
2015-11-08,232,24,3,218,3,54,6788,1,47
2015-11-09,317,26,1,317,5,106,6040,0,44
2015-11-10,328,24,1,258,4,83,4828,5,5
2015-11-11,238,28,3,239,4,68,4290,1,10
2015-11-12,338,44,1,232,0,74,4427,0,15
2015-11-13,312,25,3,235,6,67,4027,1,11
2015-11-14,199,24,5,263,3,56,4615,1,8
2015-11-15,227,27,9,291,4,74,5469,4,10
2015-11-16,299,32,2,359,1,66,4465,1,4
2015-11-17,505,42,2,316,16,54,4856,2,13
2015-11-18,335,34,1,316,5,64,6269,1,11
2015-11-19,346,36,1,313,3,86,7244,5,8
2015-11-20,298,28,1,326,10,67,5342,2,10
2015-11-21,221,28,2,325,9,68,6056,3,6
2015-11-22,230,31,1,350,1,43,6278,0,8
2015-11-23,305,39,1,333,3,54,4422,3,12
2015-11-24,299,42,3,333,6,64,4171,1,10
2015-11-25,200,27,2,284,0,53,6332,3,18
2015-11-26,195,31,2,335,7,39,4697,0,10
2015-11-27,169,25,1,333,6,36,4756,5,7
2015-11-28,171,21,3,301,1,64,5573,1,11
2015-11-29,249,24,4,335,0,51,7263,2,9
2015-11-30,305,23,2,305,8,55,4690,7,8
2015-12-01,332,38,2,294,6,76,4838,29,9
2015-12-02,352,24,1,323,4,70,4597,7,7
2015-12-03,334,34,3,400,1,56,4763,7,9
2015-12-04,309,26,4,593,6,64,5847,17,11
2015-12-05,179,32,8,404,5,54,6116,8,14
2015-12-06,273,32,1,368,6,46,6478,2,12
2015-12-07,344,24,2,352,4,108,4752,12,18
2015-12-08,375,33,2,348,3,74,4915,3,12
2015-12-09,322,36,2,317,10,60,8707,2,8
2015-12-10,325,30,0,324,9,65,11777,4,10
2015-12-11,338,52,2,302,7,52,9280,7,5
2015-12-12,184,71,2,310,3,44,12875,3,6
2015-12-13,218,68,1,369,1,52,8424,2,4
2015-12-14,342,84,1,360,8,67,6388,5,6
2015-12-15,279,43,7,444,4,49,4862,3,7
2015-12-16,268,39,2,511,3,67,4598,2,6
2015-12-17,252,35,0,369,3,68,3983,1,11
2015-12-18,199,51,1,301,3,57,6689,0,6
2015-12-19,199,38,1,303,1,35,6625,0,8
