Date,"Xx (album)","Jennifer Lawrence","Richard II of England","Hurricane Andrew","Heathenry (new religious movement)","Bone Wars","Lundomys","My Happiness (Powderfinger song)","2015 Vuelta a España"
2015-10-16,2129,12080,1940,717,244,148,15,27,116
2015-10-17,2073,12095,1869,608,287,141,24,28,104
2015-10-18,1879,12994,2336,617,220,152,18,30,110
2015-10-19,1206,12284,2016,1001,241,168,17,33,110
2015-10-20,887,10894,2167,776,251,132,18,30,182
2015-10-21,886,10803,1918,856,349,153,11,30,184
2015-10-22,1124,11494,1802,864,230,149,15,29,150
2015-10-23,1540,13918,1989,14190,257,155,20,35,124
2015-10-24,1314,12384,1660,11995,218,140,8,22,92
2015-10-25,1801,12850,2262,2913,253,194,10,29,144
2015-10-26,1407,11329,2100,2165,306,186,17,27,154
2015-10-27,1430,10617,1879,1460,279,160,14,36,178
2015-10-28,1127,11301,1648,1166,295,163,10,27,110
2015-10-29,1324,10165,1684,970,279,166,13,38,162
2015-10-30,1154,10032,1643,791,247,160,17,36,137
2015-10-31,1201,11007,1406,521,300,101,9,23,98
2015-11-01,1228,16048,1723,629,239,187,14,32,145
2015-11-02,1150,14197,1865,777,356,175,7,28,114
2015-11-03,1088,13118,1645,832,279,149,8,22,103
2015-11-04,1064,14434,1764,889,244,158,5,27,96
2015-11-05,953,17013,1731,912,231,130,6,29,87
2015-11-06,858,19117,1708,615,195,108,8,36,84
2015-11-07,1447,20207,1597,480,304,125,13,28,112
2015-11-08,1579,23094,1812,544,292,134,2,25,70
2015-11-09,1486,21257,1927,783,297,176,5,23,104
2015-11-10,1839,16783,1817,831,454,165,7,23,80
2015-11-11,1938,19251,1751,816,706,143,7,32,86
2015-11-12,1768,31993,1669,926,361,154,20,36,73
2015-11-13,1679,39595,1573,795,338,136,7,23,88
2015-11-14,1650,25291,1441,432,241,106,8,29,80
2015-11-15,1687,28869,1679,557,385,112,12,34,79
2015-11-16,1750,24422,1769,788,504,128,19,38,72
2015-11-17,1810,23499,1833,912,712,119,12,30,96
2015-11-18,1764,27762,1683,907,502,229,9,21,79
2015-11-19,1948,56689,1733,985,316,253,12,23,82
2015-11-20,2178,61483,1582,651,357,191,10,26,96
2015-11-21,1906,62599,1793,505,298,169,7,23,61
2015-11-22,1981,54075,1993,698,258,116,11,20,51
2015-11-23,1841,42267,1717,644,299,153,9,30,97
2015-11-24,1967,33798,1541,631,314,287,13,26,75
2015-11-25,2264,34543,1562,583,225,184,11,29,87
2015-11-26,2217,31842,1385,477,255,135,9,19,62
2015-11-27,2294,31853,1445,432,302,159,13,25,71
2015-11-28,2412,41404,1451,469,339,120,8,23,95
2015-11-29,1924,42581,1913,548,394,156,12,39,110
2015-11-30,1747,33073,2002,721,365,134,7,17,86
2015-12-01,1571,25641,1797,736,421,127,17,25,88
2015-12-02,1316,22766,1703,739,531,153,11,24,94
2015-12-03,1356,21310,1723,702,324,142,7,22,58
2015-12-04,1536,20239,1559,2114,353,109,7,32,118
2015-12-05,1646,26284,1469,411,385,209,14,28,109
2015-12-06,1274,28888,1673,497,385,115,11,28,166
2015-12-07,1419,25057,1849,768,493,133,9,24,141
2015-12-08,1631,20320,1900,703,533,139,6,19,150
2015-12-09,1439,21406,1728,696,376,160,13,24,140
2015-12-10,1665,20499,1668,766,472,204,8,20,417
2015-12-11,1483,23908,1659,783,539,151,10,25,135
2015-12-12,1818,29637,1553,391,409,100,14,36,129
2015-12-13,1772,28928,1694,434,358,107,4,34,139
2015-12-14,1724,30175,1842,682,388,132,6,26,138
2015-12-15,2061,36045,1592,578,374,136,9,13,141
2015-12-16,2245,38983,1504,571,337,146,14,27,161
2015-12-17,2365,42113,1449,575,294,130,7,27,140
2015-12-18,2054,31061,1174,434,327,129,5,36,137
2015-12-19,2146,25728,1362,382,264,96,7,17,148
2015-12-20,2168,27244,1373,339,345,77,5,19,115
2015-12-21,2354,31496,1421,405,348,112,5,22,150
2015-12-22,1995,43472,1544,375,406,82,7,22,187
2015-12-23,2137,42800,1411,419,362,98,7,14,253
2015-12-24,2137,32247,1238,345,394,76,7,16,195
2015-12-25,2125,31015,1239,374,377,72,8,17,165
2015-12-26,2143,40346,1373,355,368,79,8,39,144
2015-12-27,2274,40616,1905,486,349,83,17,23,217
2015-12-28,2232,41269,2427,492,359,80,9,18,133
2015-12-29,2586,33975,1918,474,342,115,8,18,100
2015-12-30,2660,37805,1816,537,375,92,8,21,168
2015-12-31,2421,47820,1475,415,307,85,5,25,192
2016-01-01,2401,48676,1550,363,260,493,5,24,121
2016-01-02,2551,44023,1876,407,445,211,6,32,98
2016-01-03,2657,39212,2064,467,397,131,6,25,100
2016-01-04,2308,28773,2245,600,416,161,11,24,92
2016-01-05,1904,30771,1978,659,348,123,9,27,87
2016-01-06,2234,30788,2548,636,402,193,14,25,114
2016-01-07,2415,24914,2402,616,344,169,17,28,120
2016-01-08,2421,23787,2101,558,371,139,12,42,111
2016-01-09,1807,33635,1977,478,325,96,16,22,188
2016-01-10,1712,30429,2714,506,370,100,11,22,126
2016-01-11,1824,101134,1970,624,419,175,4,17,143
2016-01-12,2221,46647,2071,632,392,344,4,20,117
2016-01-13,2257,27736,1885,654,364,133,5,17,84
2016-01-14,1999,42748,1971,876,368,156,5,27,91
2016-01-15,1892,33260,2535,840,385,136,8,35,89
2016-01-16,2002,30288,1716,543,378,104,9,29,91
2016-01-17,2327,29810,2024,693,437,145,5,31,78
2016-01-18,1749,26228,3617,634,478,140,14,32,96
2016-01-19,1866,24430,2803,806,442,151,5,18,133
2016-01-20,1963,22165,2186,856,417,136,3,14,86
2016-01-21,2025,20933,2089,818,426,135,12,33,100
2016-01-22,1854,19228,1931,792,465,130,5,28,84
2016-01-23,2124,20831,2196,668,414,117,9,20,98
2016-01-24,1935,21483,2167,657,488,143,16,21,126
2016-01-25,1991,17662,2185,744,480,155,10,23,114
2016-01-26,2018,14967,2102,726,504,136,7,38,68
2016-01-27,2171,13646,1933,743,409,202,6,23,82
2016-01-28,2113,13032,2162,720,456,200,7,26,79
2016-01-29,2182,12906,1748,705,411,134,5,35,71
2016-01-30,2087,15799,1844,477,384,203,11,41,57
2016-01-31,2060,18534,2072,554,480,165,5,27,84
2016-02-01,2503,14909,4449,693,456,152,12,20,84
2016-02-02,2485,14040,2302,736,404,147,8,42,89
2016-02-03,2438,12969,2018,792,447,127,5,24,78
2016-02-04,2715,12768,1929,751,430,167,6,22,68
2016-02-05,2371,12636,1781,609,461,155,12,19,99
2016-02-06,2368,13845,1819,448,433,191,5,32,54
2016-02-07,2548,15869,1832,915,461,151,10,33,74
2016-02-08,2733,20572,2435,804,454,184,5,20,76
2016-02-09,2810,13607,12020,751,430,279,11,26,69
