Date,"Xx (album)","Jennifer Lawrence","Richard II of England","Hurricane Andrew","Heathenry (new religious movement)","Bone Wars","Lundomys","My Happiness (Powderfinger song)","2015 Vuelta a España"
2016-10-21,2389,12616,1625,1075,405,363,5,34,23
2016-10-22,2435,16608,1637,735,383,335,5,15,22
2016-10-23,2496,15817,1704,804,415,335,6,24,25
2016-10-24,2542,12081,1727,1142,539,488,8,28,29
2016-10-25,2435,11105,1749,996,468,413,13,31,47
2016-10-26,2630,11476,1672,839,467,381,10,24,40
2016-10-27,2571,11274,1527,864,485,328,11,27,26
2016-10-28,2255,14656,1528,732,448,273,16,28,33
2016-10-29,2204,15045,1471,511,471,210,5,22,28
2016-10-30,2387,15521,1917,628,474,301,9,26,21
2016-10-31,2449,11089,1743,676,503,446,8,22,33
2016-11-01,2589,10675,2050,696,496,385,10,27,26
2016-11-02,2460,10822,1807,811,432,339,15,28,24
2016-11-03,2586,13691,1602,844,453,332,9,31,25
2016-11-04,2921,16880,1756,680,475,379,8,26,33
2016-11-05,2747,18483,1653,450,476,217,6,22,15
2016-11-06,3194,18210,1939,669,470,225,6,27,19
2016-11-07,3574,13299,2042,690,537,379,9,26,26
2016-11-08,3238,12148,1598,755,491,295,17,29,22
2016-11-09,2649,12661,1130,664,409,190,10,28,25
2016-11-10,3877,22385,1457,832,443,246,13,32,21
2016-11-11,3986,20528,1396,460,464,212,8,32,21
2016-11-12,5394,17176,1530,400,417,207,6,29,19
2016-11-13,5261,23775,10958,419,437,249,10,40,18
2016-11-14,4631,14049,3907,684,557,370,11,58,23
2016-11-15,4301,13475,2777,941,537,369,11,26,25
2016-11-16,4217,14171,2399,783,497,283,7,30,23
2016-11-17,4111,14824,2166,777,545,305,4,22,15
2016-11-18,4499,16975,1943,685,494,237,7,27,28
2016-11-19,3995,15237,2011,431,446,213,12,28,18
2016-11-20,8481,17553,2501,498,488,267,9,30,18
2016-11-21,6552,15296,2199,686,562,364,4,23,20
2016-11-22,5890,16541,1894,583,559,296,6,15,19
2016-11-23,4298,14716,1755,523,537,247,4,38,18
2016-11-24,3611,15466,1891,528,510,263,13,41,18
2016-11-25,3544,16639,1851,416,442,265,11,30,24
2016-11-26,3154,18867,1816,381,480,241,17,38,24
2016-11-27,3472,19033,2379,471,540,285,9,32,24
2016-11-28,3575,15221,2060,631,608,393,10,25,35
2016-11-29,2519,17045,2091,657,560,376,10,37,26
2016-11-30,2192,15876,1753,670,512,308,19,25,24
2016-12-01,2283,17227,1738,672,601,284,6,31,28
2016-12-02,2885,40539,1642,649,523,227,12,27,20
2016-12-03,2945,37487,1925,433,415,265,8,25,16
2016-12-04,2886,36378,1885,415,513,298,24,30,17
2016-12-05,2922,25193,1693,647,547,535,13,19,18
2016-12-06,3034,23005,1704,698,544,419,12,30,23
2016-12-07,3084,21878,1760,657,703,335,12,18,15
2016-12-08,3356,18131,1723,638,724,312,9,18,24
2016-12-09,3254,24622,1722,655,640,292,25,39,39
2016-12-10,3360,24292,1837,394,583,263,10,23,28
2016-12-11,3424,26373,2139,439,747,282,8,26,35
2016-12-12,3370,24303,3089,614,827,493,20,24,31
2016-12-13,3794,48891,2168,658,769,287,6,21,29
2016-12-14,3528,37877,1971,659,722,325,11,26,17
2016-12-15,3123,30861,1865,649,665,223,9,25,19
2016-12-16,2729,32907,1708,485,639,171,12,23,35
2016-12-17,2848,27966,1749,285,684,223,18,29,36
2016-12-18,2930,29139,2052,354,804,202,9,21,39
2016-12-19,2717,26026,3180,546,813,230,6,19,19
2016-12-20,2565,28330,2115,506,911,209,7,29,21
2016-12-21,2724,36829,2000,434,1534,197,8,17,16
2016-12-22,2781,34201,1872,388,1243,212,12,21,29
2016-12-23,2974,32094,1854,400,950,201,9,23,30
2016-12-24,2859,26249,1675,286,1149,172,6,17,521
2016-12-25,3020,26920,1682,315,1336,243,9,19,20
2016-12-26,2819,35132,3477,378,889,837,127,16,25
2016-12-27,2852,38760,2521,378,641,282,8,237,29
2016-12-28,3501,39674,2321,355,613,255,12,17,27
2016-12-29,2889,35051,2109,377,594,231,13,17,33
2016-12-30,2752,37567,2368,397,651,235,10,22,18
2016-12-31,2771,31125,2084,491,630,184,7,27,11
2017-01-01,2937,41507,2367,391,548,226,7,22,24
2017-01-02,3157,37412,2722,373,781,259,5,16,21
2017-01-03,3071,33995,3262,435,645,357,12,25,26
2017-01-04,3076,29035,2765,508,662,323,7,20,21
2017-01-05,3409,26018,2379,580,744,366,18,30,38
2017-01-06,3080,30791,2855,538,665,316,14,20,36
2017-01-07,2941,41572,2383,414,667,224,8,21,25
2017-01-08,2681,37830,3266,445,651,231,9,14,33
2017-01-09,3036,30805,2414,521,625,545,7,17,25
2017-01-10,3006,24580,2207,593,711,276,6,27,31
2017-01-11,2977,20537,1976,559,668,231,9,23,25
2017-01-12,3861,23862,1942,732,704,277,10,28,42
2017-01-13,5471,20066,1875,557,561,231,10,19,44
2017-01-14,4498,22790,1877,409,500,206,9,28,29
2017-01-15,4233,26736,2393,501,579,215,6,25,35
2017-01-16,4554,25998,2368,468,560,244,15,23,26
2017-01-17,4251,17873,2189,631,592,276,7,32,36
2017-01-18,4057,15268,1992,673,530,253,3,22,41
2017-01-19,4150,15348,1942,740,556,214,12,21,47
2017-01-20,3692,14636,1623,585,493,187,5,27,38
2017-01-21,3182,17028,1623,318,480,157,7,23,30
2017-01-22,3163,18423,2013,472,555,173,11,33,42
2017-01-23,3082,15904,2128,752,575,308,13,25,31
2017-01-24,2895,16226,2013,649,568,301,6,19,24
2017-01-25,2637,16974,1848,623,555,232,10,25,22
2017-01-26,2855,13713,1667,624,630,184,9,55,30
2017-01-27,2390,13326,1800,559,573,190,6,19,33
2017-01-28,2511,15358,1930,462,534,194,12,28,27
2017-01-29,3301,16015,2096,481,530,173,7,18,15
2017-01-30,2735,14493,2179,597,595,224,8,15,28
2017-01-31,2362,12291,1919,650,611,190,7,16,23
2017-02-01,2146,12052,3380,625,611,196,12,18,39
2017-02-02,2243,11232,1959,601,569,242,7,13,22
2017-02-03,2413,12851,1892,577,576,205,4,16,28
2017-02-04,2923,20076,1712,384,594,172,11,21,30
2017-02-05,2765,24741,1891,432,638,200,10,16,34
2017-02-06,2698,18587,2103,576,595,224,11,20,30
2017-02-07,2372,18757,2027,702,567,266,11,29,17
2017-02-08,2348,15885,1895,681,667,247,16,24,25
2017-02-09,2501,16739,1730,703,572,193,13,26,26
2017-02-10,2502,15388,1677,644,503,199,7,18,23
2017-02-11,2497,17690,1699,373,515,151,11,20,29
2017-02-12,2612,22030,1851,573,607,206,7,16,27
2017-02-13,2481,18080,2636,654,673,215,8,21,31
2017-02-14,2503,15958,4507,604,555,196,14,18,21
2017-02-15,2120,14673,1989,698,619,236,19,33,38
2017-02-16,2022,13375,1759,678,678,290,14,24,29
2017-02-17,1734,12975,1591,590,512,184,8,21,28
2017-02-18,1611,17816,1651,420,485,172,11,22,30
2017-02-19,1738,20004,1917,499,760,177,6,24,24
2017-02-20,1599,15968,1875,614,732,201,5,14,30
2017-02-21,1621,14441,1945,625,621,243,5,13,20
2017-02-22,1737,13041,1706,706,650,255,5,26,22
2017-02-23,1642,13695,1666,861,604,221,11,22,24
2017-02-24,1618,14707,1603,605,657,265,10,26,30
2017-02-25,1419,19499,1575,447,608,249,11,24,35
2017-02-26,1531,27524,1935,478,901,236,14,26,35
2017-02-27,1584,34958,1870,675,1419,255,11,25,34
2017-02-28,1533,20875,1718,637,1291,295,11,21,29
2017-03-01,1442,19739,1677,683,2110,205,11,19,29
2017-03-02,1400,18752,1595,746,1808,279,3,29,23
2017-03-03,1293,19441,1511,624,1876,270,8,19,26
2017-03-04,1297,21722,1610,413,2005,277,7,22,33
2017-03-05,1300,28093,1719,527,1904,336,9,35,28
2017-03-06,1256,20979,2276,741,1654,288,1,18,27
2017-03-07,1670,17195,1991,716,1724,246,13,16,29
2017-03-08,1687,16425,1891,729,1843,255,14,25,35
2017-03-09,1739,14814,1709,696,1800,256,14,29,31
2017-03-10,1529,15410,1985,644,4378,242,15,29,40
2017-03-11,1455,19006,1784,442,4074,207,8,15,31
2017-03-12,1428,26235,1978,523,3417,248,4,23,40
2017-03-13,1460,21599,1769,737,2568,279,10,17,35
2017-03-14,1521,18809,2282,743,1925,248,10,25,29
2017-03-15,1644,18749,2245,660,1801,236,6,24,38
2017-03-16,1738,17036,2812,689,2684,195,6,209,27
2017-03-17,1616,17340,2354,577,2851,237,8,50,17
2017-03-18,1412,23245,2229,430,2033,205,11,34,45
2017-03-19,1401,28412,2516,515,2442,220,6,28,28
2017-03-20,1304,19969,2800,660,2083,264,4,24,32
2017-03-21,1407,16630,2461,735,1525,313,12,24,35
2017-03-22,1312,15347,2218,620,1445,262,11,30,45
2017-03-23,1349,16455,2351,745,1266,283,18,25,38
2017-03-24,1413,15997,1953,552,1338,238,8,21,29
2017-03-25,1377,20174,2108,482,1311,186,12,28,29
2017-03-26,1340,25059,2414,513,1387,221,6,19,39
2017-03-27,1345,19781,2246,904,1368,279,8,26,41
2017-03-28,1247,14034,2234,927,1445,276,5,21,27
2017-03-29,1300,14389,2362,817,1253,286,7,20,37
2017-03-30,1284,13210,2285,756,1232,196,9,29,26
2017-03-31,1123,12855,2008,621,1503,169,7,32,24
2017-04-01,1082,15721,2172,412,1473,178,11,19,40
2017-04-02,1265,17092,3291,532,1987,428,9,19,37
2017-04-03,1184,13261,2828,655,1630,221,4,20,26
2017-04-04,1142,12507,2482,634,1418,210,8,16,54
2017-04-05,1097,10932,2113,657,1646,194,6,17,20
2017-04-06,1129,10810,2097,744,1430,250,7,25,31
2017-04-07,1146,10643,1906,563,1574,243,8,19,25
2017-04-08,1134,13708,1824,412,1485,168,7,25,36
2017-04-09,1100,15107,2300,390,1623,185,6,21,32
2017-04-10,1127,13511,2387,592,1398,281,13,32,46
2017-04-11,1145,11874,2323,569,2136,175,7,9,34
2017-04-12,1054,11481,2145,615,1547,277,13,27,54
2017-04-13,1074,10680,2120,595,1431,222,11,28,30
2017-04-14,1125,14266,2073,478,1894,176,5,20,27
2017-04-15,1499,16726,2176,362,1738,144,5,18,28
2017-04-16,1300,15717,2549,415,2099,185,7,24,29
2017-04-17,1115,15226,3446,566,2129,211,5,34,34
2017-04-18,1119,12368,2599,615,1850,295,16,19,39
2017-04-19,1057,11234,2579,643,1509,232,5,17,42
2017-04-20,1155,12201,2309,674,1463,252,10,30,43
2017-04-21,952,12663,2262,593,1512,211,8,25,37
2017-04-22,1035,13915,2264,409,1334,297,12,30,58
2017-04-23,1037,18154,2783,523,1493,237,4,27,65
2017-04-24,1093,13588,3034,712,1366,272,10,24,42
2017-04-25,1061,11237,2938,693,1391,287,16,30,42
2017-04-26,1157,10614,2365,652,1395,384,3,31,40
2017-04-27,1109,10087,2338,645,1611,375,13,23,55
2017-04-28,1023,11092,2074,607,2185,215,8,18,49
2017-04-29,1083,13327,2052,404,2058,230,5,17,35
2017-04-30,1054,17137,2614,518,1937,205,6,16,44
2017-05-01,1113,16628,3146,715,1816,274,7,26,46
2017-05-02,1014,11771,2425,686,1421,288,10,38,67
2017-05-03,1173,10288,2548,678,1223,285,13,26,52
2017-05-04,1147,10807,3821,738,1171,211,7,23,69
2017-05-05,1058,13405,2477,676,1438,202,11,25,104
2017-05-06,1007,14351,2355,415,1270,197,15,24,73
2017-05-07,1044,14945,2627,526,1468,234,5,15,52
2017-05-08,990,13162,2893,747,1378,311,12,27,67
2017-05-09,973,11205,2629,666,1234,287,3,23,60
2017-05-10,1289,10387,2274,646,1130,237,3,16,64
2017-05-11,1213,10973,2273,727,2067,236,9,25,65
2017-05-12,1113,11751,2146,681,2334,204,12,22,78
2017-05-13,1018,12911,2080,475,1804,190,5,20,73
2017-05-14,1009,14760,2646,491,1874,188,6,17,128
2017-05-15,1016,17143,3009,722,2451,280,16,15,150
2017-05-16,991,10987,2494,730,2168,535,10,31,405
2017-05-17,997,12340,8391,731,1687,307,9,21,304
2017-05-18,1018,17386,3044,740,1642,238,13,23,174
2017-05-19,1101,12844,2521,747,1629,255,16,26,162
2017-05-20,1173,12980,2338,477,1951,277,11,23,452
2017-05-21,1180,13648,2551,465,2222,270,15,25,317
2017-05-22,962,11988,2638,721,2055,427,6,18,260
2017-05-23,1097,11077,2365,731,1942,473,18,25,294
2017-05-24,1076,9684,2269,702,1809,456,13,22,172
2017-05-25,976,9474,2049,908,1980,454,6,21,388
2017-05-26,807,10637,1910,710,1765,379,10,23,446
2017-05-27,758,10254,1922,544,1792,376,6,17,428
2017-05-28,827,12323,2118,541,2010,432,6,31,816
2017-05-29,724,12557,2638,627,2176,411,9,27,397
2017-05-30,916,11096,2482,787,2148,436,10,31,191
2017-05-31,776,9304,2173,811,2070,435,7,31,132
2017-06-01,791,9027,2255,1017,1797,397,11,32,111
2017-06-02,857,9227,1862,1046,1623,377,10,29,86
2017-06-03,771,11041,1798,787,1523,360,12,21,56
2017-06-04,721,11858,2515,834,2122,439,4,22,61
2017-06-05,772,10584,2564,744,1942,408,2,18,82
2017-06-06,691,9448,2160,738,1804,362,7,21,45
2017-06-07,831,8787,2093,741,1681,475,18,36,76
2017-06-08,862,8496,2362,548,1517,646,10,28,55
2017-06-09,848,9114,2102,493,1427,446,8,25,65
2017-06-10,827,10621,2077,455,1511,523,5,20,64
2017-06-11,913,20362,2227,531,1615,399,10,19,65
2017-06-12,921,18348,2862,559,1484,470,8,21,66
2017-06-13,933,12627,2101,518,1485,390,15,30,47
2017-06-14,882,11443,2147,555,1442,341,16,28,44
2017-06-15,873,11355,1904,466,1589,324,12,183,54
2017-06-16,619,9985,1799,465,1444,297,8,76,42
2017-06-17,711,12251,2021,450,1481,351,9,48,47
2017-06-18,796,12774,2526,601,1778,386,7,26,64
2017-06-19,772,10552,2104,714,2212,380,4,69,45
2017-06-20,916,9743,2447,1150,2009,386,7,35,39
2017-06-21,906,9402,2080,1478,1618,352,5,32,37
2017-06-22,821,9783,2142,1166,1418,350,15,45,47
2017-06-23,1308,9965,2154,702,1279,322,11,44,35
2017-06-24,1087,11308,1912,496,1247,292,4,36,43
2017-06-25,971,13473,2193,540,1449,362,6,27,48
2017-06-26,793,11614,1908,712,1443,342,9,19,73
2017-06-27,821,9666,1836,607,1332,326,7,25,66
2017-06-28,829,10105,1909,627,1174,333,10,24,64
2017-06-29,816,10253,1773,835,1350,364,5,25,74
2017-06-30,861,12050,1696,516,1297,269,6,30,76
2017-07-01,773,12580,1854,565,1068,272,7,11,137
2017-07-02,829,12501,2033,504,1266,1137,12,16,123
2017-07-03,718,14576,2153,581,1316,920,5,10,150
2017-07-04,703,12316,1992,539,1156,422,5,18,135
2017-07-05,698,10472,1840,582,1099,337,5,25,507
2017-07-06,725,9868,1996,709,1151,337,8,22,352
2017-07-07,749,11332,2305,525,1198,379,7,26,201
2017-07-08,705,12173,2138,506,1114,315,5,16,211
2017-07-09,683,20294,2572,613,1230,343,8,28,341
2017-07-10,762,13680,2402,634,1325,354,9,32,258
2017-07-11,746,12090,2207,552,1356,308,10,23,255
2017-07-12,762,12085,2113,540,1295,305,6,35,244
2017-07-13,870,12596,1983,603,1204,540,2,21,584
2017-07-14,827,12341,2145,575,1125,313,3,23,552
2017-07-15,902,21317,2354,529,1162,316,16,20,413
2017-07-16,766,19046,3076,518,1103,286,6,25,323
2017-07-17,807,13788,2311,585,1117,301,7,18,280
2017-07-18,844,12733,1933,634,1002,310,6,28,266
2017-07-19,934,12826,1779,597,957,363,8,22,428
2017-07-20,850,11954,1999,547,1026,306,7,21,519
2017-07-21,1233,12400,1887,441,998,297,11,35,408
2017-07-22,1137,11689,2404,472,1062,317,4,27,556
2017-07-23,1241,13702,2031,881,1365,317,7,27,692
2017-07-24,1073,12527,1918,570,1383,265,7,31,614
2017-07-25,1209,11194,1948,544,1719,242,9,29,351
2017-07-26,1224,12032,1709,532,1793,282,11,31,209
2017-07-27,1151,11570,1639,510,1329,284,9,23,337
2017-07-28,953,10320,1742,577,1389,234,8,31,156
2017-07-29,1002,13728,1775,491,1287,295,16,58,139
2017-07-30,1059,14689,1748,525,1214,293,11,50,140
2017-07-31,991,13228,1775,888,1225,270,12,34,143
2017-08-01,996,14862,1696,721,1676,285,21,25,117
2017-08-02,911,12831,1896,707,1363,305,9,33,104
2017-08-03,1030,11702,1753,673,1272,311,14,26,104
2017-08-04,944,10714,1965,643,2113,285,18,33,107
2017-08-05,844,11976,2062,633,1766,264,20,39,94
2017-08-06,987,11906,1912,676,1219,310,34,24,83
2017-08-07,1037,21428,1805,705,1183,314,15,25,145
2017-08-08,915,38628,1809,731,1058,290,12,36,115
2017-08-09,1010,46242,1814,951,1114,308,8,38,85
2017-08-10,1062,35580,1765,964,954,276,13,21,77
2017-08-11,967,23191,1591,813,1037,298,16,24,61
2017-08-12,1007,20560,1652,613,1074,220,13,24,78
2017-08-13,1208,24170,2658,815,1432,244,9,20,71
2017-08-14,21864,16692,2120,960,2410,296,40,31,159
2017-08-15,7362,109479,2318,1058,1569,243,17,37,173
2017-08-16,5140,35833,58761,1155,1460,244,17,36,197
2017-08-17,4490,26238,12853,35728,2100,277,7,25,223
2017-08-18,1823,22033,7409,6618,54167,568,17,22,318
2017-08-19,1588,19834,5424,3365,12320,40836,197,56,352
2017-08-20,1456,17880,2860,3151,7685,11150,33279,170,215
2017-08-21,1405,13525,2333,1669,5432,6639,5073,18816,426
2017-08-22,1378,13502,2372,2075,2294,4373,2226,4396,20161
2017-08-23,1526,13463,2135,3913,1863,1101,1428,2827,4044
2017-08-24,1457,12719,2049,11153,1735,835,652,2561,2528
2017-08-25,1314,12312,1967,22311,1385,662,280,325,1855
2017-08-26,1322,12961,2210,25521,1366,677,166,228,449
2017-08-27,1283,14869,1985,8852,1656,499,180,178,670
2017-08-28,1136,14856,1950,10927,1286,557,108,129,413
2017-08-29,1078,13499,1816,13730,1141,467,127,118,346
2017-08-30,997,14306,1942,12918,1177,481,107,95,391
2017-08-31,854,12828,2056,11842,1086,432,73,100,354
2017-09-01,852,13540,1772,11978,1366,320,111,89,304
2017-09-02,1092,13745,1814,8157,1390,329,85,84,334
2017-09-03,1116,16769,1972,14167,1202,443,85,69,421
2017-09-04,984,15093,2078,25900,1204,389,86,63,257
2017-09-05,1038,18341,2045,130093,1031,358,62,83,380
2017-09-06,1130,30297,1850,160218,1188,305,46,52,371
2017-09-07,881,24042,1757,147290,1060,324,52,43,412
2017-09-08,799,30427,1613,168388,938,302,33,48,343
2017-09-09,688,37883,1553,122142,946,272,33,56,487
2017-09-10,796,27323,1910,77281,1057,266,48,65,651
2017-09-11,762,27256,1886,32355,1046,278,35,45,397
2017-09-12,740,24909,1916,14185,870,299,30,46,132
2017-09-13,932,39499,1849,10946,928,292,31,35,134
2017-09-14,1096,43518,1789,6792,956,296,35,40,111
2017-09-15,1076,51843,2025,5004,876,270,44,57,98
2017-09-16,1102,47145,1761,3812,1170,290,41,26,77
2017-09-17,1058,45467,1991,4085,1033,339,26,43,71
2017-09-18,972,34621,1962,5111,979,349,30,41,67
2017-09-19,986,32682,1891,7041,890,300,27,49,77
2017-09-20,1052,28085,1717,5958,924,306,13,59,112
2017-09-21,1045,24555,1717,4053,1019,255,22,57,93
2017-09-22,1030,24169,1707,2951,1084,254,25,47,63
2017-09-23,1003,22492,1528,2061,828,207,13,41,40
2017-09-24,963,22161,1758,1827,994,251,15,27,39
2017-09-25,1116,19649,1982,2018,1040,297,20,22,50
2017-09-26,1064,18808,2340,1833,868,264,13,41,55
2017-09-27,1119,15551,2083,1740,970,256,10,31,51
2017-09-28,984,14085,2066,1591,854,326,9,29,50
2017-09-29,1015,13427,1948,1252,789,260,21,33,45
2017-09-30,1141,16821,1829,1243,804,206,9,33,38
2017-10-01,1049,16137,1850,1194,898,480,18,29,38
2017-10-02,1083,13413,1831,1321,878,516,16,35,32
2017-10-03,955,11153,1884,1323,1255,261,13,35,28
2017-10-04,1011,12712,1882,1607,1007,277,11,25,43
2017-10-05,1106,11821,1943,1567,908,244,16,29,37
2017-10-06,1083,12939,1669,1499,840,287,16,42,42
2017-10-07,1218,14924,1551,1648,944,220,16,43,52
2017-10-08,1210,15016,1751,1438,935,229,9,36,29
2017-10-09,1117,14533,2305,1147,1049,325,21,28,42
2017-10-10,1097,13821,2045,1108,1108,255,19,38,30
2017-10-11,1084,14352,1764,1143,967,254,15,32,36
2017-10-12,1184,12717,1809,1107,1061,277,16,31,33
2017-10-13,1116,12547,1825,943,939,206,24,42,43
2017-10-14,1222,14006,1979,722,949,223,18,23,19
2017-10-15,1072,15677,1876,899,1079,212,14,38,26
2017-10-16,972,12259,1856,1205,957,231,4,12,41
2017-10-17,1113,21606,1815,972,866,240,23,32,42
2017-10-18,1225,17443,1710,860,968,254,14,40,45
2017-10-19,1192,12685,3885,978,888,274,13,43,37
2017-10-20,1096,11155,1985,771,928,224,22,28,26
2017-10-21,1044,12121,1932,576,821,195,12,34,21
2017-10-22,1204,15337,1961,688,948,238,9,32,26
2017-10-23,1223,13285,2065,805,1025,271,6,25,37
2017-10-24,1131,10450,1915,772,1034,253,12,39,33
2017-10-25,1217,11052,1993,738,1492,252,10,27,27
2017-10-26,1175,10937,2175,712,1201,259,11,25,29
2017-10-27,1135,10543,1639,678,849,207,15,25,21
2017-10-28,1276,11160,1474,474,920,219,14,38,25
2017-10-29,1298,12824,1821,573,970,195,12,50,24
2017-10-30,1162,10470,1791,712,932,220,57,65,35
2017-10-31,1266,9144,1789,620,1148,190,13,34,26
2017-11-01,1080,9595,1676,680,913,231,12,35,25
2017-11-02,1422,9716,1642,770,990,263,9,33,22
2017-11-03,1332,36635,1554,628,1042,221,12,32,37
2017-11-04,1400,31653,1714,409,925,226,8,34,24
2017-11-05,1306,25994,1791,448,1072,247,14,32,23
2017-11-06,1340,18321,1941,623,1063,293,13,37,32
2017-11-07,1409,14860,1750,661,1008,245,12,31,30
2017-11-08,1286,13771,1662,639,951,273,141,44,19
2017-11-09,1381,11486,1641,670,963,294,7,67,26
2017-11-10,1447,12935,1405,571,864,275,8,152,22
2017-11-11,1374,14016,1431,391,823,199,15,89,15
2017-11-12,1652,15978,1706,415,960,352,17,69,20
2017-11-13,1417,12293,2019,655,1032,4652,19,71,19
2017-11-14,1306,10803,1757,621,986,860,14,71,23
2017-11-15,1301,11884,1727,681,941,384,10,34,23
2017-11-16,1169,11378,1683,586,998,340,16,72,24
2017-11-17,1327,10947,1640,555,1016,281,12,48,12
2017-11-18,1290,14660,1519,776,862,207,9,42,21
2017-11-19,1392,14675,2633,456,915,273,8,46,19
2017-11-20,1340,11775,1888,508,929,302,16,30,20
2017-11-21,1325,16384,1703,480,876,646,74,140,24
2017-11-22,1249,20575,1651,405,878,321,13,37,22
2017-11-23,1247,18035,1458,369,869,248,18,43,19
2017-11-24,1328,12108,1545,342,889,233,13,39,21
2017-11-25,1380,13651,1668,328,967,327,21,32,16
2017-11-26,1324,15520,1912,392,1020,408,14,42,25
2017-11-27,1495,12799,2262,524,1073,531,8,42,25
2017-11-28,1394,11986,2216,545,1082,329,23,49,38
2017-11-29,1129,17716,2952,548,1013,342,7,30,22
2017-11-30,1194,13074,2365,543,1078,795,9,41,34
2017-12-01,1105,10555,1935,477,970,301,151,64,40
2017-12-02,1122,11104,1851,293,958,313,8,37,16
2017-12-03,1167,13066,2131,383,1151,325,4,26,20
2017-12-04,1308,10746,2158,623,1175,261,10,27,30
2017-12-05,1285,11058,1890,563,1132,255,8,26,22
2017-12-06,1354,13174,1733,602,1152,298,9,27,27
2017-12-07,1398,16341,1904,601,1013,300,13,41,24
2017-12-08,1523,14551,1831,496,903,391,9,49,27
2017-12-09,1605,15452,1823,355,978,301,12,75,21
2017-12-10,1360,19843,2396,428,1148,343,16,50,23
2017-12-11,1527,17028,2512,618,1153,355,13,46,29
2017-12-12,1508,12550,2069,509,1039,344,15,45,29
2017-12-13,1516,16051,1953,466,1042,264,14,35,48
2017-12-14,1616,19384,2177,508,1102,244,12,29,35
2017-12-15,1734,13407,1837,492,1047,251,10,25,38
2017-12-16,1499,15946,1690,293,972,205,12,32,26
2017-12-17,1543,16114,1948,293,1066,189,47,89,31
2017-12-18,1597,13167,1888,468,1116,345,10,39,30
2017-12-19,1550,11743,1863,383,1068,293,12,25,28
2017-12-20,1497,13164,1798,329,1080,232,15,31,32
2017-12-21,1627,13011,2108,346,1750,223,6,25,27
2017-12-22,1680,13566,1735,240,1265,198,3,31,23
2017-12-23,1795,15723,1679,240,1180,208,9,23,14
2017-12-24,1535,17941,1669,234,1453,210,10,29,22
2017-12-25,1817,14493,1612,261,1660,223,5,34,17
2017-12-26,1638,21499,1847,251,1250,275,7,35,18
2017-12-27,1631,16492,2529,305,1089,262,11,31,21
2017-12-28,1445,16206,2340,293,1310,278,5,31,20
2017-12-29,1605,15807,2239,281,1426,273,8,27,25
2017-12-30,1704,19633,2209,320,1002,218,6,30,19
2017-12-31,1720,19240,2108,248,893,261,11,33,21
2018-01-01,1619,17381,2554,286,1190,274,5,21,29
2018-01-02,1641,16547,2684,384,1194,330,10,47,24
2018-01-03,1592,13916,2236,406,1169,246,16,26,29
2018-01-04,1669,14233,2408,452,937,254,3,41,30
2018-01-05,1474,15582,2379,352,1004,234,8,48,19
2018-01-06,1502,20670,2750,293,1013,250,12,32,19
2018-01-07,1539,18708,2643,331,1071,241,12,34,17
2018-01-08,1427,19455,2267,381,881,229,8,32,24
2018-01-09,1527,19607,2365,395,855,302,3,36,23
2018-01-10,1381,16941,2403,481,873,279,4,25,32
2018-01-11,1321,16231,2274,513,864,342,6,34,20
2018-01-12,1450,14318,2296,440,833,240,6,24,26
2018-01-13,1866,16563,2120,318,877,331,7,28,34
2018-01-14,1874,20240,2825,344,947,319,14,39,34
2018-01-15,1766,18609,3074,411,922,455,10,22,24
2018-01-16,2001,14475,2528,412,1365,534,6,25,20
2018-01-17,1954,13773,2449,402,1106,286,12,32,30
2018-01-18,1876,14570,2707,452,1006,276,9,30,30
2018-01-19,1904,13731,2177,406,890,210,9,26,23
2018-01-20,2042,14689,2273,289,916,208,8,38,30
2018-01-21,1767,16663,2422,332,1076,215,7,39,13
2018-01-22,1705,18585,2582,443,884,227,6,20,23
2018-01-23,1808,14607,2251,606,851,249,11,34,18
2018-01-24,1612,13836,2160,548,952,350,6,34,9
2018-01-25,2322,13503,2177,478,901,330,6,35,20
2018-01-26,2039,13687,1764,518,889,274,120,373,19
2018-01-27,2196,17947,1929,284,893,319,3,36,12
2018-01-28,2271,16837,2610,444,892,345,6,42,21
2018-01-29,2320,14413,2857,527,856,333,8,38,20
2018-01-30,2353,11913,2085,531,833,306,7,35,24
2018-01-31,2285,11245,2295,452,813,327,7,21,19
2018-02-01,2463,11520,3934,506,961,358,5,21,27
2018-02-02,2336,11854,2156,443,930,545,8,28,24
2018-02-03,2421,14131,2005,290,762,272,11,28,20
2018-02-04,2224,20175,2159,334,858,317,7,31,21
2018-02-05,2243,24441,2239,451,765,330,5,19,14
2018-02-06,2301,22028,2179,481,877,339,9,33,21
2018-02-07,2242,14646,2155,450,878,272,6,37,19
2018-02-08,2097,13481,2192,521,829,214,12,36,15
2018-02-09,1997,12897,2083,466,779,271,10,27,16
2018-02-10,2081,15542,1953,375,779,252,11,38,28
2018-02-11,1907,16827,1968,343,901,222,8,38,27
2018-02-12,2001,15112,2591,490,960,256,3,31,37
2018-02-13,1831,13293,2272,434,858,224,4,27,25
2018-02-14,1983,11921,4322,779,760,218,6,30,23
2018-02-15,1941,12852,2122,487,984,243,11,28,34
2018-02-16,1824,16363,1772,393,866,180,7,33,20
2018-02-17,1972,19535,1787,349,765,167,10,34,20
2018-02-18,1982,21869,1994,326,915,193,7,28,29
2018-02-19,1962,27441,1977,399,932,255,132,39,30
