Date,"Air Mata Iboe","Convention of 1833","Nigel (bishop of Ely)","William Beach Thomas","Nights: Journey of Dreams","Morihei Ueshiba","Hawker Hurricane in Yugoslav service","Portman Road","Persoonia terminalis"
2017-01-02,3,19,10,5,129,317,14,162,25
2017-01-03,7,34,15,20,86,299,1,148,24
2017-01-04,5,52,12,12,75,259,7,119,9
2017-01-05,13,79,24,22,63,283,9,130,21
2017-01-06,11,97,20,18,85,230,4,142,19
2017-01-07,4,25,14,11,87,254,12,312,15
2017-01-08,9,58,19,17,90,316,4,184,17
2017-01-09,4,65,9,10,88,301,10,150,18
2017-01-10,9,66,13,16,89,329,10,106,12
2017-01-11,7,70,18,8,73,422,6,89,12
2017-01-12,9,66,15,11,95,255,8,130,17
2017-01-13,4,70,20,11,86,264,6,94,11
2017-01-14,6,25,17,14,83,253,12,145,11
2017-01-15,6,12,20,15,96,249,1,103,21
2017-01-16,12,32,23,22,98,282,4,111,15
2017-01-17,11,57,20,20,99,258,5,432,17
2017-01-18,6,60,17,14,97,291,7,185,10
2017-01-19,11,62,18,16,79,327,11,160,14
2017-01-20,5,72,18,6,75,251,3,114,11
2017-01-21,18,14,13,17,82,260,5,102,15
2017-01-22,14,28,19,22,119,327,4,109,14
2017-01-23,13,58,25,15,94,308,6,112,16
2017-01-24,5,58,12,14,62,269,2,94,17
2017-01-25,9,55,8,11,86,309,5,99,18
2017-01-26,9,48,21,13,99,329,4,88,15
2017-01-27,7,54,16,10,95,274,10,91,14
2017-01-28,13,24,15,15,92,241,12,110,10
2017-01-29,7,32,18,9,86,225,5,94,10
2017-01-30,10,50,23,9,99,276,11,123,9
2017-01-31,7,58,8,12,75,291,9,160,10
2017-02-01,15,67,30,15,87,244,7,120,19
2017-02-02,7,51,14,11,105,241,21,100,8
2017-02-03,5,35,9,7,105,287,6,90,5
2017-02-04,12,20,15,15,91,387,3,135,15
2017-02-05,11,27,24,8,99,426,7,100,12
2017-02-06,11,39,25,19,95,293,12,85,13
2017-02-07,12,48,20,12,78,263,5,73,14
2017-02-08,16,52,26,21,86,232,5,118,25
2017-02-09,11,56,23,27,99,258,3,82,21
2017-02-10,9,58,14,11,85,257,10,81,11
2017-02-11,26,22,17,11,78,234,5,116,21
2017-02-12,8,30,13,13,91,270,6,106,13
2017-02-13,10,38,19,17,89,304,3,97,13
2017-02-14,8,45,14,15,69,247,8,93,15
2017-02-15,20,55,15,19,95,278,5,97,18
2017-02-16,17,38,22,23,87,299,6,103,21
2017-02-17,9,30,17,12,163,234,7,91,9
2017-02-18,10,20,15,8,138,242,14,196,14
2017-02-19,10,26,15,12,178,264,6,144,9
2017-02-20,9,40,13,11,124,260,4,169,12
2017-02-21,5,39,11,7,132,255,1,100,8
2017-02-22,5,38,17,15,167,327,5,114,11
2017-02-23,13,44,20,13,160,261,4,108,11
2017-02-24,10,26,14,13,175,276,11,107,15
2017-02-25,9,12,14,15,169,213,7,113,10
2017-02-26,15,22,16,22,174,273,3,233,18
2017-02-27,9,28,14,15,202,329,4,105,11
2017-02-28,12,45,16,9,201,298,6,113,17
2017-03-01,16,47,32,16,94,278,9,103,22
2017-03-02,9,34,12,15,436,270,0,81,13
2017-03-03,9,35,18,10,110,245,5,82,8
2017-03-04,8,11,14,10,131,231,3,136,14
2017-03-05,6,16,13,14,108,246,5,124,12
2017-03-06,4,38,7,13,103,284,6,102,17
2017-03-07,12,35,24,16,113,291,4,136,22
2017-03-08,10,30,19,22,95,283,11,122,14
2017-03-09,14,55,18,22,105,263,6,87,14
2017-03-10,18,37,35,20,98,297,2,86,15
2017-03-11,8,23,35,13,89,235,8,120,12
2017-03-12,7,15,18,22,125,280,9,104,14
2017-03-13,8,23,28,24,107,452,8,70,12
2017-03-14,10,32,30,18,109,433,5,96,14
2017-03-15,7,21,23,12,76,313,4,77,17
2017-03-16,5,21,11,13,87,334,6,67,7
2017-03-17,4,17,14,18,128,252,4,94,11
2017-03-18,11,19,23,19,106,264,6,109,9
2017-03-19,10,14,24,15,183,258,1,106,12
2017-03-20,7,22,18,16,133,330,5,92,14
2017-03-21,8,47,14,15,115,346,5,84,9
2017-03-22,6,39,19,18,156,360,3,86,16
2017-03-23,16,51,32,36,88,471,4,97,21
2017-03-24,8,33,15,13,113,393,7,63,10
2017-03-25,18,22,18,20,89,293,9,75,15
2017-03-26,3,16,10,9,95,284,3,88,10
2017-03-27,7,32,17,11,70,351,2,82,16
2017-03-28,6,30,20,13,89,314,3,79,7
2017-03-29,10,40,19,11,82,337,1,88,14
2017-03-30,11,37,32,20,85,255,4,87,15
2017-03-31,6,23,24,14,62,204,3,74,8
2017-04-01,16,70,16,14,70,218,5,109,8
2017-04-02,13,40,23,18,94,203,5,111,14
2017-04-03,10,39,18,20,97,263,6,74,9
2017-04-04,5,36,13,11,67,256,10,106,9
2017-04-05,4,19,11,13,100,273,6,80,8
2017-04-06,12,14,21,10,87,262,34,115,15
2017-04-07,9,20,21,19,86,270,8,80,8
2017-04-08,6,15,15,20,66,245,9,86,5
2017-04-09,5,10,11,15,103,247,6,86,11
2017-04-10,15,28,21,21,87,372,2,84,20
2017-04-11,6,24,12,16,80,247,9,77,23
2017-04-12,10,21,14,25,96,265,4,73,16
2017-04-13,7,15,17,18,96,225,25,80,10
2017-04-14,8,10,18,13,78,259,23,113,7
2017-04-15,9,8,13,23,81,224,10,98,10
2017-04-16,11,17,24,27,83,207,22,107,11
2017-04-17,6,13,13,18,93,266,12,414,9
2017-04-18,12,17,39,29,120,391,7,181,18
2017-04-19,8,37,23,20,115,366,5,118,14
2017-04-20,13,21,12,23,74,316,8,94,16
2017-04-21,7,51,36,14,90,326,10,107,15
2017-04-22,17,19,32,17,87,342,6,120,18
2017-04-23,8,15,27,10,99,315,9,112,9
2017-04-24,9,16,27,13,92,329,8,79,15
2017-04-25,7,18,31,15,82,386,7,89,18
2017-04-26,7,17,21,11,88,2828,2,113,8
2017-04-27,14,25,19,16,125,610,3,114,18
2017-04-28,7,16,17,15,120,343,5,214,22
2017-04-29,6,8,15,14,89,275,4,163,7
2017-04-30,8,18,21,20,88,300,7,117,14
2017-05-01,9,39,22,13,94,353,4,92,12
2017-05-02,14,23,21,19,86,292,20,124,27
2017-05-03,12,29,24,17,64,284,4,99,23
2017-05-04,6,22,21,22,84,334,5,78,8
2017-05-05,12,26,16,26,73,306,15,95,15
2017-05-06,11,19,24,27,69,317,26,82,22
2017-05-07,5,15,13,23,78,274,89,145,8
2017-05-08,10,49,24,24,100,264,95,106,23
2017-05-09,2,28,10,13,97,238,89,86,13
2017-05-10,4,19,11,10,67,186,70,71,12
2017-05-11,12,54,19,16,70,231,67,117,26
2017-05-12,5,28,25,10,94,230,68,111,16
2017-05-13,6,7,18,11,104,233,71,103,13
2017-05-14,10,14,22,19,73,219,70,122,9
2017-05-15,11,27,18,13,130,267,116,121,21
2017-05-16,12,21,21,19,99,225,76,86,19
2017-05-17,8,20,28,17,94,224,126,109,22
2017-05-18,10,37,18,23,87,231,132,124,19
2017-05-19,17,19,16,20,84,205,124,80,23
2017-05-20,15,21,21,21,81,189,97,95,14
2017-05-21,16,20,23,28,81,202,95,92,21
2017-05-22,13,38,16,14,75,194,83,113,16
2017-05-23,14,33,42,20,92,246,79,101,32
2017-05-24,10,23,30,6,61,237,72,97,15
2017-05-25,5,12,17,16,84,238,79,110,12
2017-05-26,14,17,23,20,83,204,79,70,12
2017-05-27,4,11,17,7,64,165,81,101,9
2017-05-28,5,12,13,13,77,215,59,69,8
2017-05-29,7,21,20,11,82,204,86,140,12
2017-05-30,14,23,28,13,104,214,42,115,14
2017-05-31,12,22,22,16,75,229,14,86,18
2017-06-01,12,11,17,16,87,186,22,76,16
2017-06-02,7,18,24,15,75,189,10,93,14
2017-06-03,7,18,16,11,65,173,5,77,15
2017-06-04,4,12,122,8,75,225,9,79,6
2017-06-05,7,17,24,9,60,200,6,71,10
2017-06-06,8,18,34,11,78,231,8,70,15
2017-06-07,15,20,32,17,108,238,22,90,17
2017-06-08,13,19,31,15,80,184,12,71,25
2017-06-09,12,15,111,17,90,210,14,55,13
2017-06-10,5,9,64,11,68,184,9,74,10
2017-06-11,10,10,61,15,82,185,12,60,12
2017-06-12,10,20,56,15,2973,219,10,90,9
2017-06-13,19,25,33,18,132,225,17,84,19
2017-06-14,6,18,27,15,81,221,14,82,15
2017-06-15,15,20,39,22,81,192,19,92,10
2017-06-16,6,10,26,7,79,194,4,132,10
2017-06-17,9,14,24,13,75,198,9,188,13
2017-06-18,7,8,20,17,86,205,16,112,13
2017-06-19,6,13,15,11,85,212,12,69,6
2017-06-20,8,22,22,10,82,225,5,82,8
2017-06-21,5,28,28,12,112,225,15,80,3
2017-06-22,11,18,17,20,94,237,14,85,22
2017-06-23,7,13,22,14,98,172,13,74,11
2017-06-24,6,8,18,6,94,176,10,65,6
2017-06-25,7,13,11,17,92,187,12,76,13
2017-06-26,4,10,27,10,110,212,12,73,9
2017-06-27,8,10,21,9,102,209,8,68,16
2017-06-28,12,22,16,16,91,202,10,96,12
2017-06-29,5,11,12,8,74,178,8,64,10
2017-06-30,52,11,16,14,81,175,7,64,29
2017-07-01,8,13,12,14,74,168,6,61,11
2017-07-02,8,5,17,9,86,188,7,65,11
2017-07-03,4,12,13,9,84,202,8,65,10
2017-07-04,4,12,6,13,107,171,8,78,6
2017-07-05,5,7,20,9,111,205,9,60,7
2017-07-06,10,10,15,16,121,191,18,82,16
2017-07-07,7,14,13,12,117,159,10,66,11
2017-07-08,7,6,11,12,96,170,9,73,8
2017-07-09,7,13,16,10,87,198,8,65,12
2017-07-10,11,10,23,11,99,190,7,61,16
2017-07-11,10,15,13,12,97,215,10,57,16
2017-07-12,12,13,14,18,82,221,10,68,14
2017-07-13,5,11,19,10,66,177,4,61,10
2017-07-14,3,19,11,7,71,195,6,45,8
2017-07-15,9,17,12,14,85,153,17,66,11
2017-07-16,10,7,11,14,82,186,10,84,14
2017-07-17,7,5,13,9,92,193,7,67,8
2017-07-18,6,14,8,14,77,257,14,52,6
2017-07-19,10,14,11,10,98,198,18,82,15
2017-07-20,5,8,13,6,64,181,8,71,10
2017-07-21,9,20,16,12,93,204,16,68,14
2017-07-22,3,8,14,5,80,153,8,65,4
2017-07-23,9,14,12,16,92,185,7,62,10
2017-07-24,10,16,13,11,104,174,10,70,6
2017-07-25,5,17,11,10,96,213,14,70,12
2017-07-26,11,14,14,18,111,249,23,72,14
2017-07-27,7,9,14,8,91,184,14,85,11
2017-07-28,12,10,22,13,92,171,14,72,13
2017-07-29,3,4,11,19,85,186,14,71,11
2017-07-30,3,7,13,26,83,195,15,57,8
2017-07-31,12,10,14,15,104,193,13,89,13
2017-08-01,19,20,25,23,102,213,18,76,18
2017-08-02,9,9,15,12,124,225,12,89,12
2017-08-03,8,13,21,17,109,243,21,87,14
2017-08-04,14,18,19,15,100,218,22,103,17
2017-08-05,12,20,25,22,91,188,18,137,19
2017-08-06,10,10,23,11,120,190,18,107,9
2017-08-07,16,12,14,15,106,356,17,126,10
2017-08-08,7,10,9,15,106,213,9,100,11
2017-08-09,6,15,14,16,76,193,11,71,16
2017-08-10,6,13,12,13,99,177,8,71,11
2017-08-11,10,18,19,19,91,206,18,88,16
2017-08-12,10,11,14,9,123,195,19,102,9
2017-08-13,5,10,12,11,128,211,10,112,11
2017-08-14,11,15,16,14,121,212,20,96,12
2017-08-15,12,12,16,11,100,204,13,154,12
2017-08-16,14,16,23,21,124,190,23,137,15
2017-08-17,6,10,12,13,101,202,15,110,12
2017-08-18,13,12,25,23,108,220,14,122,17
2017-08-19,8,5,13,5,98,217,9,211,13
2017-08-20,8,10,15,12,93,209,8,196,10
2017-08-21,6,10,9,6,82,211,10,136,6
2017-08-22,5,14,12,11,101,183,9,154,10
2017-08-23,5,19,11,8,107,225,25,99,7
2017-08-24,15,24,17,15,94,210,18,106,24
2017-08-25,4,16,11,9,83,187,10,92,14
2017-08-26,3,12,11,6,79,201,8,156,5
2017-08-27,8,13,11,15,109,222,16,102,11
2017-08-28,14,12,13,10,107,296,9,112,9
2017-08-29,1,9,12,3,84,236,7,83,2
2017-08-30,6,20,13,17,112,229,10,83,16
2017-08-31,6,22,14,15,108,229,11,77,17
2017-09-01,8,15,13,10,130,195,10,53,7
2017-09-02,5,13,11,13,99,208,8,76,11
2017-09-03,9,12,15,10,93,225,9,77,11
2017-09-04,7,18,13,10,102,231,14,84,9
2017-09-05,8,13,11,8,85,235,13,69,13
2017-09-06,6,17,10,13,73,218,9,70,17
2017-09-07,5,16,7,9,90,216,9,64,6
2017-09-08,3,10,12,8,109,181,11,69,4
2017-09-09,5,7,8,12,92,201,9,76,13
2017-09-10,9,9,11,19,94,178,9,89,18
2017-09-11,6,12,12,11,71,205,7,72,15
2017-09-12,4,13,9,15,76,247,8,75,5
2017-09-13,13,16,15,18,68,269,6,85,9
2017-09-14,14,20,14,27,95,253,15,76,24
2017-09-15,10,17,18,19,153,245,17,89,15
2017-09-16,5,10,12,11,125,197,10,125,7
2017-09-17,2,9,10,7,107,208,13,81,5
2017-09-18,8,15,11,12,124,233,6,84,19
2017-09-19,10,17,22,16,90,235,21,94,17
2017-09-20,7,19,5,14,79,235,13,83,8
2017-09-21,3,22,9,12,100,218,7,68,10
2017-09-22,10,29,16,19,110,209,10,56,15
2017-09-23,14,17,14,29,77,255,14,102,18
2017-09-24,5,9,9,12,85,218,6,100,7
2017-09-25,7,16,12,16,68,322,10,81,13
2017-09-26,10,22,13,14,108,267,14,154,15
2017-09-27,4,15,5,12,99,295,12,126,7
2017-09-28,6,14,16,11,87,299,12,102,9
2017-09-29,9,26,15,15,103,273,11,105,15
2017-09-30,8,7,4,11,103,276,5,179,5
2017-10-01,4,24,10,7,76,248,5,136,11
2017-10-02,11,24,19,16,67,235,11,89,17
2017-10-03,8,16,11,12,83,254,10,86,12
2017-10-04,12,33,11,14,92,275,13,80,15
2017-10-05,11,23,15,12,84,234,10,86,13
2017-10-06,8,19,13,16,70,196,13,76,18
2017-10-07,10,15,14,18,93,238,14,94,9
2017-10-08,8,8,11,7,98,284,10,84,8
2017-10-09,11,21,20,15,94,233,11,94,9
2017-10-10,4,24,5,5,101,235,4,70,4
2017-10-11,10,22,22,10,79,257,11,76,18
2017-10-12,11,16,14,18,103,259,14,68,18
2017-10-13,10,30,14,21,57,225,16,148,13
2017-10-14,14,13,9,26,77,223,7,87,16
2017-10-15,16,17,19,30,203,193,17,105,17
2017-10-16,3,23,7,11,130,260,9,84,4
2017-10-17,17,36,20,16,102,225,14,97,23
2017-10-18,12,32,20,12,85,249,14,105,16
2017-10-19,11,50,18,16,99,223,12,97,23
2017-10-20,10,43,15,13,165,217,13,111,14
2017-10-21,7,27,23,19,156,231,10,126,20
2017-10-22,5,8,13,10,210,215,14,497,8
2017-10-23,6,34,15,14,223,260,14,180,28
2017-10-24,9,52,7,9,165,230,10,129,13
2017-10-25,8,66,12,13,192,212,16,73,16
2017-10-26,6,80,6,9,212,259,9,75,9
2017-10-27,4,72,9,11,202,235,9,73,7
2017-10-28,14,33,18,13,243,238,24,119,19
2017-10-29,9,28,19,16,143,261,9,111,19
2017-10-30,7,56,13,10,156,226,13,71,13
2017-10-31,8,82,13,21,185,205,11,68,12
2017-11-01,8,114,17,18,652,328,20,85,33
2017-11-02,3,106,13,11,258,271,7,88,10
2017-11-03,9,115,13,13,195,228,11,77,10
2017-11-04,2,23,12,10,172,207,6,136,10
2017-11-05,7,24,15,13,163,249,19,106,9
2017-11-06,7,110,22,37,156,236,77,102,27
2017-11-07,9,84,13,68,161,200,18,74,22
2017-11-08,29,108,14,23,158,232,14,90,14
2017-11-09,15,102,15,17,186,238,21,79,10
2017-11-10,7,74,8,16,142,248,10,73,20
2017-11-11,9,43,14,17,151,216,17,78,17
2017-11-12,9,56,11,18,175,190,15,80,16
2017-11-13,22,121,40,26,182,241,29,92,29
2017-11-14,6,99,19,10,199,278,11,66,14
2017-11-15,7,104,17,24,125,237,15,72,11
2017-11-16,18,150,22,21,109,243,15,93,30
2017-11-17,7,108,14,13,105,198,12,73,11
2017-11-18,6,17,13,13,95,186,6,83,55
2017-11-19,8,19,17,25,101,223,12,67,14
2017-11-20,7,15,15,28,101,238,25,81,17
2017-11-21,7,16,15,10,115,259,11,82,27
2017-11-22,7,20,17,20,88,279,12,195,13
2017-11-23,13,17,13,15,107,212,19,97,13
2017-11-24,8,20,14,13,442,224,11,83,16
2017-11-25,8,19,16,15,161,219,18,100,22
2017-11-26,5,40,11,17,150,246,10,97,16
2017-11-27,17,78,16,30,156,303,13,89,15
2017-11-28,16,128,23,21,177,350,18,110,24
2017-11-29,5,128,21,18,206,241,14,92,10
2017-11-30,11,150,19,23,146,258,11,74,19
2017-12-01,17,140,26,21,144,235,24,92,15
2017-12-02,15,30,21,29,162,204,20,143,11
2017-12-03,13,34,15,30,172,224,10,103,24
2017-12-04,14,109,22,19,176,203,22,132,26
2017-12-05,9,113,23,16,142,237,17,94,23
2017-12-06,15,129,26,21,147,240,34,79,27
2017-12-07,9,160,16,17,160,213,23,65,21
2017-12-08,226,99,16,14,147,195,20,83,33
2017-12-09,20528,198,23,18,179,161,28,80,18
2017-12-10,4156,25475,172,17,180,222,28,92,27
2017-12-11,3587,6308,32407,212,163,222,35,110,21
2017-12-12,1963,3105,4885,30437,315,225,25,77,30
2017-12-13,204,2543,2631,4432,28458,556,34,109,29
2017-12-14,122,453,1807,2222,4905,35274,252,81,24
2017-12-15,109,220,271,1452,2459,6216,42386,273,27
2017-12-16,91,164,182,238,1767,2824,7199,18329,244
2017-12-17,68,162,160,164,385,2145,4516,4625,15634
2017-12-18,69,127,110,159,310,691,3938,3850,4886
2017-12-19,55,152,110,132,261,562,519,2109,2654
2017-12-20,52,128,79,124,215,458,284,355,1958
2017-12-21,56,122,81,112,212,431,264,243,270
2017-12-22,37,80,84,67,183,360,177,202,144
2017-12-23,34,48,68,61,162,354,159,158,124
2017-12-24,33,63,62,72,151,296,155,153,100
2017-12-25,30,43,50,44,195,343,134,149,82
2017-12-26,23,49,67,48,218,276,113,178,97
2017-12-27,24,50,47,44,173,270,93,164,69
2017-12-28,23,48,32,53,139,308,67,134,60
2017-12-29,31,43,41,30,142,276,79,177,66
2017-12-30,23,37,38,33,131,279,84,180,49
2017-12-31,31,429,35,46,142,243,60,130,40
2018-01-01,16,27,24,37,129,220,53,152,38
2018-01-02,19,32,35,37,127,281,42,147,35
2018-01-03,20,38,40,36,120,257,58,141,45
2018-01-04,31,36,29,24,163,229,53,292,41
2018-01-05,27,31,24,25,397,326,44,137,26
2018-01-06,24,32,20,23,122,271,37,226,54
2018-01-07,30,38,34,25,109,240,53,169,35
2018-01-08,24,48,32,27,125,265,210,112,14
2018-01-09,12,43,34,27,114,227,33,150,19
2018-01-10,17,54,48,30,101,256,30,141,28
2018-01-11,23,76,40,29,99,227,31,125,24
2018-01-12,19,81,26,22,112,271,35,136,26
2018-01-13,16,35,17,26,114,274,49,186,24
2018-01-14,19,41,32,22,122,294,67,136,35
2018-01-15,18,45,29,27,105,260,34,129,22
2018-01-16,15,51,22,17,97,226,26,128,11
2018-01-17,12,49,21,20,97,287,33,136,25
2018-01-18,15,75,23,20,80,245,30,87,26
2018-01-19,27,68,17,13,97,213,17,124,19
2018-01-20,11,28,17,39,90,226,24,142,17
2018-01-21,16,35,22,18,103,232,17,119,31
2018-01-22,26,43,22,21,111,204,35,89,15
2018-01-23,18,54,15,22,102,239,27,115,25
2018-01-24,12,53,18,16,109,210,24,97,14
2018-01-25,12,96,16,20,106,244,44,86,20
2018-01-26,20,70,19,17,89,231,14,103,10
2018-01-27,11,27,12,7,71,214,19,175,16
2018-01-28,16,28,18,16,84,264,26,108,26
2018-01-29,9,51,22,21,96,237,10,97,22
2018-01-30,9,56,11,14,87,222,13,89,17
2018-01-31,11,72,17,18,90,213,20,92,15
2018-02-01,9,53,18,16,440,220,10,94,12
2018-02-02,14,52,21,22,102,223,17,77,18
2018-02-03,14,22,21,21,104,210,19,89,12
2018-02-04,10,24,19,31,88,272,25,104,14
2018-02-05,11,49,18,18,74,264,31,67,14
2018-02-06,11,39,23,23,85,352,17,87,16
2018-02-07,10,45,11,20,93,260,12,92,13
2018-02-08,15,59,15,20,94,241,18,90,15
2018-02-09,12,31,14,19,92,224,11,75,15
2018-02-10,8,16,20,17,107,265,19,128,23
2018-02-11,11,21,20,17,92,211,9,134,13
2018-02-12,12,42,17,15,108,220,12,90,17
2018-02-13,13,39,11,14,91,230,7,89,8
2018-02-14,6,30,5,13,86,202,18,85,8
2018-02-15,11,35,36,23,84,207,15,94,25
2018-02-16,10,24,17,17,75,235,11,85,23
2018-02-17,9,17,18,16,88,232,12,112,17
2018-02-18,8,14,12,9,79,260,17,265,12
2018-02-19,12,48,14,20,105,253,12,130,10
2018-02-20,93,27,32,13,83,217,15,113,19
2018-02-21,18,40,22,14,68,245,15,171,12
2018-02-22,15,48,30,29,85,309,22,129,22
2018-02-23,12,19,17,14,100,272,11,100,14
2018-02-24,11,20,18,27,99,230,11,102,13
2018-02-25,25,39,24,31,103,259,27,114,26
2018-02-26,17,34,18,25,106,225,16,79,15
2018-02-27,12,47,17,20,71,253,18,100,18
2018-02-28,7,37,8,25,76,211,11,65,16
2018-03-01,11,43,13,24,100,223,17,76,26
2018-03-02,10,34,18,22,85,224,12,98,21
2018-03-03,12,13,16,17,87,214,15,95,15
2018-03-04,16,37,14,21,89,247,18,86,16
2018-03-05,20,29,10,11,72,243,14,64,11
2018-03-06,10,28,12,17,78,227,16,114,15
2018-03-07,11,24,14,10,75,235,13,91,6
2018-03-08,14,26,31,19,71,212,23,96,15
2018-03-09,8,21,15,12,102,224,11,96,15
2018-03-10,6,20,10,9,84,232,8,128,10
2018-03-11,5,10,14,11,113,230,6,103,7
2018-03-12,9,31,17,13,80,230,17,91,14
2018-03-13,4,22,16,15,99,249,12,128,15
2018-03-14,7,21,14,11,103,279,9,99,8
2018-03-15,12,17,11,9,96,213,17,97,13
2018-03-16,12,15,16,14,111,197,11,84,12
2018-03-17,11,9,10,13,118,247,10,91,11
2018-03-18,5,27,13,11,115,198,8,113,7
2018-03-19,10,24,12,16,114,257,16,93,11
2018-03-20,9,30,10,14,93,266,6,81,17
2018-03-21,9,40,19,17,87,242,12,86,15
2018-03-22,7,36,12,15,82,230,8,91,18
2018-03-23,12,54,13,12,92,227,11,91,12
2018-03-24,11,18,16,15,104,223,13,78,16
2018-03-25,6,12,16,10,100,239,11,67,10
2018-03-26,8,29,13,19,97,207,11,63,14
2018-03-27,9,28,10,12,91,216,35,83,13
2018-03-28,11,32,12,12,96,219,8,94,14
2018-03-29,5,25,12,17,105,204,7,133,6
2018-03-30,8,19,14,15,103,224,17,103,12
2018-03-31,7,23,16,7,107,212,8,103,4
2018-04-01,7,9842,10,12,76,223,9,81,11
2018-04-02,7,225,19,15,83,195,19,193,17
2018-04-03,18,75,17,15,128,216,12,120,15
2018-04-04,11,29,18,25,107,190,15,99,16
2018-04-05,10,39,20,18,91,205,10,77,13
2018-04-06,13,33,23,12,99,264,13,80,14
2018-04-07,6,18,9,8,95,234,12,80,5
2018-04-08,6,15,12,15,86,229,10,75,13
2018-04-09,6,17,12,11,74,273,12,95,16
2018-04-10,7,23,13,9,88,227,10,147,11
2018-04-11,9,21,17,24,86,291,14,188,15
2018-04-12,17,35,20,19,103,230,22,128,24
2018-04-13,11,16,11,13,71,236,7,99,17
2018-04-14,17,24,16,20,99,259,15,102,27
2018-04-15,10,22,16,11,97,233,18,130,18
2018-04-16,7,22,10,10,113,250,8,88,17
2018-04-17,12,30,20,18,97,247,23,103,16
2018-04-18,4,19,13,12,79,226,2,104,8
2018-04-19,10,25,9,11,82,210,10,74,21
2018-04-20,12,26,16,7,86,226,9,119,14
2018-04-21,3,12,8,4,66,205,4,169,8
2018-04-22,12,18,17,11,100,264,12,178,21
2018-04-23,13,18,16,10,65,252,5,115,26
2018-04-24,5,18,11,11,83,226,5,114,10
2018-04-25,8,29,13,15,96,273,9,107,9
2018-04-26,7,21,22,12,93,500,7,88,8
2018-04-27,4,13,8,8,69,333,6,92,8
2018-04-28,6,10,16,9,86,251,13,111,8
2018-04-29,7,12,9,13,70,320,11,94,12
2018-04-30,6,16,20,8,73,532,5,102,8
2018-05-01,17,20,18,8,76,362,15,83,8
2018-05-02,3,21,9,7,70,262,13,73,8
2018-05-03,12,17,12,20,89,295,21,106,14
2018-05-04,2,11,9,13,77,226,14,89,13
2018-05-05,4,15,15,6,65,223,12,111,30
2018-05-06,4,8,13,20,77,260,15,151,12
2018-05-07,8,25,11,21,73,262,8,95,15
2018-05-08,6,16,10,27,69,253,9,102,9
2018-05-09,9,16,10,11,74,254,5,101,16
2018-05-10,8,27,16,13,79,258,13,107,15
2018-05-11,5,23,6,7,86,279,7,128,9
2018-05-12,6,13,7,5,82,199,12,90,3
2018-05-13,10,13,12,16,79,316,15,109,12
2018-05-14,9,14,10,11,97,266,12,103,9
2018-05-15,7,15,9,12,71,252,8,92,13
2018-05-16,8,13,15,13,78,281,10,110,8
2018-05-17,5,14,10,16,77,277,6,100,11
2018-05-18,9,23,9,19,71,208,13,157,14
2018-05-19,7,9,22,9,74,199,11,103,13
2018-05-20,7,11,8,9,100,196,14,90,21
2018-05-21,13,20,16,14,102,232,14,99,13
2018-05-22,5,19,9,12,74,255,9,92,12
2018-05-23,17,31,21,17,78,241,14,91,23
2018-05-24,11,30,18,10,75,249,19,60,12
2018-05-25,5,10,10,7,83,213,5,89,3
2018-05-26,13,10,23,10,80,210,9,97,14
2018-05-27,3,8,10,12,84,233,6,102,8
2018-05-28,8,12,12,10,80,257,5,105,7
2018-05-29,6,8,8,9,90,220,2,123,7
2018-05-30,16,20,14,13,81,232,14,120,13
2018-05-31,9,19,14,11,78,241,16,113,6
2018-06-01,8,14,22,12,92,213,12,95,15
2018-06-02,8,9,15,12,87,193,9,90,17
2018-06-03,5,13,13,17,87,206,5,89,15
2018-06-04,7,12,18,10,95,209,6,75,11
2018-06-05,8,12,12,9,94,188,11,76,15
2018-06-06,13,10,20,11,75,235,13,81,8
2018-06-07,12,11,17,11,88,230,15,90,10
2018-06-08,12,17,18,14,79,221,15,88,15
2018-06-09,7,7,13,6,73,208,9,75,8
2018-06-10,2,10,19,15,84,231,8,69,7
2018-06-11,6,32,11,6,69,217,11,61,20
2018-06-12,3,34,23,13,76,224,11,96,12
2018-06-13,11,10,22,12,82,201,10,83,8
2018-06-14,0,0,0,0,0,0,0,0,0
2018-06-15,8,15,17,12,70,178,7,79,14
2018-06-16,9,12,13,21,84,216,7,70,3
2018-06-17,8,8,18,9,75,202,9,83,7
