Date,"Madman's Drum","English Benedictine Reform","Smilodon","Wrestle Kingdom 9","Defense of the Ancients","Clinton Engineer Works","Francis Poulenc","Operation Ironside","Rogue River (Oregon)"
2015-09-20,11,20,1364,140,1364,24,237,3,268
2015-09-21,12,24,1028,108,1443,18,285,9,219
2015-09-22,18,26,1027,95,1490,48,334,5,200
2015-09-23,16,23,973,148,1660,27,275,12,172
2015-09-24,10,8,943,158,1647,26,256,7,145
2015-09-25,11,15,1005,161,1829,47,239,3,133
2015-09-26,6,15,928,238,1270,17,224,2,109
2015-09-27,11,19,1125,208,1441,27,258,5,570
2015-09-28,10,17,1206,170,1570,62,289,4,175
2015-09-29,14,24,1298,120,1388,32,252,5,162
2015-09-30,14,17,1250,183,1769,133,306,3,131
2015-10-01,13,25,1052,171,1839,101,266,1,214
2015-10-02,7,11,981,157,1496,115,225,5,192
2015-10-03,18,15,1167,275,1330,97,216,1,174
2015-10-04,7,17,1420,167,1430,103,232,3,132
2015-10-05,11,15,1388,207,1552,115,376,8,169
2015-10-06,12,25,1509,124,1587,113,305,4,154
2015-10-07,11,18,1679,151,1414,126,330,4,157
2015-10-08,10,31,1355,144,1491,112,271,8,126
2015-10-09,11,20,1226,199,1603,76,266,11,160
