Date,"Hugh de Neville","Allah jang Palsoe","Powderfinger","George Bernard Shaw","Rosetta Stone","Seri Rambai","The Elder Scrolls IV: Oblivion","Neal Dow","SMS Kaiser (1911)"
2018-04-26,10,4,316,2341,2992,12,1202,51,25
2018-04-27,7,7,160,2095,2754,6,820,45,26
2018-04-28,21,7,143,1809,2253,8,733,24,20
2018-04-29,6,5,135,1990,2424,6,892,26,34
2018-04-30,7,5,129,2357,2962,11,1037,58,29
2018-05-01,10,6,149,2374,2868,8,921,42,28
2018-05-02,5,4,150,2396,2616,4,795,64,19
2018-05-03,9,8,143,2233,2571,17,953,49,28
2018-05-04,8,9,142,2334,2390,9,901,64,27
2018-05-05,12,6,135,2083,2107,6,854,13,33
2018-05-06,10,3,160,2268,2332,13,947,32,19
2018-05-07,15,9,166,2412,2569,12,902,51,24
2018-05-08,2,6,177,2277,2698,9,914,28,30
2018-05-09,6,5,166,3255,2494,13,906,48,32
2018-05-10,10,6,142,2336,2492,9,929,50,38
2018-05-11,12,5,150,2095,2309,3,868,34,31
2018-05-12,5,3,166,1990,2166,4,920,16,26
2018-05-13,13,6,171,2148,2420,8,1075,16,36
2018-05-14,8,10,224,2247,2563,6,1023,29,24
2018-05-15,6,3,324,2275,2461,5,978,27,27
2018-05-16,10,7,195,2063,2559,14,971,28,26
2018-05-17,10,6,166,2297,2726,9,789,32,29
2018-05-18,11,10,145,2215,2436,8,859,34,18
2018-05-19,15,11,136,1921,2181,11,796,15,38
2018-05-20,10,7,147,2326,2313,9,937,34,117
2018-05-21,14,11,128,2255,2506,14,1031,29,36
2018-05-22,9,7,134,2276,2670,9,939,33,40
2018-05-23,13,16,156,2300,2649,18,912,38,40
2018-05-24,13,9,154,2653,2667,12,913,39,38
2018-05-25,2,1,174,1990,2709,8,872,22,38
2018-05-26,6,6,165,2064,2872,8,817,10,25
2018-05-27,12,18,154,2100,2602,5,923,15,27
2018-05-28,6,9,149,2295,2630,10,1066,27,27
2018-05-29,3,5,147,2287,2804,8,1458,24,18
2018-05-30,13,14,144,2129,2768,13,2311,23,45
2018-05-31,16,14,173,2090,2708,6,1603,26,26
2018-06-01,14,7,148,1952,2467,7,1222,20,32
2018-06-02,17,7,153,1927,2224,4,1124,38,43
2018-06-03,13,8,142,2197,2680,10,1106,19,34
2018-06-04,10,3,161,2065,2729,9,1234,22,30
2018-06-05,5,6,151,2146,2401,6,1278,29,25
2018-06-06,11,11,178,2133,2492,17,1247,23,27
2018-06-07,4,8,171,2290,2270,10,1279,21,31
2018-06-08,13,10,168,2032,2454,10,1217,21,23
2018-06-09,4,5,149,1885,2423,6,1111,21,25
2018-06-10,5,9,132,2610,2580,6,1570,34,35
2018-06-11,7,6,137,2772,2648,6,10282,21,31
2018-06-12,11,8,115,3522,2388,5,4041,17,31
2018-06-13,9,9,135,2558,2313,13,2871,26,35
2018-06-14,0,0,0,0,0,0,0,0,0
2018-06-15,16,6,151,2053,2385,11,2188,23,20
2018-06-16,13,7,185,1942,2179,4,2014,10,23
2018-06-17,7,8,117,2471,2462,10,1969,23,33
