Date,"Westcott railway station","Theodore Komnenos Doukas","History of York City F.C. (1908–80)","Henry Hoʻolulu Pitman","Banksia attenuata","Viking metal","Burning Rangers","Ian O'Brien","Sabrina Sidney"
2017-01-02,11,35,2,3,11,235,62,4,11
2017-01-03,11,34,5,15,15,251,59,6,18
2017-01-04,9,18,1,5,15,294,68,6,17
2017-01-05,15,36,10,17,24,254,74,18,26
2017-01-06,11,29,10,15,15,271,47,16,19
2017-01-07,11,25,4,7,11,244,85,7,11
2017-01-08,15,19,10,19,16,243,51,14,21
2017-01-09,8,25,5,27,10,230,75,9,23
2017-01-10,12,19,12,19,21,232,68,11,25
2017-01-11,12,20,4,14,17,271,122,11,14
2017-01-12,15,28,10,9,17,270,59,12,18
2017-01-13,10,30,6,11,14,264,40,7,10
2017-01-14,15,23,5,11,15,265,66,4,17
2017-01-15,15,26,7,11,18,309,104,11,17
2017-01-16,17,37,14,15,18,246,64,17,26
2017-01-17,13,41,9,23,11,257,83,11,17
2017-01-18,8,32,3,10,11,285,74,5,14
2017-01-19,17,29,7,17,12,319,71,12,28
2017-01-20,16,22,4,8,13,285,63,6,9
2017-01-21,10,41,9,14,11,232,126,10,14
2017-01-22,14,37,11,16,12,229,97,12,15
2017-01-23,15,22,11,11,22,251,102,9,20
2017-01-24,10,31,9,14,15,258,131,10,15
2017-01-25,12,32,5,13,17,237,87,5,16
2017-01-26,15,36,18,15,13,292,94,13,18
2017-01-27,6,33,7,10,12,346,97,8,22
2017-01-28,13,49,9,10,17,307,78,10,13
2017-01-29,11,28,5,6,7,358,159,8,9
2017-01-30,8,22,8,15,17,390,140,7,9
2017-01-31,11,21,7,8,13,372,169,5,21
2017-02-01,16,27,11,20,22,361,158,11,16
2017-02-02,6,16,2,6,9,325,140,2,13
2017-02-03,2,33,6,10,9,352,128,7,14
2017-02-04,12,40,4,6,16,303,113,16,8
2017-02-05,34,37,14,13,15,306,133,19,12
2017-02-06,21,28,11,18,12,289,108,6,17
2017-02-07,17,40,20,17,18,369,154,9,25
2017-02-08,27,54,20,33,31,377,150,13,23
2017-02-09,21,37,19,22,24,362,158,16,18
2017-02-10,14,25,5,26,16,375,158,6,18
2017-02-11,22,42,16,25,20,336,132,11,39
2017-02-12,16,32,9,35,15,296,147,8,13
2017-02-13,20,39,11,20,22,378,146,12,13
2017-02-14,8,39,14,12,15,338,135,7,24
2017-02-15,29,48,21,23,30,405,169,11,24
2017-02-16,19,36,22,28,33,362,147,11,24
2017-02-17,20,39,8,12,13,358,144,8,16
2017-02-18,19,30,11,13,14,373,142,36,9
2017-02-19,18,72,24,31,11,358,148,13,33
2017-02-20,20,39,8,16,21,391,156,16,29
2017-02-21,8,69,43,8,18,456,134,20,40
2017-02-22,20,45,14,12,24,416,167,14,17
2017-02-23,879,36,12,24,31,385,161,22,25
2017-02-24,24791,266,31,19,22,363,142,26,29
2017-02-25,4109,25034,183,34,23,322,96,22,27
2017-02-26,2759,5103,22773,187,27,353,152,15,30
2017-02-27,2223,3380,5308,42064,154,329,153,13,42
2017-02-28,381,2239,3471,6335,20892,428,66,8,18
2017-03-01,249,370,2239,2935,3240,47609,215,21,51
2017-03-02,189,241,214,2345,2101,16923,42987,114,49
2017-03-03,147,181,317,645,1504,5690,10413,17042,299
2017-03-04,116,165,195,438,247,3770,2507,2742,62292
2017-03-05,118,131,174,350,152,819,2046,1867,15355
2017-03-06,80,120,204,273,134,609,280,1790,5212
2017-03-07,79,111,93,238,133,499,200,136,2718
2017-03-08,71,108,79,156,94,533,168,77,1722
2017-03-09,66,143,60,121,84,417,150,61,862
2017-03-10,73,100,156,138,88,449,129,60,455
2017-03-11,56,94,240,104,63,325,143,38,460
2017-03-12,42,105,85,99,67,322,107,45,398
2017-03-13,48,67,105,82,58,355,116,48,267
2017-03-14,61,72,60,76,65,329,110,40,220
2017-03-15,44,63,43,79,52,316,96,27,206
2017-03-16,43,47,24,51,37,374,96,23,156
2017-03-17,34,42,24,58,42,350,76,24,164
2017-03-18,31,43,36,57,37,319,92,32,142
2017-03-19,53,56,39,46,33,298,103,31,124
2017-03-20,43,37,15,42,30,316,82,24,100
2017-03-21,26,50,15,50,41,298,90,21,108
2017-03-22,38,51,26,39,46,335,73,23,105
2017-03-23,31,47,27,47,44,311,94,37,112
2017-03-24,26,66,23,46,24,274,79,26,74
2017-03-25,43,54,42,47,36,267,70,28,100
2017-03-26,16,46,28,41,38,276,72,14,90
2017-03-27,29,32,26,40,33,305,122,28,102
2017-03-28,20,35,18,250,24,334,79,8,68
2017-03-29,25,31,17,29,29,284,62,24,68
2017-03-30,23,42,23,39,37,315,61,28,97
2017-03-31,14,47,18,31,42,279,75,27,49
2017-04-01,23,48,22,39,29,237,59,19,53
2017-04-02,28,43,22,26,23,256,103,20,72
2017-04-03,17,23,17,35,32,257,88,10,55
2017-04-04,13,41,9,24,32,256,88,15,48
2017-04-05,17,49,15,17,23,256,66,10,40
2017-04-06,25,32,24,24,27,270,54,15,47
2017-04-07,17,33,12,21,25,238,64,14,42
2017-04-08,17,37,12,16,16,262,63,17,40
2017-04-09,11,34,15,19,19,225,66,20,40
2017-04-10,25,47,25,26,30,333,50,21,60
2017-04-11,21,46,14,14,22,319,69,16,41
2017-04-12,20,30,12,22,20,282,52,15,35
2017-04-13,24,43,13,24,23,287,75,16,40
2017-04-14,19,52,9,23,16,263,48,18,32
2017-04-15,17,31,14,21,25,214,59,12,35
2017-04-16,22,32,15,28,28,235,61,14,33
2017-04-17,29,40,10,14,18,263,65,13,38
2017-04-18,21,35,14,31,24,260,68,12,40
2017-04-19,15,46,8,12,12,253,73,17,41
2017-04-20,26,31,16,24,30,319,69,23,35
2017-04-21,27,44,9,20,16,302,63,10,31
2017-04-22,26,57,20,21,19,268,74,14,34
2017-04-23,16,24,6,17,12,256,74,11,26
2017-04-24,18,43,13,12,22,231,73,11,31
2017-04-25,18,38,9,21,25,219,49,9,29
2017-04-26,14,29,4,17,16,266,80,8,29
2017-04-27,20,30,10,44,23,236,71,13,37
2017-04-28,16,37,5,9,25,298,61,7,41
2017-04-29,8,30,16,12,15,258,57,18,15
2017-04-30,11,41,12,21,19,246,62,14,23
2017-05-01,13,41,12,23,20,312,83,11,27
2017-05-02,18,49,16,21,36,275,76,20,35
2017-05-03,19,44,14,20,23,243,66,13,30
2017-05-04,12,23,12,13,18,289,73,11,22
2017-05-05,17,44,11,19,21,236,66,8,25
2017-05-06,20,42,16,25,20,248,63,14,36
2017-05-07,9,35,4,5,20,258,51,6,30
2017-05-08,14,40,12,18,25,251,60,22,27
2017-05-09,16,24,2,10,12,230,69,6,31
2017-05-10,16,22,6,11,20,212,45,1,22
2017-05-11,19,30,11,18,19,268,61,14,23
2017-05-12,18,28,8,26,24,258,58,8,30
2017-05-13,13,24,5,11,17,229,53,8,22
2017-05-14,11,28,8,22,26,188,64,11,33
2017-05-15,17,29,10,18,58,243,82,22,643
2017-05-16,12,30,10,14,47,249,79,14,152
2017-05-17,15,32,6,13,27,279,108,12,89
2017-05-18,25,32,16,28,24,268,99,13,48
2017-05-19,118,36,12,12,32,247,62,11,45
2017-05-20,30,29,17,33,25,247,70,22,41
2017-05-21,39,31,18,22,23,233,70,27,41
2017-05-22,25,30,11,23,22,223,72,9,30
2017-05-23,24,40,13,21,28,223,63,16,33
2017-05-24,30,22,7,15,18,253,65,11,26
2017-05-25,53,25,9,9,12,282,65,12,25
2017-05-26,32,31,9,19,22,244,63,17,24
2017-05-27,16,31,8,8,10,187,46,9,149
2017-05-28,7,35,5,9,14,238,85,4,116
2017-05-29,17,50,18,16,16,223,55,10,39
2017-05-30,23,32,15,20,21,281,63,20,33
2017-05-31,19,24,12,13,16,228,148,15,26
2017-06-01,18,50,14,17,23,247,97,14,44
2017-06-02,16,38,7,13,19,230,81,10,43
2017-06-03,10,33,9,13,16,219,86,8,39
2017-06-04,9,31,10,10,20,226,70,5,21
2017-06-05,18,30,9,7,23,217,54,6,30
2017-06-06,19,29,12,15,24,236,59,15,30
2017-06-07,22,32,16,13,25,261,53,18,42
2017-06-08,15,34,11,18,22,242,61,13,23
2017-06-09,15,28,8,14,17,248,54,13,20
2017-06-10,12,24,5,7,12,208,50,8,11
2017-06-11,17,29,14,23,30,201,52,13,27
2017-06-12,13,28,11,18,25,240,67,12,33
2017-06-13,20,35,17,23,28,273,63,16,38
2017-06-14,18,31,13,15,23,239,63,13,31
2017-06-15,25,24,10,21,35,254,45,14,20
2017-06-16,12,27,7,10,14,200,57,3,21
2017-06-17,18,32,13,20,16,187,51,14,15
2017-06-18,14,41,9,20,13,193,63,12,24
2017-06-19,10,36,7,11,32,257,57,6,32
2017-06-20,10,24,7,8,17,240,49,9,29
2017-06-21,15,29,9,8,29,203,51,5,23
2017-06-22,23,48,11,16,22,227,85,18,23
2017-06-23,16,43,14,14,19,216,58,18,18
2017-06-24,9,34,5,9,13,181,38,8,7
2017-06-25,13,27,7,12,12,203,48,11,22
2017-06-26,11,37,3,12,13,205,50,9,23
2017-06-27,20,38,7,14,21,217,56,6,29
2017-06-28,19,22,11,17,13,229,66,9,888
2017-06-29,11,26,7,11,11,240,53,11,312
2017-06-30,13,21,4,13,21,194,44,11,63
2017-07-01,13,18,7,18,11,171,48,5,28
2017-07-02,9,22,6,14,10,183,61,10,27
2017-07-03,14,28,7,9,12,215,57,8,28
2017-07-04,9,22,5,11,10,177,62,8,14
2017-07-05,18,28,6,13,11,210,72,7,23
2017-07-06,21,30,8,13,20,197,75,9,25
2017-07-07,16,35,5,8,10,230,59,10,21
2017-07-08,31,28,3,7,12,198,65,8,23
2017-07-09,27,18,9,9,11,207,58,6,53
2017-07-10,15,28,6,11,20,221,64,5,47
2017-07-11,12,30,9,16,15,216,58,8,30
2017-07-12,14,28,9,14,14,215,55,12,36
2017-07-13,17,18,5,9,5,283,57,7,30
2017-07-14,6,35,3,7,11,293,51,5,26
2017-07-15,16,23,15,10,18,232,74,15,156
2017-07-16,9,32,10,11,15,186,38,13,58
2017-07-17,10,20,8,4,21,218,55,7,59
2017-07-18,11,17,4,8,12,183,62,5,37
2017-07-19,21,17,12,15,25,255,61,11,35
2017-07-20,18,25,10,6,22,282,80,12,35
2017-07-21,15,35,7,11,18,215,58,9,26
2017-07-22,11,24,6,9,20,211,59,8,24
2017-07-23,9,23,8,13,20,196,64,7,29
2017-07-24,13,29,4,8,10,213,67,7,41
2017-07-25,12,38,8,5,13,267,71,4,25
2017-07-26,14,34,11,13,23,236,73,11,36
2017-07-27,23,26,8,7,30,216,51,9,18
2017-07-28,14,23,11,9,13,258,57,11,23
2017-07-29,12,23,3,14,7,216,43,10,8
2017-07-30,9,25,5,7,9,194,61,4,19
2017-07-31,12,42,5,9,13,223,51,11,19
2017-08-01,15,25,13,14,20,216,63,17,30
2017-08-02,24,21,15,12,16,224,56,18,24
2017-08-03,14,38,8,15,25,201,235,11,28
2017-08-04,15,27,11,12,25,222,108,20,42
2017-08-05,16,34,15,15,23,220,81,12,21
2017-08-06,15,26,8,11,14,200,74,15,21
2017-08-07,9,28,9,15,27,198,71,10,27
2017-08-08,12,34,10,10,23,223,72,11,25
2017-08-09,16,32,6,9,11,230,54,9,60
2017-08-10,11,23,8,3,20,198,53,10,51
2017-08-11,15,40,8,14,25,234,90,13,48
2017-08-12,13,22,10,10,18,213,63,15,30
2017-08-13,13,40,7,7,12,198,76,11,24
2017-08-14,19,36,10,15,22,237,59,12,23
2017-08-15,14,25,9,16,14,202,79,11,38
2017-08-16,14,25,9,20,28,187,78,12,31
2017-08-17,9,21,5,8,15,229,75,7,19
2017-08-18,15,24,21,12,15,310,84,12,33
2017-08-19,14,24,5,4,12,213,65,14,10
2017-08-20,18,19,7,11,15,208,71,8,17
2017-08-21,10,41,6,8,21,212,62,7,16
2017-08-22,12,30,7,5,29,220,64,6,73
2017-08-23,18,19,7,26,14,189,55,8,80
2017-08-24,23,38,15,26,25,205,62,17,48
2017-08-25,13,20,9,12,15,205,58,5,26
2017-08-26,11,22,4,5,12,198,64,6,15
2017-08-27,10,27,7,12,17,172,57,12,32
2017-08-28,14,18,3,6,23,167,70,6,30
2017-08-29,6,15,5,7,7,217,44,3,14
2017-08-30,11,29,7,8,17,222,49,6,24
2017-08-31,10,75,10,8,23,178,61,7,70
2017-09-01,10,24,5,6,25,175,57,7,12
2017-09-02,13,15,11,7,16,210,59,8,17
2017-09-03,11,30,4,9,10,199,67,7,18
2017-09-04,13,15,6,8,19,187,69,11,18
2017-09-05,16,28,10,9,19,211,82,17,19
2017-09-06,27,25,13,10,25,213,56,10,20
2017-09-07,7,25,5,10,17,181,79,5,29
2017-09-08,13,29,3,12,12,197,51,4,2866
2017-09-09,18,21,8,13,14,189,67,8,44
2017-09-10,10,28,11,11,9,185,59,8,31
2017-09-11,8,32,3,7,15,207,46,7,29
2017-09-12,10,26,5,7,19,200,61,7,23
2017-09-13,6,32,3,7,21,205,50,3,20
2017-09-14,15,25,11,10,26,214,63,11,23
2017-09-15,18,41,13,11,14,253,63,13,26
2017-09-16,14,35,12,12,8,208,45,8,13
2017-09-17,16,21,9,5,20,165,63,6,15
2017-09-18,15,12,13,9,20,228,63,7,34
2017-09-19,14,30,10,15,27,187,68,18,18
2017-09-20,11,23,5,7,16,216,56,7,22
2017-09-21,5,13,4,5,12,218,54,6,12
2017-09-22,13,29,13,11,26,200,58,12,18
2017-09-23,13,36,13,10,15,192,61,14,16
2017-09-24,9,23,7,5,7,189,51,8,15
2017-09-25,12,21,5,10,19,164,63,10,16
2017-09-26,15,21,8,6,13,189,62,8,16
2017-09-27,9,23,6,8,17,200,67,5,18
2017-09-28,17,31,8,9,18,201,58,14,16
2017-09-29,13,23,12,7,16,235,38,12,24
2017-09-30,8,15,15,8,7,183,60,5,16
2017-10-01,5,11,16,6,9,157,58,5,9
2017-10-02,20,20,10,17,22,207,49,11,22
2017-10-03,11,15,4,11,28,207,49,8,21
2017-10-04,15,36,7,11,17,222,68,8,37
2017-10-05,11,30,10,15,20,206,54,13,36
2017-10-06,16,26,9,16,17,237,52,15,31
2017-10-07,18,26,11,14,19,208,35,14,28
2017-10-08,12,27,7,12,12,177,51,6,16
2017-10-09,10,34,9,14,16,175,42,10,27
2017-10-10,10,28,5,7,16,225,59,4,13
2017-10-11,11,23,10,11,18,199,53,15,29
2017-10-12,17,23,9,9,19,220,58,8,19
2017-10-13,13,19,11,11,16,217,59,14,21
2017-10-14,15,22,7,5,11,205,57,9,22
2017-10-15,14,29,11,17,23,209,62,14,27
2017-10-16,11,18,2,6,4,229,56,3,9
2017-10-17,19,32,14,13,29,190,61,12,25
2017-10-18,16,26,6,6,21,219,65,11,12
2017-10-19,13,23,12,14,18,185,56,18,23
2017-10-20,9,24,8,9,35,239,57,8,18
2017-10-21,10,25,5,9,14,195,62,10,19
2017-10-22,6,24,5,6,13,202,52,8,19
2017-10-23,11,31,6,5,16,218,71,7,21
2017-10-24,11,19,9,15,13,251,56,10,23
2017-10-25,18,36,9,9,20,222,65,13,22
2017-10-26,10,26,7,4,14,214,51,5,17
2017-10-27,49,25,8,7,16,264,57,6,7
2017-10-28,16,27,13,12,18,208,52,17,16
2017-10-29,14,27,5,10,13,220,63,9,20
2017-10-30,7,21,5,7,16,249,52,6,18
2017-10-31,12,25,11,13,21,234,55,11,27
2017-11-01,12,38,9,18,19,210,63,15,46
2017-11-02,8,23,5,6,13,228,61,8,79
2017-11-03,22,33,7,9,22,229,51,9,36
2017-11-04,9,35,7,4,6,283,58,11,40
2017-11-05,23,34,6,19,10,277,70,13,36
2017-11-06,12,29,9,8,16,282,66,13,30
2017-11-07,10,26,8,12,20,260,76,15,46
2017-11-08,12,32,7,13,22,276,66,10,41
2017-11-09,12,26,9,12,22,244,70,10,29
2017-11-10,7,38,2,5,9,233,48,3,299
2017-11-11,14,33,7,19,15,244,77,6,54
2017-11-12,15,24,9,5,77,249,55,11,53
2017-11-13,18,32,15,16,26,272,87,13,46
2017-11-14,15,28,6,11,13,264,63,6,27
2017-11-15,17,64,35,31,15,198,58,7,28
2017-11-16,17,21,9,14,31,251,59,10,34
2017-11-17,10,22,7,12,14,256,56,10,82
2017-11-18,8,24,4,7,6,221,44,8,33
2017-11-19,6,27,8,7,10,241,51,7,33
2017-11-20,10,38,7,5,16,348,60,12,18
2017-11-21,13,21,8,7,14,318,58,13,56
2017-11-22,11,17,3,12,22,334,55,7,38
2017-11-23,13,29,12,9,22,221,58,10,18
2017-11-24,12,27,7,9,18,240,47,7,24
2017-11-25,12,29,10,15,13,231,65,13,25
2017-11-26,15,23,7,10,15,257,68,14,18
2017-11-27,18,36,9,12,20,429,72,18,22
2017-11-28,21,17,19,14,26,327,80,16,41
2017-11-29,21,23,5,7,15,226,47,9,147
2017-11-30,13,26,6,11,12,333,61,19,601
2017-12-01,15,27,11,14,30,305,63,16,142
2017-12-02,7,458,6,6,16,260,64,9,55
2017-12-03,11,33,4,5,7,269,56,4,102
2017-12-04,11,23,8,5,12,320,50,10,59
2017-12-05,12,22,8,9,18,390,61,5,28
2017-12-06,11,25,6,8,19,289,66,12,41
2017-12-07,10,21,10,10,16,604,45,7,28
2017-12-08,12,22,5,8,327,541,57,10,34
2017-12-09,14,33,14,18,19,509,71,14,25
2017-12-10,15,28,14,17,28,882,76,24,35
2017-12-11,17,30,16,17,17,327,58,17,33
2017-12-12,15,28,14,14,22,241,59,22,30
2017-12-13,18,32,13,18,20,331,123,12,24
2017-12-14,22,25,14,9,18,243,54,18,54
2017-12-15,15,35,10,19,10,194,64,17,28
2017-12-16,22,30,15,15,20,158,59,13,31
2017-12-17,19,30,13,15,17,237,73,17,28
2017-12-18,13,27,12,12,11,262,61,12,26
2017-12-19,16,27,10,14,21,208,54,12,13
2017-12-20,26,31,10,16,13,200,69,13,20
2017-12-21,4,19,4,8,258,205,61,5,18
2017-12-22,7,21,4,6,11,252,50,10,13
2017-12-23,8,18,6,9,13,175,40,22,18
2017-12-24,9,46,4,3,14,182,37,6,10
2017-12-25,9,29,5,3,5,175,56,9,15
2017-12-26,18,31,10,11,9,188,59,11,15
2017-12-27,12,21,9,11,19,228,50,11,17
2017-12-28,10,31,8,8,18,229,53,18,15
2017-12-29,15,34,11,7,9,205,55,11,16
2017-12-30,8,24,12,8,5,206,66,4,24
2017-12-31,13,24,10,9,20,183,72,436,25
2018-01-01,11,29,8,7,12,197,49,9,25
2018-01-02,11,31,8,7,14,216,64,7,20
2018-01-03,15,36,8,10,17,203,52,16,21
2018-01-04,9,29,14,7,9,259,72,5,20
2018-01-05,7,30,8,13,12,216,56,8,9
2018-01-06,13,34,11,13,15,195,66,15,16
2018-01-07,14,32,13,11,12,195,81,14,28
2018-01-08,12,26,10,10,8,233,61,9,20
2018-01-09,9,22,4,7,9,201,48,6,18
2018-01-10,12,30,7,10,10,346,48,6,21
2018-01-11,12,36,9,13,8,234,68,10,20
2018-01-12,12,29,8,12,10,228,45,5,17
2018-01-13,18,23,13,11,8,241,65,14,15
2018-01-14,22,40,10,22,20,231,65,12,31
2018-01-15,14,23,10,6,16,232,78,13,29
2018-01-16,6,35,8,7,9,221,50,7,15
2018-01-17,13,38,9,10,18,202,61,11,16
2018-01-18,13,35,6,13,12,241,72,15,18
2018-01-19,17,28,7,6,7,256,104,14,28
2018-01-20,8,31,7,4,13,227,68,9,24
2018-01-21,14,37,5,8,7,191,54,11,19
2018-01-22,8,29,7,8,11,232,87,4,18
2018-01-23,14,31,11,8,11,242,82,19,34
2018-01-24,6,24,5,7,7,215,87,6,26
2018-01-25,10,32,7,7,11,265,51,8,92
2018-01-26,10,37,16,6,9,248,56,11,186
2018-01-27,10,22,8,4,4,231,49,5,140
2018-01-28,18,22,7,7,11,218,65,8,116
2018-01-29,11,40,6,8,14,198,63,5,48
2018-01-30,7,24,7,8,11,239,74,4,32
2018-01-31,10,29,6,4,10,233,74,12,56
2018-02-01,10,41,10,10,10,226,56,8,51
2018-02-02,9,33,9,8,15,237,69,11,48
2018-02-03,7,25,5,7,11,203,71,11,32
2018-02-04,12,28,10,13,9,196,78,8,55
2018-02-05,10,23,4,5,15,219,66,6,35
2018-02-06,15,22,6,8,8,218,59,12,36
2018-02-07,8,23,9,8,12,238,47,10,33
2018-02-08,9,29,11,9,16,227,52,10,52
2018-02-09,10,37,5,9,17,202,50,14,31
2018-02-10,14,30,17,16,14,229,60,10,59
2018-02-11,10,28,6,12,14,212,57,8,60
2018-02-12,17,17,3,6,10,219,67,5,49
2018-02-13,14,22,6,6,5,203,59,7,39
2018-02-14,8,23,7,4,13,223,64,6,31
2018-02-15,17,37,10,8,10,233,43,14,33
2018-02-16,15,29,9,16,12,234,63,6,37
2018-02-17,12,33,8,10,15,195,45,13,26
2018-02-18,11,40,6,8,10,245,82,9,51
2018-02-19,5,46,6,5,7,221,65,10,32
2018-02-20,12,36,10,7,18,213,68,10,38
2018-02-21,13,44,9,12,12,214,61,9,43
2018-02-22,16,47,15,18,19,210,65,17,33
2018-02-23,8,20,9,11,19,230,71,16,21
2018-02-24,8,21,14,10,18,194,65,11,11
2018-02-25,21,40,21,16,32,259,103,25,110
2018-02-26,11,35,20,11,12,232,111,8,42
2018-02-27,7,29,9,10,9,203,99,13,38
2018-02-28,6,37,6,6,6,245,75,9,23
2018-03-01,12,21,12,9,13,230,66,9,25
2018-03-02,11,35,9,9,12,241,66,9,27
2018-03-03,14,35,6,10,11,2145,62,18,17
2018-03-04,18,42,13,7,15,1010,72,11,31
2018-03-05,8,24,7,6,17,293,58,7,19
2018-03-06,12,31,12,7,197,271,78,9,13
2018-03-07,8,25,13,7,14,241,61,5,10
2018-03-08,11,50,12,11,16,334,65,11,15
2018-03-09,11,113,12,9,13,247,53,11,17
2018-03-10,7,51,10,10,9,240,63,10,18
2018-03-11,7,23,4,4,4,237,60,8,7
2018-03-12,10,28,7,8,19,229,78,9,19
2018-03-13,10,19,7,6,11,254,49,5,15
2018-03-14,8,28,8,6,14,187,69,12,13
2018-03-15,8,29,8,11,17,274,81,13,18
2018-03-16,13,30,6,18,17,227,55,7,25
2018-03-17,9,37,6,10,11,184,85,11,22
2018-03-18,10,38,4,10,20,187,74,8,10
2018-03-19,9,26,8,14,16,263,82,8,18
2018-03-20,16,34,5,11,14,216,52,9,15
2018-03-21,12,46,12,9,19,217,71,10,21
2018-03-22,8,38,5,12,15,250,54,22,18
2018-03-23,9,33,11,12,10,212,63,7,13
2018-03-24,9,26,13,6,13,212,82,11,9
2018-03-25,7,56,11,9,13,202,57,14,8
2018-03-26,15,34,6,11,9,228,68,19,21
2018-03-27,15,30,10,9,19,212,56,17,14
2018-03-28,15,31,13,9,270,207,55,10,21
2018-03-29,10,35,10,7,8,197,57,7,14
2018-03-30,7,29,21,4,11,183,66,17,24
2018-03-31,10,18,10,9,18,204,66,10,15
2018-04-01,13,23,9,8,13,222,69,15,14
2018-04-02,13,35,9,8,17,224,60,8,23
2018-04-03,20,42,11,9,24,227,78,11,25
2018-04-04,5,52,4,10,16,232,57,16,24
2018-04-05,9,39,6,7,17,234,61,20,18
2018-04-06,16,50,13,13,20,248,56,12,19
2018-04-07,8,26,7,7,11,176,46,8,16
2018-04-08,11,34,9,3,17,223,55,19,10
2018-04-09,8,23,6,8,26,214,71,12,12
2018-04-10,8,39,5,7,14,222,64,12,29
2018-04-11,12,31,8,9,16,287,73,11,29
2018-04-12,20,29,14,10,19,272,56,14,24
2018-04-13,9,29,7,6,15,250,71,9,17
2018-04-14,16,61,8,12,23,213,97,15,34
2018-04-15,15,33,7,12,16,233,97,7,23
2018-04-16,8,37,2,11,10,235,102,10,10
2018-04-17,21,28,12,12,23,226,79,13,23
2018-04-18,4,30,4,4,16,216,79,9,21
2018-04-19,8,21,5,6,16,240,76,8,8
2018-04-20,12,24,6,6,13,264,70,6,14
2018-04-21,6,29,4,1,12,204,55,6,4
2018-04-22,11,59,8,7,20,207,58,9,14
2018-04-23,6,31,6,5,18,232,70,9,14
2018-04-24,5,34,9,5,9,253,75,8,9
2018-04-25,11,39,6,9,6,267,59,10,17
2018-04-26,8,31,6,12,16,238,76,6,6
2018-04-27,6,42,6,6,10,222,52,10,15
2018-04-28,18,21,5,7,11,184,49,7,101
2018-04-29,11,24,3,5,12,215,61,11,43
2018-04-30,7,22,3,5,14,218,62,4,22
2018-05-01,14,37,9,8,19,236,47,12,22
2018-05-02,13,46,6,6,12,243,55,9,29
2018-05-03,10,32,9,12,15,228,75,13,35
2018-05-04,13,27,4,7,10,241,55,5,18
2018-05-05,9,22,5,11,8,225,100,5,19
2018-05-06,8,29,3,10,16,198,1012,3,13
2018-05-07,9,35,8,15,18,269,88,10,17
2018-05-08,13,23,7,13,13,221,61,7,14
2018-05-09,10,22,10,15,13,212,55,5,18
2018-05-10,10,31,6,12,18,230,59,8,24
2018-05-11,7,34,5,12,14,244,51,8,22
2018-05-12,11,23,6,4,8,243,59,6,24
2018-05-13,9,30,10,8,40,203,58,8,25
2018-05-14,10,26,2,5,22,202,59,6,16
2018-05-15,8,44,7,7,19,226,53,2,20
2018-05-16,11,32,7,7,18,228,59,8,17
2018-05-17,6,32,9,8,26,220,55,6,9
2018-05-18,10,32,4,17,20,221,58,14,26
2018-05-19,9,34,13,8,14,218,56,9,13
2018-05-20,7,34,5,9,10,220,66,6,13
2018-05-21,17,32,5,13,16,243,72,8,16
2018-05-22,10,25,6,10,26,211,58,5,15
2018-05-23,11,29,9,12,23,242,63,11,17
2018-05-24,11,32,13,11,12,231,51,12,15
2018-05-25,10,41,3,7,9,234,68,7,7
2018-05-26,7,28,9,10,16,168,63,7,13
2018-05-27,11,30,7,7,12,233,69,5,12
2018-05-28,17,18,7,10,12,229,77,5,23
2018-05-29,5,30,5,12,10,214,56,6,10
2018-05-30,15,29,15,13,25,204,62,11,15
2018-05-31,6,21,6,6,14,217,73,8,26
2018-06-01,8,30,9,5,12,187,85,10,11
2018-06-02,11,30,11,5,15,187,78,5,4
2018-06-03,8,20,3,4,12,206,74,8,7
2018-06-04,6,27,4,4,14,211,85,9,8
2018-06-05,9,22,7,4,16,217,64,5,18
2018-06-06,9,27,5,9,17,179,74,7,15
2018-06-07,10,38,10,7,15,220,74,13,12
2018-06-08,13,35,9,7,17,192,74,8,15
2018-06-09,7,33,6,2,12,209,57,33,10
2018-06-10,7,33,6,4,14,206,61,4,15
2018-06-11,14,25,2,12,11,247,53,7,10
2018-06-12,8,25,6,8,12,180,58,8,8
2018-06-13,13,29,5,4,17,217,73,9,11
2018-06-14,0,0,0,0,0,0,0,0,0
2018-06-15,12,23,6,8,21,182,51,8,11
2018-06-16,10,31,7,4,19,173,62,6,6
2018-06-17,10,35,6,9,6,164,65,5,13
