Date,"Westcott railway station","Theodore Komnenos Doukas","History of York City F.C. (1908–80)","Henry Hoʻolulu Pitman","Banksia attenuata","Viking metal","Burning Rangers","Ian O'Brien","Sabrina Sidney"
2015-11-02,11,18,7,7,27,274,42,6,0
2015-11-03,8,16,1,22,17,297,49,12,0
2015-11-04,21,25,153,45,25,323,85,13,0
2015-11-05,13,15,38,30,18,345,59,14,0
2015-11-06,10,17,11,37,19,281,56,12,0
2015-11-07,13,22,25,24,27,302,76,12,0
2015-11-08,13,23,15,16,6,239,45,6,0
2015-11-09,16,26,10,12,22,272,46,13,0
2015-11-10,14,48,2,65,13,278,52,5,0
2015-11-11,10,28,8,61,16,297,64,10,0
2015-11-12,23,36,6,12,32,294,46,22,0
2015-11-13,13,28,6,57,16,299,49,9,0
2015-11-14,16,21,7,62,16,253,43,6,0
2015-11-15,20,28,54,16,19,226,48,13,0
2015-11-16,25,16,80,5,31,263,77,23,0
2015-11-17,12,16,22,3,58,328,56,15,0
2015-11-18,12,22,5,5,23,278,46,13,0
2015-11-19,13,24,9,15,27,298,46,10,0
2015-11-20,14,27,12,15,22,268,57,18,0
2015-11-21,13,20,11,9,7,240,42,12,0
2015-11-22,14,27,4,3,14,234,66,10,0
2015-11-23,11,20,23,10,12,286,62,9,0
2015-11-24,15,25,80,8,24,302,60,12,0
2015-11-25,10,18,78,2,25,244,55,10,0
2015-11-26,13,19,92,46,15,292,53,15,0
2015-11-27,11,23,56,95,19,227,40,12,0
2015-11-28,17,31,71,17,10,309,53,12,0
2015-11-29,6,38,54,9,19,310,45,14,0
2015-11-30,6,30,86,22,14,310,61,10,0
2015-12-01,11,14,62,25,20,298,54,10,0
2015-12-02,15,9,70,35,40,293,52,9,0
2015-12-03,6,22,61,10,10,264,45,5,0
2015-12-04,11,25,67,9,24,319,46,7,0
2015-12-05,15,16,80,14,21,295,41,9,0
2015-12-06,8,11,55,10,10,292,64,6,0
2015-12-07,7,27,56,8,18,288,38,6,0
2015-12-08,8,17,62,8,13,301,36,10,0
2015-12-09,11,18,91,8,16,286,42,11,0
2015-12-10,12,21,612,226,18,290,50,11,0
2015-12-11,11,28,66,115,18,284,37,12,0
2015-12-12,12,22,72,226,22,259,65,19,0
2015-12-13,9,36,53,11,14,244,68,15,0
2015-12-14,10,19,72,36,15,279,47,12,0
2015-12-15,9,37,76,10,14,256,48,10,0
2015-12-16,9,52,68,5,11,262,43,14,0
2015-12-17,13,22,75,5,14,238,45,14,0
2015-12-18,10,55,51,5,10,218,32,14,0
2015-12-19,11,64,36,8,10,229,50,8,0
2015-12-20,7,97,6,6,5,188,41,5,0
2015-12-21,4,42,10,68,5,218,46,6,0
2015-12-22,13,40,10,18,11,251,39,8,0
2015-12-23,8,21,7,20,15,234,52,5,0
2015-12-24,10,21,7,12,9,236,51,18,0
2015-12-25,4,21,5,9,7,203,51,6,0
2015-12-26,10,16,8,5,21,209,57,6,0
2015-12-27,9,31,11,4,24,233,50,5,0
2015-12-28,11,13,3,4,8,260,51,3,0
2015-12-29,18,26,7,6,7,253,42,11,0
2015-12-30,9,42,8,7,11,259,42,13,0
2015-12-31,9,23,13,5,18,230,49,12,0
2016-01-01,13,29,11,6,11,225,49,16,0
2016-01-02,4,13,15,9,13,222,60,8,0
2016-01-03,9,26,8,5,16,234,54,5,0
2016-01-04,14,42,15,8,18,253,65,11,0
2016-01-05,18,35,10,16,12,261,42,10,0
2016-01-06,10,30,8,0,19,226,56,7,0
2016-01-07,12,29,6,4,14,274,47,10,0
2016-01-08,11,82,8,12,14,267,39,16,0
2016-01-09,12,57,8,18,20,278,84,10,0
2016-01-10,17,48,6,7,19,263,48,8,0
2016-01-11,19,2886,7,13,10,264,54,5,0
2016-01-12,9,85,7,9,8,312,38,7,0
2016-01-13,11,38,4,7,7,286,53,8,0
2016-01-14,6,32,11,2,10,313,45,11,0
2016-01-15,9,36,10,56,17,233,53,8,0
2016-01-16,8,26,10,22,17,233,52,10,0
2016-01-17,9,22,7,4,12,236,69,11,0
2016-01-18,13,33,10,6,19,218,61,13,0
2016-01-19,10,44,8,6,8,250,54,3,0
2016-01-20,51,26,5,4,6,278,47,3,0
2016-01-21,33,63,13,13,22,287,73,14,0
2016-01-22,13,52,11,5,8,304,61,8,0
2016-01-23,19,45,11,33,9,270,68,14,0
2016-01-24,7,44,5,9,13,254,77,8,0
2016-01-25,18,63,10,3,14,295,65,12,0
2016-01-26,8,45,7,13,10,364,57,9,0
2016-01-27,8,34,3,9,8,350,60,4,0
2016-01-28,8,69,7,4,15,290,50,13,0
2016-01-29,7,54,9,11,11,323,47,6,0
2016-01-30,14,59,13,1,15,251,44,11,0
2016-01-31,6,43,4,8,14,278,47,12,0
2016-02-01,7,29,10,15,15,276,37,6,0
2016-02-02,20,18,9,3,17,277,63,13,0
2016-02-03,7,30,8,1,12,311,55,10,0
2016-02-04,7,29,6,1,10,317,59,4,0
2016-02-05,12,23,24,20,22,264,32,16,0
2016-02-06,8,38,7,17,13,274,53,14,0
2016-02-07,10,30,9,10,16,263,49,10,0
2016-02-08,11,21,28,2,12,289,46,6,0
2016-02-09,11,30,10,9,14,295,56,8,0
2016-02-10,12,52,17,10,26,275,65,14,0
2016-02-11,10,44,10,6,20,369,48,11,0
2016-02-12,18,24,12,3,23,325,75,15,0
2016-02-13,13,36,6,4,20,261,70,16,0
2016-02-14,12,29,8,9,11,242,51,6,0
2016-02-15,16,24,11,9,25,273,56,13,0
2016-02-16,10,25,3,9,19,316,33,7,0
2016-02-17,9,22,9,4,13,295,58,9,0
2016-02-18,17,33,4,3,11,286,68,10,0
2016-02-19,14,45,8,5,14,302,55,11,0
2016-02-20,11,26,10,24,15,231,58,13,0
2016-02-21,13,34,7,0,49,250,44,11,0
2016-02-22,7,30,4,1,32,294,43,8,0
2016-02-23,12,29,5,2,25,334,61,5,0
2016-02-24,4,11,3,6,16,315,60,3,0
2016-02-25,13,36,10,3,30,319,66,10,0
2016-02-26,12,17,8,6,26,303,65,11,0
2016-02-27,12,37,10,2,13,266,53,7,0
2016-02-28,23,31,13,7,21,273,60,13,0
2016-02-29,21,36,9,4,19,271,48,18,0
2016-03-01,8,18,9,13,20,281,62,9,0
2016-03-02,9,31,8,9,16,323,37,5,0
2016-03-03,10,47,5,2,17,313,74,15,0
2016-03-04,10,31,9,8,18,289,48,9,0
2016-03-05,12,16,15,5,21,250,35,14,0
2016-03-06,11,29,11,9,17,252,47,9,0
2016-03-07,10,20,8,5,10,276,66,11,0
2016-03-08,12,28,10,5,14,271,66,7,0
2016-03-09,10,62,12,5,18,268,53,9,0
2016-03-10,10,28,6,4,21,280,57,14,0
2016-03-11,9,23,7,8,20,340,63,7,0
2016-03-12,11,25,14,5,25,300,66,16,0
2016-03-13,13,24,6,15,14,293,59,9,0
2016-03-14,11,25,9,12,21,258,48,10,0
2016-03-15,17,41,12,5,14,285,56,19,0
2016-03-16,9,34,5,7,28,292,47,11,0
2016-03-17,13,35,6,4,32,288,42,8,0
2016-03-18,7,26,9,0,25,325,56,19,0
2016-03-19,8,22,8,4,20,267,49,9,0
2016-03-20,4,15,2,3,11,241,65,5,0
2016-03-21,18,19,8,0,21,279,64,10,0
2016-03-22,10,35,4,4,18,308,53,6,0
2016-03-23,11,40,5,2,15,286,56,8,0
2016-03-24,12,20,4,3,13,331,44,6,0
2016-03-25,21,31,6,5,17,350,47,11,0
2016-03-26,7,23,7,5,14,320,52,8,0
2016-03-27,11,29,6,16,21,300,43,9,0
2016-03-28,12,28,11,7,21,317,57,6,0
2016-03-29,8,22,5,6,11,343,60,8,0
2016-03-30,18,25,7,3,18,343,42,14,0
2016-03-31,11,27,9,4,17,335,39,12,0
2016-04-01,15,20,6,13,29,371,40,15,0
2016-04-02,15,17,9,6,29,279,56,10,0
2016-04-03,12,25,11,1,25,287,49,10,0
2016-04-04,8,16,5,5,15,297,63,17,0
2016-04-05,11,28,12,4,23,318,45,9,0
2016-04-06,17,10,10,5,18,347,36,10,0
2016-04-07,2,29,3,1,17,368,40,6,0
2016-04-08,9,20,13,5,13,370,47,13,0
2016-04-09,21,18,12,9,22,272,43,11,0
2016-04-10,24,43,15,4,27,313,60,14,0
2016-04-11,17,37,10,3,15,340,41,17,0
2016-04-12,18,79,11,5,8,353,24,14,0
2016-04-13,12,31,7,3,22,296,30,10,0
2016-04-14,13,39,11,8,22,308,64,19,0
2016-04-15,15,18,6,5,17,310,41,12,0
2016-04-16,9,24,10,6,12,262,62,14,0
2016-04-17,10,21,8,6,27,290,44,7,0
2016-04-18,13,60,2,4,15,380,67,7,0
2016-04-19,11,31,23,5,20,374,45,10,0
2016-04-20,9,25,8,2,19,318,50,13,0
2016-04-21,8,27,6,2,18,322,42,15,0
2016-04-22,10,28,12,4,28,303,58,14,0
2016-04-23,10,30,11,1,12,272,57,8,0
2016-04-24,17,72,12,4,23,304,68,13,0
2016-04-25,7,25,2,3,24,300,68,5,0
2016-04-26,9,20,10,6,29,296,63,13,0
2016-04-27,13,58,9,1,20,317,47,12,0
2016-04-28,12,25,8,4,25,312,48,7,0
2016-04-29,9,31,6,19,17,337,46,8,0
2016-04-30,12,30,10,5,10,269,44,10,0
2016-05-01,13,14,7,4,21,283,42,13,0
2016-05-02,8,17,11,23,15,280,43,9,0
2016-05-03,13,29,9,24,25,320,57,13,0
2016-05-04,16,8,11,30,17,277,64,11,0
2016-05-05,10,20,7,8,29,273,47,14,0
2016-05-06,15,17,13,13,16,297,42,12,0
2016-05-07,11,22,9,9,15,277,39,12,0
2016-05-08,9,26,6,9,16,280,43,14,0
2016-05-09,13,20,10,13,30,320,44,9,0
2016-05-10,12,26,6,6,27,262,60,12,0
2016-05-11,13,25,8,4,21,313,60,12,0
2016-05-12,10,26,7,4,13,305,54,8,0
2016-05-13,14,16,6,6,23,296,33,10,0
2016-05-14,8,24,7,34,22,300,49,11,0
2016-05-15,13,34,7,60,49,283,54,12,0
2016-05-16,12,51,4,6,10,300,50,3,0
2016-05-17,14,25,10,5,26,316,53,7,0
2016-05-18,9,21,5,7,22,296,54,8,0
2016-05-19,17,36,6,4,34,327,39,13,0
2016-05-20,7,23,4,40,27,327,42,6,0
2016-05-21,17,22,12,248,23,289,51,12,0
2016-05-22,9,27,5,49,22,284,59,4,0
2016-05-23,19,16,11,32,36,361,69,13,0
2016-05-24,21,17,8,213,28,329,53,7,0
2016-05-25,19,19,13,155,35,273,63,14,0
2016-05-26,12,21,13,8,34,270,48,14,0
2016-05-27,9,26,9,11,14,326,60,8,0
2016-05-28,22,15,6,7,18,242,49,8,0
2016-05-29,10,25,5,12,20,259,62,6,0
2016-05-30,16,46,16,19,30,264,63,13,0
2016-05-31,13,31,8,22,26,258,62,7,0
2016-06-01,13,32,9,10,24,271,55,9,0
2016-06-02,14,28,15,9,22,230,41,13,0
2016-06-03,18,13,7,13,17,297,43,16,0
2016-06-04,12,19,9,16,16,259,46,16,0
2016-06-05,15,25,10,51,13,251,47,12,0
2016-06-06,14,21,4,18,22,294,50,15,0
2016-06-07,12,27,6,32,25,258,54,12,0
2016-06-08,8,19,6,8,19,268,38,7,0
2016-06-09,7,16,4,8,13,293,61,8,0
2016-06-10,7,15,3,20,18,257,42,8,0
2016-06-11,9,90,3,22,15,286,53,6,0
2016-06-12,9,28,5,27,21,281,66,9,0
2016-06-13,18,26,12,26,25,281,282,14,0
2016-06-14,13,17,12,8,33,273,42,13,0
2016-06-15,8,15,15,16,23,289,48,10,0
2016-06-16,15,16,13,9,16,279,60,15,0
2016-06-17,12,26,8,10,15,222,50,12,144
2016-06-18,14,48,11,9,23,262,44,15,33
2016-06-19,14,94,11,31,26,363,43,17,6
2016-06-20,10,49,5,8,26,269,61,10,2
2016-06-21,13,34,10,13,17,287,43,10,4
2016-06-22,6,23,7,14,10,281,49,4,25
2016-06-23,6,30,6,64,9,303,71,13,19
2016-06-24,10,32,10,59,12,257,53,6,32
2016-06-25,9,22,8,81,15,252,28,12,74
2016-06-26,11,36,5,10,9,210,49,7,38
2016-06-27,14,32,18,18,19,236,54,11,15
2016-06-28,13,32,5,6,9,285,53,6,10
2016-06-29,16,21,6,116,15,247,59,19,35
2016-06-30,8,31,8,19,15,304,50,10,26016
2016-07-01,8,22,5,13,10,282,51,4,441
2016-07-02,13,18,10,16,14,245,62,10,97
2016-07-03,9,24,7,14,12,250,48,8,89
2016-07-04,11,35,14,7,23,311,62,16,138
2016-07-05,8,26,3,6,13,285,278,9,78
2016-07-06,11,24,6,6,19,271,834,10,50
2016-07-07,8,26,9,7,34,257,113,7,27
2016-07-08,6,20,6,8,10,244,78,9,32
2016-07-09,9,23,9,9,19,239,56,9,9
2016-07-10,12,36,11,17,15,237,65,10,69
2016-07-11,13,29,5,2,13,239,73,11,53
2016-07-12,17,26,11,8,22,253,54,14,46
2016-07-13,15,15,5,79,16,235,65,14,28
2016-07-14,11,19,4,9,11,206,59,7,35
2016-07-15,9,18,6,9,10,272,40,8,16
2016-07-16,9,11,3,13,9,219,51,8,35
2016-07-17,11,26,10,24,18,245,44,13,9
2016-07-18,10,27,5,19,13,246,58,11,20
2016-07-19,11,20,14,85,18,274,65,11,14
2016-07-20,7,13,3,80,6,244,58,9,12
2016-07-21,11,19,5,71,18,208,45,5,17
2016-07-22,8,84,10,70,17,213,45,13,5
2016-07-23,12,99,7,65,17,231,70,10,14
2016-07-24,18,93,11,74,12,229,84,12,10
2016-07-25,16,93,11,67,45,230,74,13,14
2016-07-26,13,115,13,82,30,240,64,17,12
2016-07-27,11,134,3,93,13,244,71,13,6
2016-07-28,29,100,7,83,24,247,48,9,24
2016-07-29,16,91,15,79,21,241,75,17,9
2016-07-30,12,103,11,83,23,236,66,17,14
2016-07-31,20,122,8,102,15,246,62,18,16
2016-08-01,12,95,5,77,22,271,59,9,7
2016-08-02,12,99,8,81,34,238,62,93,16
2016-08-03,20,109,10,90,29,237,68,31,7
2016-08-04,14,112,5,88,17,243,65,22,50
2016-08-05,14,148,12,150,18,232,66,19,79
2016-08-06,11,141,13,152,17,222,56,26,13
2016-08-07,11,158,9,142,20,205,55,34,10
2016-08-08,13,146,3,140,29,240,61,57,60
2016-08-09,10,107,9,111,30,231,67,34,28
2016-08-10,8,85,10,98,18,245,49,20,25
2016-08-11,8,90,7,112,29,228,61,62,28
2016-08-12,7,93,6,80,18,219,80,29,14
2016-08-13,12,98,8,91,19,205,61,18,23
2016-08-14,10,107,10,93,17,259,78,35,9
2016-08-15,10,97,4,78,20,253,59,14,17
2016-08-16,9,94,4,85,25,291,58,18,11
2016-08-17,7,95,26,88,20,246,64,27,11
2016-08-18,16,88,8,80,41,248,51,43,6
2016-08-19,9,101,4,26,21,268,59,11,6
2016-08-20,12,51,5,14,21,233,50,22,7
2016-08-21,19,49,15,20,29,219,39,21,61
2016-08-22,12,36,7,11,44,262,55,20,22
2016-08-23,15,24,7,9,33,282,40,16,21
2016-08-24,12,20,6,4,22,273,56,14,18
2016-08-25,10,26,12,12,23,238,46,21,21
2016-08-26,13,25,11,8,23,274,55,16,11
2016-08-27,16,24,7,9,21,236,52,16,12
2016-08-28,13,17,6,8,25,231,61,8,5
2016-08-29,21,46,11,9,20,304,77,18,80
2016-08-30,13,27,8,7,18,300,54,8,14723
2016-08-31,16,34,5,11,22,291,43,15,384
2016-09-01,13,17,7,7,21,222,64,9,187
2016-09-02,17,35,13,10,22,280,51,11,140
2016-09-03,10,22,11,11,13,232,50,7,100
2016-09-04,92,27,8,7,15,224,63,7,66
2016-09-05,34,44,10,9,16,230,57,13,82
2016-09-06,27,33,9,9,21,251,48,9,106
2016-09-07,10,19,4,6,15,262,59,12,94
2016-09-08,10,37,7,11,16,268,46,13,81
2016-09-09,13,30,11,15,20,271,46,18,60
2016-09-10,9,21,6,6,18,242,45,9,49
2016-09-11,4,12,2,7,27,256,55,4,278
2016-09-12,15,34,6,10,30,251,57,14,200
2016-09-13,20,29,9,13,31,262,55,11,67
2016-09-14,12,19,8,11,29,252,48,16,65
2016-09-15,13,27,6,8,22,266,42,10,66
2016-09-16,10,19,6,39,20,246,43,9,50
2016-09-17,6,28,7,9,19,247,32,8,33
2016-09-18,17,28,11,11,27,235,66,11,92
2016-09-19,14,16,4,11,21,285,39,20,65
2016-09-20,5,24,3,5,18,244,44,4,99
2016-09-21,13,26,7,7,17,263,47,6,42538
2016-09-22,16,22,27,14,163,331,50,17,2695
2016-09-23,146,324,410,299,10,312,43,92,241
2016-09-24,11,41,10,10,14,247,47,12,77
2016-09-25,12,35,1,4,7,233,39,7,43
2016-09-26,13,48,8,13,37,298,52,14,61
2016-09-27,7,24,5,4,17,281,35,14,49
2016-09-28,18,29,8,11,28,287,30,9,56
2016-09-29,13,28,11,10,26,296,47,11,42
2016-09-30,16,44,6,14,14,280,37,16,59
2016-10-01,17,31,6,11,25,252,54,5,48
2016-10-02,18,32,10,15,7,248,61,13,45
2016-10-03,9,29,8,8,13,249,44,11,32
2016-10-04,6,26,6,15,25,258,42,8,40
2016-10-05,11,29,7,13,13,286,53,9,50
2016-10-06,8,36,3,4,22,266,47,8,31
2016-10-07,13,36,14,14,18,266,47,9,39
2016-10-08,17,29,13,14,19,245,42,11,22
2016-10-09,9,29,7,11,18,255,42,9,18
2016-10-10,13,33,9,16,24,258,50,12,15
2016-10-11,8,17,10,8,15,264,54,12,31
2016-10-12,12,21,5,13,24,339,47,9,27
2016-10-13,12,31,6,7,21,286,45,11,24
2016-10-14,8,22,11,11,23,285,34,7,32
2016-10-15,13,30,8,12,21,260,49,11,13
2016-10-16,17,34,9,11,18,239,58,12,23
2016-10-17,9,29,6,16,26,288,56,6,20
2016-10-18,19,31,11,12,26,248,109,19,13
2016-10-19,13,17,9,7,29,297,84,11,22
2016-10-20,13,31,7,11,29,246,84,13,23
2016-10-21,10,35,7,10,16,300,65,9,26
2016-10-22,10,17,6,7,8,257,33,7,17
2016-10-23,7,23,9,11,17,202,74,12,19
2016-10-24,8,22,5,13,17,270,87,12,29
2016-10-25,23,31,9,15,25,305,134,16,94
2016-10-26,14,27,11,10,18,301,113,8,4691
2016-10-27,14,48,7,9,11,296,107,10,2343
2016-10-28,17,31,13,18,22,260,60,15,56
2016-10-29,10,22,8,15,16,231,64,10,32
2016-10-30,10,28,5,13,16,231,59,12,21
2016-10-31,10,31,8,11,17,263,57,8,39
2016-11-01,12,39,8,12,19,291,78,10,146
2016-11-02,11,23,9,12,22,244,78,8,157
2016-11-03,12,38,7,13,15,243,99,8,119
2016-11-04,10,47,11,12,21,308,77,15,109
2016-11-05,16,28,5,2,10,250,68,5,95
2016-11-06,8,31,5,6,15,261,69,5,108
2016-11-07,11,29,7,10,32,252,70,8,130
2016-11-08,15,35,15,19,20,292,71,202,103
2016-11-09,14,23,9,7,16,188,39,10,102
2016-11-10,19,45,8,8,21,216,65,9,99
2016-11-11,12,26,6,13,14,252,50,9,78
2016-11-12,7,21,1,3,12,245,52,3,93
2016-11-13,13,34,7,3,16,221,54,7,89
2016-11-14,21,43,7,12,15,225,81,14,135
2016-11-15,14,40,10,22,20,252,85,11,106
2016-11-16,12,17,5,12,24,249,98,6,90
2016-11-17,6,32,9,10,10,303,80,10,104
2016-11-18,14,41,8,14,11,272,57,10,114
2016-11-19,11,31,9,23,19,193,81,12,102
2016-11-20,13,26,8,9,12,223,2392,11,110
2016-11-21,5,23,8,12,18,252,128,12,110
2016-11-22,7,33,7,15,17,232,89,13,102
2016-11-23,7,25,8,12,17,328,76,4,101
2016-11-24,11,23,10,8,13,251,51,16,100
2016-11-25,13,42,5,9,23,272,56,8,113
2016-11-26,16,36,13,16,16,289,60,12,131
2016-11-27,11,25,10,12,20,302,76,11,126
2016-11-28,8,29,4,10,18,282,93,8,146
2016-11-29,17,43,15,18,22,293,91,11,144
2016-11-30,7,46,7,12,18,247,64,4,144
2016-12-01,20,36,8,16,19,306,60,14,137
2016-12-02,14,32,8,15,25,276,121,9,123
2016-12-03,14,33,9,10,23,263,94,11,159
2016-12-04,17,41,12,15,22,299,95,15,115
2016-12-05,13,27,10,15,65,266,47,12,139
2016-12-06,13,21,10,13,14,260,57,11,128
2016-12-07,12,31,6,9,12,262,63,10,128
2016-12-08,15,26,8,12,20,274,150,9,133
2016-12-09,19,33,17,17,32,255,107,16,112
2016-12-10,16,28,8,11,14,219,81,11,142
2016-12-11,15,37,7,12,26,244,43,12,1122
2016-12-12,20,31,11,17,25,265,61,11,162
2016-12-13,9,28,5,9,13,260,66,12,113
2016-12-14,10,33,8,8,10,265,58,12,117
2016-12-15,17,47,10,15,12,274,56,10,126
2016-12-16,16,24,11,17,23,262,55,16,114
2016-12-17,12,21,9,17,21,270,72,13,132
2016-12-18,15,31,11,15,9,258,67,12,141
2016-12-19,14,35,9,10,13,252,103,11,159
2016-12-20,12,37,7,8,18,212,149,13,153
2016-12-21,10,31,8,8,12,273,58,9,144
2016-12-22,10,61,12,13,16,245,63,13,39
2016-12-23,15,32,8,15,15,239,49,12,25
2016-12-24,7,23,6,6,11,215,74,10,8
2016-12-25,14,27,11,10,318,231,45,9,17
2016-12-26,10,21,7,4,12,257,197,198,12
2016-12-27,80,26,463,20,10,211,60,4,21
2016-12-28,12,32,6,10,13,293,99,9,14
2016-12-29,10,31,11,21,16,273,103,16,26
2016-12-30,7,28,4,8,8,272,61,11,11
2016-12-31,5,23,7,4,10,228,86,5,10
2017-01-01,11,34,5,10,12,204,80,7,14
