Date,"Pru (album)","Leek Town F.C.","Guy Fawkes Night","Rotating locomotion in living systems","Vladimir Lenin","St Helen's Church, Ashby-de-la-Zouch","Joaquim José Inácio, Viscount of Inhaúma","Tropical Storm Bonnie (2004)","Norwich War Memorial"
2017-10-11,13,60,2656,189,9679,16,14,23,8
2017-10-12,43,40,2571,152,9130,15,7,20,8
2017-10-13,7,48,2321,150,8058,14,11,20,13
2017-10-14,21,73,2301,143,6342,9,8,18,7
2017-10-15,136,51,3054,92,7021,16,14,24,15
2017-10-16,87,55,3299,69,8219,6,4,28,4
2017-10-17,124,47,3301,73,8467,23,10,28,14
2017-10-18,110,70,3691,75,8874,12,8,21,11
2017-10-19,99,42,4941,59,9649,18,14,20,8
2017-10-20,121,43,4265,85,8996,19,10,12,8
2017-10-21,125,87,5932,61,7224,59,35,35,32
2017-10-22,102,109,7107,96,8080,13,13,20,13
2017-10-23,98,45,7924,108,8331,17,15,27,13
2017-10-24,70,53,7077,94,8496,18,11,18,10
2017-10-25,52,50,6993,167,9823,18,8,17,12
2017-10-26,10,43,6927,68,10009,9,8,20,8
2017-10-27,16,49,6891,41,7238,12,12,8,43
2017-10-28,23,78,9035,67,6776,13,15,25,53
2017-10-29,15,46,10706,63,8221,15,8,20,65
2017-10-30,10,70,12139,70,8586,8,10,34,8
2017-10-31,18,50,16659,95,9494,14,7,23,19
2017-11-01,29,41,19158,92,8298,14,22,26,24
2017-11-02,165,51,21025,150,8544,20,9,24,122
2017-11-03,24533,243,34732,181,8043,12,11,21,35
2017-11-04,4172,22101,78877,83,7994,23,13,12,7
2017-11-05,1675,3775,225681,420,11723,20,16,17,23
2017-11-06,1629,2866,78388,73479,13226,29,15,31,22
2017-11-07,297,2040,24940,14224,123619,229,15,17,25
2017-11-08,182,246,13625,5836,30758,27224,207,12,18
2017-11-09,125,165,7859,3935,23894,6446,31624,189,27
2017-11-10,106,133,6909,1046,19719,2751,5710,18923,263
2017-11-11,90,169,5516,765,15998,1758,2596,3529,23619
2017-11-12,57,154,5331,648,14348,356,2032,1695,5291
2017-11-13,77,118,4004,544,13145,220,363,1609,3892
2017-11-14,52,114,3499,509,9952,164,218,240,2286
2017-11-15,50,78,3137,404,8866,149,144,167,376
2017-11-16,47,84,2768,434,8309,133,118,141,168
2017-11-17,34,95,2585,375,7527,111,101,98,114
2017-11-18,54,69,2264,254,6761,69,77,90,110
2017-11-19,27,72,2729,231,7563,88,82,74,107
2017-11-20,26,65,2612,289,7512,74,91,74,88
2017-11-21,35,68,2361,295,6837,58,73,58,68
2017-11-22,35,60,2181,288,6699,60,40,54,50
2017-11-23,41,61,2428,221,6034,59,59,43,76
2017-11-24,57,64,1992,251,5775,45,45,52,53
2017-11-25,86,48,1618,921,5893,58,62,53,177
2017-11-26,94,75,1848,243,6319,48,35,43,47
2017-11-27,102,86,1792,215,6816,34,35,34,43
2017-11-28,111,89,1806,164,6989,47,42,42,31
2017-11-29,142,94,1795,168,7328,38,47,34,47
2017-11-30,83,71,1659,217,6814,36,18,27,33
2017-12-01,106,72,1447,123,6343,60,56,37,47
2017-12-02,79,70,1378,97,5436,43,26,55,41
2017-12-03,124,106,1501,103,6031,26,29,29,32
2017-12-04,88,55,1650,101,6738,51,28,31,28
2017-12-05,80,35,1532,99,6737,26,27,31,15
2017-12-06,72,50,1633,110,6929,24,25,28,24
2017-12-07,108,50,1518,123,6607,30,19,25,38
2017-12-08,94,56,1292,92,6076,28,28,35,37
2017-12-09,88,50,1135,107,5584,22,23,35,29
2017-12-10,88,70,1359,98,6427,36,26,29,18
2017-12-11,80,49,1430,103,7053,30,18,27,93
2017-12-12,94,45,1402,109,7079,23,18,18,22
2017-12-13,105,35,1489,85,6730,29,14,26,16
2017-12-14,105,48,1421,68,6561,22,21,27,13
2017-12-15,87,48,1268,100,5887,24,19,22,20
2017-12-16,87,52,1229,82,5282,22,21,20,23
2017-12-17,60,35,1494,74,5644,27,24,23,29
2017-12-18,56,51,1754,77,6387,27,20,20,22
2017-12-19,12,46,2686,77,6217,23,19,20,19
2017-12-20,15,50,3041,89,5859,18,16,21,16
2017-12-21,8,61,3259,76,5695,10,13,54,11
2017-12-22,5,64,3120,61,4630,9,8,12,10
2017-12-23,14,59,2549,44,4619,21,12,17,10
2017-12-24,15,57,2929,65,4819,26,11,8,15
2017-12-25,17,24,2346,62,4860,19,13,15,10
2017-12-26,12,42,2585,71,5347,19,12,9,21
2017-12-27,21,65,2672,70,5867,21,24,16,14
2017-12-28,33,80,2970,75,5807,19,12,15,12
2017-12-29,14,50,2378,83,5678,18,9,12,15
2017-12-30,10,69,2330,85,5870,14,9,8,7
2017-12-31,14,39,2694,77,5298,16,8,398,13
2018-01-01,13,39,2250,79,5271,20,10,14,9
2018-01-02,24,55,1895,78,6003,17,14,20,13
2018-01-03,20,67,1661,278,5798,12,7,13,12
2018-01-04,6,40,1643,306,6014,12,76,13,11
2018-01-05,18,52,1884,169,5307,15,10,9,7
2018-01-06,15,67,3710,117,5645,14,13,13,16
2018-01-07,17,53,2518,95,5821,18,18,15,30
2018-01-08,12,36,1805,122,6125,14,9,13,53
2018-01-09,7,44,1536,96,6391,16,7,14,11
2018-01-10,6,51,1502,52,6458,5,6,8,6
2018-01-11,11,53,1455,77,6593,14,13,22,20
2018-01-12,14,46,1384,76,6348,18,11,25,17
2018-01-13,10,51,1531,62,5458,10,11,16,13
2018-01-14,19,51,1561,80,5977,27,20,15,12
2018-01-15,17,58,1710,116,6789,13,11,16,11
2018-01-16,6,47,1571,71,6604,13,3,15,6
2018-01-17,11,128,1489,81,6532,25,10,17,19
2018-01-18,13,46,1486,73,6807,13,12,15,13
2018-01-19,10,37,1252,73,6207,10,6,12,13
2018-01-20,13,64,1249,74,5293,18,17,10,9
2018-01-21,13,44,1471,69,7577,7,11,16,8
2018-01-22,18,34,1504,71,9177,12,10,13,4
2018-01-23,12,51,1354,64,7409,15,14,17,12
2018-01-24,12,48,1198,48,7188,11,7,22,10
2018-01-25,12,55,1249,66,6432,9,9,18,6
2018-01-26,10,55,1123,68,6389,18,11,9,12
2018-01-27,7,55,1095,57,5562,13,17,7,5
2018-01-28,7,58,1349,61,6270,12,13,16,7
2018-01-29,8,39,1282,78,7343,5,8,14,5
2018-01-30,4,48,1269,66,7015,11,6,7,7
2018-01-31,10,35,1489,51,6834,10,6,7,13
2018-02-01,10,39,1241,88,7156,13,10,13,9
2018-02-02,17,35,1240,61,6591,14,13,18,13
2018-02-03,12,41,1119,77,5530,9,7,15,8
2018-02-04,13,35,1383,58,5825,10,8,18,6
2018-02-05,6,21,1275,79,6290,20,8,15,120
2018-02-06,14,47,1232,71,7376,17,11,11,9
2018-02-07,9,44,1199,61,6900,15,10,8,7
2018-02-08,12,43,1138,80,7039,11,11,17,11
2018-02-09,9,41,931,72,6933,22,11,12,13
2018-02-10,13,45,919,71,5334,15,11,18,14
2018-02-11,10,38,1132,60,6364,13,16,14,8
2018-02-12,11,48,2020,60,7236,6,5,10,4
2018-02-13,4,42,1400,84,7062,7,6,8,6
2018-02-14,12,40,1236,102,7244,10,7,14,4
2018-02-15,21,28,1138,67,6965,19,10,17,12
2018-02-16,14,26,1081,95,6280,7,9,7,7
2018-02-17,9,61,1176,58,5435,13,11,14,10
2018-02-18,11,50,1305,74,6255,31,6,11,7
2018-02-19,4,48,1461,67,7586,11,11,11,6
2018-02-20,18,64,1162,89,7848,9,16,18,7
2018-02-21,17,41,1098,74,7429,31,11,14,10
2018-02-22,22,44,1120,78,7679,30,24,24,16
2018-02-23,10,34,1027,73,6954,15,12,13,9
2018-02-24,11,49,977,67,5809,29,12,14,7
2018-02-25,24,54,1242,78,7199,34,22,39,18
2018-02-26,11,46,1382,78,7972,14,9,49,10
2018-02-27,12,38,1224,65,8105,16,10,17,11
2018-02-28,9,35,1096,67,7777,10,6,19,4
2018-03-01,11,42,1135,87,7953,12,13,12,7
2018-03-02,7,49,1049,68,8346,19,9,14,9
2018-03-03,10,45,1030,65,6925,15,15,21,12
2018-03-04,15,49,1155,59,6955,20,9,17,11
2018-03-05,8,54,1185,62,11846,11,7,74,9
2018-03-06,12,47,1309,75,101066,16,8,11,8
2018-03-07,6,31,1211,95,80496,15,4,4,10
2018-03-08,12,51,1155,79,34220,12,10,17,10
2018-03-09,9,39,1010,64,18641,8,10,19,13
2018-03-10,8,28,1023,55,12528,12,4,7,8
2018-03-11,4,37,1279,56,11902,10,10,3,2
2018-03-12,10,43,1302,81,12097,17,10,11,9
2018-03-13,7,28,1324,70,10640,8,5,5,83
2018-03-14,10,41,1268,80,9311,16,13,11,8
2018-03-15,11,50,1159,71,8962,10,11,16,9
2018-03-16,10,69,1083,71,8097,19,7,13,6
2018-03-17,8,56,1161,69,7091,10,9,19,9
2018-03-18,11,58,1262,67,8799,11,2,7,4
2018-03-19,12,35,1234,75,9938,12,8,14,7
2018-03-20,6,29,1175,60,8587,13,8,17,5
2018-03-21,14,49,1129,80,8162,13,15,12,11
2018-03-22,13,29,1088,112,8064,13,8,8,7
2018-03-23,7,44,1023,100,7636,8,6,13,11
2018-03-24,12,63,1012,48,6497,11,12,16,8
2018-03-25,10,33,1120,59,7037,11,11,10,5
2018-03-26,11,58,1119,165,8421,14,9,14,8
2018-03-27,12,50,1096,63,8388,13,9,11,9
2018-03-28,7,39,1055,76,7781,16,8,15,9
2018-03-29,8,57,1017,62,7025,10,9,10,8
2018-03-30,4,45,934,67,6801,18,7,9,5
2018-03-31,3,66,1033,52,6117,16,5,6,6
2018-04-01,10,47,1144,48,6967,13,12,5,7
2018-04-02,8,45,1144,62,7136,11,9,9,9
2018-04-03,11,57,1047,75,7710,12,9,12,10
2018-04-04,9,32,1084,78,6937,12,7,17,8
2018-04-05,8,38,1010,100,6641,9,10,14,9
2018-04-06,10,43,1050,85,6561,11,8,20,9
2018-04-07,6,41,1033,58,5474,8,9,7,3
2018-04-08,8,46,1430,53,6459,15,3,8,6
2018-04-09,5,55,1181,79,7438,10,8,7,6
2018-04-10,8,47,1123,60,7464,14,4,11,6
2018-04-11,11,51,1182,49,7445,11,10,14,10
2018-04-12,22,36,1155,82,7352,21,12,19,14
2018-04-13,8,30,1071,61,6841,7,6,15,11
2018-04-14,18,56,917,63,5690,16,11,20,12
2018-04-15,17,61,1073,77,7146,9,8,19,9
2018-04-16,3,35,1191,79,16643,9,8,12,8
2018-04-17,13,47,1116,91,7476,11,10,16,10
2018-04-18,9,41,1082,97,7031,9,9,33,8
2018-04-19,6,20,1086,93,7130,13,8,12,4
2018-04-20,9,28,1012,103,7090,13,9,5,5
2018-04-21,7,37,881,49,7121,3,6,15,4
2018-04-22,16,50,1320,78,14088,10,12,18,10
2018-04-23,6,36,1123,57,9451,14,5,15,5
2018-04-24,12,42,1000,71,7570,13,6,18,5
2018-04-25,9,34,1040,68,7237,16,15,14,20
2018-04-26,7,39,1044,69,6602,12,3,10,7
2018-04-27,13,43,895,65,6204,7,5,12,12
2018-04-28,7,55,848,55,5475,7,5,9,10
2018-04-29,22,68,976,76,5762,10,4,17,14
2018-04-30,6,33,1115,75,6892,11,9,11,16
2018-05-01,13,42,1141,113,7408,16,7,12,19
2018-05-02,5,34,1124,102,6921,7,7,10,20
2018-05-03,8,52,1274,80,7131,17,14,23,16
2018-05-04,9,39,1026,50,6512,9,3,6,20
2018-05-05,10,23,1088,52,6638,13,5,9,7
2018-05-06,5,54,1130,78,6868,5,9,7,18
2018-05-07,11,47,1139,132,7902,16,11,9,16
2018-05-08,16,47,1143,79,6977,11,8,11,18
2018-05-09,10,28,1222,106,6902,16,6,12,19
2018-05-10,11,49,1065,95,6537,23,9,15,10
2018-05-11,6,46,919,90,6562,12,4,3,12
2018-05-12,2,33,1033,109,5604,10,14,5,5
2018-05-13,9,44,1126,88,5519,10,13,22,12
2018-05-14,6,49,1172,90,6448,11,14,14,6
2018-05-15,9,32,1248,74,6291,7,4,11,5
2018-05-16,10,55,1236,87,6034,17,7,13,8
2018-05-17,10,29,1162,65,5999,7,11,11,8
2018-05-18,8,46,1094,70,5699,7,10,12,4
2018-05-19,9,65,1020,48,5242,15,7,11,7
2018-05-20,11,44,1216,84,5367,11,5,14,8
2018-05-21,14,41,1188,81,6207,12,18,22,8
2018-05-22,8,58,1162,75,6052,12,12,19,6
2018-05-23,16,41,1185,71,5897,17,20,15,10
2018-05-24,10,20,1012,74,6021,16,12,16,10
2018-05-25,11,25,1004,55,5487,11,6,15,5
2018-05-26,7,39,971,47,4637,9,6,11,5
2018-05-27,7,44,1104,47,5107,20,7,15,6
2018-05-28,6,41,1251,63,5665,9,7,28,9
2018-05-29,6,36,1132,71,6030,8,4,27,11
2018-05-30,12,55,1038,71,5696,11,9,15,14
2018-05-31,11,23,1018,81,5732,11,4,23,6
2018-06-01,11,22,951,46,5187,16,5,16,7
2018-06-02,7,37,1026,49,4704,14,7,22,9
2018-06-03,9,27,1256,29,5146,12,5,36,6
2018-06-04,8,18,1138,77,6202,7,10,31,4
2018-06-05,11,31,1064,53,5731,11,8,13,7
2018-06-06,8,39,1052,70,5734,15,8,12,8
2018-06-07,12,39,1048,73,5557,12,10,19,11
2018-06-08,13,36,1075,61,5131,14,8,14,8
2018-06-09,6,32,1055,44,4932,8,14,12,7
2018-06-10,7,35,1129,57,5958,1,1,16,3
2018-06-11,5,41,1071,81,5928,11,7,10,2
2018-06-12,9,49,1112,74,6859,12,4,13,7
2018-06-13,13,32,1083,78,5922,9,9,18,10
2018-06-14,0,0,0,0,0,0,0,0,0
2018-06-15,21,30,961,60,5449,9,15,17,12
2018-06-16,14,12,924,54,5126,8,4,8,5
2018-06-17,9,28,936,59,5772,10,7,11,5
