Date,"No. 1 Wing RAAF","Underwater diving","DNA nanotechnology","Paul Kruger","Fork-marked lemur","Saturn","Ben Paschal","Battle of Hastings","Halo: Combat Evolved Anniversary"
2017-02-28,11,292,82,468,22,5904,9,6502,318
2017-03-01,12,291,89,404,25,5839,13,3963,309
2017-03-02,9,293,87,498,24,5586,10,3649,291
2017-03-03,9,277,102,439,15,5074,4,2535,258
2017-03-04,7,189,77,403,9,3717,7,2051,297
2017-03-05,7,244,76,472,7,4587,8,2718,353
2017-03-06,7,306,95,490,10,5344,4,3101,298
2017-03-07,14,289,100,414,18,5731,16,6263,278
2017-03-08,16,283,92,343,26,5502,10,4126,271
2017-03-09,13,297,110,392,15,5475,13,3540,276
2017-03-10,13,225,84,401,23,5534,20,2625,285
2017-03-11,11,193,73,384,15,3843,7,2071,322
2017-03-12,14,238,80,412,17,4325,9,2564,335
2017-03-13,7,250,98,456,11,5016,11,2936,282
2017-03-14,9,340,108,482,17,5009,11,6566,326
2017-03-15,5,274,104,405,10,5029,10,4094,305
2017-03-16,7,241,98,380,14,4768,12,3948,241
2017-03-17,6,252,75,351,17,4109,12,2924,216
2017-03-18,12,236,59,353,14,3362,12,2529,274
2017-03-19,15,234,83,436,16,3896,9,2961,300
2017-03-20,8,290,118,417,31,5134,10,2875,278
2017-03-21,23,280,88,476,26,4836,6,2720,248
2017-03-22,7,292,100,402,16,4755,18,2805,231
2017-03-23,17,268,109,446,33,4528,23,2684,226
2017-03-24,9,226,84,357,9,4009,9,2199,254
2017-03-25,15,203,87,797,21,4031,14,1921,292
2017-03-26,8,243,77,438,15,3615,6,2285,320
2017-03-27,12,245,90,496,27,4600,12,2612,332
2017-03-28,7,222,109,520,12,4615,10,3288,223
2017-03-29,21,229,132,384,19,4819,9,3235,236
2017-03-30,16,254,123,492,19,4534,16,2895,266
2017-03-31,7,226,103,395,19,3797,12,2289,270
2017-04-01,16,218,92,360,12,2902,14,2106,232
2017-04-02,11,260,121,372,25,3318,12,2360,270
2017-04-03,3,260,112,392,20,4346,12,2390,249
2017-04-04,8,241,96,418,11,4623,5,2959,239
2017-04-05,5,246,122,404,14,6109,11,2322,223
2017-04-06,10,248,107,729,7,5368,12,2250,281
2017-04-07,8,207,103,375,10,4357,12,1951,248
2017-04-08,9,229,80,617,19,3399,21,1543,242
2017-04-09,4,239,91,407,17,3837,4,1710,264
2017-04-10,14,262,114,385,18,4684,17,1924,249
2017-04-11,4,249,121,405,9,4341,10,3263,242
2017-04-12,16,262,102,429,20,4654,20,2021,230
2017-04-13,8,217,90,449,19,6310,17,2280,268
2017-04-14,11,205,65,425,7,6538,8,1829,253
2017-04-15,7,203,58,344,20,4262,10,1715,289
2017-04-16,13,169,56,423,21,3881,14,1956,291
2017-04-17,7,274,95,389,14,4661,6,2654,267
2017-04-18,19,236,101,467,16,4832,16,2303,268
2017-04-19,5,276,96,447,12,4737,8,2181,232
2017-04-20,12,235,92,477,20,4496,11,2042,260
2017-04-21,8,241,82,504,12,4815,10,2018,337
2017-04-22,18,207,78,474,20,5217,19,1751,310
2017-04-23,11,210,106,448,17,4430,13,2094,315
2017-04-24,10,239,109,488,29,5381,13,2567,313
2017-04-25,18,195,92,487,23,6669,11,2485,271
2017-04-26,13,259,84,388,16,21967,8,2282,251
2017-04-27,7,217,104,421,26,11312,14,2466,266
2017-04-28,5,208,89,380,17,8172,10,2143,246
2017-04-29,11,234,84,389,15,4623,11,1672,279
2017-04-30,7,208,55,390,24,4201,11,2047,308
2017-05-01,8,226,76,436,14,5444,13,2528,327
2017-05-02,12,243,118,429,17,6293,20,2299,287
2017-05-03,11,260,96,431,22,6280,19,2402,285
2017-05-04,7,221,72,422,13,6620,13,2333,260
2017-05-05,8,193,74,364,22,5594,15,1983,276
2017-05-06,12,180,73,570,16,3909,18,1900,247
2017-05-07,5,220,81,415,17,4265,9,2207,279
2017-05-08,14,191,92,415,20,5557,19,2593,267
2017-05-09,4,250,105,460,11,5529,8,2469,243
2017-05-10,7,241,81,364,13,5357,9,2361,236
2017-05-11,20,245,92,438,10,5098,19,2382,223
2017-05-12,15,214,83,345,17,5759,12,2291,259
2017-05-13,8,193,58,399,13,3511,23,1935,269
2017-05-14,9,185,88,390,14,3875,7,2368,296
2017-05-15,7,274,97,415,15,5338,18,2857,291
2017-05-16,9,303,105,424,15,5258,14,2537,286
2017-05-17,11,380,78,454,22,5449,19,2758,253
2017-05-18,12,247,102,423,25,4975,22,2513,248
2017-05-19,13,215,87,475,21,4203,14,2088,256
2017-05-20,14,194,49,380,24,3082,15,1852,287
2017-05-21,16,279,75,434,22,3650,16,2254,293
2017-05-22,6,245,85,382,16,5586,16,2375,254
2017-05-23,17,268,94,360,20,4683,20,2640,244
2017-05-24,6,302,92,384,15,4543,11,2797,318
2017-05-25,10,227,94,902,25,4675,11,2569,254
2017-05-26,18,196,89,470,22,4257,14,1940,235
2017-05-27,7,255,64,343,12,3610,6,1825,208
2017-05-28,7,199,54,442,23,3563,13,2038,231
2017-05-29,11,254,81,476,13,3889,13,2318,258
2017-05-30,16,227,95,424,20,4530,22,2219,254
2017-05-31,9,228,100,956,22,4365,11,2213,281
2017-06-01,13,201,109,467,29,4111,17,2072,209
2017-06-02,7,181,74,405,9,3780,10,1991,216
2017-06-03,5,192,62,340,13,3238,5,1784,200
2017-06-04,7,200,52,355,18,3433,12,2327,215
2017-06-05,4,235,79,412,13,4651,14,2451,231
2017-06-06,13,229,66,357,15,4526,19,2629,229
2017-06-07,30,251,88,362,16,4323,22,2201,248
2017-06-08,11,181,56,350,18,4253,14,2396,200
2017-06-09,11,222,95,313,21,3694,15,2140,225
2017-06-10,5,206,70,305,26,3265,11,1995,258
2017-06-11,12,171,58,354,17,3465,14,3020,291
2017-06-12,20,220,86,363,10,4053,8,2786,309
2017-06-13,14,225,94,327,25,4353,17,2420,303
2017-06-14,15,281,70,329,15,4350,19,2288,254
2017-06-15,12,230,65,356,14,4652,14,2248,264
2017-06-16,7,196,59,342,32,3560,10,1899,207
2017-06-17,8,207,64,352,20,3197,12,1684,235
2017-06-18,8,237,39,407,14,3837,17,1962,241
2017-06-19,7,206,66,365,11,4462,4,2228,238
2017-06-20,5,217,56,335,10,4258,9,2201,242
2017-06-21,4,218,66,330,12,4233,10,2266,195
2017-06-22,13,191,71,328,26,3861,17,2182,206
2017-06-23,10,205,62,338,11,3206,9,1835,214
2017-06-24,5,176,36,283,29,2975,10,1639,208
2017-06-25,10,198,51,373,14,3171,9,1822,249
2017-06-26,3,203,59,357,26,3911,9,2088,230
2017-06-27,13,199,76,344,10,3886,14,2033,251
2017-06-28,11,208,82,394,16,3832,15,1942,226
2017-06-29,8,156,67,318,13,3540,11,2011,230
2017-06-30,8,174,65,375,12,2941,10,1974,224
2017-07-01,4,154,40,416,8,2855,6,1592,223
2017-07-02,4,211,38,347,13,3767,14,1762,261
2017-07-03,5,237,53,402,10,3395,10,2234,240
2017-07-04,9,201,63,375,14,3582,14,1812,222
2017-07-05,6,1194,76,356,7,3471,7,1815,233
2017-07-06,11,780,85,399,16,3512,14,1609,309
2017-07-07,7,255,54,388,34,2964,11,1608,318
2017-07-08,5,173,48,353,11,2699,6,1601,225
2017-07-09,6,203,49,349,9,3322,10,1859,258
2017-07-10,8,245,64,405,9,3558,10,2032,271
2017-07-11,6,223,63,419,22,3529,14,1956,222
2017-07-12,9,250,75,373,12,3412,17,1972,249
2017-07-13,4,207,68,419,10,4013,13,1841,206
2017-07-14,2,212,67,422,7,3191,9,1715,226
2017-07-15,12,213,56,421,23,3111,16,1404,262
2017-07-16,11,229,37,558,15,3353,11,1474,230
2017-07-17,11,231,58,427,10,3245,12,1666,232
2017-07-18,5,238,99,375,9,3419,14,2593,205
2017-07-19,13,226,116,359,18,3385,12,2695,234
2017-07-20,8,300,61,724,10,3162,8,3146,252
2017-07-21,12,205,85,376,12,2660,15,2201,214
2017-07-22,11,267,80,352,11,2734,9,1883,196
2017-07-23,8,234,91,398,13,3096,8,1965,235
2017-07-24,12,282,70,367,10,3088,13,2225,225
2017-07-25,14,230,49,399,16,3122,11,1910,219
2017-07-26,14,257,70,353,15,3046,15,1772,249
2017-07-27,7,256,63,374,13,2846,8,1639,192
2017-07-28,6,324,64,358,8,2709,17,2104,202
2017-07-29,4,257,52,297,6,2681,9,1444,219
2017-07-30,3,375,41,357,22,3023,7,1779,232
2017-07-31,10,464,58,355,19,2970,10,1840,214
2017-08-01,12,408,73,368,17,2874,13,1821,226
2017-08-02,12,234,79,423,13,3029,11,1702,218
2017-08-03,16,269,83,349,26,2789,17,1635,179
2017-08-04,17,212,82,335,17,2621,16,1656,186
2017-08-05,17,169,69,340,20,2567,16,1617,201
2017-08-06,9,228,83,388,11,2812,173,1734,216
2017-08-07,7,303,104,399,13,3057,11,1772,240
2017-08-08,9,273,303,389,13,3042,13,1774,202
2017-08-09,12,207,73,395,12,2888,9,1600,212
2017-08-10,10,215,72,381,19,3040,14,1647,224
2017-08-11,16,172,67,343,16,2662,15,1609,208
2017-08-12,9,192,54,355,23,2627,17,1482,190
2017-08-13,7,201,45,383,11,3082,12,1722,241
2017-08-14,12,202,63,380,17,3817,12,1763,224
2017-08-15,14,242,75,441,14,3446,12,1760,205
2017-08-16,13,251,92,432,27,3325,18,2074,198
2017-08-17,7,235,71,417,9,3276,7,1815,191
2017-08-18,10,187,131,396,33,3013,14,1738,223
2017-08-19,13,177,42,350,7,2982,7,1625,194
2017-08-20,12,259,68,387,16,3578,10,1687,271
2017-08-21,9,204,77,372,11,4133,11,1916,241
2017-08-22,7,240,80,399,5,3995,11,1812,224
2017-08-23,5,206,73,418,10,3410,9,1746,212
2017-08-24,16,215,69,355,20,3502,23,1976,211
2017-08-25,9,216,64,331,10,3582,9,1856,224
2017-08-26,7,274,56,342,18,2995,4,1524,208
2017-08-27,17,264,55,344,16,3229,10,1848,230
2017-08-28,4,230,91,399,12,3688,8,2308,197
2017-08-29,1,368,75,390,9,3735,5,2076,226
2017-08-30,12,255,96,355,11,4749,14,2056,219
2017-08-31,7,298,79,346,27,3524,9,1911,218
2017-09-01,9,340,88,392,16,3203,7,1754,225
2017-09-02,10,336,69,326,14,2822,7,1419,202
2017-09-03,6,233,75,380,11,3051,9,1753,214
2017-09-04,9,425,69,384,12,3311,11,2024,220
2017-09-05,11,836,80,404,11,3932,12,2056,191
2017-09-06,10,332,69,392,14,3817,10,2064,204
2017-09-07,6,343,83,364,13,4103,5,2168,213
2017-09-08,5,326,69,360,3,3771,5,1941,283
2017-09-09,11,363,55,391,14,3419,8,1684,273
2017-09-10,11,286,85,384,10,4312,11,2106,257
2017-09-11,11,334,99,426,9,5265,7,2711,219
2017-09-12,8,354,88,450,14,6195,8,2636,212
2017-09-13,7,343,84,374,14,6303,6,2558,183
2017-09-14,13,301,75,434,20,11080,23,2601,222
2017-09-15,13,317,108,354,18,27894,17,2263,205
2017-09-16,12,285,71,286,11,17455,9,2024,203
2017-09-17,34,343,104,408,7,11804,3,4226,260
2017-09-18,63,399,100,405,15,12041,12,3176,210
2017-09-19,23,357,99,393,18,10386,11,2920,180
2017-09-20,13,359,120,373,15,8073,12,2958,181
2017-09-21,9,340,89,361,9,7344,5,2640,293
2017-09-22,16,340,247,318,31,6097,13,2125,285
2017-09-23,22,321,56,396,13,5500,12,2021,266
2017-09-24,32,216,62,382,55,5386,36,2771,297
2017-09-25,10,257,114,423,15,5365,12,3008,343
2017-09-26,17,270,72,397,17,5688,13,3007,306
2017-09-27,7,231,79,345,10,4679,7,3102,250
2017-09-28,15,227,80,368,13,4470,13,3173,205
2017-09-29,17,204,70,400,13,3733,7,2283,200
2017-09-30,7,200,56,394,17,3149,29,2049,206
2017-10-01,7,324,50,363,25,3879,9,2872,255
2017-10-02,26,326,97,372,36,4767,40,2830,275
2017-10-03,17,283,100,374,13,4385,15,2940,233
2017-10-04,23,300,81,361,25,4560,13,2955,226
2017-10-05,18,256,86,299,18,4595,18,2848,213
2017-10-06,253,265,72,404,23,3701,18,2160,219
2017-10-07,21987,519,91,351,27,3128,20,2296,218
2017-10-08,5812,39417,340,358,8,3539,15,3010,277
2017-10-09,4368,7853,30207,900,20,4132,26,3289,244
2017-10-10,2937,4349,6832,53692,226,4691,40,3496,231
2017-10-11,244,3229,3867,9863,28284,4866,26,3433,246
2017-10-12,169,889,2719,4946,4444,53789,264,3348,236
2017-10-13,138,571,596,4084,2499,13984,34343,3550,203
2017-10-14,108,528,496,918,2023,7916,5637,63784,457
2017-10-15,109,517,401,887,326,7021,2384,19180,28950
2017-10-16,67,524,378,680,205,5341,1857,12794,7035
2017-10-17,63,435,346,668,169,4911,375,8767,3734
2017-10-18,56,447,235,640,142,4943,247,4634,3872
2017-10-19,79,421,277,591,134,5526,202,4016,717
2017-10-20,49,363,211,539,123,4254,134,2855,438
2017-10-21,51,328,218,648,85,3577,160,2335,447
2017-10-22,48,329,206,823,74,4079,107,2632,452
2017-10-23,31,366,208,779,94,4558,92,3016,354
2017-10-24,31,324,219,679,72,5321,106,2936,335
2017-10-25,35,290,163,644,67,4626,62,2898,323
2017-10-26,31,272,151,494,41,4284,63,2732,271
2017-10-27,28,251,132,539,42,3668,54,2549,284
2017-10-28,19,274,129,576,63,3323,56,2356,274
2017-10-29,34,271,162,617,54,4022,80,3095,263
2017-10-30,31,351,157,585,40,4167,71,3116,244
2017-10-31,25,301,138,517,46,3947,51,2887,281
2017-11-01,27,276,126,517,31,4042,42,3222,227
2017-11-02,19,269,144,577,30,4438,34,2890,214
2017-11-03,19,239,141,506,42,3778,52,2598,242
2017-11-04,18,207,138,752,39,3113,48,2571,293
2017-11-05,26,254,117,1131,26,3694,38,3235,270
2017-11-06,18,318,166,764,36,4354,44,3290,282
2017-11-07,27,239,151,492,32,4588,31,3344,261
2017-11-08,16,253,151,440,24,4167,34,3231,213
2017-11-09,16,239,120,441,33,4128,28,3273,253
2017-11-10,15,207,142,496,32,3476,32,2718,235
2017-11-11,20,200,111,449,28,3027,41,2828,261
2017-11-12,8,247,115,499,28,3623,31,3737,273
2017-11-13,15,261,146,405,32,4443,38,3628,275
2017-11-14,12,239,125,465,16,4947,29,3608,222
2017-11-15,11,285,83,605,38,4472,27,4662,242
2017-11-16,17,225,166,516,28,4493,31,3591,301
2017-11-17,18,249,104,488,25,3670,22,2677,262
2017-11-18,11,195,111,616,14,3018,25,2254,222
2017-11-19,8,246,96,459,25,3484,18,3116,276
2017-11-20,16,273,125,526,20,3995,44,3107,279
2017-11-21,12,261,152,555,26,4173,40,3041,273
2017-11-22,16,227,117,475,18,3870,40,4311,246
2017-11-23,17,237,100,383,24,4359,20,2789,213
2017-11-24,15,199,81,354,22,3294,17,2020,294
2017-11-25,15,213,104,430,27,3020,27,2412,266
2017-11-26,14,232,118,429,34,3443,15,2983,314
2017-11-27,13,290,122,403,19,3997,27,3008,337
2017-11-28,15,245,89,436,27,4444,21,3130,268
2017-11-29,15,286,97,412,21,4289,8,4877,243
2017-11-30,12,210,112,425,17,4260,20,3255,217
2017-12-01,12,193,93,351,25,4332,19,2511,267
2017-12-02,18,209,68,350,25,3247,8,2165,275
2017-12-03,20,219,115,988,17,3717,13,2809,267
2017-12-04,10,245,93,492,28,4546,14,3189,233
2017-12-05,7,237,158,416,20,4379,13,2975,249
2017-12-06,11,237,95,442,13,4292,12,2909,198
2017-12-07,9,256,104,663,20,4180,13,2792,179
2017-12-08,9,193,136,420,20,3720,11,2414,313
2017-12-09,14,209,127,347,16,2914,16,1924,257
2017-12-10,21,217,132,363,17,3365,28,2370,251
2017-12-11,14,227,132,443,15,4276,20,3031,290
2017-12-12,15,481,126,487,20,4556,26,2847,200
2017-12-13,13,190,102,384,23,4059,37,2655,220
2017-12-14,15,213,111,387,27,4061,23,2647,228
2017-12-15,13,181,91,288,25,3688,38,1976,204
2017-12-16,14,184,91,568,21,2764,23,1629,212
2017-12-17,19,204,68,392,21,3335,21,1971,261
2017-12-18,13,205,105,421,27,4901,16,2241,246
2017-12-19,12,210,112,408,28,4232,21,2087,207
2017-12-20,11,206,114,387,25,3543,20,1935,204
2017-12-21,5,193,98,370,22,3300,12,1839,238
2017-12-22,5,172,82,373,18,2736,19,1443,240
2017-12-23,7,160,72,318,19,2459,22,1508,225
2017-12-24,6,167,62,368,18,2478,16,1513,238
2017-12-25,4,154,54,377,13,2743,27,1578,220
2017-12-26,9,185,65,412,9,2942,22,1694,303
2017-12-27,12,208,65,386,24,2950,24,1831,292
2017-12-28,5,187,85,385,450,3294,17,1954,273
2017-12-29,15,183,103,378,15,2759,17,1765,236
2017-12-30,8,165,54,375,12,2840,19,1758,253
2017-12-31,10,193,74,379,17,2756,18,1705,249
2018-01-01,10,175,63,815,8,2995,14,1762,240
2018-01-02,15,219,89,399,30,3855,20,2140,241
2018-01-03,9,240,113,430,26,3758,22,2246,232
2018-01-04,7,213,97,424,17,3575,18,2140,236
2018-01-05,9,208,74,445,22,3408,14,2263,258
2018-01-06,16,219,93,405,25,2929,15,2718,250
2018-01-07,20,218,74,434,12,3581,16,2373,232
2018-01-08,8,266,104,422,17,4154,19,2464,243
2018-01-09,6,248,104,447,16,4801,17,2487,263
2018-01-10,9,262,107,399,13,4680,12,2773,361
2018-01-11,10,236,131,403,17,4738,8,3339,272
2018-01-12,8,247,94,354,21,4087,21,3645,235
2018-01-13,11,250,62,404,29,3457,26,2604,216
2018-01-14,18,254,91,417,26,3561,27,2833,250
2018-01-15,11,274,74,394,13,4497,25,2963,235
2018-01-16,4,239,75,429,20,4954,16,2926,243
2018-01-17,13,300,102,413,18,4903,24,12279,204
2018-01-18,7,254,87,407,20,4974,30,7796,202
2018-01-19,6,526,109,423,27,4365,19,4444,223
2018-01-20,12,211,63,343,17,3287,24,3668,211
2018-01-21,11,238,74,412,13,4158,18,3272,250
2018-01-22,13,301,73,375,20,5090,17,3029,270
2018-01-23,11,257,87,438,13,5148,25,2917,213
2018-01-24,8,327,79,417,14,4801,20,3596,217
2018-01-25,5,263,79,391,10,4739,22,2941,219
2018-01-26,8,258,86,417,12,4079,21,2376,213
2018-01-27,4,186,50,360,17,3330,20,2079,208
2018-01-28,9,244,82,387,9,3942,31,2668,291
2018-01-29,10,271,120,463,14,5399,23,2819,196
2018-01-30,3,272,90,395,20,5238,17,2835,236
2018-01-31,12,250,98,404,22,5823,21,2511,246
2018-02-01,9,293,94,449,17,5418,20,2490,218
2018-02-02,11,255,85,387,23,4472,22,2074,203
2018-02-03,8,211,61,342,11,3649,21,2119,225
2018-02-04,8,226,80,403,15,4138,23,2751,288
2018-02-05,6,310,78,404,9,4992,21,2658,242
2018-02-06,8,270,77,360,15,5431,23,2773,241
2018-02-07,8,280,89,404,27,5437,20,2613,210
2018-02-08,21,286,81,400,20,5456,19,2474,189
2018-02-09,7,207,107,358,19,4477,23,2093,273
2018-02-10,12,201,67,354,18,3804,27,1659,225
2018-02-11,18,216,75,436,24,4550,21,1934,225
2018-02-12,6,250,94,462,28,5019,12,2081,219
2018-02-13,4,253,105,494,23,5288,16,2036,214
2018-02-14,6,290,100,442,20,4944,24,2077,194
2018-02-15,7,234,104,739,18,5005,38,1877,231
2018-02-16,5,173,93,427,15,4209,23,1918,209
2018-02-17,10,213,72,453,19,3624,29,1724,252
2018-02-18,12,221,79,498,18,4159,21,2093,235
2018-02-19,12,250,88,451,15,4667,18,2190,264
2018-02-20,7,260,92,496,32,5330,25,2312,222
2018-02-21,14,250,103,468,29,5471,23,2167,251
2018-02-22,18,238,92,507,46,5181,29,2255,278
2018-02-23,9,193,79,494,17,4344,23,1920,235
2018-02-24,9,204,74,458,24,3619,29,1704,235
2018-02-25,23,229,96,719,35,4660,39,2132,237
2018-02-26,12,281,87,548,25,5733,20,2488,217
2018-02-27,7,260,80,534,33,6017,18,2470,205
2018-02-28,6,228,80,482,29,6443,20,2279,269
2018-03-01,8,257,84,483,18,5379,20,2335,236
2018-03-02,11,225,72,411,16,4517,18,1856,263
2018-03-03,13,193,77,416,20,3794,24,1755,256
2018-03-04,9,202,72,462,18,4478,20,2105,280
2018-03-05,9,269,93,444,21,5831,14,2266,264
2018-03-06,8,324,100,502,18,5254,19,2307,259
2018-03-07,9,256,102,540,23,5484,19,2265,247
2018-03-08,13,231,123,434,26,5645,16,2655,294
2018-03-09,13,221,124,453,17,4409,21,2113,310
2018-03-10,8,282,75,385,10,3568,22,1605,254
2018-03-11,5,251,118,578,7,4302,14,2046,300
2018-03-12,9,271,106,506,16,4978,18,2306,249
2018-03-13,5,230,106,485,22,5085,18,2188,275
2018-03-14,8,237,86,480,20,4800,22,2164,274
2018-03-15,7,228,104,392,18,4471,21,2186,228
2018-03-16,5,204,91,436,15,3781,15,1854,281
2018-03-17,5,178,55,377,14,3433,26,1729,303
2018-03-18,11,179,76,478,22,3593,20,2090,290
2018-03-19,7,296,75,432,17,4515,20,2166,293
2018-03-20,8,216,65,458,13,4562,22,2206,230
2018-03-21,15,235,88,508,30,4547,26,2281,234
2018-03-22,10,219,102,475,12,4310,23,2140,267
2018-03-23,8,242,96,402,20,3658,17,1821,256
2018-03-24,8,212,82,377,12,2800,28,1542,222
2018-03-25,14,182,97,404,10,3352,19,1916,233
2018-03-26,10,247,111,497,19,4005,20,2056,300
2018-03-27,18,221,111,433,26,3896,24,2009,249
2018-03-28,12,256,92,421,18,3759,27,1976,277
2018-03-29,9,190,85,390,10,3538,30,1618,226
2018-03-30,7,177,78,368,17,3084,18,1614,254
2018-03-31,9,182,106,357,8,3297,27,1535,239
2018-04-01,6,201,60,394,17,3446,27,1720,256
2018-04-02,13,256,89,528,14,4333,24,1890,270
2018-04-03,13,230,105,457,17,4330,25,2516,220
2018-04-04,8,271,82,410,17,4274,28,1953,249
2018-04-05,10,237,102,389,14,3858,23,1928,261
2018-04-06,9,222,80,357,16,3719,24,1804,240
2018-04-07,4,257,69,397,8,3020,21,1567,209
2018-04-08,4,214,80,402,9,3290,24,1791,284
2018-04-09,5,248,82,446,35,3859,27,2054,245
2018-04-10,7,238,97,460,9,4004,23,2183,245
2018-04-11,13,281,85,456,15,4061,26,1912,273
2018-04-12,17,274,91,471,30,4330,28,2028,259
2018-04-13,9,206,97,428,33,3776,18,1829,269
2018-04-14,13,219,69,422,18,2850,30,8070,233
2018-04-15,6,229,78,425,26,3435,19,2245,303
2018-04-16,6,240,92,420,26,4111,25,2253,255
2018-04-17,14,227,72,465,20,4353,32,4167,294
2018-04-18,4,280,109,352,25,4309,27,2572,259
2018-04-19,10,297,68,710,34,4008,27,2258,284
2018-04-20,8,200,77,461,18,3585,17,1980,264
2018-04-21,12,179,60,429,9,2740,22,1605,285
2018-04-22,6,227,80,480,6,3366,32,2463,322
2018-04-23,8,247,89,383,10,4819,26,2923,280
2018-04-24,5,255,111,440,9,4495,16,4164,262
2018-04-25,19,272,87,433,9,4504,21,2673,381
2018-04-26,7,248,102,359,13,4441,23,2310,372
2018-04-27,3,204,77,341,15,3871,23,1996,266
2018-04-28,6,202,75,318,13,2978,25,1730,250
2018-04-29,6,213,75,348,22,3361,20,2375,265
2018-04-30,5,227,134,432,11,4402,17,2718,252
2018-05-01,7,220,130,397,20,4424,25,4709,243
2018-05-02,8,247,79,503,8,4220,19,2661,228
2018-05-03,8,251,103,480,26,4299,24,2513,250
2018-05-04,3,208,98,358,20,3977,20,2024,196
2018-05-05,9,184,63,367,12,3204,18,1678,205
2018-05-06,7,255,92,431,9,3520,19,2969,291
2018-05-07,7,284,94,415,16,4695,20,3136,286
2018-05-08,11,299,81,352,13,4762,20,2569,264
2018-05-09,10,272,87,322,21,4993,20,2897,232
2018-05-10,10,217,88,385,23,4757,18,2497,260
2018-05-11,9,228,107,311,18,4133,17,2353,274
2018-05-12,2,184,72,296,12,3207,24,1998,289
2018-05-13,8,172,97,338,9,3309,23,2051,281
2018-05-14,12,248,69,397,15,4574,16,2372,409
2018-05-15,11,264,96,368,11,4763,23,2982,324
2018-05-16,9,251,117,1040,27,4745,22,2386,276
2018-05-17,6,262,87,604,20,4810,20,2488,265
2018-05-18,9,250,77,354,12,4091,29,2324,274
2018-05-19,10,205,70,393,14,3151,28,3505,271
2018-05-20,6,169,81,497,11,3420,23,3646,291
2018-05-21,5,234,76,432,13,4779,22,3001,285
2018-05-22,6,241,86,387,18,4632,26,3054,327
2018-05-23,14,216,98,388,26,4589,26,2547,347
2018-05-24,9,242,81,366,12,4372,25,2497,274
2018-05-25,3,175,111,329,7,3650,24,2821,263
2018-05-26,14,179,83,314,10,3341,21,2139,250
2018-05-27,10,192,66,402,14,3309,23,2240,325
2018-05-28,8,194,68,373,12,3923,21,2304,280
2018-05-29,3,206,83,425,21,4247,23,3256,268
2018-05-30,15,234,65,402,27,4029,34,2344,307
2018-05-31,10,300,80,617,19,4235,22,2175,267
2018-06-01,12,175,79,330,20,3778,27,2053,296
2018-06-02,7,189,63,344,16,3271,25,1847,265
2018-06-03,6,193,74,357,11,3591,19,2172,281
2018-06-04,11,244,63,361,15,4423,29,2552,273
2018-06-05,10,217,93,389,18,4231,19,2302,250
2018-06-06,6,201,77,429,12,4028,22,2175,234
2018-06-07,9,182,88,308,16,4109,24,2314,278
2018-06-08,8,172,73,645,13,3612,25,2339,247
2018-06-09,9,164,55,435,12,2969,19,2083,284
2018-06-10,6,202,84,394,8,3275,24,1991,503
2018-06-11,4,249,107,375,25,4046,26,2246,711
2018-06-12,10,218,58,343,37,3960,22,2325,418
2018-06-13,10,368,73,362,25,3999,27,2071,383
2018-06-14,0,0,0,0,0,0,0,0,0
2018-06-15,11,168,104,298,26,2932,32,1729,326
2018-06-16,8,158,65,319,9,2985,22,1470,315
2018-06-17,7,191,59,356,22,3297,28,1776,300
