Date,"Nancy Cartwright","Don't Say You Love Me (M2M song)","Battle of the Santa Cruz Islands","O. G. S. Crawford","Paul Palaiologos Tagaris","Dave Gallaher","Ninety-five Theses","Super Mario Galaxy","Balfour Declaration"
2016-12-05,2430,73,374,117,15,37,1391,745,1335
2016-12-06,3375,83,317,92,16,32,1367,682,1336
2016-12-07,4442,74,566,98,12,15,1247,652,1509
2016-12-08,2487,53,550,118,13,37,1265,717,1371
2016-12-09,1823,56,393,88,20,36,1141,671,1239
2016-12-10,2152,73,350,75,12,34,987,671,969
2016-12-11,1750,50,314,68,15,35,1234,764,1147
2016-12-12,1837,68,345,95,20,28,1618,738,1658
2016-12-13,3434,48,372,63,14,56,1603,733,1642
2016-12-14,3493,56,300,91,13,32,1570,677,1498
2016-12-15,2349,49,313,88,13,35,1357,697,1276
2016-12-16,1654,51,281,76,17,33,1137,797,1145
2016-12-17,1574,69,303,89,19,39,740,815,830
2016-12-18,1810,84,304,148,17,41,1077,869,1000
2016-12-19,3088,61,359,94,15,23,1087,808,1140
2016-12-20,4470,48,360,153,13,25,1056,768,1032
2016-12-21,4440,70,274,122,12,29,891,825,915
2016-12-22,2968,64,278,24,16,51,781,771,884
2016-12-23,2338,69,241,20,14,29,652,701,1137
2016-12-24,2945,51,228,17,11,18,679,667,1676
2016-12-25,2052,60,800,10,15,18,726,598,1441
2016-12-26,3194,63,262,13,12,518,791,664,1520
2016-12-27,4719,51,299,15,8,20,798,720,2129
2016-12-28,5063,53,306,17,13,22,913,716,5730
2016-12-29,3631,85,288,16,20,68,757,756,3684
2016-12-30,2482,56,276,18,11,30,765,761,3153
2016-12-31,2672,51,238,11,9,19,693,691,2647
2017-01-01,2527,46,260,12,9,32,971,684,1902
2017-01-02,4356,49,245,13,12,46,1217,813,2146
2017-01-03,4567,48,421,24,12,43,1372,761,1856
2017-01-04,3871,53,298,24,10,35,1172,650,1781
2017-01-05,2782,72,338,18,24,34,1307,655,1400
2017-01-06,2314,72,336,21,26,22,1187,681,1412
2017-01-07,3487,66,243,15,15,25,1057,749,1419
2017-01-08,3242,72,289,17,18,32,1732,710,1863
2017-01-09,3684,43,271,11,7,15,1440,673,1588
2017-01-10,3307,66,268,22,15,29,1306,705,1489
2017-01-11,4133,50,229,20,6,32,1421,693,1350
2017-01-12,2090,82,241,38,12,26,1361,682,1353
2017-01-13,1767,44,226,17,7,22,1364,1808,1266
2017-01-14,2267,54,277,24,7,82,1142,1657,1159
2017-01-15,2096,85,333,17,8,22,1848,1334,1281
2017-01-16,2425,87,282,26,17,47,1731,1266,1393
2017-01-17,3068,142,289,22,9,18,1680,1220,1422
2017-01-18,2687,76,278,16,9,25,1572,1022,1395
2017-01-19,2004,61,296,24,15,42,1463,945,1328
2017-01-20,1598,50,273,18,10,26,1412,764,1093
2017-01-21,1492,62,234,20,13,53,978,789,951
2017-01-22,1653,64,262,20,16,52,1336,963,1199
2017-01-23,1995,141,249,22,15,26,1500,790,1477
2017-01-24,2793,66,294,20,12,24,1481,678,1678
2017-01-25,2325,40,274,13,8,29,1384,696,1382
2017-01-26,1585,69,326,19,12,17,1358,656,1395
2017-01-27,1491,78,278,21,12,35,1193,596,1112
2017-01-28,1480,47,273,16,13,40,871,659,941
2017-01-29,1641,67,268,20,5,28,1183,763,1029
2017-01-30,2530,62,300,17,7,27,1424,633,1310
2017-01-31,4097,63,306,16,4,29,1302,618,1409
2017-02-01,2651,56,312,14,15,28,1215,555,1514
2017-02-02,1791,48,335,8,3,66,1197,493,1375
2017-02-03,1848,63,320,17,4,28,1142,601,1252
2017-02-04,1792,53,299,16,9,33,872,629,1120
2017-02-05,1820,67,292,21,12,35,1361,644,1298
2017-02-06,1813,51,299,26,5,38,1296,658,1616
2017-02-07,1951,54,412,22,10,53,1499,631,1924
2017-02-08,1994,61,314,29,17,42,1421,527,1356
2017-02-09,1683,69,450,25,8,48,1466,602,1376
2017-02-10,1414,46,337,18,8,40,1205,559,1248
2017-02-11,1402,72,269,16,12,59,873,612,1043
2017-02-12,1720,60,306,24,5,62,1199,653,1429
2017-02-13,1668,83,293,22,13,51,1468,558,1681
2017-02-14,1467,51,311,32,12,44,1405,513,1599
2017-02-15,1325,66,348,55,19,45,1473,587,1944
2017-02-16,1295,63,323,24,11,33,1376,545,2039
2017-02-17,1253,62,269,18,6,30,1170,523,1523
2017-02-18,1617,47,281,25,7,44,1150,552,1283
2017-02-19,1885,67,289,28,6,57,1313,617,1255
2017-02-20,2467,48,329,16,11,41,1461,579,1430
2017-02-21,1783,51,236,22,6,33,1629,618,1637
2017-02-22,1563,72,275,22,10,22,1588,570,1712
2017-02-23,1502,79,274,29,11,27,1608,577,1583
2017-02-24,1346,66,401,18,17,31,1351,536,1285
2017-02-25,1298,69,304,22,11,45,1129,730,1095
2017-02-26,1652,83,293,23,16,68,1490,700,1298
2017-02-27,1598,62,309,24,11,55,1770,617,1521
2017-02-28,1338,57,312,19,11,66,1635,598,1698
2017-03-01,1230,58,253,26,17,45,1617,579,1501
2017-03-02,1265,44,402,26,10,36,1715,955,1605
2017-03-03,1424,63,314,22,7,32,1425,1254,2263
2017-03-04,1616,55,274,19,6,33,1138,945,2003
2017-03-05,1628,76,288,23,10,27,1491,959,1752
2017-03-06,1574,66,298,24,5,42,1678,926,1813
2017-03-07,1494,95,341,35,21,48,1571,842,1628
2017-03-08,1278,172,277,25,15,35,1673,828,1646
2017-03-09,1141,86,263,33,14,35,1612,695,2481
2017-03-10,1077,71,254,33,18,55,1287,744,1441
2017-03-11,1212,62,231,27,8,50,1119,758,1093
2017-03-12,1450,52,325,26,9,49,1393,802,1332
2017-03-13,1371,58,374,26,7,41,1526,714,1750
2017-03-14,1201,69,341,30,9,28,1431,666,1649
2017-03-15,1263,49,303,30,5,38,1416,608,1601
2017-03-16,1162,55,261,25,8,30,1360,613,1517
2017-03-17,1089,61,283,20,10,38,1385,577,1468
2017-03-18,1159,73,265,22,11,47,1059,616,1103
2017-03-19,1398,55,242,24,6,44,1349,715,1302
2017-03-20,1340,59,312,31,5,29,1522,670,1718
2017-03-21,1188,47,293,25,13,28,1388,626,1712
2017-03-22,1187,58,312,23,10,50,1483,575,1660
2017-03-23,1003,69,255,28,19,46,1419,631,1677
2017-03-24,1227,58,286,23,8,40,1201,592,1350
2017-03-25,4184,53,226,20,16,38,923,583,1023
2017-03-26,7991,48,275,12,8,26,1180,626,1370
2017-03-27,8415,48,368,16,11,35,1407,641,1706
2017-03-28,11206,32,265,21,9,56,1408,612,1717
2017-03-29,9369,58,278,21,8,43,1311,599,1948
2017-03-30,6562,76,328,31,20,43,1451,544,1793
2017-03-31,3551,60,271,25,13,32,1252,537,1638
2017-04-01,2879,70,223,23,10,38,1119,499,1004
2017-04-02,2374,76,273,27,19,35,1405,539,1240
2017-04-03,2241,56,265,14,8,30,1557,561,1503
2017-04-04,1971,53,270,15,7,35,1459,489,1652
2017-04-05,1722,50,285,14,9,24,1455,495,1577
2017-04-06,1901,72,259,29,5,37,1430,503,1786
2017-04-07,1785,55,304,21,7,33,1216,508,1762
2017-04-08,1876,57,228,20,10,38,963,481,1134
2017-04-09,1786,64,298,22,8,20,1274,536,1307
2017-04-10,1618,72,326,22,14,49,1436,516,1584
2017-04-11,1474,58,325,17,7,33,1490,498,1496
2017-04-12,1366,66,244,25,12,48,1497,522,1659
2017-04-13,1451,64,239,24,8,39,1301,581,1704
2017-04-14,1599,50,254,16,7,49,1160,519,1444
2017-04-15,1777,60,232,23,8,42,1075,513,1116
2017-04-16,1596,65,243,26,14,47,1291,522,1128
2017-04-17,1508,65,382,27,7,47,1517,580,1669
2017-04-18,1373,70,425,26,10,41,1451,508,1744
2017-04-19,1650,66,444,30,8,61,1414,505,1562
2017-04-20,1792,59,312,25,13,57,1375,467,1674
2017-04-21,1437,43,309,25,6,83,1172,463,1433
2017-04-22,1450,60,288,22,12,64,1009,684,1361
2017-04-23,1925,60,254,14,8,42,1349,706,1480
2017-04-24,1539,56,294,22,10,79,1521,493,2096
2017-04-25,1335,56,328,37,8,50,1504,467,2689
2017-04-26,1506,45,378,18,5,49,1465,496,2726
2017-04-27,1508,51,291,29,11,43,1540,500,2312
2017-04-28,2027,60,284,20,9,33,1237,500,1724
2017-04-29,1670,51,243,15,6,48,903,528,1367
2017-04-30,1667,69,253,18,8,45,1275,601,1567
2017-05-01,1763,53,339,16,9,45,1576,644,2207
2017-05-02,1550,40,323,19,16,38,1676,586,2342
2017-05-03,1525,70,358,25,13,35,1556,506,2026
2017-05-04,1512,53,904,20,8,42,1530,501,1958
2017-05-05,1753,49,607,20,13,37,1279,462,1589
2017-05-06,1756,64,346,22,10,47,1064,477,1148
2017-05-07,1592,66,323,11,7,23,1333,510,1597
2017-05-08,1590,49,370,24,15,39,1559,549,2153
2017-05-09,1499,48,354,12,4,40,1480,510,2191
2017-05-10,1500,60,287,13,5,49,1609,445,1954
2017-05-11,1464,48,280,17,6,45,1947,444,1890
2017-05-12,1582,49,247,25,9,39,1600,466,1455
2017-05-13,1431,41,271,22,7,33,1263,474,1118
2017-05-14,1709,56,252,18,5,24,1358,515,1708
2017-05-15,1573,52,284,20,10,34,1450,539,1939
2017-05-16,1767,56,252,16,11,37,1358,491,1750
2017-05-17,1014,43,255,15,10,49,1553,445,1676
2017-05-18,1044,61,259,31,20,50,1327,412,1754
2017-05-19,3156,47,363,22,13,64,1211,411,1550
2017-05-20,2552,73,258,23,13,38,958,414,1172
2017-05-21,2157,74,210,35,18,43,1230,468,1384
2017-05-22,2110,48,277,23,4,34,1438,476,1912
2017-05-23,1394,45,259,26,14,42,1347,464,1911
2017-05-24,1447,52,286,25,8,29,1533,567,1704
2017-05-25,1280,46,244,23,12,51,1426,408,1577
2017-05-26,1116,54,363,40,13,44,1421,430,1621
2017-05-27,1140,42,235,15,5,49,1378,435,1116
2017-05-28,1082,40,252,11,6,36,1136,461,1185
2017-05-29,1938,46,428,31,7,65,1238,519,1382
2017-05-30,2851,59,448,30,12,64,1326,492,1661
2017-05-31,1483,44,531,34,9,59,1292,469,1510
2017-06-01,1325,59,371,20,10,561,1175,448,1665
2017-06-02,1370,54,313,28,7,394,1061,360,1528
2017-06-03,1557,53,272,21,9,721,873,407,1022
2017-06-04,1585,62,453,25,6,159,1057,501,1526
2017-06-05,1291,32,406,13,5,169,1168,480,2297
2017-06-06,1253,57,352,27,14,199,1222,502,1926
2017-06-07,1210,46,327,30,12,237,1182,424,1734
2017-06-08,1042,51,293,26,13,96,1105,458,1587
2017-06-09,997,45,234,19,9,110,886,667,1174
2017-06-10,1163,45,256,16,6,81,805,680,904
2017-06-11,1250,45,246,14,9,63,1055,499,1111
2017-06-12,1191,44,260,18,8,55,1176,521,1423
2017-06-13,1140,45,271,29,14,80,1040,989,1418
2017-06-14,1069,61,230,18,9,58,1055,1299,1365
2017-06-15,1027,62,284,19,12,58,1163,1115,1179
2017-06-16,1036,39,224,19,6,159,927,973,1045
2017-06-17,1079,54,241,16,12,120,763,863,1040
2017-06-18,1189,48,262,18,10,76,902,825,1134
2017-06-19,1118,48,284,15,8,73,848,771,1098
2017-06-20,1044,54,280,10,7,97,1026,668,1186
2017-06-21,1057,50,241,14,7,87,928,660,1107
2017-06-22,974,63,245,18,12,71,956,676,1130
2017-06-23,977,47,210,17,8,279,814,532,989
2017-06-24,1006,54,232,14,5,356,859,577,926
2017-06-25,1005,49,208,23,9,135,1497,581,970
2017-06-26,961,36,552,15,6,137,1060,613,916
2017-06-27,988,55,344,31,8,71,933,588,955
2017-06-28,967,40,293,17,12,89,943,621,956
2017-06-29,988,38,281,20,7,81,875,595,900
2017-06-30,932,45,257,20,5,135,801,578,741
2017-07-01,975,54,215,17,11,127,816,472,702
2017-07-02,1003,55,255,9,6,65,902,566,888
2017-07-03,1428,45,273,17,6,69,812,603,936
2017-07-04,1105,50,293,17,4,137,802,573,983
2017-07-05,981,42,271,18,9,107,854,527,1156
2017-07-06,1043,47,234,21,11,60,840,570,1065
2017-07-07,1117,47,237,14,10,208,858,598,982
2017-07-08,1036,48,212,15,4,264,872,531,930
2017-07-09,1231,52,227,15,8,89,968,580,1026
2017-07-10,1262,42,286,22,6,66,1002,524,1022
2017-07-11,1208,59,245,17,11,60,842,508,1037
2017-07-12,1061,52,291,14,12,51,929,538,1025
2017-07-13,1220,47,252,9,5,52,852,487,1193
2017-07-14,1083,38,222,9,6,34,940,466,1006
2017-07-15,1125,43,210,16,13,48,1065,478,815
2017-07-16,1265,53,219,15,10,36,1343,553,942
2017-07-17,1316,43,284,15,7,35,1036,543,1161
2017-07-18,1145,45,252,13,4,45,881,484,985
2017-07-19,1130,40,276,20,9,48,900,528,1055
2017-07-20,1568,45,323,17,7,46,941,499,928
2017-07-21,1681,55,218,12,10,34,781,533,1003
2017-07-22,1340,43,213,9,6,44,862,472,1087
2017-07-23,1487,45,261,14,8,36,954,534,1159
2017-07-24,1265,35,253,16,8,41,1008,469,1191
2017-07-25,1322,57,291,8,10,31,914,457,1207
2017-07-26,1189,58,251,21,15,47,847,466,1073
2017-07-27,1166,45,203,20,8,51,798,504,1062
2017-07-28,1161,43,261,11,12,39,764,479,954
2017-07-29,1139,40,214,8,13,51,750,466,963
2017-07-30,1042,52,250,6,3,46,924,467,991
2017-07-31,1254,52,236,11,8,124,853,494,968
2017-08-01,1087,55,281,21,15,76,844,461,1188
2017-08-02,1043,51,258,18,8,51,983,538,1127
2017-08-03,988,61,233,18,13,41,904,545,1007
2017-08-04,1061,47,231,24,13,49,761,474,976
2017-08-05,985,49,254,16,11,41,758,464,875
2017-08-06,1109,50,265,13,11,66,1040,481,900
2017-08-07,1173,64,414,12,8,40,916,476,920
2017-08-08,1203,57,309,15,11,35,1090,469,877
2017-08-09,1880,66,248,10,11,27,942,447,892
2017-08-10,1633,38,269,16,10,34,962,439,886
2017-08-11,1231,47,267,18,14,30,842,445,966
2017-08-12,1140,56,233,21,7,27,762,387,806
2017-08-13,1184,50,240,15,7,37,1000,483,848
2017-08-14,1241,63,246,22,17,35,974,494,984
2017-08-15,1454,61,262,14,12,35,874,506,930
2017-08-16,1568,52,289,15,14,32,949,447,1007
2017-08-17,1225,48,259,14,6,27,894,431,935
2017-08-18,1677,85,233,17,15,64,921,458,1172
2017-08-19,4293,83,224,28,7,41,791,426,912
2017-08-20,2299,65,355,12,9,66,1036,468,931
2017-08-21,1667,60,521,15,9,63,937,429,1007
2017-08-22,1521,57,296,12,7,38,1044,453,1140
2017-08-23,1403,67,338,11,7,32,1321,441,1057
2017-08-24,1570,56,2019,28,14,44,1116,452,948
2017-08-25,1201,91,490,12,14,32,1037,453,938
2017-08-26,1059,66,253,10,14,92,867,445,726
2017-08-27,1052,50,311,8,12,34,1111,458,860
2017-08-28,3354,44,279,8,2,35,1271,398,926
2017-08-29,1558,72,298,8,5,16,1285,481,903
2017-08-30,1427,61,270,18,10,24,1325,434,1014
2017-08-31,1492,49,256,10,10,36,1372,412,899
2017-09-01,1025,61,275,13,9,34,1131,435,779
2017-09-02,1129,56,211,16,9,30,911,450,927
2017-09-03,1127,57,258,6,7,32,1140,454,873
2017-09-04,1190,56,258,9,16,36,1207,478,998
2017-09-05,1063,50,256,16,9,36,1382,480,1063
2017-09-06,1274,62,260,16,9,41,1514,423,1000
2017-09-07,1314,61,203,13,8,30,1519,443,1082
2017-09-08,1145,48,221,5,9,39,1480,394,929
2017-09-09,1136,56,211,11,7,36,981,397,739
2017-09-10,1286,56,179,11,8,33,1519,510,979
2017-09-11,1356,36,183,9,19,30,1578,413,1044
2017-09-12,1286,51,369,12,7,47,1656,468,1166
2017-09-13,1897,74,250,19,9,29,4214,488,1363
2017-09-14,2322,65,249,29,12,40,2413,593,1213
2017-09-15,1828,68,206,24,11,41,1810,570,1079
2017-09-16,3166,57,206,14,5,53,1407,626,1005
2017-09-17,3126,39,212,7,3,27,2188,627,1331
2017-09-18,2470,39,224,18,10,33,2427,533,1422
2017-09-19,2245,47,186,19,13,47,2293,570,1324
2017-09-20,5446,50,229,15,6,39,2102,533,1316
2017-09-21,2780,70,202,10,5,28,1891,496,1718
2017-09-22,2158,68,167,19,27,37,1734,524,1534
2017-09-23,1851,90,192,17,13,35,1460,575,1150
2017-09-24,1880,57,200,13,11,32,2161,548,1220
2017-09-25,1623,50,235,17,9,55,2303,512,1401
2017-09-26,1663,54,233,13,6,40,2292,515,1418
2017-09-27,1592,70,278,14,10,39,2306,495,1330
2017-09-28,1422,51,276,21,10,42,2256,545,1325
2017-09-29,1253,53,263,26,8,32,2044,519,1249
2017-09-30,1069,44,202,27,2,60,1631,599,1022
2017-10-01,1173,46,212,10,2,87,2975,575,1322
2017-10-02,1188,46,242,47,16,70,3057,523,1329
2017-10-03,1172,47,261,16,41,375,3211,497,1354
2017-10-04,1586,49,227,17,17,592,2957,518,1327
2017-10-05,1033,69,262,23,15,170,2929,518,1306
2017-10-06,1211,60,229,16,19,101,2328,545,1104
2017-10-07,1175,65,197,12,13,67,2157,632,935
2017-10-08,1170,58,214,10,11,65,3039,1037,1385
2017-10-09,1399,55,365,14,17,57,2737,573,1441
2017-10-10,1531,57,245,20,11,50,2876,503,1454
2017-10-11,2286,60,477,22,25,63,3199,688,1467
2017-10-12,1250,60,265,24,14,58,2887,653,1598
2017-10-13,1111,61,231,26,26,58,2402,599,1303
2017-10-14,1200,49,203,15,15,67,2166,655,997
2017-10-15,1217,62,217,28,32,42,3314,748,1167
2017-10-16,1206,96,202,12,13,79,3118,640,1584
2017-10-17,1141,73,240,28,19,51,3125,663,2620
2017-10-18,1970,67,215,16,33,50,3202,624,1842
2017-10-19,3599,72,227,45,14,71,3219,618,1816
2017-10-20,2015,67,262,18,13,51,2683,654,1428
2017-10-21,1532,60,224,15,15,104,2630,712,1382
2017-10-22,1628,59,187,12,16,75,4291,812,1894
2017-10-23,1636,60,833,44,29,49,4296,825,2240
2017-10-24,1902,40,340,22,10,51,4433,784,2358
2017-10-25,65061,383,543,11,27,56,4791,863,3341
2017-10-26,12184,32494,1984,19,17,69,6180,1896,3261
2017-10-27,5123,6379,80266,250,12,57,6079,1941,3175
2017-10-28,3914,3540,12990,23253,294,37,7558,1641,3689
2017-10-29,1783,3008,6949,6046,42982,259,16819,1711,5036
2017-10-30,1570,507,5918,3441,7057,36763,12646,1675,6840
2017-10-31,1384,339,1398,1761,2857,5732,113050,1576,13919
2017-11-01,1504,254,1087,347,2196,2778,33645,38399,14754
2017-11-02,1286,248,884,245,415,2041,13775,8699,92123
2017-11-03,1176,206,834,228,307,467,9066,5489,33101
2017-11-04,1201,138,789,199,218,335,5830,3618,16330
2017-11-05,2899,167,674,159,172,283,5908,1546,12132
2017-11-06,2178,398,573,92,178,197,4564,1567,7654
2017-11-07,1641,113,533,107,126,186,3438,1221,5922
2017-11-08,1844,121,534,94,104,150,3089,1019,5282
2017-11-09,1907,146,520,97,99,106,3035,1061,4190
2017-11-10,1569,103,493,101,75,115,2199,915,3210
2017-11-11,1490,156,439,78,77,372,1899,905,3001
2017-11-12,1634,92,537,72,64,230,2595,1318,3097
2017-11-13,2084,104,458,66,94,177,2490,1361,3033
2017-11-14,1853,91,451,89,92,119,2354,958,2946
2017-11-15,2063,88,445,79,74,97,2215,804,2603
2017-11-16,1763,81,386,43,49,79,2008,822,2373
2017-11-17,1511,73,351,51,64,75,2082,708,1878
2017-11-18,1389,88,363,31,32,81,1636,745,1814
2017-11-19,1555,705,365,29,71,86,1918,770,2074
2017-11-20,1404,68,392,37,82,95,1812,786,2206
2017-11-21,1413,69,386,42,73,70,1625,727,2054
2017-11-22,1236,56,338,37,76,103,1332,600,1778
2017-11-23,1080,71,317,38,835,77,1338,618,1787
2017-11-24,1044,75,313,56,463,52,1079,716,1487
2017-11-25,1165,71,306,41,298,119,1156,761,1810
2017-11-26,1194,71,329,77,261,61,1534,722,1678
2017-11-27,1174,55,371,50,604,119,1699,710,1983
2017-11-28,1049,51,352,39,311,117,1574,602,2218
2017-11-29,1022,355,344,22,131,47,1482,579,2025
2017-11-30,987,63,381,26,105,69,1586,585,1863
2017-12-01,936,61,297,20,82,49,1340,517,1703
2017-12-02,996,113,309,25,56,58,971,570,1509
2017-12-03,1240,57,320,41,50,51,1224,578,1573
2017-12-04,1251,46,376,64,48,54,1476,601,2063
2017-12-05,1358,36,310,34,148,37,7520,651,2473
2017-12-06,1319,65,336,40,53,54,4344,577,6875
2017-12-07,1355,48,387,39,30,46,2060,557,10005
2017-12-08,1215,61,351,40,42,37,1495,640,7689
2017-12-09,1413,61,321,33,83,33,1282,665,5666
2017-12-10,1394,51,313,29,37,41,1496,624,5275
2017-12-11,1599,66,341,29,38,74,1657,545,5531
2017-12-12,1531,55,315,21,37,31,1801,540,3908
2017-12-13,1305,55,350,27,35,32,1763,582,3764
2017-12-14,1142,332,363,24,26,47,1534,551,2980
2017-12-15,1182,54,330,32,32,37,1265,482,2532
2017-12-16,1181,72,306,29,24,27,831,522,2219
2017-12-17,1493,47,293,41,33,35,1115,559,2631
2017-12-18,1345,60,334,24,28,35,1343,533,3632
2017-12-19,1361,56,318,21,40,40,1195,529,2725
2017-12-20,1414,78,301,24,31,37,1150,531,2372
2017-12-21,1264,62,300,67,18,35,937,535,2616
2017-12-22,1390,45,1460,18,20,25,786,660,2566
2017-12-23,1390,51,266,28,20,24,752,510,1973
2017-12-24,1387,72,265,23,18,18,867,528,1949
2017-12-25,1296,50,315,31,24,20,914,559,1962
2017-12-26,1425,43,339,53,44,43,847,663,2196
2017-12-27,1294,58,319,29,67,29,2046,697,2175
2017-12-28,1370,241,371,65,57,390,1686,704,1951
2017-12-29,1408,65,304,17,48,29,1085,709,1544
2017-12-30,1503,40,268,12,51,13,964,659,1528
2017-12-31,1457,51,308,20,17,29,849,603,1405
2018-01-01,1683,56,273,25,18,52,821,654,1562
2018-01-02,1515,40,331,30,25,25,986,770,1900
2018-01-03,1372,68,298,32,22,40,1204,653,2100
2018-01-04,1321,44,316,18,14,36,1093,619,1721
2018-01-05,1324,62,316,18,9,38,875,618,1355
2018-01-06,1374,48,304,23,13,62,915,611,1279
2018-01-07,1575,40,312,11,17,39,1175,571,1517
2018-01-08,1835,58,350,12,16,39,1260,575,1721
2018-01-09,1391,46,321,18,13,40,1317,619,1487
2018-01-10,1380,57,319,10,25,44,1348,651,1484
2018-01-11,1250,47,315,22,23,38,1360,635,1499
2018-01-12,1132,53,353,21,12,32,1283,836,1343
2018-01-13,1507,44,390,16,13,28,1154,570,1332
2018-01-14,1488,48,334,26,25,38,1248,719,1668
2018-01-15,1515,71,345,14,14,21,1525,679,1679
2018-01-16,1291,80,314,16,15,34,1465,641,1553
2018-01-17,1229,68,339,20,32,33,1367,530,1619
2018-01-18,1167,60,355,11,24,31,1335,592,1386
2018-01-19,1120,579,278,20,23,28,1229,595,1279
2018-01-20,1213,63,311,20,13,23,965,637,1076
2018-01-21,1327,58,308,9,12,27,1229,616,1296
2018-01-22,1682,67,320,10,11,32,1333,537,1584
2018-01-23,1111,55,289,29,10,30,1436,518,1664
2018-01-24,1166,52,316,13,10,15,1481,537,1440
2018-01-25,1202,52,342,12,20,26,1323,474,1502
2018-01-26,1844,63,324,14,21,38,1171,520,1322
2018-01-27,1654,52,273,14,11,37,861,555,1201
2018-01-28,1564,63,378,9,17,28,1247,593,1473
2018-01-29,1310,52,448,14,12,23,1344,542,1566
2018-01-30,1260,45,377,20,10,33,1296,438,1402
2018-01-31,1140,40,317,18,5,33,1258,702,1545
2018-02-01,1144,44,326,18,12,19,1319,550,1496
2018-02-02,1137,47,318,26,13,42,1168,464,1290
2018-02-03,1270,53,269,19,9,44,906,521,1042
2018-02-04,1280,62,293,19,11,44,947,599,1179
2018-02-05,1012,52,304,26,3,37,1258,551,1509
2018-02-06,1215,56,322,18,14,36,1251,565,1382
2018-02-07,1225,45,918,15,8,41,1283,533,1348
2018-02-08,1167,56,443,67,13,61,1198,486,1460
2018-02-09,1083,54,400,29,7,29,1040,443,1261
2018-02-10,1168,61,343,243,29,40,930,525,1179
2018-02-11,1263,55,350,115,24,47,1124,548,1403
2018-02-12,1127,36,337,58,24,41,1273,526,1375
2018-02-13,1122,33,309,52,15,22,1286,475,1705
2018-02-14,1020,288,328,23,9,23,1257,476,1534
2018-02-15,980,63,310,19,22,34,1147,435,1418
2018-02-16,1046,40,333,21,6,19,1015,457,1137
2018-02-17,1139,48,276,15,13,35,784,491,1046
2018-02-18,1194,62,302,18,9,38,957,550,1226
2018-02-19,1216,49,320,23,12,38,1121,548,1355
2018-02-20,1132,53,312,20,20,42,1169,464,1424
2018-02-21,1176,173,337,17,21,33,1119,479,1403
2018-02-22,1030,65,382,22,24,32,1158,503,1387
2018-02-23,1023,61,294,29,19,25,966,508,1209
2018-02-24,1100,57,300,15,7,43,891,480,905
2018-02-25,1345,77,396,39,18,53,1050,542,1232
2018-02-26,1282,53,409,17,12,44,1224,499,1501
2018-02-27,1175,48,332,31,11,31,1196,456,1484
2018-02-28,1066,39,302,15,7,29,1166,460,1574
2018-03-01,1116,53,293,15,14,30,1183,460,1734
2018-03-02,1183,65,328,91,15,36,1077,444,1421
2018-03-03,1166,57,300,17,25,52,824,514,1085
2018-03-04,1256,60,305,21,22,44,1099,520,1340
2018-03-05,1113,39,342,16,5,41,1173,465,1578
2018-03-06,1079,66,854,14,13,39,1165,444,1783
2018-03-07,1209,43,719,15,9,45,1122,477,1557
2018-03-08,1045,52,542,37,13,39,1173,528,1603
2018-03-09,1105,63,474,27,14,37,1049,527,1332
2018-03-10,1203,50,382,10,9,40,807,565,1141
2018-03-11,1305,52,449,17,7,45,998,632,1345
2018-03-12,1310,53,376,15,13,36,1075,565,1857
2018-03-13,1321,47,385,31,6,46,1064,468,1694
2018-03-14,1225,53,411,23,8,52,1141,529,1659
2018-03-15,1260,48,437,15,11,38,1015,494,1451
2018-03-16,1181,49,337,13,9,47,1147,514,1215
2018-03-17,1279,48,296,13,8,52,894,541,990
2018-03-18,1290,44,322,14,7,59,953,536,1268
2018-03-19,1470,387,390,24,20,45,1193,562,1609
2018-03-20,1460,64,693,22,18,40,1128,493,1678
2018-03-21,1672,52,554,28,14,64,1638,467,1498
2018-03-22,1752,49,385,16,23,40,1122,546,1680
2018-03-23,1653,50,371,17,17,53,1073,545,1298
2018-03-24,1619,63,353,11,9,27,735,530,1023
2018-03-25,1655,59,346,11,13,36,996,529,1227
2018-03-26,1719,44,357,14,12,40,1262,534,1658
2018-03-27,1550,54,395,30,9,45,1196,491,1683
2018-03-28,1324,51,351,11,8,39,1075,484,1554
2018-03-29,1407,49,1200,14,7,39,1036,418,1486
2018-03-30,1555,43,365,16,6,29,1013,453,1479
2018-03-31,1388,51,331,13,24,24,910,433,1519
2018-04-01,1605,86,306,10,16,40,1145,501,1584
2018-04-02,1632,35,364,18,12,47,1860,559,1843
2018-04-03,1403,55,390,36,14,49,1225,513,1976
2018-04-04,1346,46,345,21,10,38,1207,501,1673
2018-04-05,1238,39,327,16,19,53,1010,460,1659
2018-04-06,1353,39,373,16,13,42,960,475,1588
2018-04-07,1354,59,260,12,8,25,797,495,1375
2018-04-08,1522,48,350,19,5,43,989,544,1515
2018-04-09,1726,48,350,24,11,36,1171,501,2173
2018-04-10,1603,48,312,14,10,70,1072,479,2254
2018-04-11,1285,57,332,23,15,65,1080,468,2092
2018-04-12,1229,73,359,19,15,41,1033,471,1922
2018-04-13,1270,53,311,8,23,41,963,482,1814
2018-04-14,1213,54,322,19,15,30,805,539,1852
2018-04-15,1510,43,362,8,15,32,1055,571,1925
2018-04-16,1427,45,384,19,49,40,1130,487,2013
2018-04-17,1225,63,332,21,12,42,1143,486,2127
2018-04-18,1064,55,391,14,14,35,1132,430,2069
2018-04-19,1241,39,356,20,8,32,1071,515,1924
