Date,"Nancy Cartwright","Don't Say You Love Me (M2M song)","Battle of the Santa Cruz Islands","O. G. S. Crawford","Paul Palaiologos Tagaris","Dave Gallaher","Ninety-five Theses","Super Mario Galaxy","Balfour Declaration"
2015-10-28,1057,60,322,16,3,104,6,469,1290
2015-10-29,950,49,234,7,4,99,6,513,1290
2015-10-30,1107,62,265,3,4,146,5,534,1128
2015-10-31,2737,63,183,11,1,398,7,486,920
2015-11-01,1513,74,186,8,5,291,7,590,1238
2015-11-02,1543,69,200,5,3,196,5,572,11534
2015-11-03,1455,60,248,8,4,145,5,537,2460
2015-11-04,1461,64,213,6,8,120,2,523,1597
2015-11-05,1403,57,251,7,4,100,5,511,1343
2015-11-06,1066,61,235,14,6,58,3,542,1156
2015-11-07,1101,81,190,8,3,67,0,581,848
2015-11-08,1626,70,210,8,1,81,7,646,1070
2015-11-09,1312,53,229,9,4,53,0,611,1536
2015-11-10,1092,60,278,31,11,62,1,614,1488
2015-11-11,1012,48,256,13,2,65,4,566,1357
2015-11-12,1050,53,284,7,5,69,2,526,1228
2015-11-13,970,51,217,10,3,32,6,531,1039
2015-11-14,922,54,181,6,4,37,1,496,1357
2015-11-15,981,55,175,12,4,50,2,600,1646
2015-11-16,1206,56,526,15,9,107,2,513,1916
2015-11-17,901,62,235,5,8,67,3,455,1885
2015-11-18,875,55,249,9,4,162,3,539,1781
2015-11-19,849,71,259,7,2,102,4,576,1527
2015-11-20,786,62,262,5,2,89,3,514,1333
2015-11-21,834,59,180,3,4,60,0,501,1037
2015-11-22,969,59,185,4,5,43,3,610,1366
2015-11-23,1098,40,268,9,2,55,2,615,1318
2015-11-24,1026,52,228,11,6,37,4,517,1247
2015-11-25,886,54,164,8,0,43,2,562,1199
2015-11-26,889,40,197,12,4,40,3,559,997
2015-11-27,868,44,301,6,3,34,1,577,888
2015-11-28,1014,49,208,7,3,40,3,613,889
2015-11-29,1215,70,188,4,1,48,5,687,1165
2015-11-30,1016,56,299,12,0,76,1,715,1359
2015-12-01,856,65,228,12,3,56,1,580,1401
2015-12-02,867,45,209,6,2,35,4,530,1478
2015-12-03,847,57,177,4,1,108,1,480,1476
2015-12-04,1129,52,213,7,0,49,1,531,1153
2015-12-05,988,47,201,10,0,102,1,582,940
2015-12-06,973,42,223,6,2,62,0,600,1185
2015-12-07,1138,49,308,10,4,23,2,558,1669
2015-12-08,1535,55,326,8,3,48,3,600,1639
2015-12-09,878,52,490,13,2,28,2,489,1675
2015-12-10,898,49,330,5,4,37,3,502,1517
2015-12-11,816,48,257,2,7,40,11,548,1293
2015-12-12,946,49,200,7,4,45,2,510,1026
2015-12-13,1038,48,181,9,4,30,6,584,1249
2015-12-14,1090,43,184,9,7,30,10,818,1673
2015-12-15,907,37,238,6,2,28,4,648,1558
2015-12-16,879,41,217,7,5,34,10,564,1365
2015-12-17,798,42,179,10,4,98,5,541,1317
2015-12-18,855,36,226,10,7,37,3,504,1005
2015-12-19,2120,53,188,5,2,31,0,517,701
2015-12-20,1137,49,204,4,0,29,6,553,794
2015-12-21,975,59,223,14,2,41,4,618,823
2015-12-22,1023,55,203,7,2,50,2,572,821
2015-12-23,1024,41,177,6,2,57,2,683,673
2015-12-24,875,32,183,3,1,18,3,865,608
2015-12-25,995,30,178,2,0,30,1,589,549
2015-12-26,927,34,199,7,5,33,6,681,690
2015-12-27,1077,53,175,5,0,45,5,798,656
2015-12-28,1259,50,193,6,1,38,3,738,804
2015-12-29,995,59,270,15,3,33,2,739,756
2015-12-30,957,36,250,4,3,24,2,686,990
2015-12-31,1050,59,175,4,3,59,1,565,808
2016-01-01,1107,51,212,4,6,25,18,577,861
2016-01-02,1230,55,220,5,3,32,2,657,1484
2016-01-03,1105,40,249,5,4,41,2,715,1201
2016-01-04,1096,64,241,12,1,39,6,667,1177
2016-01-05,1075,44,213,13,5,32,2,602,1064
2016-01-06,944,61,220,9,4,19,4,550,1173
2016-01-07,942,50,257,8,8,34,3,556,1072
2016-01-08,1208,42,211,4,5,32,2,554,903
2016-01-09,1133,63,208,9,4,37,3,891,846
2016-01-10,1212,61,176,2,2,21,7,586,1002
2016-01-11,1351,40,214,9,15,34,6,590,1182
2016-01-12,1380,63,234,7,6,30,1,511,1162
2016-01-13,1106,58,257,13,7,25,7,507,1134
2016-01-14,969,58,228,8,5,24,3,585,1004
2016-01-15,943,71,212,9,1,66,1,542,898
2016-01-16,1012,60,213,14,4,25,3,535,688
2016-01-17,1252,60,174,7,5,34,4,608,947
2016-01-18,1216,51,235,15,4,30,6,583,1047
2016-01-19,987,59,202,15,4,18,3,500,1068
2016-01-20,959,65,212,23,2,24,5,529,1122
2016-01-21,871,43,383,9,8,96,3,567,1202
2016-01-22,822,63,249,8,5,35,11,535,963
2016-01-23,961,65,204,5,3,41,4,571,744
2016-01-24,954,72,193,12,1,36,3,647,1016
2016-01-25,949,82,211,5,2,25,1,551,1326
2016-01-26,847,53,215,11,0,32,4,595,1266
2016-01-27,926,52,199,9,5,16,4,510,1152
2016-01-28,852,57,199,14,5,31,8,539,1132
2016-01-29,816,42,197,6,2,24,6,454,1189
2016-01-30,1502,59,204,11,1,33,5,547,732
2016-01-31,1040,78,229,8,3,33,3,607,915
2016-02-01,921,120,230,11,6,39,2,587,1157
2016-02-02,816,96,205,37,5,28,2,564,989
2016-02-03,880,45,262,12,2,45,2,515,1184
2016-02-04,902,63,244,8,8,82,2,497,1032
2016-02-05,905,70,229,8,5,39,4,572,937
2016-02-06,917,62,202,3,8,32,4,565,658
2016-02-07,974,53,238,18,5,37,1,570,837
2016-02-08,838,53,236,9,5,43,6,529,1032
2016-02-09,884,74,235,7,6,35,2,468,1097
2016-02-10,789,58,229,12,4,23,6,489,1083
2016-02-11,817,63,206,4,8,34,5,496,1106
2016-02-12,904,62,237,8,4,30,3,446,1025
2016-02-13,918,77,210,5,3,33,1,502,717
2016-02-14,885,59,167,11,2,26,1,571,905
2016-02-15,1124,51,659,15,1,31,4,598,1072
2016-02-16,859,54,281,5,5,37,3,541,1067
2016-02-17,1356,43,210,14,2,26,5,483,1174
2016-02-18,952,38,251,97,1,31,2,461,1061
2016-02-19,902,55,266,45,5,37,4,497,961
2016-02-20,950,55,161,7,3,120,3,530,816
2016-02-21,992,65,194,10,3,53,0,595,1023
2016-02-22,1262,51,248,6,3,28,5,513,1354
2016-02-23,965,52,232,11,5,33,5,442,1201
2016-02-24,890,45,270,11,3,27,2,503,1156
2016-02-25,884,49,264,25,1,29,3,492,1261
2016-02-26,912,60,216,9,5,35,5,432,1028
2016-02-27,918,64,370,15,3,41,2,485,781
2016-02-28,957,118,278,7,9,21,7,509,917
2016-02-29,975,68,277,5,4,38,4,488,1208
2016-03-01,840,88,279,9,2,81,4,480,1350
2016-03-02,855,69,259,13,5,26,3,499,1370
2016-03-03,823,61,246,7,5,41,4,478,1274
2016-03-04,878,71,314,6,8,52,9,501,1082
2016-03-05,894,52,227,2,3,42,2,497,874
2016-03-06,1023,67,253,9,0,38,2,581,1057
2016-03-07,1049,44,230,8,3,46,3,512,1450
2016-03-08,844,63,219,8,7,32,4,510,1532
2016-03-09,833,48,213,6,0,36,0,467,1378
2016-03-10,789,74,192,9,3,36,2,500,1387
2016-03-11,772,79,223,6,2,34,3,459,1180
2016-03-12,800,88,232,6,2,42,3,504,911
2016-03-13,935,83,230,11,8,75,2,560,1161
2016-03-14,1119,74,269,6,3,70,4,502,1427
2016-03-15,841,115,220,9,3,70,0,489,1434
2016-03-16,833,229,220,14,4,30,6,490,1378
2016-03-17,799,172,227,21,4,60,1,459,1271
2016-03-18,835,115,204,8,5,45,1,433,1071
2016-03-19,948,82,159,7,4,80,2,470,716
2016-03-20,902,75,220,4,1,35,1,505,945
2016-03-21,942,73,249,11,2,52,6,530,1377
2016-03-22,869,51,190,8,4,29,0,477,1605
2016-03-23,810,44,239,7,5,32,2,499,1409
2016-03-24,811,58,216,2,6,31,4,507,1233
2016-03-25,951,48,281,5,0,32,1,470,1122
2016-03-26,879,72,194,9,1,38,2,486,871
2016-03-27,926,66,217,4,2,57,2,501,990
2016-03-28,995,78,195,6,2,40,0,474,1278
2016-03-29,957,62,202,11,1,28,10,495,1297
2016-03-30,894,62,216,8,7,38,2,439,1198
2016-03-31,762,54,233,29,6,49,1,444,1296
2016-04-01,917,60,202,21,7,45,2,475,1069
2016-04-02,854,60,209,13,3,31,5,507,832
2016-04-03,1144,69,225,5,6,47,5,507,1027
2016-04-04,1148,74,240,6,3,60,5,455,1455
2016-04-05,1138,62,255,9,0,53,4,415,1447
2016-04-06,1037,60,222,16,3,64,2,455,1340
2016-04-07,1104,36,268,6,5,37,1,425,1319
2016-04-08,1000,55,252,8,3,30,1,406,1243
2016-04-09,1063,62,214,8,5,31,2,543,946
2016-04-10,1149,82,185,6,1,28,3,537,1237
2016-04-11,1096,67,243,11,5,30,3,539,2212
2016-04-12,991,58,289,9,11,42,3,469,5295
2016-04-13,946,51,263,13,3,40,2,439,2101
2016-04-14,869,50,299,5,9,33,3,457,1667
2016-04-15,913,61,256,13,2,27,3,434,1345
2016-04-16,874,50,225,6,1,55,7,509,937
2016-04-17,1044,60,297,3,6,45,14,529,1032
2016-04-18,1028,57,346,11,7,28,10,486,1628
2016-04-19,958,66,339,11,3,38,2,451,1515
2016-04-20,937,51,235,6,5,22,4,419,1445
2016-04-21,852,63,289,4,3,57,6,403,1414
2016-04-22,866,59,198,6,3,25,3,441,1089
2016-04-23,945,52,176,5,1,24,5,524,776
2016-04-24,1057,80,195,9,6,35,2,493,1108
2016-04-25,1062,56,240,13,2,50,2,480,1506
2016-04-26,1170,75,223,165,6,39,5,442,1547
2016-04-27,985,67,202,148,2,45,3,514,1671
2016-04-28,871,55,212,59,2,28,7,478,2152
2016-04-29,939,36,225,71,8,26,4,471,1986
2016-04-30,1527,47,152,52,1,25,2,473,1363
2016-05-01,1229,78,173,6,2,26,3,482,1738
2016-05-02,1043,50,229,51,5,28,2,494,2185
2016-05-03,1018,74,280,89,2,44,126,420,2111
2016-05-04,857,65,4399,48,2,35,284,414,1888
2016-05-05,797,58,448,184,7,33,382,456,1846
2016-05-06,1214,67,504,10,0,34,373,451,1787
2016-05-07,888,70,267,29,2,206,322,498,1078
2016-05-08,1000,65,238,7,3,54,493,557,1291
2016-05-09,1151,63,392,33,4,33,658,522,1839
2016-05-10,964,54,299,12,0,40,706,516,1641
2016-05-11,1032,61,247,5,2,51,736,410,1757
2016-05-12,875,68,250,10,5,51,641,439,1631
2016-05-13,991,57,204,7,3,84,572,460,1284
2016-05-14,855,72,259,6,1,54,492,434,1040
2016-05-15,1119,59,238,9,1,70,490,481,1559
2016-05-16,1235,72,305,26,7,60,727,495,2624
2016-05-17,1074,71,243,10,3,42,668,447,2002
2016-05-18,896,65,242,8,3,15,627,454,1503
2016-05-19,817,61,354,6,3,43,492,417,1498
2016-05-20,900,64,263,12,4,101,507,442,1204
2016-05-21,899,63,207,9,10,52,347,503,905
2016-05-22,933,73,214,6,2,73,450,598,1012
2016-05-23,1150,56,308,13,2,38,570,479,1337
2016-05-24,1053,60,225,25,2,39,608,486,1340
2016-05-25,1026,58,241,14,5,40,646,387,1312
2016-05-26,903,68,243,5,2,41,510,433,1098
2016-05-27,958,54,326,8,3,29,581,434,935
2016-05-28,988,61,193,15,1,22,461,522,701
2016-05-29,968,65,276,4,2,45,472,664,840
2016-05-30,980,63,350,9,3,58,464,608,1061
2016-05-31,854,56,338,14,2,52,497,655,1109
2016-06-01,921,48,554,21,5,31,524,581,1140
2016-06-02,865,48,249,12,1,30,634,589,1080
2016-06-03,939,84,227,8,2,46,581,569,1014
2016-06-04,899,43,227,8,9,38,472,483,744
2016-06-05,1001,61,234,5,7,25,596,521,859
2016-06-06,1008,44,270,12,3,31,704,428,1113
2016-06-07,850,54,264,110,5,50,637,505,1058
2016-06-08,861,51,260,53,1,37,656,517,1223
2016-06-09,826,51,256,13,3,96,585,453,1145
2016-06-10,907,64,231,5,4,51,555,479,818
2016-06-11,836,44,169,7,5,72,442,406,682
2016-06-12,947,58,205,10,3,40,515,539,783
2016-06-13,833,57,511,7,3,55,831,505,917
2016-06-14,916,51,320,6,3,66,593,560,1002
2016-06-15,759,54,313,34,0,33,536,535,890
2016-06-16,787,61,380,9,0,40,508,595,855
2016-06-17,969,56,264,22,4,45,439,574,829
2016-06-18,839,57,216,14,0,75,417,509,658
2016-06-19,957,51,225,4,1,48,501,563,703
2016-06-20,964,56,240,9,3,50,546,566,811
2016-06-21,918,66,285,70,2,27,534,562,758
2016-06-22,819,70,228,6,5,31,532,491,779
2016-06-23,969,53,372,41,1,26,461,507,803
2016-06-24,951,63,253,12,8,17,433,510,838
2016-06-25,974,58,242,11,6,56,361,513,640
2016-06-26,1024,49,234,8,0,29,489,537,655
2016-06-27,897,41,216,17,4,48,515,525,693
2016-06-28,965,72,217,58,1,29,529,546,697
2016-06-29,1111,52,226,197,3,45,478,528,716
2016-06-30,987,64,243,15,2,37,484,514,714
2016-07-01,1060,51,231,5,3,74,418,498,733
2016-07-02,860,52,208,10,2,38,408,475,558
2016-07-03,1003,43,222,11,1,34,443,587,640
2016-07-04,1004,62,262,8,6,52,422,780,887
2016-07-05,849,48,250,12,7,22,440,733,745
2016-07-06,823,59,260,29,2,27,475,534,740
2016-07-07,780,52,278,14,3,23,426,496,958
2016-07-08,846,69,242,7,2,19,414,528,776
2016-07-09,829,69,207,11,4,28,407,518,738
2016-07-10,1225,83,217,7,2,30,491,528,795
2016-07-11,940,94,248,4,4,51,487,555,799
2016-07-12,1058,121,251,15,4,32,524,535,833
2016-07-13,946,132,204,11,2,29,435,514,928
2016-07-14,805,123,201,11,3,26,434,532,1045
2016-07-15,982,183,223,5,5,37,403,531,782
2016-07-16,961,136,170,3,1,30,415,488,671
2016-07-17,935,133,203,14,5,34,542,489,782
2016-07-18,1092,128,239,64,1,43,445,829,845
2016-07-19,1075,122,189,14,4,23,508,600,843
2016-07-20,1105,129,322,67,1,24,567,563,741
2016-07-21,985,128,226,19,3,48,493,527,732
2016-07-22,913,145,225,10,5,23,445,586,626
2016-07-23,892,135,193,23,7,18,414,524,618
2016-07-24,1043,100,200,18,4,31,541,520,820
2016-07-25,994,116,252,9,3,47,502,633,1039
2016-07-26,957,111,272,11,0,29,493,510,2320
2016-07-27,929,92,290,6,4,31,554,515,2752
2016-07-28,812,87,263,6,5,32,432,490,1592
2016-07-29,1055,112,220,5,6,34,483,543,1317
2016-07-30,879,99,225,9,7,28,389,577,1045
2016-07-31,953,104,223,3,2,44,495,568,1087
2016-08-01,1200,97,235,13,3,43,480,610,987
2016-08-02,1094,99,285,12,7,23,498,483,880
2016-08-03,959,89,249,9,7,37,496,528,888
2016-08-04,946,91,228,11,3,21,492,514,904
2016-08-05,1014,70,234,10,29,32,479,541,833
2016-08-06,774,78,174,6,11,42,380,483,761
2016-08-07,973,96,265,4,27,50,525,511,728
2016-08-08,923,102,270,8,6,29,437,527,751
2016-08-09,911,89,303,13,7,41,483,571,793
2016-08-10,855,92,221,17,7,30,447,535,918
2016-08-11,897,80,242,12,6,29,431,506,784
2016-08-12,896,88,209,6,5,16,520,443,754
2016-08-13,818,74,177,13,4,27,448,528,622
2016-08-14,977,86,214,7,5,33,506,446,736
2016-08-15,940,88,238,11,3,24,503,530,805
2016-08-16,803,85,233,8,3,22,706,512,801
2016-08-17,874,93,215,14,2,22,763,441,857
2016-08-18,824,83,211,15,2,47,788,524,856
2016-08-19,1046,71,203,9,4,27,528,458,646
2016-08-20,2065,73,180,4,3,55,493,457,658
2016-08-21,1577,100,260,10,11,46,694,540,689
2016-08-22,1257,57,252,11,15,28,673,521,754
2016-08-23,1215,56,289,20,15,42,750,497,931
2016-08-24,985,61,466,9,5,24,685,451,792
2016-08-25,1051,88,403,7,8,39,645,447,713
2016-08-26,1042,77,364,11,3,36,616,492,677
2016-08-27,988,78,245,12,8,46,546,563,566
2016-08-28,1179,75,237,6,8,36,783,574,713
2016-08-29,1081,56,282,10,2,29,807,607,828
2016-08-30,955,66,282,8,5,50,827,625,819
2016-08-31,916,67,209,7,5,25,885,515,743
2016-09-01,913,68,239,9,5,35,818,534,746
2016-09-02,1011,53,261,4,5,30,788,507,706
2016-09-03,913,77,221,11,7,34,538,504,605
2016-09-04,951,62,217,7,3,27,733,525,700
2016-09-05,1123,68,237,5,2,27,853,634,972
2016-09-06,935,68,267,6,13,39,972,489,797
2016-09-07,935,57,279,7,15,33,1016,506,823
2016-09-08,765,48,265,15,17,40,972,573,840
2016-09-09,844,73,236,3,18,34,939,481,750
2016-09-10,903,72,228,14,16,38,614,572,631
2016-09-11,958,57,266,4,10,17,843,553,767
2016-09-12,997,58,280,10,5,49,910,604,861
2016-09-13,877,34,268,14,8,53,1078,484,867
2016-09-14,785,63,251,10,6,43,1306,503,851
2016-09-15,861,64,248,5,18,43,1150,452,902
2016-09-16,1065,71,223,10,3,39,912,500,767
2016-09-17,984,62,240,7,8,62,729,511,835
2016-09-18,1131,81,246,7,7,37,969,515,969
2016-09-19,1157,75,289,4,9,48,1121,532,996
2016-09-20,932,67,222,14,7,27,1190,465,1029
2016-09-21,861,87,235,11,2,33,1154,470,947
2016-09-22,1161,174,451,13,8,694,1064,516,2226
2016-09-23,894,59,228,13,9,111,1010,431,1831
2016-09-24,914,86,200,7,2,39,659,479,1025
2016-09-25,949,114,191,10,6,37,897,537,1015
2016-09-26,1060,83,233,9,12,48,1240,490,1151
2016-09-27,889,63,211,5,11,32,1083,446,1110
2016-09-28,973,77,272,11,4,32,1148,502,1325
2016-09-29,911,63,282,11,4,18,1160,501,1140
2016-09-30,857,57,222,3,50,24,1027,460,1096
2016-10-01,1127,62,233,12,87,36,712,524,817
2016-10-02,931,57,238,8,64,37,1047,552,872
2016-10-03,1087,80,303,7,119,35,1246,480,1023
2016-10-04,964,44,257,6,112,46,1252,470,1012
2016-10-05,1006,48,241,31,84,25,1251,429,984
2016-10-06,898,42,253,7,92,34,1107,399,1000
2016-10-07,903,76,252,59,77,33,917,413,893
2016-10-08,973,52,212,62,81,52,683,461,638
2016-10-09,1028,52,231,62,68,38,932,468,771
2016-10-10,1106,64,232,32,77,57,1146,442,936
2016-10-11,982,45,256,20,66,42,1147,438,951
2016-10-12,917,50,232,14,77,32,1151,409,1026
2016-10-13,827,54,249,16,78,42,1274,537,1111
2016-10-14,927,60,235,18,88,39,1053,449,930
2016-10-15,980,54,212,15,68,31,705,452,760
2016-10-16,1105,78,232,16,56,36,998,476,912
2016-10-17,1456,74,251,21,82,36,1329,470,1107
2016-10-18,1072,78,294,49,101,29,1252,509,1112
2016-10-19,1092,62,301,16,84,21,1292,461,1168
2016-10-20,826,55,250,22,89,29,1121,671,1141
2016-10-21,863,64,247,20,68,39,1048,653,794
2016-10-22,5934,51,240,32,79,59,789,584,715
2016-10-23,1449,70,600,65,72,31,1132,584,792
2016-10-24,1326,78,336,34,96,31,1442,607,1164
2016-10-25,2481,53,478,14,88,53,1527,637,1154
2016-10-26,1355,63,1180,17,86,42,1548,522,1338
2016-10-27,1173,40,420,17,89,42,1696,546,1417
2016-10-28,1081,53,308,17,105,35,1968,473,1393
2016-10-29,1029,120,217,13,104,55,1850,494,1068
2016-10-30,1261,162,217,40,109,39,4528,687,1194
2016-10-31,1046,143,246,94,77,34,19050,529,1355
2016-11-01,1059,138,241,113,87,34,5766,574,1926
2016-11-02,1398,302,277,136,101,50,2323,537,4902
2016-11-03,923,147,230,111,79,72,1744,536,2807
2016-11-04,1290,126,256,91,55,87,1275,574,1624
2016-11-05,1324,140,204,98,14,181,1083,498,1126
2016-11-06,1406,132,266,97,17,306,1180,574,1375
2016-11-07,1307,157,313,120,16,127,1348,556,1494
2016-11-08,1044,125,282,92,29,87,1213,561,1354
2016-11-09,833,95,163,81,15,57,950,355,1185
2016-11-10,987,128,241,103,16,71,1074,465,1195
2016-11-11,940,130,247,71,15,81,891,505,1144
2016-11-12,1065,150,317,84,11,76,791,677,973
2016-11-13,1182,120,265,96,15,58,970,601,1107
2016-11-14,1289,176,257,129,19,44,1212,584,1262
2016-11-15,1115,123,275,87,20,125,1190,582,1382
2016-11-16,1099,126,263,89,12,76,1301,843,1377
2016-11-17,1016,114,332,80,13,46,1233,562,1510
2016-11-18,1036,124,314,108,15,67,969,520,1178
2016-11-19,1061,145,243,92,24,124,764,604,1006
2016-11-20,1240,166,292,109,14,75,980,609,1149
2016-11-21,1187,149,319,95,10,54,1289,553,1295
2016-11-22,1082,126,318,84,15,39,1070,526,1283
2016-11-23,1169,125,272,89,14,45,928,550,1040
2016-11-24,1283,129,250,134,10,38,672,508,1043
2016-11-25,1671,141,353,129,11,28,677,664,894
2016-11-26,1934,97,270,116,15,78,709,636,912
2016-11-27,2234,74,258,79,15,73,1090,703,972
2016-11-28,2382,71,310,106,11,43,1127,712,1265
2016-11-29,4059,63,302,108,21,35,1164,649,1366
2016-11-30,7478,55,290,96,11,26,1268,697,1547
2016-12-01,3808,63,287,84,14,26,1309,655,1296
2016-12-02,2534,52,264,99,15,34,1058,651,1059
2016-12-03,2594,78,235,109,16,31,809,710,940
2016-12-04,2863,76,279,88,23,65,1123,684,1038
