Date,"Gudovac massacre","Little Nemo (1911 film)","St Cuthbert Gospel","Clathrus ruber","James Moore (Continental Army officer)","Temperatures Rising","Battle of the Coral Sea","Wolfenstein 3D","Saint Luke Drawing the Virgin"
2016-12-16,16,59,67,75,26,32,981,588,39
2016-12-17,25,49,49,58,20,43,782,596,32
2016-12-18,17,35,59,51,19,38,802,600,22
2016-12-19,13,48,55,42,14,33,1040,816,31
2016-12-20,9,51,53,54,18,32,952,623,36
2016-12-21,15,53,39,59,24,40,941,592,16
2016-12-22,18,35,30,46,24,42,853,600,14
2016-12-23,19,54,48,38,19,34,752,606,17
2016-12-24,9,31,33,43,13,30,614,550,20
2016-12-25,14,48,34,117,15,24,1220,588,22
2016-12-26,17,205,37,218,262,322,766,755,522
2016-12-27,7,40,68,60,17,43,1028,681,16
2016-12-28,12,32,1106,92,29,34,967,662,36
2016-12-29,23,57,37,82,40,36,854,669,23
2016-12-30,13,26,38,44,293,32,768,644,19
2016-12-31,6,41,45,46,14,37,673,585,17
2017-01-01,11,44,55,70,18,242,742,631,17
2017-01-02,20,36,43,54,8,23,829,676,14
2017-01-03,14,50,46,78,13,25,1006,698,31
2017-01-04,10,46,41,95,17,36,1002,663,35
2017-01-05,18,57,54,158,29,42,1061,704,37
2017-01-06,15,66,47,168,16,47,1010,649,32
2017-01-07,15,41,53,63,16,32,793,608,15
2017-01-08,19,60,40,90,30,65,1001,640,27
2017-01-09,14,47,31,82,17,39,1307,639,15
2017-01-10,11,63,45,73,21,39,1067,777,24
2017-01-11,9,61,46,40,25,32,1247,690,31
2017-01-12,34,58,54,45,26,42,1275,679,37
2017-01-13,11,41,36,47,33,48,1073,706,39
2017-01-14,11,52,41,54,18,36,883,626,26
2017-01-15,13,44,45,70,23,46,962,683,29
2017-01-16,13,52,60,72,29,42,976,809,41
2017-01-17,17,58,56,53,29,36,1172,784,40
2017-01-18,14,69,66,108,24,28,1149,729,25
2017-01-19,14,55,47,89,19,60,1120,665,40
2017-01-20,18,37,38,80,14,48,1148,580,48
2017-01-21,17,48,40,112,19,43,704,608,30
2017-01-22,19,43,63,131,17,85,832,722,43
2017-01-23,18,58,56,135,18,39,1261,694,44
2017-01-24,13,48,43,110,19,34,1230,665,32
2017-01-25,8,59,51,93,44,43,1198,621,51
2017-01-26,21,70,50,84,21,47,1234,604,57
2017-01-27,19,44,41,84,14,54,1071,663,25
2017-01-28,30,54,40,66,28,41,749,542,31
2017-01-29,26,67,31,65,17,40,873,608,28
2017-01-30,30,47,34,46,21,39,1269,682,37
2017-01-31,13,64,35,80,12,28,1692,643,42
2017-02-01,15,64,45,55,25,36,1249,585,66
2017-02-02,9,61,37,52,18,22,1328,728,67
2017-02-03,10,57,33,37,18,22,1163,611,26
2017-02-04,35,58,35,45,24,109,914,583,27
2017-02-05,20,46,40,56,21,51,1107,574,45
2017-02-06,16,62,47,62,17,44,1404,600,62
2017-02-07,35,66,38,39,33,46,1632,809,57
2017-02-08,26,69,54,72,31,54,1393,724,66
2017-02-09,23,56,46,82,18,30,1554,744,63
2017-02-10,11,80,56,66,32,37,1469,743,51
2017-02-11,13,62,35,69,14,55,885,605,45
2017-02-12,26,64,44,54,21,37,1018,660,49
2017-02-13,17,71,48,57,15,33,1479,677,66
2017-02-14,22,58,42,48,19,33,1413,675,61
2017-02-15,23,74,67,68,28,56,1669,709,51
2017-02-16,16,70,58,122,17,48,1522,704,62
2017-02-17,12,54,45,66,22,27,1351,670,28
2017-02-18,40,73,46,110,14,23,797,608,33
2017-02-19,19,62,46,133,19,30,1086,676,54
2017-02-20,15,50,51,66,14,44,1173,667,52
2017-02-21,9,47,47,63,20,31,1736,601,61
2017-02-22,18,53,37,60,22,38,1669,592,77
2017-02-23,16,65,43,119,23,39,1895,567,44
2017-02-24,27,48,35,82,20,50,1559,586,40
2017-02-25,22,45,32,163,16,36,893,564,34
2017-02-26,29,61,52,115,23,42,1185,573,56
2017-02-27,18,49,34,83,50,39,1841,514,47
2017-02-28,29,52,54,172,21,39,1865,787,67
2017-03-01,24,63,57,118,23,40,1723,676,74
2017-03-02,11,65,43,86,26,37,1826,745,81
2017-03-03,13,45,39,68,20,45,1722,622,52
2017-03-04,23,59,50,46,14,48,997,556,39
2017-03-05,15,58,32,210,19,83,1102,647,26
2017-03-06,12,55,38,158,17,47,1876,717,42
2017-03-07,16,61,47,132,33,48,2101,717,45
2017-03-08,22,70,53,144,25,54,1927,726,51
2017-03-09,13,41,61,89,19,50,1750,672,42
2017-03-10,22,55,41,128,34,54,1652,831,45
2017-03-11,17,54,28,88,20,57,881,640,37
2017-03-12,12,55,38,90,24,51,997,621,39
2017-03-13,20,50,49,91,35,49,1700,727,62
2017-03-14,20,48,45,66,18,42,1809,748,47
2017-03-15,9,59,45,66,36,53,1698,639,43
2017-03-16,20,39,104,57,22,30,1950,654,39
2017-03-17,23,42,94,76,19,30,1381,723,22
2017-03-18,18,49,66,75,24,38,852,645,34
2017-03-19,19,46,69,88,19,27,1052,646,42
2017-03-20,8,45,157,116,10,29,1770,711,49
2017-03-21,21,54,98,97,21,41,1825,699,101
2017-03-22,19,62,73,273,19,26,2031,674,48
2017-03-23,29,60,98,128,21,44,1944,723,46
2017-03-24,14,44,95,113,16,24,1576,630,40
2017-03-25,24,48,88,181,24,39,830,594,32
2017-03-26,15,56,76,167,13,26,1090,574,43
2017-03-27,18,51,54,134,21,51,1626,657,49
2017-03-28,21,55,68,148,19,36,1681,643,45
2017-03-29,21,57,55,107,48,34,1717,659,51
2017-03-30,19,62,69,134,31,33,1622,623,42
2017-03-31,17,43,63,118,14,34,1669,644,40
2017-04-01,19,39,51,92,16,34,768,564,31
2017-04-02,23,51,61,78,16,33,1001,628,33
2017-04-03,10,59,46,114,12,41,1574,611,25
2017-04-04,17,50,64,79,14,36,1733,601,32
2017-04-05,12,48,74,104,17,34,1441,633,38
2017-04-06,98,42,54,76,16,41,1785,655,44
2017-04-07,24,46,44,77,18,41,1483,578,42
2017-04-08,13,72,42,108,18,42,786,598,30
2017-04-09,17,51,51,89,9,38,1008,581,29
2017-04-10,31,66,77,73,20,45,1643,664,34
2017-04-11,19,37,49,111,16,44,1797,617,34
2017-04-12,14,51,76,83,18,37,1486,613,40
2017-04-13,27,49,57,150,18,38,1399,662,51
2017-04-14,14,34,60,93,13,33,987,561,34
2017-04-15,15,36,51,131,20,35,816,753,40
2017-04-16,47,54,84,188,24,41,951,957,41
2017-04-17,124,75,107,97,25,39,1585,668,35
2017-04-18,50,90,107,107,30,37,2076,661,31
2017-04-19,39,78,89,119,47,43,2044,724,17
2017-04-20,35,60,96,118,46,42,1845,728,59
2017-04-21,37,71,77,66,15,44,1715,655,33
2017-04-22,45,59,72,77,24,51,1027,651,69
2017-04-23,23,44,49,74,30,46,1255,630,37
2017-04-24,27,78,98,123,29,31,2068,696,50
2017-04-25,35,65,71,113,27,28,3185,755,57
2017-04-26,70,57,53,99,27,38,3987,683,32
2017-04-27,296,71,54,119,37,27,2487,789,45
2017-04-28,48115,316,78,91,22,33,1973,693,28
2017-04-29,7061,30381,276,126,23,32,1238,571,21
2017-04-30,4258,6004,29111,307,27,45,5233,580,30
2017-05-01,3734,5319,6368,29822,175,42,8661,745,47
2017-05-02,563,3808,3177,4430,28304,210,3712,712,43
2017-05-03,347,507,2124,2052,5365,30909,6612,669,69
2017-05-04,217,262,412,1469,2853,6290,85377,942,71
2017-05-05,188,217,288,398,2441,3309,57440,67393,250
2017-05-06,179,224,322,298,254,1876,14965,10623,26279
2017-05-07,160,223,269,266,207,579,10038,5941,6477
2017-05-08,144,160,220,242,166,353,6251,5250,4766
2017-05-09,104,129,161,234,111,267,4115,1406,3123
2017-05-10,103,116,183,220,85,212,3157,1209,520
2017-05-11,86,103,140,168,90,180,2572,1034,339
2017-05-12,89,94,141,188,56,152,2030,970,266
2017-05-13,66,106,140,144,64,155,1434,837,259
2017-05-14,68,91,128,156,48,127,1738,836,204
2017-05-15,71,110,138,151,60,137,1955,923,193
2017-05-16,48,91,102,167,58,113,1893,802,134
2017-05-17,47,89,109,132,56,78,1741,840,114
2017-05-18,42,67,97,191,57,119,1899,934,125
2017-05-19,47,98,93,187,38,71,2419,846,95
2017-05-20,50,56,113,147,36,89,1157,791,101
2017-05-21,50,71,112,143,54,86,1167,796,314
2017-05-22,50,70,118,135,36,81,1641,818,68
2017-05-23,42,64,80,149,51,92,1389,717,79
2017-05-24,49,62,75,188,35,76,1504,680,62
2017-05-25,42,43,84,173,34,65,1356,697,91
2017-05-26,31,70,72,157,42,57,1184,638,109
2017-05-27,32,64,70,109,21,59,985,760,61
2017-05-28,43,83,65,136,26,76,1056,846,77
2017-05-29,34,75,86,118,44,60,2544,771,81
2017-05-30,50,85,73,162,58,82,1748,714,57
2017-05-31,29,64,91,135,42,69,2092,663,63
2017-06-01,42,52,72,109,24,61,1442,734,59
2017-06-02,26,59,87,100,28,61,1312,703,68
2017-06-03,18,51,63,117,31,44,1402,442,37
2017-06-04,22,49,62,184,25,61,2162,477,56
2017-06-05,23,43,55,100,13,65,2444,575,55
2017-06-06,21,47,68,102,26,46,1835,546,57
2017-06-07,25,60,60,114,36,53,1607,558,291
2017-06-08,27,54,37,114,28,43,1202,544,97
2017-06-09,21,49,55,124,16,52,1009,490,56
2017-06-10,16,38,51,120,24,34,806,567,48
2017-06-11,28,60,50,118,30,50,967,533,38
2017-06-12,28,50,53,136,31,52,1046,4095,52
2017-06-13,35,65,76,173,30,73,1079,2266,40
2017-06-14,26,63,59,106,20,41,1019,1757,50
2017-06-15,41,63,55,146,33,32,1014,1722,40
2017-06-16,25,36,59,146,17,42,902,1614,46
2017-06-17,27,52,61,182,30,45,884,1316,46
2017-06-18,26,59,41,166,28,31,903,1465,54
2017-06-19,20,42,44,112,24,36,1004,1332,40
2017-06-20,16,40,48,100,16,45,1180,1007,39
2017-06-21,24,40,61,108,15,46,821,961,51
2017-06-22,28,52,62,152,23,33,897,941,43
2017-06-23,25,53,41,117,27,45,747,946,38
2017-06-24,20,42,47,133,11,44,635,927,51
2017-06-25,23,46,44,194,23,36,782,928,39
2017-06-26,15,45,63,151,12,46,1051,1127,30
2017-06-27,21,34,33,187,13,28,852,963,37
2017-06-28,28,54,68,99,17,41,910,959,48
2017-06-29,36,46,49,62,17,36,811,810,35
2017-06-30,28,46,44,46,26,38,687,750,31
2017-07-01,31,47,46,82,21,49,686,721,26
2017-07-02,22,45,78,103,21,42,726,721,21
2017-07-03,22,38,46,95,38,48,780,832,40
2017-07-04,15,35,48,80,39,45,823,756,27
2017-07-05,11,35,41,89,31,29,807,828,30
2017-07-06,19,48,48,77,29,32,930,651,26
2017-07-07,16,39,45,160,24,48,882,846,35
2017-07-08,14,34,50,78,25,25,666,775,22
2017-07-09,19,43,57,88,35,64,804,757,29
2017-07-10,17,46,38,77,25,37,910,740,32
2017-07-11,23,43,44,85,34,43,854,647,24
2017-07-12,21,45,34,68,22,43,884,673,32
2017-07-13,14,49,50,68,19,48,779,677,15
2017-07-14,23,32,43,74,16,25,846,649,19
2017-07-15,18,51,41,83,20,34,711,879,33
2017-07-16,19,62,55,67,25,41,733,681,28
2017-07-17,15,34,44,77,21,29,742,704,41
2017-07-18,14,46,62,126,24,28,857,705,38
2017-07-19,16,66,52,124,38,37,905,665,38
2017-07-20,15,49,61,87,21,42,962,651,33
2017-07-21,15,44,45,88,16,42,739,666,27
2017-07-22,23,35,40,99,21,33,792,663,18
2017-07-23,14,31,43,148,17,38,871,675,35
2017-07-24,12,43,72,132,17,47,888,719,42
2017-07-25,15,50,56,144,12,22,937,654,27
2017-07-26,25,66,39,135,21,34,838,693,28
2017-07-27,16,44,61,127,21,36,863,1185,29
2017-07-28,15,52,98,148,18,47,767,983,29
2017-07-29,14,37,89,232,19,19,727,906,24
2017-07-30,17,42,60,224,18,30,769,895,25
2017-07-31,19,61,76,285,11,40,771,1012,18
2017-08-01,24,41,59,190,17,28,748,963,27
2017-08-02,16,49,44,339,19,45,829,765,26
2017-08-03,20,39,50,169,28,43,798,832,37
2017-08-04,29,38,65,252,23,37,782,1010,33
2017-08-05,32,53,76,149,29,33,664,1056,35
2017-08-06,16,50,54,128,21,33,758,1047,20
2017-08-07,15,47,63,150,23,50,1266,1047,27
2017-08-08,17,49,63,114,16,28,871,991,28
2017-08-09,22,49,47,132,15,39,1018,833,25
2017-08-10,20,52,56,113,14,42,1019,799,18
2017-08-11,23,39,62,127,35,41,910,750,23
2017-08-12,19,44,56,117,20,28,834,709,26
2017-08-13,22,39,75,122,15,34,843,841,20
2017-08-14,19,58,65,144,20,40,905,832,37
2017-08-15,20,42,63,144,28,39,816,691,29
2017-08-16,16,39,41,121,29,45,762,775,25
2017-08-17,19,39,46,99,20,28,809,664,31
2017-08-18,27,51,59,145,16,42,811,706,26
2017-08-19,17,39,33,165,22,46,634,606,20
2017-08-20,18,49,52,201,14,40,1012,679,16
2017-08-21,16,34,42,171,16,30,1169,624,23
2017-08-22,10,73,61,98,9,35,944,675,17
2017-08-23,15,53,50,112,15,22,844,706,20
2017-08-24,23,44,56,114,29,43,1226,678,32
2017-08-25,7,50,34,133,19,29,1003,748,26
2017-08-26,9,39,35,234,23,33,706,698,23
2017-08-27,18,45,56,990,38,37,824,726,25
2017-08-28,11,54,41,215,20,31,851,673,21
2017-08-29,14,43,29,160,8,80,830,752,25
2017-08-30,22,123,52,185,28,29,745,741,16
2017-08-31,15,89,55,146,20,26,840,644,29
2017-09-01,22,70,43,120,21,30,663,629,27
2017-09-02,19,71,44,135,25,29,635,574,29
2017-09-03,20,100,50,200,14,37,635,649,27
2017-09-04,18,78,55,180,16,42,794,620,51
2017-09-05,17,43,63,181,15,27,912,639,29
2017-09-06,28,45,35,185,17,49,797,612,26
2017-09-07,14,52,52,194,20,27,893,592,28
2017-09-08,13,39,50,147,7,31,737,611,35
2017-09-09,26,41,47,216,12,37,593,544,18
2017-09-10,20,52,47,131,20,27,637,616,33
2017-09-11,19,44,55,103,18,41,682,609,34
2017-09-12,11,57,47,115,23,41,803,606,23
2017-09-13,22,50,59,202,15,29,714,697,41
2017-09-14,22,38,58,239,22,40,698,1073,54
2017-09-15,22,51,72,220,26,38,640,737,36
2017-09-16,19,45,39,140,12,59,516,614,23
2017-09-17,4,45,31,185,13,38,601,713,19
2017-09-18,19,53,63,143,18,39,739,747,34
2017-09-19,25,45,66,122,19,33,738,843,53
2017-09-20,15,45,56,159,10,19,637,900,73
2017-09-21,7,57,74,175,17,39,647,800,179
2017-09-22,16,45,75,182,18,36,642,790,95
2017-09-23,34,53,33,126,23,32,586,647,45
2017-09-24,19,43,58,193,24,27,614,649,65
2017-09-25,16,59,47,101,13,40,641,680,73
2017-09-26,20,54,37,111,15,42,628,692,64
2017-09-27,18,56,37,93,24,31,666,752,44
2017-09-28,18,82,32,197,17,20,682,720,63
2017-09-29,12,44,49,176,14,42,647,664,44
2017-09-30,7,46,48,168,16,18,507,644,30
2017-10-01,14,46,42,188,16,24,635,715,50
2017-10-02,15,63,60,140,24,32,674,755,50
2017-10-03,10,58,39,102,21,20,802,667,53
2017-10-04,20,56,60,137,21,38,728,686,41
2017-10-05,23,64,54,125,22,34,685,675,44
2017-10-06,15,70,48,111,19,36,621,1901,40
2017-10-07,19,55,40,177,15,33,523,1578,33
2017-10-08,12,44,44,139,13,32,569,1162,45
2017-10-09,21,58,40,170,19,30,806,1103,50
2017-10-10,11,80,39,125,12,23,763,1143,45
2017-10-11,21,88,39,126,25,46,900,1026,46
2017-10-12,17,79,66,162,23,31,898,987,42
2017-10-13,21,93,39,125,23,39,665,862,34
2017-10-14,10,59,38,152,18,38,568,756,26
2017-10-15,31,81,52,206,19,34,683,864,33
2017-10-16,9,87,44,140,15,19,791,1227,71
2017-10-17,18,88,53,148,28,34,799,1287,67
2017-10-18,11,87,47,1074,29,35,788,1215,85
2017-10-19,13,60,56,724,41,43,762,1360,58
2017-10-20,13,50,63,222,47,37,860,1302,39
2017-10-21,33,53,33,176,14,46,705,1153,26
2017-10-22,9,50,39,132,12,39,696,1217,38
2017-10-23,14,47,43,150,11,51,1014,1249,41
2017-10-24,10,57,51,119,18,38,967,1560,54
2017-10-25,17,53,52,130,19,42,914,1645,44
2017-10-26,15,47,40,100,20,42,957,2193,51
2017-10-27,11,41,36,153,29,39,3171,3411,24
2017-10-28,23,60,61,96,22,28,907,3402,41
2017-10-29,23,51,38,97,16,49,815,3401,61
2017-10-30,10,53,43,91,19,36,1163,2855,53
2017-10-31,21,51,30,163,20,51,913,2350,58
2017-11-01,18,49,44,102,23,34,887,2011,50
2017-11-02,10,45,48,106,13,26,1023,2020,37
2017-11-03,13,53,38,84,18,26,974,1882,28
2017-11-04,12,39,36,111,10,27,637,1589,229
2017-11-05,16,49,36,113,22,39,746,1757,23
2017-11-06,15,52,37,358,26,40,878,1579,34
2017-11-07,17,45,46,190,34,41,923,1390,63
2017-11-08,17,44,40,261,25,37,997,1277,38
2017-11-09,16,52,46,229,28,28,922,1172,49
2017-11-10,11,38,43,124,28,48,854,1169,32
2017-11-11,16,33,51,131,23,37,880,1158,22
2017-11-12,16,134,48,151,28,46,1531,1296,23
2017-11-13,31,53,44,176,36,38,1046,1241,57
2017-11-14,23,69,45,110,23,31,993,1263,40
2017-11-15,8,37,48,118,22,42,946,1126,32
2017-11-16,14,66,70,145,19,42,928,1089,62
2017-11-17,22,44,56,164,13,31,811,1020,36
2017-11-18,22,26,45,129,14,18,618,944,32
2017-11-19,15,58,46,151,31,37,621,1060,43
2017-11-20,16,79,43,140,15,51,871,1061,51
2017-11-21,12,61,50,126,17,25,878,1018,29
2017-11-22,18,64,50,82,12,30,789,949,18
2017-11-23,17,48,43,87,20,30,626,1164,24
2017-11-24,21,35,42,88,27,32,713,1241,27
2017-11-25,27,48,50,282,27,27,588,1296,28
2017-11-26,7,54,43,143,19,34,685,1231,24
2017-11-27,18,59,48,135,25,48,1056,1247,46
2017-11-28,17,60,41,400,34,36,960,1192,41
2017-11-29,18,59,45,118,23,26,1021,1016,34
2017-11-30,25,60,53,102,15,26,997,1084,54
2017-12-01,20,52,46,112,18,60,918,1049,52
2017-12-02,127,55,28,85,13,34,625,932,22
2017-12-03,24,51,51,97,7,18,680,927,36
2017-12-04,12,45,66,180,22,41,1054,1064,60
2017-12-05,17,63,51,155,19,27,985,896,35
2017-12-06,13,56,46,158,22,28,1117,892,47
2017-12-07,11,57,38,109,20,40,1440,846,31
2017-12-08,12,341,69,88,15,33,2148,858,37
2017-12-09,18,41,47,103,29,59,743,770,53
2017-12-10,18,51,50,125,22,42,873,824,38
2017-12-11,20,61,53,101,27,42,1565,823,72
2017-12-12,13,75,57,103,27,50,1078,772,53
2017-12-13,21,74,48,79,25,36,1092,782,61
2017-12-14,17,91,46,52,35,38,1063,728,55
2017-12-15,25,52,37,69,16,44,985,679,31
2017-12-16,30,52,39,70,20,72,805,626,28
2017-12-17,19,56,71,98,28,52,744,709,47
2017-12-18,171,55,46,191,24,44,1006,677,41
2017-12-19,14,51,63,93,27,36,934,671,31
2017-12-20,15,47,54,92,23,44,883,745,23
2017-12-21,55,164,37,83,5,29,1033,705,31
2017-12-22,9,29,43,164,5,26,785,705,22
2017-12-23,9,33,43,252,13,31,541,674,22
2017-12-24,8,30,38,99,12,30,554,672,18
2017-12-25,12,31,45,86,16,30,652,741,31
2017-12-26,20,42,45,81,24,65,693,807,20
2017-12-27,24,38,47,74,66,36,738,932,34
2017-12-28,24,42,51,60,32,38,712,918,21
2017-12-29,17,48,64,59,17,34,660,854,25
2017-12-30,9,23,50,71,21,26,640,844,20
2017-12-31,21,50,43,66,525,46,681,886,17
2018-01-01,9,35,36,67,20,66,919,746,21
2018-01-02,20,32,43,69,22,56,822,940,25
2018-01-03,11,49,35,41,24,41,862,828,13
2018-01-04,9,44,51,329,23,47,830,778,21
2018-01-05,11,40,38,216,15,32,862,812,34
2018-01-06,16,48,71,205,24,44,718,756,22
2018-01-07,31,47,52,112,19,62,713,760,20
2018-01-08,9,38,38,77,29,53,1153,744,28
2018-01-09,11,46,41,50,19,41,1018,696,24
2018-01-10,14,55,52,131,16,42,984,653,28
2018-01-11,17,41,52,119,34,50,1031,667,35
2018-01-12,9,58,37,102,26,29,904,699,26
2018-01-13,13,53,46,117,19,44,727,670,30
2018-01-14,24,47,60,107,18,58,745,710,40
2018-01-15,26,48,64,67,18,49,867,722,50
2018-01-16,8,49,66,185,17,45,1099,709,29
2018-01-17,17,61,67,96,22,44,955,650,41
2018-01-18,12,53,61,86,28,51,1092,628,23
2018-01-19,15,72,63,89,9,39,1044,649,35
2018-01-20,19,49,45,64,20,38,681,554,28
2018-01-21,11,38,55,58,16,63,740,598,40
2018-01-22,11,44,40,103,12,53,1031,702,44
2018-01-23,11,62,51,93,24,36,1134,679,34
2018-01-24,13,47,52,64,32,36,1193,643,29
2018-01-25,12,49,49,63,27,26,1056,614,34
2018-01-26,13,55,56,69,17,31,1182,595,35
2018-01-27,13,64,45,70,20,27,649,593,29
2018-01-28,17,49,39,81,16,57,847,629,54
2018-01-29,15,54,42,114,23,45,1513,597,67
2018-01-30,14,44,60,83,14,28,1241,702,39
2018-01-31,15,52,45,105,23,36,1145,705,44
2018-02-01,10,60,45,59,45,39,1204,709,38
2018-02-02,13,65,55,58,19,33,1125,570,44
2018-02-03,20,35,35,90,24,74,657,627,24
2018-02-04,18,49,57,80,19,40,817,620,29
2018-02-05,17,43,35,76,21,34,1181,649,40
2018-02-06,15,47,53,64,27,39,1344,578,59
2018-02-07,16,51,49,126,21,29,2423,589,70
2018-02-08,25,77,67,189,21,43,1491,556,48
2018-02-09,10,62,30,103,16,44,1402,547,39
2018-02-10,21,42,40,136,16,36,787,564,36
2018-02-11,13,53,53,150,16,33,965,576,44
2018-02-12,23,62,45,209,18,34,1233,695,49
2018-02-13,17,48,39,142,17,31,1403,571,41
2018-02-14,8,51,45,129,20,36,1304,512,26
2018-02-15,35,65,63,158,22,39,1366,658,61
2018-02-16,17,59,64,133,14,40,1048,669,37
2018-02-17,13,34,37,157,26,58,648,578,56
2018-02-18,14,66,52,159,16,59,877,606,51
2018-02-19,15,42,41,109,18,63,1130,657,42
2018-02-20,15,50,51,148,33,29,1417,656,43
2018-02-21,16,41,47,206,24,55,1490,609,42
2018-02-22,15,62,58,198,36,50,1393,635,58
2018-02-23,12,64,35,198,34,65,1441,602,32
2018-02-24,12,40,56,341,23,30,763,582,30
2018-02-25,26,62,60,223,24,57,908,664,43
2018-02-26,18,73,34,196,19,39,1577,1043,50
2018-02-27,18,76,51,135,354,27,1547,703,47
2018-02-28,10,61,43,124,31,18,1711,720,52
2018-03-01,13,72,44,154,26,45,1612,649,42
2018-03-02,12,42,46,94,24,38,1384,690,35
2018-03-03,22,52,47,67,21,48,753,768,25
2018-03-04,20,52,36,102,23,46,867,767,36
2018-03-05,14,52,40,108,19,38,2547,838,40
2018-03-06,18,275,51,113,21,39,43759,630,45
2018-03-07,12,52,53,92,14,45,17553,668,40
2018-03-08,17,54,44,68,18,35,8257,632,56
2018-03-09,22,45,34,48,16,39,6023,645,30
2018-03-10,9,41,44,88,9,27,3400,636,33
2018-03-11,15,43,46,108,15,42,2998,668,39
2018-03-12,17,54,64,99,15,38,3835,716,43
2018-03-13,11,50,50,100,10,25,3014,733,27
2018-03-14,16,59,62,79,9,36,3151,816,33
2018-03-15,24,46,52,58,17,32,2695,733,37
2018-03-16,21,48,44,49,19,41,2529,705,28
2018-03-17,18,37,43,71,8,32,1571,732,31
2018-03-18,13,39,45,85,12,45,1647,773,34
2018-03-19,13,47,66,92,18,44,1868,777,27
2018-03-20,11,43,168,68,16,31,1981,756,31
2018-03-21,18,55,67,85,21,41,1907,681,45
2018-03-22,13,55,53,134,11,48,1706,627,27
2018-03-23,15,42,47,119,17,40,1568,730,36
2018-03-24,148,49,100,103,18,35,857,632,22
2018-03-25,17,54,67,87,22,43,1070,616,42
2018-03-26,13,35,61,151,33,34,1615,783,34
2018-03-27,13,31,64,91,39,36,1616,676,37
2018-03-28,63,182,50,99,21,41,1691,675,31
2018-03-29,9,38,25,120,16,30,1407,747,32
2018-03-30,15,31,49,226,18,36,1077,744,33
2018-03-31,22,29,37,124,5,29,810,731,33
2018-04-01,17,47,53,118,19,30,909,686,36
2018-04-02,13,52,65,92,17,42,1281,749,35
2018-04-03,15,47,53,74,20,41,1540,675,42
2018-04-04,8,38,49,73,17,46,1462,649,37
2018-04-05,14,37,46,91,19,35,1486,685,30
2018-04-06,21,51,63,83,25,44,1280,661,27
2018-04-07,9,55,39,127,21,30,790,664,18
2018-04-08,12,39,61,108,14,32,987,711,32
2018-04-09,18,54,44,75,20,48,1709,722,41
2018-04-10,20,52,56,109,19,43,1625,673,45
2018-04-11,20,43,54,145,17,45,1763,691,35
2018-04-12,16,62,66,125,20,59,1825,710,29
2018-04-13,23,47,68,353,10,38,1579,627,49
2018-04-14,19,47,40,273,24,118,848,572,35
2018-04-15,9,45,40,179,19,53,996,628,31
2018-04-16,9,30,112,132,14,55,1842,666,39
2018-04-17,24,38,77,115,14,43,1875,595,35
2018-04-18,6,34,49,122,7,50,1672,595,40
2018-04-19,12,40,38,100,31,51,1837,615,30
2018-04-20,20,36,70,80,14,30,1439,649,22
2018-04-21,10,30,33,101,16,27,760,564,18
2018-04-22,21,32,36,132,22,38,1048,637,35
2018-04-23,10,44,71,97,20,52,1551,640,32
2018-04-24,14,39,47,95,9,34,1721,688,24
2018-04-25,15,36,56,121,18,56,1812,637,48
2018-04-26,31,37,30,130,49,30,1483,625,35
2018-04-27,61,27,68,311,17,28,1384,503,26
2018-04-28,2750,29,48,180,18,29,771,538,21
2018-04-29,101,38,50,129,14,34,917,505,20
2018-04-30,39,42,42,100,18,55,2315,615,37
2018-05-01,28,50,62,97,18,35,1844,570,31
2018-05-02,24,51,47,139,20,31,1821,456,35
2018-05-03,18,71,47,153,32,32,3073,575,27
2018-05-04,22,39,43,165,13,23,25286,540,18
2018-05-05,14,35,30,164,17,38,1722,542,17
2018-05-06,16,43,41,178,16,58,1409,563,28
2018-05-07,15,47,42,147,21,54,3253,574,25
2018-05-08,17,36,34,185,20,39,3542,667,27
2018-05-09,9,35,63,143,21,38,2376,602,53
2018-05-10,22,47,42,121,10,36,1862,568,44
2018-05-11,16,54,29,81,13,30,1734,588,31
2018-05-12,17,38,36,143,8,26,875,507,14
2018-05-13,17,41,40,181,15,33,946,556,24
2018-05-14,17,32,38,222,26,55,1607,634,24
2018-05-15,8,48,36,268,18,40,1498,700,28
2018-05-16,12,40,42,288,23,38,1433,624,32
2018-05-17,24,126,35,226,21,35,1394,575,35
2018-05-18,14,55,46,188,13,39,1377,570,24
2018-05-19,15,47,33,144,21,30,1158,491,18
2018-05-20,13,52,36,156,6,64,876,546,30
2018-05-21,18,50,57,255,26,42,1414,575,31
2018-05-22,19,39,71,204,21,40,1443,619,25
2018-05-23,24,64,64,205,19,56,1242,588,36
2018-05-24,14,54,44,238,11,33,1137,600,32
2018-05-25,9,44,45,246,9,31,1044,545,21
2018-05-26,16,61,46,270,16,32,1414,468,10
2018-05-27,14,42,31,271,13,32,1164,522,30
2018-05-28,17,41,55,186,15,38,1559,582,23
2018-05-29,18,46,64,182,13,42,1941,694,22
2018-05-30,10,48,66,182,19,36,1316,670,27
2018-05-31,15,73,32,188,24,30,1167,574,33
2018-06-01,12,50,50,187,15,70,1018,682,26
2018-06-02,13,34,46,149,10,35,861,547,27
2018-06-03,10,43,73,289,11,43,885,615,28
2018-06-04,14,51,65,186,12,32,1532,540,24
2018-06-05,8,53,47,175,14,33,1589,563,21
2018-06-06,16,44,45,155,17,42,1441,511,27
2018-06-07,243,52,60,177,13,37,1434,547,28
