Date,"Gudovac massacre","Little Nemo (1911 film)","St Cuthbert Gospel","Clathrus ruber","James Moore (Continental Army officer)","Temperatures Rising","Battle of the Coral Sea","Wolfenstein 3D","Saint Luke Drawing the Virgin"
2015-11-01,5,57,46,88,28,27,691,506,44
2015-11-02,6,54,54,65,36,37,929,550,58
2015-11-03,6,36,41,94,28,17,886,601,30
2015-11-04,6,34,40,107,29,22,957,635,35
2015-11-05,1,46,48,97,49,27,972,642,38
2015-11-06,2,40,58,173,37,17,838,630,28
2015-11-07,5,55,42,103,17,34,620,577,53
2015-11-08,4,36,44,79,18,27,715,644,23
2015-11-09,8,39,68,67,19,182,1015,635,50
2015-11-10,5,44,42,81,39,54,979,697,38
2015-11-11,3,49,48,76,20,39,979,623,25
2015-11-12,1,50,64,97,32,42,1147,697,35
2015-11-13,4,35,49,154,17,61,865,718,92
2015-11-14,2,46,36,154,12,29,544,601,13
2015-11-15,6,44,72,95,17,54,714,655,28
2015-11-16,4,72,58,103,26,85,1533,744,26
2015-11-17,5,45,60,187,21,48,1000,1004,28
2015-11-18,1,49,36,90,25,31,999,753,26
2015-11-19,4,42,53,116,15,32,917,677,29
2015-11-20,1,33,50,117,22,23,786,676,39
2015-11-21,0,39,26,108,27,28,509,605,19
2015-11-22,8,50,45,66,14,26,587,631,30
2015-11-23,5,48,49,89,19,31,798,686,23
2015-11-24,2,46,53,114,17,31,701,630,34
2015-11-25,6,49,35,90,20,44,606,650,17
2015-11-26,2,36,52,99,15,37,647,784,26
2015-11-27,7,46,41,80,11,36,580,881,108
2015-11-28,2,41,30,59,14,39,579,814,43
2015-11-29,5,56,55,71,23,30,659,851,41
2015-11-30,4,49,62,78,15,31,1100,885,41
2015-12-01,6,52,75,88,22,42,972,814,38
2015-12-02,53,60,46,110,42,32,976,757,24
2015-12-03,0,43,56,96,20,35,975,727,22
2015-12-04,47,40,57,100,20,28,880,692,24
2015-12-05,4,39,42,69,13,42,780,686,64
2015-12-06,10,41,48,68,13,33,805,781,38
2015-12-07,4,46,41,79,25,33,1797,715,24
2015-12-08,2,35,49,75,13,23,1728,710,31
2015-12-09,8,60,54,131,29,24,1334,697,25
2015-12-10,1,46,50,69,20,32,1018,806,38
2015-12-11,5,68,40,62,19,38,987,760,12
2015-12-12,3,43,30,63,25,25,688,680,14
2015-12-13,4,45,33,58,18,31,802,720,19
2015-12-14,7,41,29,67,23,29,1101,705,18
