Date,"Léal Souvenir","Zero Escape: Virtue's Last Reward","Newton's parakeet","Southern Cross (wordless novel)","Brougham Castle","Turboliner","Djedkare Isesi","James Russell Lowell","Ontario Highway 402"
2016-12-20,26,471,15,10,27,39,61,207,49
2016-12-21,14,333,16,6,25,51,36,193,52
2016-12-22,16,436,17,9,27,78,34,195,56
2016-12-23,24,438,14,10,24,65,43,172,64
2016-12-24,19,446,10,7,21,37,30,145,44
2016-12-25,18,478,12,8,438,34,50,114,72
2016-12-26,511,507,17,9,23,56,38,654,411
2016-12-27,14,504,24,5,27,54,46,175,138
2016-12-28,23,491,513,142,30,56,47,187,141
2016-12-29,18,474,17,10,37,55,55,166,130
2016-12-30,14,547,16,7,37,55,41,142,116
2016-12-31,8,540,21,7,24,51,31,160,141
2017-01-01,15,473,14,103,27,54,21,128,138
2017-01-02,23,511,13,25,44,73,30,179,115
2017-01-03,20,524,15,22,42,60,41,228,103
2017-01-04,12,454,16,17,29,65,60,185,212
2017-01-05,37,426,23,12,42,68,51,273,131
2017-01-06,24,443,16,10,25,61,46,202,74
2017-01-07,21,438,19,5,28,52,50,158,188
2017-01-08,30,496,19,12,27,49,46,174,153
2017-01-09,22,392,7,9,18,41,40,226,104
2017-01-10,27,434,17,8,29,43,36,267,128
2017-01-11,18,446,17,7,31,55,57,261,92
2017-01-12,20,406,21,10,39,94,59,232,69
2017-01-13,15,368,13,6,28,128,33,174,57
2017-01-14,14,404,13,6,28,70,51,120,96
2017-01-15,18,424,17,8,34,45,36,156,68
2017-01-16,32,472,25,19,53,88,50,194,71
2017-01-17,22,410,19,17,38,69,50,248,66
2017-01-18,12,343,17,7,26,63,46,228,48
2017-01-19,25,405,15,15,27,62,42,214,56
2017-01-20,17,380,17,8,40,54,71,215,67
2017-01-21,18,325,17,10,30,48,45,166,64
2017-01-22,23,489,16,13,45,50,49,202,91
2017-01-23,21,428,21,14,36,52,38,210,50
2017-01-24,17,393,22,8,30,59,40,215,41
2017-01-25,17,351,33,7,35,61,48,233,25
2017-01-26,32,390,20,10,43,75,50,209,48
2017-01-27,48,391,21,7,37,52,72,179,43
2017-01-28,26,434,26,10,31,70,43,179,60
2017-01-29,29,454,20,8,38,59,46,175,45
2017-01-30,16,430,16,8,23,64,50,210,42
2017-01-31,24,437,12,4,34,59,38,280,30
2017-02-01,25,410,38,12,30,62,48,257,62
2017-02-02,12,373,37,32,26,55,56,231,38
2017-02-03,20,331,23,26,34,64,80,206,38
2017-02-04,28,451,53,20,48,70,52,202,82
2017-02-05,22,408,20,15,57,57,61,170,58
2017-02-06,27,402,25,23,48,98,77,206,54
2017-02-07,27,364,46,32,54,70,173,201,45
2017-02-08,21,355,27,32,47,75,104,224,57
2017-02-09,73,377,21,20,47,62,63,213,39
2017-02-10,64,356,18,12,30,63,43,164,30
2017-02-11,29,324,38,27,47,60,58,159,62
2017-02-12,17,374,23,14,55,75,44,179,50
2017-02-13,195,380,38,37,84,80,60,199,54
2017-02-14,210,340,24,24,46,56,69,221,39
2017-02-15,27399,416,40,32,42,74,88,212,60
2017-02-16,4038,26472,163,32,47,62,64,345,44
2017-02-17,1845,4473,30680,221,60,61,51,205,59
2017-02-18,1350,3059,5750,46745,274,72,61,147,43
2017-02-19,316,2047,2930,9037,34408,339,57,166,41
2017-02-20,208,542,2751,5586,8071,53764,261,213,47
2017-02-21,334,743,592,4208,4819,7646,41436,430,44
2017-02-22,180,509,272,473,2855,3924,4521,25660,219
2017-02-23,107,469,220,315,464,2555,2226,4903,28995
2017-02-24,112,449,159,219,360,507,1604,2565,4085
2017-02-25,100,408,115,167,286,384,427,1917,2461
2017-02-26,103,447,131,181,243,317,501,694,2078
2017-02-27,75,397,203,123,216,221,283,459,318
2017-02-28,65,373,96,132,170,184,252,493,181
2017-03-01,60,367,99,120,160,207,220,475,219
2017-03-02,61,295,65,87,128,177,152,359,163
2017-03-03,47,359,67,90,136,151,188,355,109
2017-03-04,41,312,34,74,119,158,119,279,141
2017-03-05,43,346,47,89,101,127,127,268,116
2017-03-06,44,293,53,56,90,123,99,273,84
2017-03-07,43,285,52,58,90,142,105,250,83
2017-03-08,43,289,41,70,91,132,116,308,90
2017-03-09,49,325,41,60,95,100,90,265,57
2017-03-10,44,305,56,50,102,135,98,278,65
2017-03-11,56,311,42,55,100,130,109,214,73
2017-03-12,32,327,30,49,118,125,74,200,55
2017-03-13,19,343,55,55,76,125,93,281,53
2017-03-14,30,308,45,66,93,96,71,237,82
2017-03-15,33,317,34,43,56,93,74,197,69
2017-03-16,20,307,38,37,48,112,68,223,63
2017-03-17,20,299,30,33,53,79,65,229,60
2017-03-18,24,333,32,41,64,87,51,169,53
2017-03-19,24,391,23,34,57,60,81,192,56
2017-03-20,26,391,34,38,57,81,59,282,50
2017-03-21,34,340,26,35,60,69,69,221,54
2017-03-22,25,341,48,29,62,73,65,199,51
2017-03-23,41,388,39,39,49,81,66,197,69
2017-03-24,20,742,32,29,47,88,74,169,65
2017-03-25,26,1050,34,36,69,79,67,135,46
2017-03-26,30,926,24,34,51,78,74,220,61
2017-03-27,25,809,26,38,80,75,72,214,57
2017-03-28,23,745,22,25,41,71,63,206,50
2017-03-29,23,630,41,44,44,64,62,248,61
2017-03-30,29,637,29,24,46,62,101,232,34
2017-03-31,18,626,32,27,52,58,45,231,48
2017-04-01,15,613,29,36,41,68,60,168,52
2017-04-02,23,841,36,28,60,83,68,174,48
2017-04-03,19,703,26,17,41,65,69,183,57
2017-04-04,21,492,19,23,36,51,59,191,45
2017-04-05,31,457,29,23,38,58,72,187,30
2017-04-06,21,490,17,27,59,77,56,223,45
2017-04-07,13,419,23,19,51,55,67,182,44
2017-04-08,15,436,39,27,50,56,49,135,42
2017-04-09,15,542,26,27,43,70,45,163,52
2017-04-10,31,608,26,29,51,56,61,179,44
2017-04-11,19,422,26,18,37,45,55,170,33
2017-04-12,18,414,23,31,46,64,56,186,47
2017-04-13,24,443,30,25,48,52,42,185,38
2017-04-14,13,498,16,18,47,65,36,139,49
2017-04-15,14,483,15,22,55,48,50,107,46
2017-04-16,15,465,18,23,57,40,45,113,38
2017-04-17,20,490,20,25,50,46,64,168,42
2017-04-18,22,481,29,24,48,53,73,239,62
2017-04-19,14,407,15,17,34,51,48,255,55
2017-04-20,21,346,19,19,45,58,44,171,48
2017-04-21,17,355,26,16,42,48,43,131,39
2017-04-22,24,402,25,35,37,43,46,131,64
2017-04-23,14,523,26,14,29,49,42,152,32
2017-04-24,16,435,20,19,40,46,52,181,36
2017-04-25,26,351,26,18,37,74,38,152,45
2017-04-26,19,396,20,14,33,46,53,144,44
2017-04-27,22,307,22,17,41,53,58,207,43
2017-04-28,9,366,17,15,51,51,39,195,29
2017-04-29,12,342,29,20,35,42,53,112,35
2017-04-30,25,335,18,19,46,58,39,151,53
2017-05-01,23,477,28,14,45,50,41,155,47
2017-05-02,23,400,24,23,63,40,37,165,51
2017-05-03,28,370,25,24,52,52,45,145,42
2017-05-04,20,403,21,20,33,49,44,202,43
2017-05-05,23,405,15,19,37,46,36,171,39
2017-05-06,44,379,20,19,44,44,36,148,45
2017-05-07,33,426,15,12,42,48,34,146,38
2017-05-08,37,403,38,23,41,53,67,176,43
2017-05-09,16,358,10,14,24,48,439,172,40
2017-05-10,19,354,16,11,28,33,85,164,43
2017-05-11,26,314,13,15,40,50,57,136,43
2017-05-12,29,307,22,20,58,49,57,158,46
2017-05-13,28,369,21,14,35,42,34,121,40
2017-05-14,25,300,17,21,39,48,49,138,47
2017-05-15,33,338,26,21,49,51,51,184,49
2017-05-16,27,347,19,14,43,46,38,174,43
2017-05-17,33,342,22,20,48,47,62,180,35
2017-05-18,24,286,38,18,42,49,71,164,43
2017-05-19,29,306,17,20,31,51,48,142,39
2017-05-20,16,278,27,22,46,73,50,158,48
2017-05-21,24,306,27,18,49,69,50,190,56
2017-05-22,18,299,15,22,37,43,49,198,41
2017-05-23,22,241,24,24,48,62,59,173,41
2017-05-24,10,248,24,13,28,54,41,189,47
2017-05-25,22,309,18,14,44,72,55,179,39
2017-05-26,12,251,22,17,41,51,46,154,41
2017-05-27,12,248,14,22,40,30,42,137,36
2017-05-28,7,276,11,21,43,38,35,121,33
2017-05-29,19,312,16,22,47,53,57,145,47
2017-05-30,22,349,24,35,47,56,101,173,51
2017-05-31,19,342,16,33,39,68,120,243,48
2017-06-01,18,248,19,17,50,185,56,199,54
2017-06-02,13,262,14,12,56,185,40,147,52
2017-06-03,17,419,13,17,71,61,51,147,42
2017-06-04,16,389,11,14,37,62,55,151,37
2017-06-05,19,311,25,12,31,64,51,157,54
2017-06-06,19,447,18,14,40,47,36,162,51
2017-06-07,39,397,26,28,44,52,54,187,48
2017-06-08,13,297,34,20,51,64,52,162,47
2017-06-09,17,326,22,17,37,51,45,156,58
2017-06-10,15,290,15,11,38,36,37,129,46
2017-06-11,11,288,13,15,43,42,40,129,48
2017-06-12,19,362,17,22,34,56,57,170,40
2017-06-13,26,344,30,42,38,56,55,169,51
2017-06-14,20,357,18,28,34,49,43,172,36
2017-06-15,19,320,16,26,44,59,55,165,52
2017-06-16,15,304,17,15,51,39,47,157,45
2017-06-17,19,326,19,19,47,24,48,203,78
2017-06-18,15,304,18,18,45,45,37,162,55
2017-06-19,12,289,17,13,34,50,31,166,43
2017-06-20,12,291,12,21,37,38,43,174,45
2017-06-21,12,339,8,12,22,105,50,184,30
2017-06-22,29,323,20,22,47,179,55,201,54
2017-06-23,12,406,17,20,39,87,43,163,41
2017-06-24,14,336,12,8,44,52,44,129,36
2017-06-25,9,321,12,17,44,57,37,173,42
2017-06-26,8,355,16,18,27,61,45,143,48
2017-06-27,6,387,20,15,26,56,47,171,37
2017-06-28,18,351,19,16,41,42,42,158,42
2017-06-29,18,310,21,8,33,63,38,157,67
2017-06-30,14,261,16,15,47,47,31,175,76
2017-07-01,8,303,14,9,28,41,41,101,55
2017-07-02,19,411,17,15,37,32,47,186,51
2017-07-03,16,391,22,12,41,57,35,168,63
2017-07-04,6,334,14,13,38,44,37,138,73
2017-07-05,8,322,18,10,38,70,35,137,47
2017-07-06,17,366,22,20,47,76,28,170,69
2017-07-07,16,314,31,15,32,63,35,142,63
2017-07-08,13,312,19,13,41,44,42,198,52
2017-07-09,16,302,15,16,47,101,36,158,62
2017-07-10,9,308,19,10,36,133,58,196,64
2017-07-11,16,328,16,19,44,87,48,177,56
2017-07-12,19,341,30,20,54,82,46,159,40
2017-07-13,3,273,21,8,41,67,43,138,57
2017-07-14,10,301,25,7,19,92,29,138,56
2017-07-15,11,352,17,12,48,62,40,152,48
2017-07-16,11,315,19,12,31,81,36,132,51
2017-07-17,14,287,16,10,32,52,37,111,57
2017-07-18,8,264,9,11,30,71,57,154,43
2017-07-19,12,337,18,19,41,71,43,177,86
2017-07-20,8,281,16,11,26,48,34,150,65
2017-07-21,14,258,26,15,40,80,51,116,59
2017-07-22,11,258,16,5,29,48,44,108,43
2017-07-23,15,289,27,11,40,41,26,163,62
2017-07-24,7,321,19,11,43,115,33,132,52
2017-07-25,15,323,24,12,38,57,41,142,53
2017-07-26,19,263,20,26,57,57,58,145,54
2017-07-27,29,323,15,14,46,87,39,137,61
2017-07-28,18,301,17,9,22,48,41,215,70
2017-07-29,16,269,14,7,37,58,29,160,50
2017-07-30,11,297,13,8,48,48,23,143,47
2017-07-31,12,370,16,13,46,62,39,133,68
2017-08-01,18,403,23,18,48,46,42,149,56
2017-08-02,13,256,16,16,34,43,32,173,68
2017-08-03,16,361,19,14,37,54,54,144,57
2017-08-04,23,307,22,18,50,47,31,131,60
2017-08-05,23,274,27,19,66,52,41,138,57
2017-08-06,12,422,19,19,43,89,34,131,64
2017-08-07,14,308,28,14,55,87,47,168,46
2017-08-08,23,296,14,14,40,61,35,144,55
2017-08-09,18,293,13,13,31,60,39,159,77
2017-08-10,19,291,14,12,37,60,40,183,47
2017-08-11,16,257,24,18,47,53,44,155,66
2017-08-12,18,234,15,12,37,46,32,137,63
2017-08-13,14,267,19,13,48,48,32,119,79
2017-08-14,19,359,30,18,55,62,35,115,71
2017-08-15,18,321,25,14,43,62,43,142,42
2017-08-16,17,312,27,15,53,57,46,149,67
2017-08-17,11,297,15,10,36,51,37,142,50
2017-08-18,27,259,24,19,44,69,46,161,82
2017-08-19,15,301,8,10,31,54,31,197,56
2017-08-20,16,308,18,12,39,68,28,166,72
2017-08-21,9,267,10,13,36,50,26,148,53
2017-08-22,13,283,20,12,32,82,42,172,48
2017-08-23,11,338,23,11,33,143,38,168,49
2017-08-24,20,337,22,14,61,97,37,166,80
2017-08-25,8,257,30,10,36,51,38,132,53
2017-08-26,9,282,19,5,33,46,38,132,40
2017-08-27,12,299,18,14,43,58,45,159,48
2017-08-28,9,264,18,8,52,58,31,172,36
2017-08-29,10,324,11,6,24,35,27,177,50
2017-08-30,18,227,19,12,32,61,48,169,52
2017-08-31,14,248,22,9,41,50,40,155,53
2017-09-01,25,223,18,9,29,59,32,129,81
2017-09-02,16,227,25,11,25,45,34,150,58
2017-09-03,13,302,11,12,33,52,30,159,49
2017-09-04,18,302,13,11,44,48,38,132,49
2017-09-05,18,243,11,9,27,47,39,152,28
2017-09-06,15,229,13,14,30,46,43,142,48
2017-09-07,14,226,16,10,45,55,37,148,32
2017-09-08,13,226,14,9,30,37,37,139,38
2017-09-09,25,204,10,7,29,38,31,137,41
2017-09-10,26,268,15,12,39,44,36,159,45
2017-09-11,16,257,11,6,26,50,46,181,33
2017-09-12,18,253,10,10,43,40,38,168,36
2017-09-13,16,224,11,9,30,51,27,180,45
2017-09-14,24,224,21,26,33,70,54,151,44
2017-09-15,17,224,20,14,45,55,72,151,52
2017-09-16,11,263,15,8,29,35,28,150,45
2017-09-17,9,304,14,5,36,45,35,148,33
2017-09-18,15,246,18,12,33,61,44,233,45
2017-09-19,24,261,22,11,57,52,74,212,53
2017-09-20,20,232,15,14,35,41,54,181,49
2017-09-21,12,232,6,8,23,45,41,163,37
2017-09-22,27,209,23,10,33,46,41,159,40
2017-09-23,12,249,15,11,32,55,54,130,47
2017-09-24,13,291,20,9,42,58,48,162,54
2017-09-25,19,275,14,13,37,42,65,245,53
2017-09-26,25,280,18,14,29,55,37,200,31
2017-09-27,18,223,74,8,51,48,49,172,40
2017-09-28,14,229,45,156,29,46,57,218,32
2017-09-29,11,224,26,25,31,46,32,155,40
2017-09-30,11,227,16,8,32,54,32,148,35
2017-10-01,13,257,14,7,33,39,36,143,31
2017-10-02,23,252,18,11,32,52,33,207,44
2017-10-03,18,250,16,12,38,43,38,192,38
2017-10-04,14,226,17,12,36,58,45,229,38
2017-10-05,19,245,26,10,71,47,41,212,35
2017-10-06,18,246,22,10,40,51,51,178,49
2017-10-07,17,276,20,11,36,58,38,127,44
2017-10-08,11,258,11,10,36,43,40,167,32
2017-10-09,22,259,11,14,32,58,44,180,40
2017-10-10,17,202,17,6,25,83,35,182,31
2017-10-11,20,243,22,14,29,74,55,204,46
2017-10-12,34,236,42,21,57,70,39,203,46
2017-10-13,19,197,16,17,37,84,48,203,33
2017-10-14,14,193,17,12,25,45,35,135,50
2017-10-15,21,266,27,21,51,72,70,164,59
2017-10-16,15,221,13,3,25,59,32,184,28
2017-10-17,27,230,22,14,25,53,48,215,40
2017-10-18,18,235,15,7,30,47,54,225,35
2017-10-19,19,230,32,15,27,47,52,211,35
2017-10-20,20,236,26,17,32,40,37,212,65
2017-10-21,19,255,21,11,36,37,32,172,43
2017-10-22,13,280,21,9,186,36,30,196,27
2017-10-23,21,291,14,10,86,54,40,257,45
2017-10-24,19,263,18,10,71,62,54,198,32
2017-10-25,23,240,28,10,67,70,51,324,84
2017-10-26,14,275,20,7,28,48,87,336,34
2017-10-27,14,300,19,10,42,43,45,290,33
2017-10-28,19,276,22,13,33,41,31,306,32
2017-10-29,13,266,15,16,43,43,63,278,40
2017-10-30,12,249,21,6,35,57,57,472,30
2017-10-31,20,242,12,11,33,41,54,367,35
2017-11-01,25,233,17,12,22,46,62,322,60
2017-11-02,18,207,16,8,25,42,80,369,38
2017-11-03,15,203,18,12,43,35,78,244,57
2017-11-04,120,215,7,5,26,52,55,195,45
2017-11-05,16,317,21,14,24,45,107,206,57
2017-11-06,12,245,19,10,30,37,63,310,35
2017-11-07,17,282,18,9,39,51,55,267,41
2017-11-08,23,225,18,11,26,60,66,408,38
2017-11-09,21,206,15,10,18,42,38,546,40
2017-11-10,7,665,16,6,24,44,45,251,57
2017-11-11,14,482,28,9,37,52,59,159,38
2017-11-12,18,482,29,14,29,45,465,195,36
2017-11-13,19,323,23,14,35,56,67,266,44
2017-11-14,18,250,15,10,28,49,40,239,31
2017-11-15,24,254,26,10,24,39,64,300,34
2017-11-16,29,237,21,12,27,51,65,263,55
2017-11-17,22,224,21,10,31,65,50,280,42
2017-11-18,10,223,10,12,36,51,37,138,52
2017-11-19,17,242,24,9,26,38,55,214,34
2017-11-20,21,255,20,10,33,56,47,294,36
2017-11-21,21,220,22,9,28,59,47,252,66
2017-11-22,10,223,15,9,25,52,35,276,47
2017-11-23,25,237,18,17,28,61,46,299,47
2017-11-24,14,268,18,7,36,49,45,170,47
2017-11-25,21,278,19,14,32,57,51,196,33
2017-11-26,13,284,15,7,40,65,43,200,42
2017-11-27,16,297,14,12,28,64,42,234,43
2017-11-28,26,238,33,16,30,57,49,309,53
2017-11-29,18,217,18,4,17,57,35,246,45
2017-11-30,14,243,15,10,23,59,39,195,35
2017-12-01,15,244,25,13,35,67,54,239,30
2017-12-02,20,261,46,7,31,41,34,160,29
2017-12-03,14,242,21,7,36,43,39,168,24
2017-12-04,41,229,14,6,82,57,35,544,37
2017-12-05,14,266,21,6,34,75,41,259,19
2017-12-06,19,224,16,15,31,61,44,268,57
2017-12-07,19,215,14,9,35,52,56,233,27
2017-12-08,8,198,19,12,35,55,480,247,32
2017-12-09,17,208,27,16,37,61,48,166,40
2017-12-10,16,272,29,15,41,60,55,225,57
2017-12-11,25,276,22,17,27,68,78,250,52
2017-12-12,17,254,21,15,32,60,61,265,42
2017-12-13,20,245,29,12,28,56,42,261,41
2017-12-14,26,242,21,20,27,46,55,203,68
2017-12-15,14,228,26,10,32,50,56,196,55
2017-12-16,20,274,17,14,20,59,62,196,43
2017-12-17,21,286,29,16,34,52,47,158,41
2017-12-18,16,283,20,14,43,121,45,254,41
2017-12-19,20,229,18,10,29,159,35,241,41
2017-12-20,21,251,17,15,30,80,47,202,48
2017-12-21,9,285,7,17,31,57,60,193,30
2017-12-22,13,280,9,5,23,71,33,132,48
2017-12-23,11,264,17,8,26,55,27,173,34
2017-12-24,14,283,14,5,24,52,37,143,28
2017-12-25,27,289,11,11,13,63,40,149,53
2017-12-26,11,343,14,6,19,79,49,161,47
2017-12-27,14,300,23,11,31,86,57,123,40
2017-12-28,19,330,11,14,40,89,41,142,52
2017-12-29,13,353,14,4,39,64,42,156,51
2017-12-30,9,347,6,4,39,33,36,107,57
2017-12-31,14,302,11,9,36,73,48,136,42
2018-01-01,16,295,17,9,26,56,50,89,58
2018-01-02,17,349,16,11,37,62,51,155,93
2018-01-03,14,286,19,11,29,106,48,160,68
2018-01-04,15,258,13,8,36,69,57,169,195
2018-01-05,15,263,10,7,44,57,37,149,294
2018-01-06,17,297,22,12,36,76,69,169,241
2018-01-07,17,303,14,10,42,66,57,162,193
2018-01-08,13,260,18,6,33,56,48,200,82
2018-01-09,12,279,14,4,25,52,51,220,49
2018-01-10,22,269,20,6,31,50,52,206,41
2018-01-11,22,260,20,5,28,82,111,250,63
2018-01-12,11,230,20,7,36,152,142,214,80
2018-01-13,15,260,24,10,45,105,70,160,44
2018-01-14,28,295,25,14,34,86,73,156,51
2018-01-15,22,330,14,12,37,83,48,204,30
2018-01-16,14,242,18,9,21,74,69,231,41
2018-01-17,19,221,30,11,35,54,51,196,47
2018-01-18,23,213,14,13,34,86,59,191,47
2018-01-19,18,228,19,8,48,109,53,187,32
2018-01-20,19,216,15,7,40,72,43,107,66
2018-01-21,12,238,14,14,35,65,57,147,42
2018-01-22,16,260,8,10,32,87,45,205,37
2018-01-23,21,273,14,13,30,83,42,171,42
2018-01-24,17,273,16,5,31,63,38,217,50
2018-01-25,10,212,10,11,23,72,48,508,42
2018-01-26,14,244,18,10,53,84,53,216,40
2018-01-27,14,453,15,3,17,151,35,129,34
2018-01-28,24,261,12,7,35,100,53,151,44
2018-01-29,22,256,19,10,39,125,50,192,35
2018-01-30,15,219,10,5,26,159,42,196,58
2018-01-31,13,214,10,15,27,131,42,265,57
2018-02-01,13,369,27,6,31,119,47,167,34
2018-02-02,16,216,32,12,28,111,44,196,37
2018-02-03,15,253,14,10,29,88,74,137,53
2018-02-04,15,263,24,8,17,89,115,158,59
2018-02-05,11,247,17,10,22,77,62,184,52
2018-02-06,22,221,20,9,62,143,83,170,44
2018-02-07,16,232,14,10,29,83,56,173,46
2018-02-08,16,232,20,14,22,95,65,236,49
2018-02-09,16,226,19,10,37,76,62,206,70
2018-02-10,16,233,19,9,39,82,64,111,46
2018-02-11,17,246,24,11,46,112,62,121,65
2018-02-12,13,264,16,11,24,97,56,176,40
2018-02-13,22,251,21,4,27,74,46,196,36
2018-02-14,15,200,17,1,39,107,54,134,35
2018-02-15,20,191,28,14,34,95,141,149,49
2018-02-16,17,192,20,4,30,82,54,124,37
2018-02-17,14,205,25,9,33,81,37,112,36
2018-02-18,21,238,24,7,33,79,36,123,38
2018-02-19,11,222,16,6,38,73,57,127,37
2018-02-20,11,218,28,7,39,63,53,174,41
2018-02-21,19,195,20,13,42,60,68,157,48
2018-02-22,29,247,37,16,41,72,78,292,56
2018-02-23,14,267,17,12,35,62,60,196,47
2018-02-24,19,223,17,12,48,57,98,421,48
2018-02-25,38,271,40,23,55,99,80,164,52
2018-02-26,15,248,23,13,38,70,84,189,47
2018-02-27,21,248,16,10,35,58,61,199,43
2018-02-28,9,356,16,9,31,48,73,215,39
2018-03-01,17,310,18,10,24,73,73,171,45
2018-03-02,13,354,17,11,22,68,73,190,59
2018-03-03,13,442,27,11,28,55,69,158,46
2018-03-04,20,271,16,10,22,73,86,188,49
2018-03-05,13,295,13,5,34,41,99,202,51
2018-03-06,16,335,17,11,31,56,426,198,44
2018-03-07,18,417,20,4,22,64,54,201,55
2018-03-08,16,581,24,10,38,61,78,171,45
2018-03-09,18,286,26,10,41,50,74,184,45
2018-03-10,17,613,16,12,34,49,46,153,36
2018-03-11,13,449,15,6,33,54,48,117,41
2018-03-12,18,351,20,9,44,58,58,207,39
2018-03-13,6,587,10,6,33,44,68,164,45
2018-03-14,13,503,15,11,26,51,53,192,45
2018-03-15,18,807,26,10,28,47,53,177,56
2018-03-16,14,292,24,10,29,69,45,164,49
2018-03-17,8,265,14,7,40,51,58,119,38
2018-03-18,10,399,18,7,34,59,51,151,42
2018-03-19,17,523,18,13,32,59,51,175,37
2018-03-20,22,315,17,10,37,44,51,214,39
2018-03-21,20,243,17,11,38,56,57,176,48
2018-03-22,15,252,17,8,29,77,54,181,38
2018-03-23,27,262,19,4,30,52,52,188,43
2018-03-24,8,273,21,6,31,50,71,113,36
2018-03-25,15,291,17,3,40,69,55,152,37
2018-03-26,11,282,23,7,32,61,70,173,47
2018-03-27,15,280,20,14,26,54,50,216,45
2018-03-28,24,298,25,9,50,49,83,157,41
2018-03-29,12,264,24,11,45,61,63,147,53
2018-03-30,25,236,29,8,85,49,48,149,33
2018-03-31,6,272,13,9,48,47,48,125,49
2018-04-01,16,287,33,11,44,37,61,130,58
2018-04-02,20,285,31,12,50,47,58,144,46
2018-04-03,18,254,19,13,43,69,65,158,56
2018-04-04,20,235,20,7,36,36,60,186,46
2018-04-05,19,204,20,7,36,55,52,179,56
2018-04-06,23,214,31,12,57,57,55,205,46
2018-04-07,5,256,16,6,45,37,40,136,67
2018-04-08,14,259,7,6,49,46,53,138,65
2018-04-09,9,246,52,13,35,49,59,225,48
2018-04-10,12,269,19,9,41,57,64,159,40
2018-04-11,19,266,22,16,38,72,57,210,44
2018-04-12,21,286,32,19,43,47,61,196,55
2018-04-13,10,266,20,5,27,47,50,181,46
2018-04-14,16,340,23,20,49,55,56,183,49
2018-04-15,13,827,24,15,37,57,56,141,90
2018-04-16,11,515,11,6,49,56,46,202,48
2018-04-17,27,429,18,13,40,89,78,179,44
2018-04-18,14,255,10,9,29,38,43,192,51
2018-04-19,11,327,11,11,30,63,33,192,39
2018-04-20,8,335,21,7,34,53,45,163,44
2018-04-21,8,227,14,11,27,55,312,113,37
2018-04-22,15,240,12,11,35,62,81,135,38
2018-04-23,19,217,8,4,29,55,65,166,42
2018-04-24,24,260,19,7,33,47,79,213,26
2018-04-25,19,257,16,17,34,71,42,194,48
2018-04-26,22,241,13,25,30,91,48,185,57
2018-04-27,11,184,14,4,41,42,40,131,41
2018-04-28,7,183,15,6,36,43,40,104,45
2018-04-29,9,255,15,8,35,33,32,135,42
2018-04-30,16,248,17,3,37,49,29,167,52
2018-05-01,20,236,18,8,30,51,32,167,35
2018-05-02,13,248,26,3,23,50,32,164,42
2018-05-03,14,232,14,12,42,64,36,132,44
2018-05-04,11,205,17,11,36,45,46,131,52
2018-05-05,12,216,14,6,46,46,33,123,41
2018-05-06,8,280,10,2,40,46,35,107,44
2018-05-07,12,255,23,10,45,53,41,176,38
2018-05-08,27,188,18,13,33,55,47,155,47
2018-05-09,15,252,15,12,34,50,52,128,45
2018-05-10,20,241,18,16,33,52,65,124,45
2018-05-11,9,246,12,6,29,49,62,146,41
2018-05-12,13,202,14,3,46,37,42,130,39
2018-05-13,18,239,16,11,48,51,48,139,42
2018-05-14,14,218,9,10,40,45,39,194,56
2018-05-15,21,216,17,6,41,51,54,162,39
2018-05-16,18,282,21,11,43,48,38,207,49
2018-05-17,19,260,11,6,37,52,43,245,36
2018-05-18,12,225,11,12,27,62,42,207,57
2018-05-19,15,224,16,11,37,53,37,138,38
2018-05-20,16,276,23,3,51,32,32,153,43
2018-05-21,17,267,12,8,53,50,37,201,65
2018-05-22,17,203,14,7,61,45,37,183,50
2018-05-23,23,246,23,15,41,59,49,237,57
2018-05-24,12,469,24,15,45,42,53,217,38
2018-05-25,16,200,7,7,25,34,32,180,58
2018-05-26,13,263,8,17,32,37,37,134,42
2018-05-27,15,274,15,18,56,53,32,157,51
2018-05-28,25,302,23,10,56,53,53,169,41
2018-05-29,17,262,12,7,51,39,43,208,31
2018-05-30,18,209,21,18,54,74,69,198,57
2018-05-31,16,204,22,6,27,50,57,195,49
2018-06-01,12,244,15,24,40,35,53,226,61
2018-06-02,16,208,10,6,50,50,46,176,50
2018-06-03,10,348,14,4,35,44,45,208,42
2018-06-04,13,237,21,4,37,45,47,194,58
2018-06-05,18,486,19,9,27,57,47,216,45
2018-06-06,13,265,12,6,38,69,43,161,48
2018-06-07,18,363,13,9,36,42,44,197,45
2018-06-08,17,322,23,14,33,72,41,170,60
2018-06-09,12,263,18,13,32,43,29,156,28
2018-06-10,15,229,15,4,33,40,41,172,51
2018-06-11,7,211,15,10,41,64,44,179,46
2018-06-12,12,229,23,4,37,54,42,178,51
2018-06-13,15,225,15,5,40,36,36,160,45
2018-06-14,0,0,0,0,0,0,0,0,0
2018-06-15,16,208,11,8,42,43,56,128,62
2018-06-16,12,170,17,5,34,52,35,176,44
2018-06-17,16,222,17,8,46,52,46,125,40
