Date,"Cliff Clinkscales","Johnson Creek (Willamette River)","The Good Terrorist","USS Constellation vs L'Insurgente","Olympic marmot","Kedok Ketawa","Bobby Peel","Marvel Science Stories","Epsilon Eridani"
2016-12-21,18,19,67,46,37,8,16,12,148
2016-12-22,13,16,100,25,46,10,13,19,174
2016-12-23,32,11,48,21,43,9,12,13,135
2016-12-24,26,6,40,15,30,5,9,8,121
2016-12-25,30,14,41,15,45,7,9,17,643
2016-12-26,99,510,40,275,548,88,416,6,142
2016-12-27,86,11,49,23,36,8,7,56,149
2016-12-28,91,9,38,32,42,7,11,18,147
2016-12-29,143,527,46,36,46,13,15,14,130
2016-12-30,95,6,32,18,42,4,15,7,149
2016-12-31,89,7,43,14,28,3,5,6,137
2017-01-01,81,6,29,14,37,5,11,9,144
2017-01-02,96,9,42,22,56,3,8,11,184
2017-01-03,83,11,59,28,41,7,7,10,249
2017-01-04,113,11,48,27,43,4,10,5,213
2017-01-05,137,21,52,129,79,12,18,16,199
2017-01-06,108,17,43,141,46,9,11,20,298
2017-01-07,130,13,46,38,63,6,13,11,236
2017-01-08,98,17,58,39,46,8,13,15,221
2017-01-09,103,12,43,18,46,2,13,9,240
2017-01-10,97,15,53,23,54,6,15,11,255
2017-01-11,87,8,41,25,48,5,9,14,324
2017-01-12,114,15,57,35,46,9,18,20,241
2017-01-13,108,27,42,54,32,3,4,4,223
2017-01-14,87,41,33,26,36,8,8,9,215
2017-01-15,153,53,48,35,46,6,12,12,200
2017-01-16,101,59,69,38,54,13,31,16,240
2017-01-17,106,59,74,37,49,8,23,16,211
2017-01-18,93,82,64,19,34,3,8,16,367
2017-01-19,120,46,70,38,44,10,17,18,211
2017-01-20,96,25,58,54,49,4,7,14,177
2017-01-21,103,17,66,34,43,10,11,12,180
2017-01-22,100,13,47,57,66,15,11,20,185
2017-01-23,88,21,59,48,58,15,22,23,218
2017-01-24,114,36,48,38,50,18,21,11,233
2017-01-25,108,22,56,44,46,4,20,11,192
2017-01-26,104,27,46,39,46,12,17,38,190
2017-01-27,94,7,38,37,48,10,21,21,230
2017-01-28,87,16,35,38,49,11,14,26,324
2017-01-29,84,12,59,45,47,9,14,22,214
2017-01-30,102,18,45,31,55,15,11,16,273
2017-01-31,108,13,63,43,56,8,19,15,271
2017-02-01,106,25,67,72,89,23,24,40,213
2017-02-02,85,13,35,60,222,7,7,29,242
2017-02-03,94,13,48,48,130,4,5,15,218
2017-02-04,64,21,48,38,71,13,16,19,182
2017-02-05,264,59,60,53,56,17,32,26,293
2017-02-06,24290,236,51,65,62,22,37,24,279
2017-02-07,4548,25846,239,50,74,16,20,26,248
2017-02-08,2384,4244,32713,239,74,32,28,22,259
2017-02-09,1525,2346,7214,58435,200,20,27,30,261
2017-02-10,206,1566,4238,9720,34950,148,18,15,245
2017-02-11,158,273,2623,5451,4700,21392,215,24,175
2017-02-12,150,212,462,4979,2939,11841,26357,265,181
2017-02-13,111,156,349,756,2426,2875,4799,40846,396
2017-02-14,75,112,230,478,389,1646,2415,6104,41486
2017-02-15,64,122,241,438,282,206,2444,3800,6402
2017-02-16,64,82,200,360,237,134,262,2553,2963
2017-02-17,51,106,194,351,178,105,148,496,2076
2017-02-18,59,90,134,267,170,78,155,400,547
2017-02-19,50,63,140,252,167,81,125,298,403
2017-02-20,65,61,121,189,142,62,89,238,398
2017-02-21,33,67,138,161,135,47,75,349,555
2017-02-22,51,9596,104,138,130,47,62,218,512
2017-02-23,61,41,110,117,112,40,72,142,586
2017-02-24,54,25011,96,111,95,38,65,113,399
2017-02-25,41,56,83,119,97,23,64,107,308
2017-02-26,48,49,108,101,101,40,55,134,298
2017-02-27,49,39,83,99,88,41,47,88,291
2017-02-28,56,37220,87,107,97,26,45,86,345
2017-03-01,52,19256,103,91,86,30,32,72,265
2017-03-02,34,19806,80,101,66,31,31,60,280
2017-03-03,22,48,67,69,72,26,28,46,274
2017-03-04,24,47,56,76,83,28,29,64,199
2017-03-05,19,31,58,73,70,28,46,54,197
2017-03-06,19,31,62,63,87,32,39,59,236
2017-03-07,33,44,98,65,81,27,36,60,234
2017-03-08,36,47,87,103,68,37,36,33,219
2017-03-09,26,40,81,73,76,27,29,52,230
2017-03-10,25,32,63,66,89,25,33,56,220
2017-03-11,20,34,68,77,59,21,29,57,198
2017-03-12,23,27,55,189,330,15,23,53,193
2017-03-13,23,28,83,48,66,18,76,38,201
2017-03-14,29,38,51,45,99,16,23,49,184
2017-03-15,19,30,68,50,79,20,20,37,232
2017-03-16,26,27,60,50,55,11,18,32,195
2017-03-17,29,34,54,43,68,9,36,30,162
2017-03-18,18,28,38,48,47,16,24,35,154
2017-03-19,14,32,50,56,62,10,20,39,198
2017-03-20,13,23,45,41,68,8,22,28,186
2017-03-21,21,31,53,56,68,9,19,22,191
2017-03-22,18,25,62,28,76,16,22,149,199
2017-03-23,41,34,78,58,74,26,41,31,202
2017-03-24,17,38,62,36,69,18,23,37,191
2017-03-25,31,35,69,46,71,22,27,39,191
2017-03-26,20,23,59,42,71,6,12,39,157
2017-03-27,24,28,64,43,117,11,36,35,166
2017-03-28,14,21,65,39,63,15,7,30,190
2017-03-29,14,24,58,38,67,14,17,32,159
2017-03-30,21,32,80,44,78,13,29,28,177
2017-03-31,16,21,50,55,67,13,24,19,180
2017-04-01,14,26,49,31,62,18,31,27,128
2017-04-02,21,29,61,50,79,16,23,25,151
2017-04-03,9,17,77,34,78,13,13,16,191
2017-04-04,14,16,47,39,58,9,18,21,145
2017-04-05,15,17,54,36,82,3,16,24,199
2017-04-06,20,29,62,37,57,12,24,26,160
2017-04-07,17,18,58,64,59,11,23,24,170
2017-04-08,21,18,45,53,57,12,21,20,162
2017-04-09,17,19,52,40,66,9,18,19,177
2017-04-10,26,29,74,42,71,18,20,31,156
2017-04-11,9,16,51,52,63,9,22,19,197
2017-04-12,19,33,67,38,71,13,19,24,163
2017-04-13,20,23,42,45,66,10,26,16,159
2017-04-14,28,20,52,37,44,9,17,19,177
2017-04-15,22,18,39,41,46,7,23,24,141
2017-04-16,13,27,45,43,81,16,27,19,173
2017-04-17,21,29,56,46,79,7,17,10,198
2017-04-18,13,22,49,52,71,12,21,24,215
2017-04-19,21,17,66,48,63,6,20,15,225
2017-04-20,19,26,58,46,67,15,21,25,237
2017-04-21,13,22,77,43,81,10,14,14,208
2017-04-22,17,22,46,28,86,14,30,29,164
2017-04-23,21,22,59,23,78,10,20,13,155
2017-04-24,12,19,59,38,63,6,23,17,212
2017-04-25,14,23,60,36,81,11,19,16,159
2017-04-26,14,29,93,33,81,7,10,19,200
2017-04-27,27,29,60,44,77,16,22,19,210
2017-04-28,12,23,35,37,67,11,16,18,154
2017-04-29,6,18,34,35,57,12,15,20,132
2017-04-30,19,24,47,32,65,7,9,26,160
2017-05-01,21,17,58,61,72,11,8,12,192
2017-05-02,20,28,43,49,68,12,21,20,324
2017-05-03,28,26,56,46,65,12,14,29,1277
2017-05-04,19,12,66,43,76,6,18,16,865
2017-05-05,21,30,47,46,89,10,18,15,466
2017-05-06,17,23,57,39,63,16,25,21,358
2017-05-07,14,15,36,27,70,7,16,14,385
2017-05-08,23,25,65,31,88,12,22,27,338
2017-05-09,20,11,36,34,79,1,13,15,241
2017-05-10,15,12,48,36,62,9,14,14,241
2017-05-11,17,20,47,33,71,9,15,20,242
2017-05-12,13,22,52,60,76,15,14,18,229
2017-05-13,11,24,41,29,46,7,17,11,187
2017-05-14,24,12,54,29,77,7,8,21,182
2017-05-15,21,21,55,84,99,12,18,22,245
2017-05-16,13,17,64,44,80,11,20,19,265
2017-05-17,25,18,50,45,82,11,17,25,180
2017-05-18,25,23,50,24,86,10,24,30,188
2017-05-19,16,22,48,24,80,9,20,19,173
2017-05-20,20,22,53,29,57,16,26,19,170
2017-05-21,23,30,60,38,76,18,31,32,362
2017-05-22,20,34,51,34,73,10,16,17,185
2017-05-23,34,33,57,36,98,14,21,21,375
2017-05-24,19,18,66,27,85,6,15,11,251
2017-05-25,16,19,69,72,71,7,19,17,176
2017-05-26,44,27,68,25,82,13,17,19,170
2017-05-27,34,10,105,32,108,9,16,15,134
2017-05-28,10,23,51,30,72,6,10,13,151
2017-05-29,22,27,46,32,95,10,19,12,272
2017-05-30,29,21,77,33,88,14,23,24,215
2017-05-31,20,36,52,27,84,11,17,15,163
2017-06-01,17,26,68,24,60,14,43,28,137
2017-06-02,23,20,44,32,66,8,15,13,158
2017-06-03,14,15,44,29,65,6,10,16,161
2017-06-04,22,25,68,24,85,6,13,16,200
2017-06-05,15,25,59,26,62,11,21,21,235
2017-06-06,45,33,59,28,76,13,17,27,187
2017-06-07,28,20,71,39,97,18,25,14,201
2017-06-08,21,20,53,32,73,11,19,23,243
2017-06-09,17,15,44,33,60,12,16,18,233
2017-06-10,16,10,49,21,71,5,10,21,206
2017-06-11,11,24,50,41,69,10,27,16,180
2017-06-12,18,19,97,31,80,11,21,19,196
2017-06-13,23,31,65,43,92,18,20,32,176
2017-06-14,19,21,75,33,83,11,18,24,185
2017-06-15,16,39,82,30,99,13,18,25,165
2017-06-16,14,16,64,36,91,5,6,19,148
2017-06-17,21,21,59,38,70,15,19,16,110
2017-06-18,13,18,52,30,89,8,11,22,141
2017-06-19,9,20,44,25,114,10,8,22,163
2017-06-20,9,19,69,29,105,8,7,24,194
2017-06-21,12,20,53,27,69,6,12,11,182
2017-06-22,16,30,62,35,73,12,15,24,132
2017-06-23,15,22,63,25,80,8,15,17,146
2017-06-24,7,14,41,23,51,8,22,20,112
2017-06-25,9,30,52,36,64,12,13,20,130
2017-06-26,14,19,46,33,71,5,11,23,151
2017-06-27,12,11,56,25,109,4,12,21,140
2017-06-28,17,27,69,22,77,13,19,29,172
2017-06-29,9,24,63,29,67,7,11,18,139
2017-06-30,12,14,44,34,64,11,11,13,153
2017-07-01,21,15,43,39,68,16,13,11,122
2017-07-02,8,12,36,31,79,6,13,13,131
2017-07-03,12,16,66,30,123,7,17,24,155
2017-07-04,9,21,47,33,83,5,13,34,129
2017-07-05,12,21,47,30,63,11,9,20,132
2017-07-06,9,26,41,41,82,10,17,21,188
2017-07-07,10,27,38,39,80,7,15,21,140
2017-07-08,10,14,36,26,89,7,9,14,156
2017-07-09,7,19,25,27,90,9,14,29,128
2017-07-10,21,18,43,26,82,12,16,25,182
2017-07-11,8,16,40,18,85,11,12,20,136
2017-07-12,15,15,46,34,65,9,15,16,167
2017-07-13,14,12,44,28,63,8,7,18,164
2017-07-14,5,17,35,30,69,5,6,11,155
2017-07-15,14,22,36,29,70,11,22,16,150
2017-07-16,13,16,35,30,77,6,15,20,137
2017-07-17,18,16,31,25,92,6,10,12,187
2017-07-18,15,25,45,25,87,23,11,17,164
2017-07-19,18,22,47,31,87,13,16,15,171
2017-07-20,15,17,26,42,72,6,13,21,163
2017-07-21,13,17,43,31,92,8,11,18,163
2017-07-22,11,16,39,18,80,8,8,8,148
2017-07-23,9,13,42,41,85,13,16,19,162
2017-07-24,6,17,30,45,91,11,15,15,163
2017-07-25,11,10,39,29,72,5,14,17,125
2017-07-26,14,29,50,33,65,15,21,18,145
2017-07-27,11,13,40,29,59,8,19,15,154
2017-07-28,15,17,41,23,53,12,23,12,143
2017-07-29,9,18,25,20,68,5,261,7,108
2017-07-30,5,21,39,37,78,4,32,15,131
2017-07-31,7,37,49,26,91,14,29,11,163
2017-08-01,18,19,50,40,79,17,26,21,156
2017-08-02,12,25,28,28,72,9,19,20,157
2017-08-03,18,18,46,41,68,31,18,21,145
2017-08-04,15,22,41,21,75,13,21,21,133
2017-08-05,176,25,40,32,79,15,21,22,159
2017-08-06,17,21,56,27,82,12,188,20,146
2017-08-07,35,25,42,38,90,10,18,14,123
2017-08-08,25,14,51,19,81,8,16,15,176
2017-08-09,15,19,44,25,70,9,14,19,258
2017-08-10,15,17,55,27,52,10,13,13,411
2017-08-11,13,19,43,28,65,10,20,29,337
2017-08-12,14,16,46,23,82,17,30,11,208
2017-08-13,11,12,45,26,64,6,19,9,204
2017-08-14,15,19,50,36,81,13,19,15,225
2017-08-15,42,39,51,26,62,12,19,16,198
2017-08-16,19,15,40,25,73,13,16,20,206
2017-08-17,13,14,26,16,55,6,8,10,176
2017-08-18,24,19,55,33,66,14,11,13,197
2017-08-19,11,9,35,28,60,5,13,11,140
2017-08-20,15,21,55,30,77,7,22,15,148
2017-08-21,10,12,55,30,74,5,7,6,158
2017-08-22,12,13,52,30,64,10,8,13,164
2017-08-23,10,16,47,43,84,4,12,12,162
2017-08-24,19,25,52,36,60,18,27,19,206
2017-08-25,12,11,52,33,63,6,19,14,191
2017-08-26,11,9,40,15,40,4,7,8,139
2017-08-27,16,12,52,40,58,8,17,12,152
2017-08-28,7,13,60,21,53,21,11,19,176
2017-08-29,5,15,52,25,71,2,7,11,171
2017-08-30,9,13,56,30,58,10,14,21,158
2017-08-31,19,17,71,56,71,16,12,11,158
2017-09-01,14,14,44,25,48,7,18,10,186
2017-09-02,16,19,34,27,59,10,9,12,179
2017-09-03,13,15,43,15,60,5,13,8,136
2017-09-04,15,22,33,33,68,12,17,14,149
2017-09-05,11,13,53,29,46,7,10,20,184
2017-09-06,9,15,53,29,80,7,10,10,187
2017-09-07,10,15,51,36,56,11,13,11,193
2017-09-08,8,8,58,29,61,3,8,13,155
2017-09-09,13,8,50,26,42,6,13,6,151
2017-09-10,7,16,44,28,71,6,19,12,168
2017-09-11,10,15,55,34,58,8,14,13,214
2017-09-12,8,12,38,15,58,7,9,16,196
2017-09-13,6,14,33,23,55,6,21,23,167
2017-09-14,19,19,51,30,56,21,17,20,170
2017-09-15,11,24,45,40,76,11,13,17,167
2017-09-16,9,16,45,16,64,7,8,13,127
2017-09-17,4,5,41,21,83,2,7,5,165
2017-09-18,17,10,81,21,80,7,16,19,209
2017-09-19,22,16,52,35,57,10,14,29,171
2017-09-20,10,12,29,26,42,9,14,66,157
2017-09-21,10,15,22,33,72,6,12,9,204
2017-09-22,11,12,51,46,69,13,19,17,183
2017-09-23,17,19,326,33,46,15,11,18,149
2017-09-24,6,14,194,19,76,6,10,14,152
2017-09-25,13,19,76,30,66,7,9,20,176
2017-09-26,18,19,80,34,58,15,13,21,198
2017-09-27,15,19,65,26,45,6,12,12,269
2017-09-28,6,11,64,21,44,7,12,12,163
2017-09-29,14,16,41,32,50,10,15,15,178
2017-09-30,10,12,43,24,54,8,11,8,148
2017-10-01,17,11,52,15,53,1,17,6,143
2017-10-02,13,25,54,30,59,9,21,20,173
2017-10-03,5,8,65,30,107,7,15,12,169
2017-10-04,11,14,60,26,36,8,15,12,185
2017-10-05,8,12,95,39,62,13,15,10,175
2017-10-06,12,18,75,34,68,15,23,15,164
2017-10-07,13,19,75,27,43,9,16,17,131
2017-10-08,6,20,64,20,48,7,14,11,135
2017-10-09,13,17,69,24,53,9,22,18,173
2017-10-10,4,13,61,27,47,4,15,9,191
2017-10-11,12,14,62,51,59,8,15,18,166
2017-10-12,9,13,72,39,60,12,15,18,234
2017-10-13,13,18,58,34,41,10,21,22,162
2017-10-14,15,13,47,26,48,10,11,21,130
2017-10-15,15,18,52,33,60,13,31,22,172
2017-10-16,4,6,36,29,55,3,5,14,186
2017-10-17,23,22,72,32,58,15,29,20,199
2017-10-18,20,16,54,30,45,10,12,14,186
2017-10-19,14,24,44,39,56,9,10,23,204
2017-10-20,20,16,47,32,37,11,8,19,182
2017-10-21,9,16,49,33,39,10,9,12,160
2017-10-22,11,20,69,25,62,6,9,12,188
2017-10-23,16,16,54,18,49,4,12,19,192
2017-10-24,11,106,67,37,58,9,10,21,201
2017-10-25,12,21,68,33,52,10,16,20,190
2017-10-26,12,26,62,32,56,5,12,9,166
2017-10-27,9,20,49,26,46,3,13,6,152
2017-10-28,71,27,46,33,51,13,15,12,156
2017-10-29,16,20,52,26,58,11,14,38,157
2017-10-30,8,20,50,24,51,5,15,16,190
2017-10-31,17,17,66,31,41,9,10,14,185
2017-11-01,10,16,72,32,45,9,14,15,163
2017-11-02,12,10,48,33,38,3,6,7,163
2017-11-03,24,14,45,40,43,7,12,18,174
2017-11-04,55,13,60,18,41,3,9,9,176
2017-11-05,24,17,53,21,55,7,6,18,152
2017-11-06,18,17,45,33,43,6,17,11,182
2017-11-07,15,22,44,34,45,9,8,18,220
2017-11-08,16,21,26,27,46,6,10,13,205
2017-11-09,17,20,52,40,59,7,13,14,210
2017-11-10,12,11,54,29,50,3,7,6,165
2017-11-11,11,12,40,32,52,9,16,12,139
2017-11-12,18,13,35,31,61,7,11,20,579
2017-11-13,19,12,72,37,45,14,16,19,218
2017-11-14,14,19,50,27,48,8,16,13,183
2017-11-15,12,15,60,42,47,6,15,9,259
2017-11-16,23,19,48,38,55,14,11,20,242
2017-11-17,17,14,79,21,44,13,14,21,208
2017-11-18,12,11,28,19,39,6,8,14,146
2017-11-19,21,10,70,26,47,5,9,20,177
2017-11-20,21,16,59,39,41,9,6,15,183
2017-11-21,19,19,73,30,49,10,17,16,203
2017-11-22,22,16,60,25,45,6,16,8,157
2017-11-23,15,10,45,31,49,11,23,18,153
2017-11-24,12,13,48,24,45,8,18,14,162
2017-11-25,16,15,45,28,42,12,25,25,177
2017-11-26,40,15,63,24,56,8,7,15,156
2017-11-27,23,18,94,35,55,9,21,30,174
2017-11-28,20,25,78,33,59,14,18,25,203
2017-11-29,7,20,61,26,43,4,19,9,177
2017-11-30,19,14,45,26,44,5,15,15,227
2017-12-01,21,15,52,41,48,10,15,22,199
2017-12-02,13,14,34,35,42,13,15,21,151
2017-12-03,10,10,48,35,38,4,11,14,172
2017-12-04,16,13,55,21,54,6,23,13,228
2017-12-05,15,9,49,39,62,4,15,26,224
2017-12-06,12,9,56,38,43,7,8,15,188
2017-12-07,14,13,82,41,49,6,15,19,208
2017-12-08,10,11,53,22,45,13,20,9,660
2017-12-09,27,20,32,34,52,17,19,19,188
2017-12-10,27,16,45,32,64,14,19,22,189
2017-12-11,28,15,56,42,56,19,24,24,244
2017-12-12,22,20,45,29,55,20,18,20,173
2017-12-13,15,21,53,29,68,10,18,13,193
2017-12-14,23,23,49,39,40,9,25,20,185
2017-12-15,28,16,36,47,54,9,18,20,200
2017-12-16,21,14,50,38,41,14,26,19,148
2017-12-17,26,17,48,30,42,18,21,23,154
2017-12-18,19,18,112,37,48,8,20,25,183
2017-12-19,15,10,50,29,69,13,17,17,188
2017-12-20,17,17,38,31,53,13,14,15,155
2017-12-21,16,10,63,17,51,4,12,15,242
2017-12-22,37,5,37,36,34,4,14,10,120
2017-12-23,23,10,37,39,46,6,14,14,144
2017-12-24,19,9,24,22,40,3,15,4,122
2017-12-25,31,17,39,24,73,13,14,14,100
2017-12-26,11,7,33,29,90,5,29,21,146
2017-12-27,14,19,57,39,46,14,15,16,165
2017-12-28,12,22,48,23,64,9,21,14,207
2017-12-29,19,109,40,30,40,9,28,12,169
2017-12-30,17,23,77,23,53,7,11,5,144
2017-12-31,18,23,51,33,366,14,16,16,175
2018-01-01,41,14,51,43,30,8,12,9,157
2018-01-02,192,15,51,34,42,12,13,16,196
2018-01-03,81,15,42,49,61,10,17,23,191
2018-01-04,31,13,56,44,52,3,14,5,178
2018-01-05,17,25,62,28,47,5,13,16,203
2018-01-06,15,22,62,39,49,7,29,13,184
2018-01-07,31,17,42,32,41,10,15,17,171
2018-01-08,26,15,47,47,60,4,16,18,235
2018-01-09,15,14,53,25,59,8,11,11,223
2018-01-10,15,17,38,34,44,9,12,18,168
2018-01-11,24,20,51,26,69,6,15,18,200
2018-01-12,21,15,37,34,42,12,13,10,160
2018-01-13,44,17,43,30,40,6,11,10,173
2018-01-14,32,20,44,46,41,19,15,24,163
2018-01-15,31,19,49,40,50,9,9,15,189
2018-01-16,36,14,63,35,56,5,18,15,199
2018-01-17,38,18,53,40,59,8,12,20,187
2018-01-18,31,24,29,28,57,9,14,15,266
2018-01-19,33,15,31,23,53,8,13,18,205
2018-01-20,22,10,45,25,60,6,8,14,150
2018-01-21,18,14,35,40,46,6,8,12,177
2018-01-22,23,13,34,31,61,9,9,14,195
2018-01-23,19,11,52,40,62,7,10,11,215
2018-01-24,12,9,72,24,54,3,8,11,179
2018-01-25,19,16,41,42,40,6,11,13,181
2018-01-26,9,11,50,23,65,6,19,12,152
2018-01-27,15,5,44,29,37,6,1,13,150
2018-01-28,18,15,49,28,55,5,12,13,165
2018-01-29,19,14,71,40,61,6,17,13,178
2018-01-30,20,16,46,35,60,6,7,13,180
2018-01-31,30,10,42,29,46,6,17,11,183
2018-02-01,31,13,73,31,61,5,10,13,197
2018-02-02,53,18,49,30,240,10,14,14,170
2018-02-03,19,14,35,32,137,7,8,17,139
2018-02-04,24,17,41,37,99,6,10,12,170
2018-02-05,19,13,45,30,58,7,9,10,179
2018-02-06,23,12,45,33,57,12,17,19,167
2018-02-07,70,9,37,40,59,7,9,18,172
2018-02-08,22,12,54,48,61,10,13,28,178
2018-02-09,19,18,47,10516,62,10,8,14,188
2018-02-10,41,12,36,177,59,5,17,15,172
2018-02-11,36,16,46,49,47,9,11,20,177
2018-02-12,26,14,43,57,63,7,34,10,210
2018-02-13,28,8,49,45,40,6,12,12,204
2018-02-14,37,8,45,29,66,5,9,6,187
2018-02-15,74,23,59,35,61,8,11,36,185
2018-02-16,34,13,70,39,42,6,13,14,162
2018-02-17,31,14,45,30,57,6,11,14,161
2018-02-18,50,15,65,36,66,5,11,7,157
2018-02-19,51,15,176,33,58,13,10,15,171
2018-02-20,37,16,209,37,59,22,12,12,201
2018-02-21,31,13,180,41,53,13,14,20,208
2018-02-22,37,24,233,51,84,13,20,31,202
2018-02-23,25,17,212,30,61,10,7,11,174
2018-02-24,28,23,136,27,43,7,16,19,209
2018-02-25,37,42,168,34,61,22,24,29,198
2018-02-26,29,20,138,46,39,8,17,15,201
2018-02-27,30,13,165,37,56,12,12,21,207
2018-02-28,35,11,217,39,64,6,7,8,185
2018-03-01,27,14,215,27,63,7,9,14,175
2018-03-02,32,17,352,44,85,10,17,14,224
2018-03-03,37,14,189,28,47,8,17,20,167
2018-03-04,25,13,160,42,74,14,12,18,186
2018-03-05,31,16,117,34,62,4,7,8,182
2018-03-06,35,13,91,27,63,9,8,17,659
2018-03-07,41,18,90,31,58,7,7,11,211
2018-03-08,32,24,65,34,51,11,6,14,193
2018-03-09,29,22,59,31,41,8,17,17,183
2018-03-10,36,13,59,23,46,4,14,33,146
2018-03-11,35,18,62,13,54,3,8,9,175
2018-03-12,27,27,61,38,107,9,9,18,197
2018-03-13,27,17,73,33,81,5,16,12,212
2018-03-14,30,21,47,30,64,6,12,7,197
2018-03-15,28,25,66,32,70,10,13,11,199
2018-03-16,44,8,52,32,51,8,11,18,153
2018-03-17,70,9,45,23,64,7,16,12,150
2018-03-18,222,8,34,20,57,2,6,10,158
2018-03-19,169,17,52,29,77,15,7,14,219
2018-03-20,112,17,53,33,67,9,14,14,209
2018-03-21,59,15,54,39,66,11,15,15,253
2018-03-22,47,16,63,32,69,7,41,14,238
2018-03-23,42,14,53,38,53,11,10,14,196
2018-03-24,29,13,53,31,43,7,10,16,130
2018-03-25,49,6,41,45,47,5,10,13,142
2018-03-26,68,9,65,38,54,8,6,22,200
2018-03-27,48,13,38,27,56,8,13,14,217
2018-03-28,45,10,36,45,66,12,14,16,268
2018-03-29,59,8,25,43,50,5,11,13,229
2018-03-30,46,11,45,28,54,7,13,10,155
2018-03-31,49,13,43,24,52,6,4,10,162
2018-04-01,60,13,53,36,69,7,14,16,139
2018-04-02,46,19,49,36,55,10,18,13,199
2018-04-03,48,23,44,43,56,9,13,13,209
2018-04-04,34,15,44,46,61,10,13,12,224
2018-04-05,35,21,45,38,75,7,8,13,177
2018-04-06,32,16,46,37,55,19,17,13,161
2018-04-07,28,16,61,27,40,4,12,5,155
2018-04-08,41,13,62,33,40,5,9,18,129
2018-04-09,40,12,76,38,49,9,7,15,250
2018-04-10,42,13,60,38,50,9,8,15,184
2018-04-11,32,17,60,37,70,9,14,24,164
2018-04-12,43,26,83,39,90,18,18,21,208
2018-04-13,32,16,42,47,69,9,16,15,181
2018-04-14,36,26,38,37,65,12,16,15,153
2018-04-15,45,21,44,54,59,20,11,17,145
2018-04-16,32,18,38,35,65,10,8,13,194
2018-04-17,41,15,54,29,76,13,20,34,204
2018-04-18,27,9,36,20,50,5,14,37,220
2018-04-19,26,9,50,27,66,5,11,22,215
2018-04-20,25,12,46,34,70,10,7,16,190
2018-04-21,21,10,37,22,80,4,9,14,149
2018-04-22,31,17,58,24,70,8,16,14,164
2018-04-23,27,19,55,18,80,8,12,19,203
2018-04-24,22,11,65,22,58,6,5,12151,182
2018-04-25,32,13,49,59,65,7,16,318,193
2018-04-26,30,9,36,30,57,6,12,107,203
2018-04-27,21,16,47,29,39,7,8,80,169
2018-04-28,26,9,36,23,50,5,9,30,151
2018-04-29,25,12,39,27,49,5,12,28,163
2018-04-30,29,14,46,24,63,15,5,25,194
2018-05-01,26,12,52,30,63,6,13,22,172
2018-05-02,22,7,50,32,40,9,6,20,184
2018-05-03,30,20,51,28,71,12,11,25,218
2018-05-04,28,7,39,24,46,3,8,16,174
2018-05-05,30,14,42,33,55,4,5,23,129
2018-05-06,41,15,39,27,62,5,13,14,147
2018-05-07,38,20,40,24,73,9,8,19,182
2018-05-08,34,18,51,24,65,8,13,18,198
2018-05-09,35,12,37,31,61,8,8,18,236
2018-05-10,34,15,45,28,72,7,7,23,155
2018-05-11,23,12,36,31,85,11,6,22,182
2018-05-12,25,14,42,30,57,5,5,16,138
2018-05-13,31,14,60,32,55,10,7,18,176
2018-05-14,19,13,51,35,92,4,10,21,201
2018-05-15,25,16,56,29,88,4,7,19,151
2018-05-16,26,11,52,24,103,6,10,38,174
2018-05-17,23,13,53,23,54,4,7,20,150
2018-05-18,44,11,51,35,64,5,12,17,185
2018-05-19,33,14,30,30,55,8,10,20,139
2018-05-20,23,14,38,27,72,5,10,17,185
2018-05-21,30,24,45,31,81,9,19,19,168
2018-05-22,29,12,51,12,74,7,8,13,182
2018-05-23,38,27,66,32,78,14,17,26,203
2018-05-24,30,20,33,29,55,9,14,32,190
2018-05-25,23,8,47,30,66,6,6,18,170
2018-05-26,24,14,58,18,52,5,11,13,151
2018-05-27,27,16,44,25,53,14,6,8,152
2018-05-28,22,16,45,41,85,5,16,28,155
2018-05-29,23,23,41,32,66,12,8,14,197
2018-05-30,43,29,48,27,63,12,13,24,243
2018-05-31,22,16,34,32,87,8,5,16,169
2018-06-01,29,27,41,28,64,10,8,7,153
2018-06-02,20,14,41,23,68,6,11,15,156
2018-06-03,23,14,39,23,58,5,17,12,178
2018-06-04,21,16,44,24,80,8,16,12,169
2018-06-05,21,15,48,22,73,7,11,9,186
2018-06-06,23,15,49,23,72,7,11,26,204
2018-06-07,27,13,54,23,56,10,14,16,180
2018-06-08,33,23,54,34,75,13,11,20,225
2018-06-09,19,13,47,15,58,8,5,12,114
2018-06-10,24,14,52,17,76,2,12,12,143
2018-06-11,25,26,49,29,96,4,12,13,163
2018-06-12,27,19,52,22,88,4,6,7,147
2018-06-13,32,17,44,33,51,7,7,19,171
2018-06-14,0,0,0,0,0,0,0,0,0
2018-06-15,20,21,53,33,63,8,14,11,160
2018-06-16,19,8,42,19,58,5,5,7,166
2018-06-17,22,9,36,19,65,7,9,14,152
