Date,"Brazilian battleship São Paulo","Death of Leelah Alcorn","Qatna","William Borah","Birthday-number effect"
2017-09-08,25,153,50,92,7
2017-09-09,36,199,33,87,11
2017-09-10,26,177,35,71,14
2017-09-11,25,193,27,98,8
2017-09-12,31,189,24,91,7
2017-09-13,27,274,26,96,11
2017-09-14,37,222,35,109,11
2017-09-15,31,219,41,110,7
2017-09-16,38,188,32,102,5
2017-09-17,36,208,25,90,28
2017-09-18,27,230,56,131,33
2017-09-19,29,259,39,107,26
2017-09-20,24,270,38,97,31
2017-09-21,32,255,35,123,42
2017-09-22,44,227,26,103,17
2017-09-23,54,237,148,99,18
2017-09-24,17,266,47,91,13
2017-09-25,26,306,25,115,8
2017-09-26,23,249,76,127,7
2017-09-27,23,250,38,150,34
2017-09-28,23,239,38,128,9
2017-09-29,25,232,54,108,4
2017-09-30,18,210,41,124,15
2017-10-01,24,270,38,104,12
2017-10-02,36,195,43,456,38
2017-10-03,38,274,35,183,16
2017-10-04,35,250,39,151,14
2017-10-05,34,217,34,144,13
2017-10-06,44,244,37,148,12
2017-10-07,41,234,35,95,41
2017-10-08,20,238,42,90,217
2017-10-09,48,230,27,144,313
2017-10-10,28,195,42,110,314
2017-10-11,50,238,67,129,305
2017-10-12,40,259,58,124,203
2017-10-13,33,243,38,143,178
2017-10-14,33,232,38,105,131
2017-10-15,33,215,43,143,147
2017-10-16,35,249,26,120,139
2017-10-17,50,234,38,123,203
2017-10-18,28,269,57,148,181
2017-10-19,30,229,45,285,197
2017-10-20,40,222,32,126,189
2017-10-21,26,201,45,113,142
2017-10-22,26,193,30,175,51
2017-10-23,41,249,28,197,45
2017-10-24,42,229,60,180,33
2017-10-25,33,198,63,124,36
2017-10-26,42,234,36,117,29
2017-10-27,33,240,32,191,26
2017-10-28,36,161,38,129,33
2017-10-29,34,194,46,126,27
2017-10-30,35,224,41,162,29
2017-10-31,45,210,41,119,30
2017-11-01,32,247,34,112,44
2017-11-02,34,246,42,119,33
2017-11-03,40,261,48,109,27
2017-11-04,29,211,37,109,29
2017-11-05,38,204,42,108,29
2017-11-06,25,227,48,125,26
2017-11-07,51,227,55,117,51
2017-11-08,31,238,42,100,37
2017-11-09,75,185,33,318,30
2017-11-10,58,247,29,111,41
2017-11-11,32,201,42,100,91
2017-11-12,35,291,42,164,96
2017-11-13,44,353,37,184,109
2017-11-14,41,352,35,163,124
2017-11-15,47,304,35,114,99
2017-11-16,35,348,47,119,98
2017-11-17,56,553,57,137,96
2017-11-18,31,362,34,89,58
2017-11-19,35,268,44,96,75
2017-11-20,49,571,38,120,86
2017-11-21,94,454,51,96,100
2017-11-22,1020,323,41,89,123
2017-11-23,87,343,44,80,90
2017-11-24,85,245,29,91,77
2017-11-25,38,242,44,132,33
2017-11-26,53,251,38,98,28
2017-11-27,46,246,41,161,46
2017-11-28,58,233,38,138,38
2017-11-29,35,227,39,144,27
2017-11-30,41,245,29,125,28
2017-12-01,56,265,41,130,50
2017-12-02,50,221,36,103,38
2017-12-03,38,258,49,98,34
2017-12-04,56,253,49,373,166
2017-12-05,51,267,43,144,36
2017-12-06,50,367,38,175,48
2017-12-07,50,311,62,148,37
2017-12-08,51,218,79,128,31
2017-12-09,40,210,69,113,37
2017-12-10,49,250,56,119,36
2017-12-11,52,271,104,132,45
2017-12-12,52,362,55,137,35
2017-12-13,61,316,59,120,37
2017-12-14,50,426,56,96,57
2017-12-15,39,284,41,167,29
2017-12-16,59,864,57,99,157
2017-12-17,46,489,43,125,144
2017-12-18,45,299,46,135,57
2017-12-19,52,390,39,261,204
2017-12-20,33,304,48,132,44
2017-12-21,42,235,39,110,25
2017-12-22,39,229,30,113,40
2017-12-23,29,152,30,132,29
2017-12-24,46,615,26,135,26
2017-12-25,23,234,35,103,38
2017-12-26,377,269,43,107,31
2017-12-27,43685,1124,41,145,46
2017-12-28,11478,112986,390,143,68
2017-12-29,5207,26095,35053,409,58
2017-12-30,3181,8863,7276,27929,498
2017-12-31,535,6404,3410,6528,47285
2018-01-01,393,1845,1916,2193,12821
2018-01-02,298,1390,492,2153,9516
2018-01-03,259,1073,361,410,5306
2018-01-04,180,841,260,347,865
2018-01-05,137,837,213,248,556
2018-01-06,130,1170,194,268,492
2018-01-07,135,1247,183,246,418
2018-01-08,131,1111,169,231,267
2018-01-09,105,700,136,223,217
2018-01-10,97,666,123,585,188
2018-01-11,93,525,165,269,289
2018-01-12,90,437,146,243,165
2018-01-13,93,388,114,199,153
2018-01-14,70,367,117,276,192
2018-01-15,76,373,112,218,174
2018-01-16,63,349,103,171,112
2018-01-17,70,319,75,170,105
2018-01-18,59,366,77,167,96
2018-01-19,52,280,56,133,96
2018-01-20,49,286,57,125,99
2018-01-21,73,348,52,159,94
2018-01-22,63,288,62,179,125
2018-01-23,62,311,75,189,142
2018-01-24,64,361,107,178,111
2018-01-25,53,296,70,209,101
2018-01-26,59,280,72,181,74
2018-01-27,45,486,54,168,168
2018-01-28,44,350,78,229,132
2018-01-29,45,273,53,209,132
2018-01-30,42,284,59,227,91
2018-01-31,47,302,44,177,83
2018-02-01,40,416,44,166,57
2018-02-02,43,269,57,164,50
2018-02-03,59,274,63,158,54
2018-02-04,51,229,51,485,57
2018-02-05,38,297,49,339,40
2018-02-06,42,329,57,265,56
2018-02-07,47,247,51,217,55
2018-02-08,39,313,55,175,76
2018-02-09,50,240,50,163,80
2018-02-10,44,262,55,164,61
2018-02-11,48,271,42,196,89
2018-02-12,52,296,36,251,34
2018-02-13,43,301,37,216,33
2018-02-14,32,307,56,251,39
2018-02-15,40,259,60,209,45
2018-02-16,32,212,42,175,50
2018-02-17,36,219,47,153,55
2018-02-18,35,251,41,178,46
2018-02-19,41,272,34,204,37
2018-02-20,49,271,59,270,40
2018-02-21,53,347,42,206,44
2018-02-22,55,209,55,228,43
2018-02-23,50,187,68,149,47
2018-02-24,48,210,58,151,49
2018-02-25,58,256,131,722,58
2018-02-26,41,231,69,216,47
2018-02-27,52,251,59,238,34
2018-02-28,40,250,49,244,39
2018-03-01,34,259,50,307,41
2018-03-02,39,238,47,201,34
2018-03-03,41,232,33,133,45
2018-03-04,38,246,42,176,46
2018-03-05,26,220,35,210,48
2018-03-06,65,243,36,181,34
2018-03-07,46,242,42,187,36
2018-03-08,54,238,42,196,41
2018-03-09,52,242,32,183,32
2018-03-10,33,208,47,145,36
2018-03-11,37,272,62,161,42
2018-03-12,40,271,71,207,43
2018-03-13,37,286,57,205,41
2018-03-14,42,246,85,192,40
2018-03-15,54,217,60,180,35
2018-03-16,37,184,50,167,33
2018-03-17,35,186,54,135,47
2018-03-18,27,224,41,168,44
2018-03-19,49,244,46,167,43
2018-03-20,31,218,46,176,44
2018-03-21,46,238,47,175,47
2018-03-22,35,233,34,154,46
2018-03-23,36,267,45,150,37
2018-03-24,41,210,40,154,55
2018-03-25,52,231,41,151,188
2018-03-26,31,274,36,173,55
2018-03-27,45,225,47,194,41
2018-03-28,51,246,57,215,47
2018-03-29,33,241,43,136,45
2018-03-30,41,297,45,157,48
2018-03-31,35,320,44,150,39
2018-04-01,33,294,43,157,38
2018-04-02,51,259,51,166,45
2018-04-03,56,322,64,166,42
2018-04-04,40,291,46,134,31
2018-04-05,55,207,39,158,42
2018-04-06,43,220,41,124,23
2018-04-07,35,200,37,128,25
2018-04-08,44,310,43,178,23
2018-04-09,37,301,53,220,40
2018-04-10,35,280,41,155,41
2018-04-11,47,297,48,205,34
2018-04-12,43,289,52,195,41
2018-04-13,56,265,42,203,45
2018-04-14,39,219,61,157,30
2018-04-15,27,276,63,271,40
2018-04-16,29,261,43,190,29
2018-04-17,180,241,46,225,38
2018-04-18,37,212,53,168,30
2018-04-19,36,212,41,178,42
2018-04-20,24,212,48,201,31
2018-04-21,28,205,40,212,28
2018-04-22,33,254,35,241,35
2018-04-23,35,251,42,192,31
2018-04-24,36,219,42,162,34
2018-04-25,45,250,67,212,34
2018-04-26,47,219,53,198,41
2018-04-27,24,248,46,197,32
2018-04-28,37,192,40,163,34
2018-04-29,39,238,30,229,21
2018-04-30,26,274,38,221,33
2018-05-01,36,203,55,300,28
2018-05-02,32,174,42,295,32
2018-05-03,49,233,51,207,32
2018-05-04,28,207,29,185,29
2018-05-05,31,194,35,185,25
2018-05-06,39,229,46,184,34
2018-05-07,39,227,37,282,39
2018-05-08,36,224,34,186,34
2018-05-09,39,202,45,172,36
2018-05-10,59,276,54,202,53
2018-05-11,28,254,39,148,41
2018-05-12,25,206,26,131,25
2018-05-13,42,160,49,164,29
2018-05-14,34,222,51,169,33
2018-05-15,52,232,33,155,38
2018-05-16,32,225,39,171,47
2018-05-17,35,214,29,143,38
2018-05-18,40,218,125,119,42
2018-05-19,23,154,57,114,36
2018-05-20,25,185,46,137,40
2018-05-21,35,217,30,122,38
2018-05-22,32,221,41,133,22
2018-05-23,33,217,37,132,41
2018-05-24,35,236,34,136,35
2018-05-25,46,203,45,135,25
2018-05-26,37,168,37,156,23
2018-05-27,26,216,32,164,34
2018-05-28,49,214,30,207,28
2018-05-29,41,214,44,157,34
2018-05-30,48,241,42,134,28
2018-05-31,34,230,43,124,29
2018-06-01,41,187,46,111,31
2018-06-02,22,195,40,100,23
2018-06-03,23,404,39,117,26
2018-06-04,25,313,40,141,23
2018-06-05,32,269,45,121,17
2018-06-06,46,232,45,136,27
2018-06-07,31,258,50,106,19
2018-06-08,29,235,41,106,37
2018-06-09,40,275,34,98,30
2018-06-10,27,243,34,99,25
2018-06-11,24,226,49,98,44
2018-06-12,30,230,53,116,39
2018-06-13,28,522,52,113,33
2018-06-14,0,0,0,0,0
2018-06-15,28,190,36,108,29
2018-06-16,30,195,38,96,34
2018-06-17,49,264,31,96,23
