Date,"Donnchadh, Earl of Carrick","Kona Lanes","SMS Kaiser Barbarossa","Carnotaurus","Shakespeare authorship question","The Shape of Things to Come (Lost)","George Calvert, 1st Baron Baltimore","Heffernan v. City of Paterson","The Greencards"
2015-10-29,32,16,8,510,740,47,281,0,51
2015-10-30,29,9,16,559,594,44,216,0,48
2015-10-31,24,10,11,442,475,42,151,0,32
2015-11-01,23,16,13,553,577,43,143,0,30
2015-11-02,34,10,13,584,735,39,209,0,19
2015-11-03,26,8,11,538,767,38,199,0,98
2015-11-04,33,12,9,564,985,40,185,0,81
2015-11-05,37,26,9,550,963,37,204,0,30
2015-11-06,18,21,14,494,889,36,174,0,27
2015-11-07,21,5,19,493,654,40,147,0,35
2015-11-08,14,11,11,575,1237,33,155,0,31
2015-11-09,17,8,7,612,1829,44,184,0,32
2015-11-10,15,22,14,491,2307,41,196,0,21
2015-11-11,22,6,8,522,2173,36,204,0,30
2015-11-12,31,11,13,485,1104,50,185,0,50
2015-11-13,14,10,19,535,822,48,177,0,28
2015-11-14,19,7,10,495,621,38,123,0,33
2015-11-15,22,26,8,469,669,49,145,0,26
2015-11-16,30,2,10,493,795,62,262,0,49
2015-11-17,24,3,11,451,832,37,200,0,26
2015-11-18,21,3,13,459,795,48,229,0,32
2015-11-19,19,12,10,483,1228,29,203,0,24
2015-11-20,28,7,16,456,761,30,178,0,40
2015-11-21,13,11,6,467,697,35,104,0,35
2015-11-22,20,5,10,481,825,35,138,0,40
2015-11-23,24,7,6,446,1079,38,167,0,33
2015-11-24,19,5,9,491,903,49,132,0,35
2015-11-25,21,11,9,498,1267,27,120,0,22
2015-11-26,28,5,12,499,869,27,127,0,31
2015-11-27,11,1,12,527,1166,47,119,0,21
2015-11-28,18,15,7,485,797,41,119,0,21
2015-11-29,13,6,6,554,953,48,125,0,47
2015-11-30,26,8,8,530,1084,42,167,0,19
2015-12-01,18,11,18,511,1009,42,194,0,21
2015-12-02,17,9,10,499,1120,40,193,0,29
2015-12-03,15,13,12,495,1273,41,208,0,22
2015-12-04,14,4,17,512,1363,28,155,0,28
2015-12-05,39,11,40,507,995,46,106,0,27
2015-12-06,20,9,110,509,881,47,150,0,25
2015-12-07,18,4,123,560,1218,36,173,0,28
2015-12-08,111,9,126,511,1312,70,226,0,25
2015-12-09,20,11,148,451,1210,54,206,0,29
2015-12-10,20,5,275,513,960,44,217,0,21
2015-12-11,17,8,136,556,1331,49,168,0,28
2015-12-12,35,2,122,430,1017,48,139,0,34
2015-12-13,39,7,91,488,902,47,163,0,25
2015-12-14,11,23,99,496,1639,42,228,0,34
2015-12-15,14,9,95,446,1020,35,261,0,27
2015-12-16,14,9,95,456,965,36,211,0,20
2015-12-17,21,7,86,432,1377,37,178,0,17
2015-12-18,18,8,76,438,1288,25,120,0,24
2015-12-19,16,2,74,417,804,35,78,0,20
2015-12-20,12,7,56,425,764,25,117,0,20
2015-12-21,13,12,72,492,452,31,113,0,19
2015-12-22,30,9,76,442,411,37,103,0,26
2015-12-23,20,6,81,416,327,25,89,0,23
2015-12-24,15,7,69,431,296,40,82,0,20
2015-12-25,13,10,70,444,287,40,83,0,11
2015-12-26,16,8,59,486,373,28,91,0,19
2015-12-27,20,15,63,495,382,46,111,0,35
2015-12-28,16,4,78,526,451,54,126,0,24
2015-12-29,20,30,73,507,414,41,155,0,20
2015-12-30,16,13,74,510,379,38,94,0,21
2015-12-31,19,8,68,448,347,38,114,0,25
2016-01-01,15,6,64,480,395,60,91,0,21
2016-01-02,18,13,71,541,641,63,154,0,14
2016-01-03,29,6,65,578,522,52,115,0,31
2016-01-04,18,10,82,594,775,82,165,0,23
2016-01-05,19,7,95,552,884,39,147,0,27
2016-01-06,40,11,82,532,737,50,174,0,36
2016-01-07,15,14,74,508,740,43,238,0,14
2016-01-08,20,7,84,507,581,64,188,0,18
2016-01-09,9,11,70,523,512,33,143,0,21
2016-01-10,28,14,17,621,525,49,156,0,27
2016-01-11,22,14,20,554,680,55,163,0,19
2016-01-12,12,4,16,516,655,59,187,0,17
2016-01-13,12,6,15,506,661,40,197,0,21
2016-01-14,22,6,10,561,630,39,205,0,24
2016-01-15,14,7,17,544,619,68,186,0,30
2016-01-16,16,12,12,523,385,59,97,0,21
2016-01-17,13,8,9,507,524,50,146,0,24
2016-01-18,18,3,11,550,555,63,174,0,35
2016-01-19,22,11,9,555,758,60,202,0,11
2016-01-20,27,12,14,530,795,57,219,0,23
2016-01-21,24,13,13,506,1119,59,244,0,29
2016-01-22,27,10,15,487,865,66,179,0,20
2016-01-23,20,8,13,507,501,59,151,0,30
2016-01-24,16,12,12,561,527,58,153,0,33
2016-01-25,14,9,19,515,1005,68,216,0,38
2016-01-26,18,13,15,556,740,58,206,0,33
2016-01-27,11,6,11,509,679,66,215,0,40
2016-01-28,25,40,9,569,768,51,219,0,54
2016-01-29,16,15,11,503,658,41,193,0,48
2016-01-30,19,14,12,537,474,56,127,0,55
2016-01-31,23,11,4,504,531,47,178,0,54
2016-02-01,16,9,16,529,774,71,273,0,59
2016-02-02,16,4,13,495,768,41,237,0,35
2016-02-03,11,11,16,428,761,42,212,0,46
2016-02-04,18,8,9,600,731,44,248,0,51
