Date,"Donnchadh, Earl of Carrick","Kona Lanes","SMS Kaiser Barbarossa","Carnotaurus","Shakespeare authorship question","The Shape of Things to Come (Lost)","George Calvert, 1st Baron Baltimore","Heffernan v. City of Paterson","The Greencards"
2016-12-09,21,11,27,456,465,38,197,51,30
2016-12-10,26,90,18,363,409,31,144,43,18
2016-12-11,18,70,10,421,420,32,153,31,21
2016-12-12,17,15,18,465,584,47,200,49,22
2016-12-13,15,6,15,399,625,20,241,40,19
2016-12-14,18,7,11,437,630,35,214,33,23
2016-12-15,16,3,23,416,498,46,188,29,15
2016-12-16,14,26,23,347,434,33,173,34,19
2016-12-17,19,3,17,365,331,31,107,24,18
2016-12-18,28,17,10,406,381,46,150,24,12
2016-12-19,12,7,11,365,446,38,175,39,23
2016-12-20,23,9,15,385,395,46,178,30,25
2016-12-21,16,11,15,374,384,41,160,36,13
2016-12-22,18,11,11,374,360,50,125,35,23
2016-12-23,13,4,9,369,331,35,110,20,19
2016-12-24,14,7,13,363,357,31,93,20,14
2016-12-25,471,6,15,881,302,34,608,16,15
2016-12-26,13,14,14,384,966,356,242,17,472
2016-12-27,12,4,9,452,336,33,129,42,9
2016-12-28,12,5,180,418,366,47,139,18,14
2016-12-29,28,18,13,444,385,53,133,29,26
2016-12-30,19,0,6,398,405,41,120,21,19
2016-12-31,21,4,7,353,379,26,97,21,16
2017-01-01,20,9,10,421,370,48,120,24,19
2017-01-02,14,20,7,477,449,43,130,20,14
2017-01-03,17,7,17,468,562,63,143,26,14
2017-01-04,13,9,9,442,734,63,173,30,17
2017-01-05,28,8,16,516,754,62,176,27,25
2017-01-06,21,8,11,494,606,53,173,46,25
2017-01-07,29,6,7,425,409,42,131,18,15
2017-01-08,34,8,9,509,594,68,135,21,18
2017-01-09,14,11,16,474,853,48,168,30,19
2017-01-10,17,5,9,446,754,57,185,38,23
2017-01-11,8,9,8,488,749,43,211,31,19
2017-01-12,26,7,15,514,706,48,238,41,18
2017-01-13,20,4,9,476,620,50,207,26,18
2017-01-14,11,9,11,471,399,38,108,17,18
2017-01-15,26,13,11,479,458,44,156,18,15
2017-01-16,25,9,14,492,491,71,177,30,21
2017-01-17,13,3,8,462,623,46,198,32,29
2017-01-18,16,4,9,502,660,58,228,28,17
2017-01-19,23,13,16,465,634,69,226,42,23
2017-01-20,27,6,9,481,478,51,182,29,11
2017-01-21,20,4,14,426,351,45,132,16,15
2017-01-22,23,40,19,508,405,53,173,31,27
2017-01-23,22,12,21,473,602,62,203,42,28
2017-01-24,17,10,15,480,598,47,212,39,19
2017-01-25,22,15,10,476,682,47,210,48,17
2017-01-26,33,12,16,446,573,57,237,68,26
2017-01-27,15,12,10,466,539,46,214,23,12
2017-01-28,26,5,15,448,373,48,137,32,30
2017-01-29,29,12,22,455,491,64,154,26,30
2017-01-30,20,35,13,500,642,61,223,34,21
2017-01-31,22,21,10,463,569,67,259,41,18
2017-02-01,22,9,23,467,608,64,284,43,25
2017-02-02,15,10,7,408,571,45,239,33,17
2017-02-03,16,11,13,432,481,42,463,29,21
2017-02-04,13,19,12,548,331,33,186,31,22
2017-02-05,26,20,13,620,496,57,185,31,23
2017-02-06,19,14,13,481,600,46,235,42,23
2017-02-07,32,11,14,632,610,39,311,59,29
2017-02-08,28,11,21,548,556,62,297,78,28
2017-02-09,12,16,10,477,526,56,262,50,16
2017-02-10,19,22,6,512,462,43,224,48,21
2017-02-11,26,11,15,457,348,34,153,38,14
2017-02-12,13,12,8,547,424,45,170,28,13
2017-02-13,37,6,14,468,509,55,229,41,19
2017-02-14,20,7,9,523,599,53,176,48,20
2017-02-15,29,14,20,505,585,52,286,66,29
2017-02-16,28,9,19,588,568,45,215,59,27
2017-02-17,20,12,10,402,497,39,209,47,22
2017-02-18,15,4,20,466,275,48,144,27,30
2017-02-19,18,5,11,483,406,31,180,30,14
2017-02-20,24,5,20,497,500,36,221,35,31
2017-02-21,24,17,12,457,588,47,196,40,16
2017-02-22,20,11,9,519,646,39,242,51,18
2017-02-23,23,20,17,448,586,39,210,49,21
2017-02-24,16,18,14,502,532,45,204,44,24
2017-02-25,27,14,12,467,362,38,130,19,17
2017-02-26,26,18,21,448,457,57,194,37,24
2017-02-27,17,57,6,504,667,37,208,45,16
2017-02-28,22,8,14,467,639,39,224,33,29
2017-03-01,20,12,12,461,621,39,228,45,33
2017-03-02,25,9,13,476,633,35,212,47,15
2017-03-03,18,8,15,466,475,48,246,38,21
2017-03-04,20,13,14,468,352,35,137,45,14
2017-03-05,25,8,19,510,434,40,127,22,20
2017-03-06,16,14,9,530,650,31,201,38,17
2017-03-07,19,11,91,539,686,49,227,40,18
2017-03-08,19,31,15,462,677,49,193,43,30
2017-03-09,20,14,14,468,693,45,189,44,28
2017-03-10,18,18,21,482,624,41,177,33,23
2017-03-11,17,21,16,478,387,39,153,30,28
2017-03-12,28,11,14,500,506,42,165,29,17
2017-03-13,21,30,8,515,620,45,181,42,16
2017-03-14,33,23,14,515,695,43,188,48,18
2017-03-15,25,7,14,463,707,37,178,39,26
2017-03-16,25,12,10,528,743,44,190,33,16
2017-03-17,30,36,8,409,535,28,192,35,18
2017-03-18,25,122,16,431,382,34,161,21,18
2017-03-19,29,111,15,561,494,45,159,35,13
2017-03-20,17,124,20,475,716,33,169,56,23
2017-03-21,24,110,20,447,763,50,199,42,18
2017-03-22,37,115,102,494,857,67,176,48,24
2017-03-23,23,102,24,480,858,58,172,64,26
2017-03-24,28,95,17,452,656,43,167,37,17
2017-03-25,39,61,25,448,347,44,181,32,30
2017-03-26,11,87,6,444,509,26,169,17,26
2017-03-27,26,61,15,486,826,33,199,34,20
2017-03-28,22,59,10,476,737,30,182,32,11
2017-03-29,18,82,13,475,750,45,148,42,24
2017-03-30,101,102,26,528,727,46,188,43,33
2017-03-31,35,88,13,516,589,40,107,36,12
2017-04-01,74,27,12,380,381,47,124,22,30
2017-04-02,35,16,14,497,546,39,163,34,20
2017-04-03,21,7,9,474,746,28,162,36,19
2017-04-04,35,16,14,474,783,24,175,44,29
2017-04-05,30,23,12,489,772,33,191,43,18
2017-04-06,29,19,13,479,679,38,184,37,21
2017-04-07,13,31,52,407,572,34,184,40,14
2017-04-08,26,39,49,384,410,33,121,24,18
2017-04-09,21,15,19,423,453,25,160,19,24
2017-04-10,37,46,45,489,624,58,160,46,27
2017-04-11,23,28,22,507,631,64,185,43,11
2017-04-12,42,30,18,539,622,55,186,45,39
2017-04-13,28,18,34,488,558,48,127,35,24
2017-04-14,27,12,21,435,429,50,138,67,42
2017-04-15,24,21,35,433,401,44,176,40,29
2017-04-16,31,19,23,427,481,50,188,44,32
2017-04-17,37,24,14,484,573,41,192,72,40
2017-04-18,201,50,32,437,763,57,160,71,21
2017-04-19,24511,225,22,447,793,39,199,59,13
2017-04-20,5585,48022,238,426,669,32,220,61,32
2017-04-21,2731,5940,40571,580,606,45,207,42,26
2017-04-22,2274,2672,8484,38237,745,39,184,43,23
2017-04-23,323,1971,5268,9066,47484,276,162,35,18
2017-04-24,218,465,4320,4710,12231,24964,397,53,23
2017-04-25,188,346,571,2694,7046,6683,33363,157,23
2017-04-26,108,239,297,890,5012,4170,6714,37215,153
2017-04-27,108,158,248,727,1657,2700,3739,5219,23110
2017-04-28,68,114,198,657,1081,249,2655,2955,5197
2017-04-29,85,113,130,531,875,184,487,1854,2191
2017-04-30,87,102,123,576,769,124,401,290,1632
2017-05-01,79,100,102,607,1014,204,376,232,326
2017-05-02,79,99,105,574,937,198,348,184,205
2017-05-03,72,77,84,575,875,90,299,135,158
2017-05-04,52,98,79,525,801,130,302,128,145
2017-05-05,59,71,81,496,656,65,246,91,128
2017-05-06,67,55,74,493,524,96,213,84,95
2017-05-07,56,57,66,504,581,75,198,98,78
2017-05-08,43,48,63,508,767,156,186,91,92
2017-05-09,54,41,60,456,777,190,203,77,75
2017-05-10,66,66,57,452,651,156,212,90,109
2017-05-11,40,54,45,557,640,137,204,133,67
2017-05-12,26,37,44,444,529,137,176,64,61
2017-05-13,36,38,42,406,382,102,183,34,57
2017-05-14,38,38,30,430,499,68,181,36,49
2017-05-15,42,49,39,939,637,88,199,54,50
2017-05-16,42,37,35,584,609,64,195,55,44
2017-05-17,39,41,48,546,595,63,198,47,33
2017-05-18,31,46,43,483,614,73,166,48,45
2017-05-19,30,51,24,440,552,45,172,55,36
2017-05-20,48,39,40,424,431,44,167,33,41
2017-05-21,38,51,48,417,481,57,242,45,51
2017-05-22,36,23,28,421,575,41,201,40,47
2017-05-23,43,29,31,443,567,45,246,50,36
2017-05-24,32,21,19,423,571,38,206,38,29
2017-05-25,33,27,28,374,603,36,168,29,37
2017-05-26,19,30,25,405,467,48,143,35,34
2017-05-27,20,24,14,399,367,34,128,24,41
2017-05-28,43,20,24,389,378,47,159,25,33
2017-05-29,20,31,18,451,477,38,158,34,29
2017-05-30,21,25,33,421,545,62,168,35,40
2017-05-31,26,28,17,424,554,51,150,49,26
2017-06-01,25,20,25,393,498,58,143,34,27
2017-06-02,19,40,14,362,436,39,165,22,33
2017-06-03,20,23,23,338,315,38,154,14,29
2017-06-04,23,19,10,418,412,46,154,28,22
2017-06-05,35,16,28,425,428,37,151,19,17
2017-06-06,18,36,25,446,646,52,183,47,29
2017-06-07,42,26,21,423,504,56,155,31,27
2017-06-08,34,19,16,394,447,57,160,38,27
2017-06-09,26,25,21,379,400,39,129,30,33
2017-06-10,18,20,18,386,397,36,112,17,30
2017-06-11,24,16,17,417,398,57,145,33,30
2017-06-12,26,18,15,374,442,39,160,30,33
2017-06-13,31,35,38,360,447,52,150,35,42
2017-06-14,29,24,23,345,520,33,151,33,24
2017-06-15,28,21,16,360,465,41,141,28,29
2017-06-16,26,13,21,375,403,46,127,23,18
2017-06-17,24,22,20,404,441,42,126,22,33
2017-06-18,28,24,16,424,515,56,128,36,31
2017-06-19,24,23,9,432,526,66,156,23,36
2017-06-20,19,19,12,382,546,46,132,29,37
2017-06-21,17,16,19,391,454,54,134,18,18
2017-06-22,26,22,21,392,468,52,130,20,26
2017-06-23,40,16,18,374,387,49,144,32,18
2017-06-24,15,15,15,337,443,34,142,36,21
2017-06-25,32,22,17,398,466,58,132,17,21
2017-06-26,23,20,21,388,511,49,122,24,22
2017-06-27,20,11,14,394,405,55,121,25,19
2017-06-28,29,22,16,422,427,49,129,21,27
2017-06-29,21,18,17,455,475,46,134,22,29
2017-06-30,13,17,13,436,504,28,119,18,20
2017-07-01,20,12,18,427,437,39,113,14,18
2017-07-02,27,24,16,373,441,30,116,15,22
2017-07-03,27,15,10,439,465,41,154,21,16
2017-07-04,18,17,7,389,454,42,145,19,21
2017-07-05,19,15,17,402,469,29,164,21,20
2017-07-06,30,20,9,423,443,49,126,30,21
2017-07-07,26,17,20,388,439,49,117,28,17
2017-07-08,31,17,16,408,556,33,114,23,31
2017-07-09,24,15,11,425,733,39,130,34,29
2017-07-10,36,16,15,431,763,55,115,22,21
2017-07-11,21,18,18,477,917,48,144,24,14
2017-07-12,15,18,14,399,772,42,142,22,25
2017-07-13,13,15,16,395,650,48,120,16,17
2017-07-14,21,12,4,445,615,34,125,10,10
2017-07-15,15,16,17,386,458,59,130,17,24
2017-07-16,25,19,13,419,463,38,129,18,19
2017-07-17,38,11,9,397,508,43,117,25,20
2017-07-18,22,16,10,394,580,48,105,30,19
2017-07-19,25,18,17,418,476,46,147,22,20
2017-07-20,16,17,16,381,404,48,114,23,18
2017-07-21,18,13,16,373,412,43,133,14,26
2017-07-22,42,20,10,364,474,41,81,18,30
2017-07-23,25,21,15,363,431,51,128,25,25
2017-07-24,31,14,9,401,544,45,114,21,22
2017-07-25,20,17,15,353,455,53,138,23,27
2017-07-26,36,15,13,382,471,45,148,32,25
2017-07-27,23,14,12,354,383,35,132,18,21
2017-07-28,18,19,20,334,360,29,124,19,29
2017-07-29,30,25,14,376,608,33,114,13,25
2017-07-30,16,32,13,458,604,22,114,14,23
2017-07-31,24,12,10,363,437,31,295,14,17
2017-08-01,28,19,17,414,439,42,228,26,22
2017-08-02,27,13,15,441,394,42,344,25,26
2017-08-03,23,13,18,363,390,42,437,22,26
2017-08-04,26,30,19,371,372,41,317,23,26
2017-08-05,19,24,15,391,315,36,191,20,20
2017-08-06,29,21,16,404,359,37,211,28,27
2017-08-07,20,22,21,395,309,46,153,25,27
2017-08-08,18,21,18,372,411,28,180,29,19
2017-08-09,24,14,13,441,453,31,157,31,23
2017-08-10,19,15,15,430,435,29,143,19,22
2017-08-11,28,20,18,445,453,34,139,23,29
2017-08-12,20,24,14,472,355,32,146,19,23
2017-08-13,20,22,9,454,437,36,165,34,21
2017-08-14,30,27,18,419,370,36,209,28,24
2017-08-15,25,20,14,389,443,48,182,26,18
2017-08-16,38,23,21,351,449,185,330,33,26
2017-08-17,8,17,18,405,371,35,278,13,21
2017-08-18,32,24,15,374,309,40,275,21,26
2017-08-19,19,15,12,385,348,42,157,29,15
2017-08-20,20,11,12,416,371,39,207,22,26
2017-08-21,14,15,10,382,374,36,210,26,15
2017-08-22,19,9,12,390,403,29,298,14,14
2017-08-23,24,17,13,459,398,32,333,23,17
2017-08-24,28,20,19,360,446,47,448,32,24
2017-08-25,20,14,11,353,413,29,394,17,23
2017-08-26,14,9,11,375,315,27,220,9,15
2017-08-27,27,13,15,416,302,44,250,15,19
2017-08-28,29,15,11,341,358,36,301,17,15
2017-08-29,13,8,6,376,381,35,343,16,19
2017-08-30,18,16,13,411,398,34,328,24,18
2017-08-31,22,18,13,418,408,39,291,24,18
2017-09-01,22,23,11,394,367,36,287,22,19
2017-09-02,23,16,76,445,325,32,573,19,11
2017-09-03,24,42,39,426,402,41,289,12,24
2017-09-04,31,14,22,431,426,35,268,18,17
2017-09-05,21,12,10,423,458,28,317,23,17
2017-09-06,24,20,10,468,428,34,335,34,18
2017-09-07,8,17,14,460,710,40,356,26,16
2017-09-08,16,12,15,411,488,30,303,23,18
2017-09-09,19,8,14,388,379,38,186,15,12
2017-09-10,18,19,13,359,427,33,239,17,11
2017-09-11,21,13,10,373,497,43,320,28,18
2017-09-12,34,11,10,402,433,25,347,24,13
2017-09-13,10,14,12,334,541,25,359,21,16
2017-09-14,25,24,16,321,533,35,505,29,23
2017-09-15,34,20,16,314,438,34,357,25,22
2017-09-16,24,6,8,350,363,37,198,19,18
2017-09-17,12,7,11,367,401,11,265,11,6
2017-09-18,22,19,8,414,559,35,430,23,19
2017-09-19,30,21,23,406,511,41,365,47,26
2017-09-20,17,13,11,327,561,39,378,30,10
2017-09-21,25,14,3,380,484,28,354,28,12
2017-09-22,18,23,16,339,446,42,296,22,20
2017-09-23,20,9,18,344,364,35,175,16,17
2017-09-24,15,15,13,432,412,32,211,24,16
2017-09-25,22,20,8,363,485,40,331,59,20
2017-09-26,17,13,9,361,1098,34,378,54,14
2017-09-27,21,14,9,363,1121,25,350,44,11
2017-09-28,9,12,8,377,780,32,344,42,14
2017-09-29,11,15,12,355,531,39,311,37,28
2017-09-30,18,8,11,351,395,25,159,14,19
2017-10-01,19,12,6,334,407,32,276,15,7
2017-10-02,18,22,14,408,469,54,313,42,24
2017-10-03,19,18,13,352,479,23,311,32,21
2017-10-04,18,23,18,403,574,31,301,32,13
2017-10-05,13,23,9,392,542,34,286,41,17
2017-10-06,13,16,18,320,436,34,235,23,23
2017-10-07,25,17,16,379,361,25,236,26,20
2017-10-08,19,10,11,391,377,22,171,12,20
2017-10-09,21,19,14,450,499,40,236,36,12
2017-10-10,7,8,7,397,539,25,281,38,16
2017-10-11,14,15,30,387,522,28,275,41,15
2017-10-12,24,14,21,366,479,36,228,49,18
2017-10-13,22,14,17,422,429,38,196,34,25
2017-10-14,22,15,10,387,356,32,146,20,18
2017-10-15,27,23,23,385,422,34,228,25,25
2017-10-16,23,10,7,424,579,38,242,34,13
2017-10-17,27,19,31,436,582,39,218,42,27
2017-10-18,23,15,14,407,577,37,269,31,20
2017-10-19,23,23,11,372,602,32,280,31,20
2017-10-20,24,13,8,374,501,32,196,29,17
2017-10-21,25,13,14,338,422,30,164,27,17
2017-10-22,20,11,9,1014,437,33,156,18,10
2017-10-23,28,7,46,514,636,43,239,38,15
2017-10-24,19,13,17,401,659,38,243,22,21
2017-10-25,30,13,16,379,552,49,297,51,24
2017-10-26,15,10,10,441,582,30,227,31,22
2017-10-27,21,11,9,357,569,37,192,24,17
2017-10-28,23,13,19,309,736,48,172,21,22
2017-10-29,15,9,15,377,823,37,153,18,24
2017-10-30,16,8,11,377,740,76,192,34,26
2017-10-31,23,19,22,307,580,28,183,25,16
2017-11-01,18,14,11,446,543,39,187,30,17
2017-11-02,15,9,5,346,602,24,202,28,16
2017-11-03,20,12,9,381,524,31,213,21,17
2017-11-04,33,11,9,375,371,24,144,12,19
2017-11-05,24,17,17,433,466,30,156,20,16
2017-11-06,22,14,10,384,634,42,183,31,15
2017-11-07,14,16,9,381,639,58,201,35,20
2017-11-08,10,16,8,395,631,115,244,33,14
2017-11-09,18,14,16,308,591,27,185,27,18
2017-11-10,11,9,15,419,585,28,152,16,9
2017-11-11,17,14,13,369,349,20,174,21,23
2017-11-12,19,14,9,486,470,38,151,23,13
2017-11-13,14,20,18,422,637,38,199,42,29
2017-11-14,14,13,12,386,608,25,172,31,16
2017-11-15,18,13,9,397,605,31,210,37,22
2017-11-16,24,14,18,374,627,33,198,43,31
2017-11-17,26,14,8,368,483,43,208,26,12
2017-11-18,26,14,9,369,411,24,135,14,16
2017-11-19,18,7,5,400,433,23,151,21,18
2017-11-20,22,12,11,403,618,44,187,17,17
2017-11-21,19,20,9,399,617,142,184,41,26
2017-11-22,22,12,10,428,521,27,116,13,13
2017-11-23,19,16,16,397,364,36,109,28,23
2017-11-24,17,15,11,421,338,26,104,20,18
2017-11-25,20,24,19,414,381,32,154,22,17
2017-11-26,12,8,10,444,448,28,126,21,15
2017-11-27,17,13,15,511,714,42,147,33,25
2017-11-28,26,20,15,366,726,28,269,45,17
2017-11-29,6,11,9,346,622,26,207,32,14
2017-11-30,14,15,11,412,652,24,205,35,21
2017-12-01,16,23,20,393,484,103,165,35,14
2017-12-02,26,13,10,381,347,37,96,24,21
2017-12-03,14,11,9,430,521,31,133,22,14
2017-12-04,15,44,14,428,771,28,181,41,14
2017-12-05,17,9,11,453,655,17,180,41,8
2017-12-06,18,14,11,680,665,40,212,52,20
2017-12-07,21,12,18,1134,552,27,153,34,11
2017-12-08,14,8,16,8691,499,32,185,41,20
2017-12-09,23,21,14,2290,332,30,132,22,24
2017-12-10,33,32,17,1473,393,31,158,29,27
2017-12-11,29,27,24,1342,541,34,189,43,25
2017-12-12,32,20,16,984,513,29,217,52,19
2017-12-13,19,17,18,970,552,23,178,34,12
2017-12-14,21,14,13,840,552,42,217,40,24
2017-12-15,19,11,13,699,455,26,171,28,30
2017-12-16,26,11,18,645,411,35,110,18,21
2017-12-17,31,20,16,597,386,86,120,21,23
2017-12-18,21,13,18,647,531,43,169,42,17
2017-12-19,24,13,20,565,440,29,262,45,20
2017-12-20,24,18,15,636,457,29,164,20,13
2017-12-21,18,5,12,563,416,26,129,24,12
2017-12-22,14,9,13,497,265,26,114,13,7
2017-12-23,23,10,15,549,373,30,131,13,17
2017-12-24,19,19,6,540,372,21,133,8,14
2017-12-25,14,11,6,532,409,21,118,19,10
2017-12-26,29,10,12,618,492,31,144,23,14
2017-12-27,22,12,10,613,361,50,143,22,22
2017-12-28,22,8,10,568,382,45,124,16,9
2017-12-29,11,13,18,663,366,26,114,18,18
2017-12-30,15,7,12,732,320,39,130,7,20
2017-12-31,839,13,9,590,327,35,137,452,10
2018-01-01,26,10,12,572,351,44,105,11,13
2018-01-02,28,15,15,671,437,48,155,9,11
2018-01-03,22,19,19,650,489,52,126,20,26
2018-01-04,11,18,14,572,567,29,149,36,11
2018-01-05,24,7,7,644,475,30,140,17,15
2018-01-06,27,18,18,654,365,38,135,25,20
2018-01-07,30,14,20,584,379,38,123,28,31
2018-01-08,13,12,11,581,538,27,170,21,19
2018-01-09,16,7,8,586,674,28,194,22,20
2018-01-10,18,13,10,692,851,28,193,34,13
2018-01-11,26,14,19,602,699,27,156,31,19
2018-01-12,12,8,12,561,634,31,194,23,14
2018-01-13,17,14,85,576,360,34,139,16,24
2018-01-14,35,28,25,624,418,30,148,16,15
2018-01-15,15,12,14,557,524,36,180,23,21
2018-01-16,44,12,15,545,601,35,210,18,16
2018-01-17,35,20,15,555,658,36,192,19,17
2018-01-18,31,21,14,600,698,33,183,28,10
2018-01-19,32,10,12,540,532,28,202,36,24
2018-01-20,35,14,11,483,477,28,126,16,18
2018-01-21,24,17,17,552,505,43,159,20,20
2018-01-22,17,12,13,628,706,24,180,27,11
2018-01-23,21,11,30,562,707,26,237,31,16
2018-01-24,16,9,8,553,636,36,198,37,15
2018-01-25,16,17,20,542,660,20,232,60,14
2018-01-26,15,16,24,556,551,263,199,22,19
2018-01-27,15,12,5,488,403,15,141,6,12
2018-01-28,20,14,12,534,437,23,139,23,11
2018-01-29,17,13,13,552,628,33,233,45,13
2018-01-30,37,15,16,530,655,33,186,37,17
2018-01-31,25,10,19,590,630,25,203,32,26
2018-02-01,19,13,13,626,646,29,202,27,13
2018-02-02,30,10,12,567,523,37,221,38,17
2018-02-03,37,10,11,507,389,30,147,26,14
2018-02-04,22,20,17,581,473,36,162,17,23
2018-02-05,18,14,13,721,600,24,171,34,13
2018-02-06,20,8,15,708,678,40,170,46,26
2018-02-07,22,7,14,596,608,22,219,35,23
2018-02-08,20,16,19,576,684,22,203,43,23
2018-02-09,23,18,18,570,775,22,167,32,33
2018-02-10,19,18,14,578,514,35,150,11,22
2018-02-11,24,21,14,603,549,39,163,22,15
2018-02-12,16,14,16,632,671,28,222,30,22
2018-02-13,21,13,12,561,681,39,171,48,26
2018-02-14,13,7,10,512,728,26,187,46,27
2018-02-15,22,15,13,574,754,31,201,59,45
2018-02-16,26,11,13,624,691,31,167,28,30
2018-02-17,27,15,12,677,643,35,126,24,30
2018-02-18,20,12,14,675,691,37,132,28,28
2018-02-19,18,15,12,589,822,94,179,37,26
2018-02-20,16,17,10,612,754,28,237,47,31
2018-02-21,17,13,13,548,761,37,244,38,28
2018-02-22,26,26,18,680,655,46,220,53,33
2018-02-23,23,14,10,535,619,42,215,30,27
2018-02-24,21,20,18,569,461,44,186,31,24
2018-02-25,37,43,18,672,527,57,201,41,46
2018-02-26,12,14,14,649,723,32,200,36,31
2018-02-27,15,12,13,534,564,26,188,40,26
2018-02-28,9,7,7,712,634,35,200,29,19
2018-03-01,16,10,11,589,579,41,237,38,29
2018-03-02,21,13,9,539,510,44,192,42,22
2018-03-03,23,16,18,559,439,36,174,25,24
2018-03-04,18,14,12,617,935,45,130,22,25
2018-03-05,20,16,11,552,878,41,194,35,27
2018-03-06,24,13,12,616,811,48,171,34,29
2018-03-07,21,8,10,605,650,30,206,31,30
2018-03-08,14,21,16,574,677,34,235,40,28
2018-03-09,16,12,15,612,622,33,225,31,27
2018-03-10,13,8,13,474,373,22,122,12,27
2018-03-11,15,13,3,538,430,24,142,15,25
2018-03-12,20,16,18,583,730,37,171,27,28
2018-03-13,18,15,12,581,576,35,209,32,28
2018-03-14,17,18,18,574,663,30,159,24,27
2018-03-15,24,12,19,596,662,40,160,32,31
2018-03-16,19,13,9,606,501,44,166,26,32
2018-03-17,31,21,5,578,430,22,136,29,34
2018-03-18,20,10,12,589,458,34,171,16,30
2018-03-19,21,12,12,551,604,30,177,36,36
2018-03-20,26,16,17,565,592,43,219,29,36
2018-03-21,28,15,12,596,709,30,175,38,37
2018-03-22,18,17,20,492,687,79,190,25,33
2018-03-23,14,16,21,596,613,40,143,32,32
2018-03-24,10,18,16,549,344,27,114,20,31
2018-03-25,18,12,10,530,495,30,192,18,32
2018-03-26,14,10,19,486,607,36,165,29,30
2018-03-27,16,15,15,455,610,28,144,26,35
2018-03-28,25,13,18,500,658,33,173,36,35
2018-03-29,23,8,12,559,540,27,169,28,44
2018-03-30,22,18,9,594,411,25,154,30,33
2018-03-31,10,10,11,484,361,30,145,19,30
2018-04-01,21,14,20,569,390,37,112,20,39
2018-04-02,19,25,16,583,545,46,152,19,33
2018-04-03,24,20,16,718,662,32,134,21,41
2018-04-04,28,15,10,646,635,40,193,31,44
2018-04-05,35,8,14,560,492,28,148,25,34
2018-04-06,19,15,24,534,533,40,125,23,41
2018-04-07,20,10,11,539,342,31,158,20,30
2018-04-08,26,4,15,541,413,32,138,22,33
2018-04-09,31,10,11,630,577,32,191,59,43
2018-04-10,19,11,11,642,623,28,203,21,29
2018-04-11,18,16,13,572,629,29,144,29,53
2018-04-12,23,17,17,604,640,35,149,37,52
2018-04-13,24,13,22,665,634,29,145,22,32
2018-04-14,28,28,16,589,347,32,106,25,41
2018-04-15,12,18,15,693,449,45,185,23,35
2018-04-16,21,18,10,652,596,40,176,32,61
2018-04-17,20,18,17,633,710,40,200,38,43
2018-04-18,25,11,9,835,628,34,176,28,34
2018-04-19,12,13,8,747,748,27,190,35,26
2018-04-20,13,19,12,795,550,27,146,24,29
2018-04-21,12,6,9,1736,351,22,119,14,32
2018-04-22,21,12,13,1426,493,29,118,29,30
2018-04-23,12,17,14,765,1183,32,195,26,24
2018-04-24,18,6,11,692,870,20,202,35,33
2018-04-25,29,12,14,696,725,25,166,31,38
2018-04-26,21,6,4,675,753,41,203,39,32
2018-04-27,8,9,16,618,545,10,168,23,34
2018-04-28,17,9,11,561,341,25,147,16,39
2018-04-29,19,8,19,624,471,31,158,30,29
2018-04-30,17,5,5,595,605,25,174,32,33
2018-05-01,17,16,12,586,687,35,202,36,35
2018-05-02,11,5,11,541,571,37,225,28,26
2018-05-03,21,15,14,795,533,29,183,26,35
2018-05-04,10,12,11,763,530,31,125,19,30
2018-05-05,17,9,13,555,365,25,116,12,37
2018-05-06,9,9,11,553,506,39,157,14,34
2018-05-07,14,14,10,599,722,37,176,26,31
2018-05-08,13,19,10,596,581,39,186,20,31
2018-05-09,22,13,19,589,548,25,185,20,34
2018-05-10,14,12,12,682,696,29,191,21,29
2018-05-11,15,7,5,612,618,25,146,14,29
2018-05-12,36,3,5,559,391,26,113,18,34
2018-05-13,24,14,15,597,466,37,116,22,34
2018-05-14,16,9,8,666,592,26,175,17,27
2018-05-15,14,8,15,695,562,28,152,28,29
2018-05-16,22,21,16,800,544,25,197,18,32
2018-05-17,10,13,11,771,540,29,233,23,25
2018-05-18,23,6,8,725,524,26,227,21,38
2018-05-19,25,10,11,687,360,25,247,19,30
2018-05-20,16,13,7,779,409,26,183,18,30
2018-05-21,25,15,15,738,575,30,167,19,32
2018-05-22,25,13,8,788,522,25,191,20,36
2018-05-23,29,16,23,775,497,30,204,30,40
2018-05-24,18,13,12,690,471,32,170,32,34
2018-05-25,20,10,6,645,495,24,194,25,36
2018-05-26,21,13,6,623,348,27,128,10,36
2018-05-27,10,27,10,756,368,32,120,15,43
2018-05-28,20,18,9,711,420,23,179,13,31
2018-05-29,13,12,9,885,532,22,173,31,29
2018-05-30,21,13,21,859,472,40,157,27,37
2018-05-31,9,6,9,795,453,26,173,19,37
2018-06-01,19,8,18,784,388,34,137,17,38
2018-06-02,29,10,12,680,330,32,119,17,28
2018-06-03,23,9,8,823,401,31,127,13,30
2018-06-04,36,9,8,1001,528,33,139,18,34
2018-06-05,45,8,17,919,529,35,168,20,31
2018-06-06,28,8,11,2451,442,18,159,12,32
2018-06-07,19,19,20,4998,388,30,145,21,32
2018-06-08,20,13,12,4390,337,55,129,26,34
2018-06-09,28,8,17,4802,322,26,107,9,37
2018-06-10,16,7,10,4555,327,36,108,15,24
2018-06-11,17,12,13,4093,418,33,124,22,30
2018-06-12,19,10,11,2915,464,32,127,18,26
2018-06-13,29,13,20,2907,397,23,121,21,39
